# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:22.615845+00:00
date,nav
2013-01-04,10.77340
2013-01-10,10.70830
2013-01-18,10.36610
2013-01-31,10.04850
2013-02-08,10.15390
2013-02-15,10.11090
2013-02-22,9.51210
2013-03-12,9.45550
2013-03-13,9.27350
2013-04-03,8.61080
2013-04-10,8.99920
2013-04-18,7.79920
2013-04-26,8.31410
2013-05-08,8.61530
2013-05-17,8.24960
2013-06-04,8.47020
2013-06-07,8.27110
2013-06-19,8.33330
2013-06-24,7.63360
2013-07-05,7.58500
2013-07-17,8.10520
2013-07-24,8.44110
2013-08-07,8.30890
2013-08-13,9.17320
2013-08-28,9.97060
2013-08-30,9.58050
2013-09-10,9.81900
2013-09-26,9.51260
2013-10-04,9.07050
2013-10-11,8.97130
2013-10-22,9.61800
2013-11-07,9.68130
2013-11-08,9.42750
2013-11-26,8.85180
2013-11-29,9.01920
2013-12-12,8.47240
2013-12-27,9.03240
2014-01-03,9.13580
2014-01-09,8.73160
2014-01-20,9.18130
2014-02-04,8.73970
2014-02-14,9.51240
2014-02-21,9.55950
2014-03-06,9.32020
2014-03-10,8.77300
2014-03-20,8.53580
2014-04-04,8.98730
2014-04-10,9.06870
2014-04-25,9.12540
2014-05-13,9.06600
2014-05-19,8.72460
2014-05-27,8.81420
2014-06-13,8.62940
2014-06-24,9.12450
2014-06-30,9.05560
2014-07-07,9.44210
2014-07-23,9.70190
2014-07-30,9.72700
2014-08-12,9.69100
2014-08-22,9.26660
2014-08-27,9.32180
2014-09-09,8.87800
2014-09-17,8.87180
2014-09-23,8.40720
2014-10-10,7.82020
2014-10-21,8.04890
2014-11-05,7.41230
2014-11-10,7.66430
2014-11-21,7.92420
2014-11-27,7.89100
2014-12-12,6.94450
2014-12-16,6.79650
2014-12-30,7.30450
2015-01-14,6.48870
2015-01-22,6.89330
2015-01-29,6.49460
2015-02-05,6.96090
2015-02-25,7.20930
2015-03-03,7.14130
2015-03-11,6.52110
2015-03-24,6.89080
2015-03-31,6.63940
2015-04-13,6.65890
2015-04-28,7.37700
2015-05-05,7.51640
2015-05-13,7.57930
2015-05-28,6.98110
2015-06-03,7.13370
2015-06-18,6.97710
2015-06-24,6.95340
2015-07-07,6.13570
2015-07-14,6.30960
2015-07-24,5.62840
2015-08-03,5.57590
2015-08-13,5.67870
2015-08-24,5.19100
2015-08-28,5.41040
2015-09-04,5.12880
2015-09-16,5.38740
2015-09-28,4.76090
2015-10-09,5.68850
2015-10-13,5.52400
2015-10-26,5.48890
2015-11-04,5.41250
2015-11-13,4.81500
2015-11-26,4.84360
2015-12-08,4.56230
2015-12-18,4.46170
2015-12-28,4.72310
2016-01-05,4.63890
2016-01-20,4.07150
2016-01-22,4.27900
2016-02-08,4.84950
2016-02-10,4.67620
2016-02-22,5.22530
2016-03-01,5.20410
2016-03-17,5.82400
2016-03-29,5.31460
2016-04-07,5.32470
2016-04-20,6.12890
2016-05-02,6.36730
2016-05-09,5.69640
2016-05-18,5.97060
2016-06-02,5.67230
2016-06-08,6.28820
2016-06-15,6.00600
2016-06-28,6.22660
2016-07-13,7.01870
2016-07-20,6.61830
2016-07-28,6.96390
2016-08-10,7.18580
2016-08-18,7.15470
