# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:17.115928+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-02,10000.00,
2013-01-04,10035.82,
2013-01-15,10073.70,
2013-01-24,9816.78,
2013-01-31,9890.48,
2013-02-11,9647.74,
2013-02-20,9664.40,
2013-03-04,9154.14,
2013-03-11,9576.20,
2013-03-22,9006.96,
2013-04-02,9248.62,
2013-04-12,8950.79,
2013-04-22,9375.02,
2013-05-13,9589.62,
2013-05-17,9901.73,
2013-05-23,9528.80,
2013-06-06,9558.67,
2013-06-13,9207.93,
2013-06-26,9068.00,
2013-07-01,9527.07,
2013-07-15,9732.04,
2013-07-23,9669.06,
2013-08-06,8877.63,
2013-08-14,9253.92,
2013-08-21,8659.78,
2013-08-28,8655.02,
2013-09-03,8791.60,
2013-09-11,9559.75,
2013-09-19,9801.41,
2013-09-30,9407.38,
2013-10-14,9973.49,
2013-10-28,9947.84,
2013-11-01,10330.83,
2013-11-13,9915.15,
2013-11-20,10115.58,
2013-11-28,10026.30,
2013-12-09,10425.20,
2013-12-19,10243.50,
2014-01-01,10510.05,
2014-01-08,10401.07,
2014-01-22,10551.50,
2014-01-30,10031.28,
2014-02-13,10063.09,
2014-02-19,10262.11,
2014-03-03,10381.91,
2014-03-07,10745.00,
2014-03-20,10625.20,
2014-04-02,11112.84,
2014-04-16,10984.82,
2014-04-23,11304.39,
2014-05-08,11094.34,
2014-05-19,12170.49,
2014-05-29,12335.31,
2014-06-06,13183.77,
2014-06-13,12883.35,
2014-06-26,13018.62,
2014-07-07,13674.66,
2014-07-11,12816.58,
2014-07-17,13377.27,
2014-08-05,13405.73,
2014-08-13,13166.67,
2014-08-19,13768.82,
2014-08-28,13933.21,
2014-09-08,14575.28,
2014-09-22,14605.80,
2014-09-25,14039.37,
2014-10-16,13910.15,
2014-10-22,14371.39,
2014-11-03,14991.61,
2014-11-17,15365.30,
2014-11-25,15225.26,
2014-12-04,15702.95,
2014-12-17,14567.28,
2014-12-22,15170.39,
2015-01-07,15127.11,
2015-01-15,15841.69,
2015-01-27,16374.47,
2015-02-09,15473.20,
2015-02-13,16159.86,
2015-02-26,15892.88,
2015-03-03,16821.53,
2015-03-13,16263.54,
2015-03-26,15824.05,
2015-04-09,16775.10,
2015-04-15,16746.75,
2015-04-27,15336.95,
2015-05-07,15116.18,
2015-05-18,16032.81,
2015-06-01,16128.48,
2015-06-08,15473.96,
2015-06-15,15474.17,
2015-06-23,16133.89,
2015-07-09,16263.87,
2015-07-16,16869.15,
2015-07-28,16607.58,
2015-08-06,17234.51,
2015-08-12,16666.23,
2015-08-19,17189.70,
2015-09-02,15692.56,
2015-09-07,15336.62,
2015-09-18,15989.96,
2015-09-28,15749.71,
2015-10-16,16397.09,
2015-10-27,16363.54,
2015-10-30,16090.28,
2015-11-18,15858.79,
2015-11-30,16471.98,
2015-12-09,15789.75,
2015-12-17,16221.12,
2015-12-29,16348.06,
2016-01-01,16513.53,
2016-01-18,15070.07,
2016-01-27,15289.66,
2016-02-05,15097.13,
2016-02-12,13935.59,
2016-02-25,13964.59,
2016-03-04,15144.21,
2016-03-16,15214.98,
2016-03-21,15759.66,
2016-04-07,15710.20,
2016-04-18,16476.63,
2016-04-26,16606.71,
2016-05-04,16056.51,
2016-05-20,16089.52,
2016-05-27,16804.87,
2016-06-08,17058.00,
2016-06-13,16803.68,
2016-06-24,16883.65,
2016-07-04,17690.33,
2016-07-08,17649.97,
2016-07-25,18522.34,
2016-08-05,18932.50,
2016-08-11,18637.49,
2016-08-19,19141.37,
2016-09-06,19811.59,
2016-09-12,19238.12,
2016-09-22,19725.77,
2016-09-29,19113.34,
2016-10-07,19823.06,
2016-10-25,20037.34,
2016-11-04,19130.33,
2016-11-10,19741.24,
2016-11-21,18010.24,
2016-11-30,18824.82,
2016-12-09,18818.54,
2016-12-26,17711.44,
2016-12-30,18363.04,
2017-01-11,19169.18,
2017-01-20,19279.14,
2017-01-25,19900.33,
2017-02-06,20488.62,
2017-02-15,20013.85,
2017-02-23,20508.21,
2017-03-10,20382.13,
2017-03-16,20973.56,
2017-03-27,20826.70,
2017-04-11,21597.68,
