# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:17.755204+00:00
date,fund_below_high,benchmark_below_high
2013-01-01,0.000000,
2013-01-02,0.000000,
2013-01-11,0.000000,
2013-01-22,0.000000,
2013-02-01,0.000000,
2013-02-12,0.000000,
2013-02-22,0.000000,
2013-03-04,0.000000,
2013-03-14,0.000000,
2013-03-25,0.000000,
2013-04-05,0.000000,
2013-04-16,0.000000,
2013-04-28,0.000000,
2013-05-07,0.000000,
2013-05-17,0.000000,
2013-05-27,0.000000,
2013-06-06,0.000000,
2013-06-17,0.000000,
2013-07-07,0.000000,
2013-07-16,-0.002058,
2013-07-22,-0.000028,
2013-07-28,0.000000,
2013-08-07,0.000000,
2013-08-19,0.000000,
2013-08-28,0.000000,
2013-09-09,0.000000,
2013-09-18,0.000000,
2013-09-29,0.000000,
2013-10-09,0.000000,
2013-10-18,0.000000,
2013-10-29,0.000000,
2013-11-10,0.000000,
2013-11-20,0.000000,
2013-12-01,0.000000,
2013-12-11,0.000000,
2013-12-20,0.000000,
2013-12-31,0.000000,
2014-01-09,0.000000,
2014-01-20,0.000000,
2014-01-30,0.000000,
2014-02-09,0.000000,
2014-02-19,0.000000,
2014-03-02,0.000000,
2014-03-11,0.000000,
2014-03-23,0.000000,
2014-04-04,0.000000,
2014-04-15,0.000000,
2014-04-27,0.000000,
2014-05-06,0.000000,
2014-05-16,0.000000,
2014-05-27,0.000000,
2014-06-05,0.000000,
2014-06-16,0.000000,
2014-06-26,0.000000,
2014-07-06,0.000000,
2014-07-16,0.000000,
2014-07-27,0.000000,
2014-08-05,0.000000,
2014-08-18,0.000000,
2014-08-27,0.000000,
2014-09-08,0.000000,
2014-09-18,0.000000,
2014-09-28,0.000000,
2014-10-12,0.000000,
2014-10-22,0.000000,
2014-11-03,0.000000,
2014-11-13,0.000000,
2014-11-24,0.000000,
2014-12-03,0.000000,
2014-12-14,0.000000,
2014-12-23,0.000000,
2015-01-02,0.000000,
2015-01-13,0.000000,
2015-01-22,0.000000,
2015-02-03,0.000000,
2015-02-13,0.000000,
2015-02-23,0.000000,
2015-03-05,0.000000,
2015-03-17,0.000000,
2015-03-26,0.000000,
2015-04-09,0.000000,
2015-04-19,0.000000,
2015-04-29,0.000000,
2015-05-12,0.000000,
2015-05-21,0.000000,
2015-06-01,0.000000,
2015-06-11,0.000000,
2015-06-21,0.000000,
2015-07-01,0.000000,
2015-07-12,0.000000,
2015-07-21,0.000000,
2015-07-31,0.000000,
2015-08-10,0.000000,
2015-08-20,0.000000,
2015-08-31,0.000000,
2015-09-09,0.000000,
2015-09-20,0.000000,
2015-10-01,0.000000,
2015-10-12,0.000000,
2015-10-22,0.000000,
2015-11-02,0.000000,
2015-11-12,0.000000,
2015-11-23,0.000000,
2015-12-02,0.000000,
2015-12-13,0.000000,
2015-12-23,0.000000,
2016-01-04,0.000000,
2016-01-14,0.000000,
2016-01-25,0.000000,
2016-02-03,0.000000,
2016-02-14,0.000000,
2016-02-25,0.000000,
2016-03-07,0.000000,
2016-03-17,0.000000,
2016-03-29,0.000000,
2016-04-11,0.000000,
2016-04-24,0.000000,
2016-05-03,0.000000,
2016-05-13,0.000000,
2016-05-24,0.000000,
2016-06-02,0.000000,
2016-06-13,0.000000,
2016-06-23,0.000000,
2016-07-03,0.000000,
2016-07-13,0.000000,
2016-07-22,0.000000,
2016-08-02,0.000000,
2016-08-12,0.000000,
2016-08-23,0.000000,
2016-09-02,0.000000,
2016-09-14,0.000000,
2016-09-23,0.000000,
2016-10-04,0.000000,
2016-10-16,0.000000,
2016-10-25,0.000000,
2016-11-06,0.000000,
2016-11-16,0.000000,
2016-11-27,0.000000,
2016-12-07,0.000000,
2016-12-18,0.000000,
2016-12-28,0.000000,
2017-01-06,0.000000,
2017-01-16,0.000000,
2017-01-26,0.000000,
2017-02-06,0.000000,
2017-02-15,0.000000,
2017-02-27,0.000000,
2017-03-08,0.000000,
2017-03-20,0.000000,
2017-03-30,0.000000,
2017-04-09,0.000000,
2017-04-20,0.000000,
2017-05-02,0.000000,
2017-05-11,0.000000,
2017-05-22,0.000000,
2017-06-01,0.000000,
2017-06-10,0.000000,
2017-06-19,0.000000,
2017-06-27,0.000000,
2017-07-06,0.000000,
2017-07-15,0.000000,
2017-07-23,0.000000,
2017-08-01,0.000000,
2017-08-10,0.000000,
2017-08-18,0.000000,
2017-08-27,0.000000,
2017-09-05,0.000000,
2017-09-13,0.000000,
2017-09-22,0.000000,
2017-09-30,0.000000,
2017-10-09,0.000000,
2017-10-18,0.000000,
2017-10-26,0.000000,
2017-11-04,0.000000,
2017-11-13,0.000000,
2017-11-21,0.000000,
2017-11-30,0.000000,
2017-12-09,0.000000,
2017-12-17,0.000000,
2017-12-26,0.000000,
2018-01-03,0.000000,
2018-01-12,0.000000,
2018-01-21,0.000000,
2018-01-29,0.000000,
2018-02-07,0.000000,
2018-02-16,0.000000,
2018-02-24,0.000000,
2018-03-05,0.000000,
2018-03-14,0.000000,
2018-03-22,0.000000,
2018-03-31,0.000000,
2018-04-08,0.000000,
2018-04-17,0.000000,
2018-04-26,0.000000,
2018-05-04,0.000000,
2018-05-13,0.000000,
2018-05-22,0.000000,
2018-05-30,0.000000,
2018-06-08,0.000000,
2018-06-17,0.000000,
2018-06-25,0.000000,
2018-07-04,0.000000,
2018-07-12,0.000000,
2018-07-21,0.000000,
2018-07-30,0.000000,
2018-08-07,0.000000,
2018-08-16,0.000000,
2018-08-25,0.000000,
2018-09-02,0.000000,
2018-09-11,0.000000,
2018-09-21,0.000000,
2018-09-30,0.000000,
2018-10-10,0.000000,
2018-10-19,0.000000,
2018-10-30,0.000000,
2018-11-11,0.000000,
2018-11-20,0.000000,
2018-12-02,0.000000,
2018-12-12,0.000000,
2018-12-21,0.000000,
2019-01-01,0.000000,
2019-01-11,0.000000,
2019-01-21,0.000000,
2019-01-31,0.000000,
2019-02-10,0.000000,
2019-02-20,0.000000,
2019-03-04,0.000000,
2019-03-13,0.000000,
2019-03-24,0.000000,
2019-04-02,0.000000,
2019-04-11,0.000000,
2019-04-23,0.000000,
2019-05-05,0.000000,
2019-05-14,0.000000,
