# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:12.793400+00:00
stretch_ending,fund_return,benchmark_return
2021-01-28,0.059306,
2021-02-04,0.058943,
2021-02-11,0.058771,
2021-02-18,0.058440,
2021-02-25,0.057999,
2021-03-04,0.057648,
2021-03-10,0.057533,
2021-03-18,0.057790,
2021-03-25,0.057811,
2021-04-01,0.057543,
2021-04-08,0.057307,
2021-04-15,0.057814,
2021-04-22,0.057931,
2021-04-29,0.057909,
2021-05-06,0.057805,
2021-05-12,0.057368,
2021-05-20,0.057254,
2021-05-27,0.057023,
2021-06-03,0.056843,
2021-06-10,0.056888,
2021-06-17,0.057172,
2021-06-24,0.056924,
2021-07-01,0.056597,
2021-07-08,0.057125,
2021-07-15,0.056283,
2021-07-22,0.056610,
2021-07-29,0.056555,
2021-08-05,0.056613,
2021-08-12,0.056391,
2021-08-18,0.056523,
2021-08-26,0.056330,
2021-09-02,0.055738,
2021-09-09,0.055726,
2021-09-16,0.055532,
2021-09-23,0.055083,
2021-09-30,0.054937,
2021-10-07,0.054383,
2021-10-14,0.054454,
2021-10-21,0.053692,
2021-10-28,0.053857,
2021-11-03,0.053627,
2021-11-11,0.053202,
2021-11-18,0.053411,
2021-11-25,0.053396,
2021-12-02,0.052864,
2021-12-09,0.052390,
2021-12-16,0.052348,
2021-12-23,0.052495,
2021-12-30,0.052556,
2022-01-06,0.052127,
2022-01-13,0.051948,
2022-01-20,0.051803,
2022-01-27,0.051523,
2022-02-03,0.051439,
2022-02-10,0.051013,
2022-02-17,0.051391,
2022-02-24,0.051270,
2022-03-03,0.050958,
2022-03-10,0.050613,
2022-03-17,0.050413,
2022-03-24,0.049963,
2022-03-31,0.049673,
2022-04-07,0.049271,
2022-04-13,0.049151,
2022-04-21,0.048600,
2022-04-28,0.048442,
2022-05-05,0.048221,
2022-05-12,0.047722,
2022-05-19,0.048075,
2022-05-26,0.047131,
2022-06-02,0.046783,
2022-06-09,0.046103,
2022-06-16,0.046304,
2022-06-23,0.045963,
2022-06-30,0.046560,
2022-07-07,0.045070,
2022-07-14,0.045058,
2022-07-21,0.044949,
2022-07-28,0.044072,
2022-08-04,0.044337,
2022-08-11,0.043527,
2022-08-18,0.043528,
2022-08-25,0.043644,
2022-09-01,0.043548,
2022-09-08,0.043725,
2022-09-15,0.043680,
2022-09-22,0.043498,
2022-09-29,0.044015,
2022-10-06,0.043505,
2022-10-13,0.043352,
2022-10-20,0.043672,
2022-10-27,0.043065,
2022-11-03,0.042959,
2022-11-10,0.042741,
2022-11-17,0.043123,
2022-11-24,0.043160,
2022-12-01,0.043124,
2022-12-08,0.042687,
2022-12-15,0.043772,
2022-12-22,0.043667,
2022-12-29,0.044598,
2023-01-05,0.044408,
2023-01-12,0.044279,
2023-01-19,0.044789,
2023-01-25,0.044657,
2023-02-02,0.044182,
2023-02-09,0.044328,
2023-02-16,0.044907,
2023-02-23,0.044882,
2023-03-02,0.044519,
2023-03-09,0.044780,
2023-03-16,0.043715,
2023-03-23,0.045921,
2023-03-29,0.045036,
2023-04-06,0.046763,
2023-04-13,0.046523,
2023-04-20,0.045817,
2023-04-27,0.046246,
2023-05-04,0.045869,
2023-05-11,0.045816,
2023-05-18,0.046377,
2023-05-25,0.046492,
2023-06-01,0.046670,
2023-06-08,0.047073,
2023-06-15,0.047363,
2023-06-22,0.047830,
2023-06-28,0.047943,
2023-07-06,0.048822,
2023-07-13,0.049589,
2023-07-20,0.049558,
2023-07-27,0.049349,
2023-08-03,0.050022,
2023-08-10,0.050857,
2023-08-17,0.050671,
2023-08-24,0.051196,
2023-08-31,0.051100,
2023-09-07,0.051644,
2023-09-14,0.051782,
2023-09-21,0.051554,
2023-09-27,0.051686,
2023-10-05,0.052871,
2023-10-12,0.052773,
2023-10-19,0.053109,
2023-10-26,0.053070,
2023-11-02,0.053117,
2023-11-09,0.053489,
2023-11-16,0.053815,
2023-11-23,0.053916,
2023-11-30,0.053907,
2023-12-07,0.054108,
2023-12-14,0.054091,
2023-12-21,0.054379,
2023-12-28,0.055209,
2024-01-04,0.055621,
2024-01-11,0.056242,
2024-01-18,0.056113,
2024-01-25,0.057084,
2024-02-01,0.057957,
