# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:19.809175+00:00
date,fund_value_inr,benchmark_value_inr
2019-02-22,10000.00,
2019-02-27,10084.91,
2019-03-05,10477.77,
2019-03-12,10800.23,
2019-03-14,10695.36,
2019-03-19,10739.25,
2019-03-25,10509.45,
2019-03-29,10828.43,
2019-04-04,10728.53,
2019-04-10,10738.76,
2019-04-16,10899.64,
2019-04-23,10669.84,
2019-04-30,10641.44,
2019-05-08,10221.66,
2019-05-15,9959.38,
2019-05-20,10360.79,
2019-05-22,10273.00,
2019-05-27,10603.60,
2019-06-03,10765.17,
2019-06-07,10495.55,
2019-06-17,10222.75,
2019-06-19,10178.95,
2019-06-27,10492.57,
2019-07-03,10614.82,
2019-07-08,10273.70,
2019-07-10,10247.08,
2019-07-17,10510.75,
2019-07-24,10035.85,
2019-07-26,10196.83,
2019-07-30,9897.51,
2019-08-05,9808.04,
2019-08-09,10053.03,
2019-08-21,9779.83,
2019-08-22,9644.87,
2019-08-30,10126.12,
2019-09-04,9895.23,
2019-09-13,10150.15,
2019-09-19,9945.78,
2019-09-23,10699.43,
2019-09-27,10651.66,
2019-10-07,10071.50,
2019-10-11,10186.90,
2019-10-18,10750.97,
2019-10-25,10731.91,
2019-10-30,10990.80,
2019-11-01,11019.31,
2019-11-07,11023.68,
2019-11-14,10826.45,
2019-11-22,10787.02,
2019-11-28,11057.34,
2019-12-04,10905.40,
2019-12-10,10560.60,
2019-12-13,10794.47,
2019-12-16,10732.50,
2019-12-20,10919.60,
2019-12-30,10948.50,
2020-01-06,10721.58,
2020-01-09,10946.91,
2020-01-15,11127.65,
2020-01-22,10988.92,
2020-01-24,11204.02,
2020-01-31,10874.61,
2020-02-03,10585.82,
2020-02-07,11166.38,
2020-02-17,10838.07,
2020-02-20,11036.29,
2020-02-28,10205.07,
2020-03-05,10359.00,
2020-03-11,9625.61,
2020-03-12,8789.92,
2020-03-23,7168.81,
2020-03-26,7905.28,
2020-03-30,7832.39,
2020-04-03,7839.14,
2020-04-13,8775.22,
2020-04-20,8976.32,
2020-04-24,8812.47,
2020-04-30,9235.72,
2020-05-07,8729.54,
2020-05-13,8990.23,
2020-05-18,8608.48,
2020-05-27,8853.58,
