# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:19.820192+00:00
date,nav
2019-02-22,10.06960
2019-02-27,10.15510
2019-03-05,10.55070
2019-03-12,10.87540
2019-03-14,10.76980
2019-03-19,10.81400
2019-03-25,10.58260
2019-03-29,10.90380
2019-04-04,10.80320
2019-04-10,10.81350
2019-04-16,10.97550
2019-04-23,10.74410
2019-04-30,10.71550
2019-05-08,10.29280
2019-05-15,10.02870
2019-05-20,10.43290
2019-05-22,10.34450
2019-05-27,10.67740
2019-06-03,10.84010
2019-06-07,10.56860
2019-06-17,10.29390
2019-06-19,10.24980
2019-06-27,10.56560
2019-07-03,10.68870
2019-07-08,10.34520
2019-07-10,10.31840
2019-07-17,10.58390
2019-07-24,10.10570
2019-07-26,10.26780
2019-07-30,9.96640
2019-08-05,9.87630
2019-08-09,10.12300
2019-08-21,9.84790
2019-08-22,9.71200
2019-08-30,10.19660
2019-09-04,9.96410
2019-09-13,10.22080
2019-09-19,10.01500
2019-09-23,10.77390
2019-09-27,10.72580
2019-10-07,10.14160
2019-10-11,10.25780
2019-10-18,10.82580
2019-10-25,10.80660
2019-10-30,11.06730
2019-11-01,11.09600
2019-11-07,11.10040
2019-11-14,10.90180
2019-11-22,10.86210
2019-11-28,11.13430
2019-12-04,10.98130
2019-12-10,10.63410
2019-12-13,10.86960
2019-12-16,10.80720
2019-12-20,10.99560
2019-12-30,11.02470
2020-01-06,10.79620
2020-01-09,11.02310
2020-01-15,11.20510
2020-01-22,11.06540
2020-01-24,11.28200
2020-01-31,10.95030
2020-02-03,10.65950
2020-02-07,11.24410
2020-02-17,10.91350
2020-02-20,11.11310
2020-02-28,10.27610
2020-03-05,10.43110
2020-03-11,9.69260
2020-03-12,8.85110
2020-03-23,7.21870
2020-03-26,7.96030
2020-03-30,7.88690
2020-04-03,7.89370
2020-04-13,8.83630
2020-04-20,9.03880
2020-04-24,8.87380
2020-04-30,9.30000
2020-05-07,8.79030
2020-05-13,9.05280
2020-05-18,8.66840
2020-05-27,8.91520
2020-06-01,9.43540
2020-06-05,9.77330
2020-06-11,9.56100
2020-06-17,9.60370
2020-06-23,10.10410
2020-06-24,9.99750
2020-07-01,9.93350
2020-07-07,10.18660
2020-07-14,10.04430
2020-07-16,10.02750
2020-07-21,10.26490
2020-07-27,10.09640
2020-07-31,10.37110
2020-08-10,10.62970
2020-08-12,10.57380
2020-08-14,10.52810
2020-08-21,10.72580
2020-08-31,10.36220
2020-09-03,10.66550
2020-09-08,10.36580
2020-09-15,10.62800
2020-09-18,10.64430
2020-09-24,9.93850
2020-09-28,10.41230
2020-10-06,10.57510
2020-10-08,10.60020
2020-10-15,10.38160
2020-10-20,10.57810
2020-10-26,10.43400
2020-11-02,10.58450
2020-11-05,10.88980
2020-11-10,11.00970
2020-11-17,11.45010
2020-11-25,11.54690
2020-11-27,11.70730
2020-12-07,12.24130
2020-12-09,12.24020
2020-12-16,12.40130
2020-12-21,11.95040
2020-12-23,12.32840
2020-12-31,12.54290
2021-01-05,13.04570
2021-01-11,13.29140
2021-01-18,12.79240
2021-01-20,13.08360
2021-01-29,12.24900
2021-02-02,12.85680
2021-02-08,13.17910
2021-02-16,13.55310
2021-02-22,13.24770
2021-02-25,13.49990
2021-02-26,13.20340
2021-03-04,13.79940
2021-03-16,13.41790
2021-03-18,12.99830
2021-03-23,13.43680
2021-03-26,13.10090
2021-04-08,13.61980
2021-04-12,13.00000
2021-04-16,13.35590
2021-04-22,13.20540
2021-04-30,13.40340
2021-05-04,13.46570
2021-05-10,13.95310
2021-05-14,13.80050
2021-05-24,14.40780
2021-05-28,14.41620
2021-06-03,14.93230
2021-06-09,14.93040
2021-06-15,15.12760
2021-06-18,14.77090
2021-06-22,14.97280
2021-06-30,14.84730
2021-07-02,14.86060
2021-07-07,15.02080
2021-07-14,14.99900
2021-07-20,14.92330
2021-07-23,15.16830
2021-07-29,15.13130
2021-08-03,15.46280
2021-08-11,15.18480
2021-08-18,15.43270
2021-08-23,15.14310
2021-08-26,15.40580
2021-09-02,16.33460
2021-09-07,16.35010
2021-09-15,16.67720
2021-09-20,16.34810
2021-09-23,16.76520
2021-09-29,16.36640
2021-10-05,16.72020
2021-10-08,16.69620
2021-10-18,17.24780
2021-10-25,16.21760
2021-10-27,16.49400
2021-10-29,16.23990
2021-11-08,16.85070
2021-11-15,17.13000
2021-11-22,16.52890
2021-11-25,16.83120
2021-11-30,16.13430
2021-12-06,16.04050
2021-12-10,16.59190
2021-12-20,15.54040
2021-12-23,16.21920
2021-12-30,16.08450
2022-01-03,16.45900
2022-01-06,16.49730
2022-01-14,16.84470
2022-01-20,16.59200
2022-01-24,15.71030
2022-01-27,15.58700
2022-02-02,16.34110
2022-02-10,16.31270
2022-02-14,15.53960
2022-02-17,15.92630
2022-02-24,14.77320
2022-03-02,15.50590
2022-03-08,14.93600
2022-03-11,15.55120
2022-03-17,15.92780
2022-03-28,15.77190
2022-03-31,15.96460
2022-04-05,16.60770
2022-04-11,17.04300
2022-04-19,16.50770
2022-04-26,16.73060
2022-05-02,16.46170
2022-05-04,15.98940
2022-05-12,14.64460
2022-05-17,15.17430
2022-05-19,14.76870
2022-05-25,14.48370
2022-05-31,15.14830
2022-06-07,14.70010
2022-06-09,14.77230
2022-06-20,13.77330
2022-06-21,14.15220
2022-06-27,14.34890
2022-06-30,14.20520
2022-07-11,15.16920
2022-07-14,15.10710
2022-07-18,15.36910
2022-07-26,15.43060
2022-08-01,16.17310
2022-08-03,16.18100
2022-08-10,16.26890
2022-08-18,16.99390
2022-08-22,16.51050
2022-08-30,17.04430
2022-09-05,16.99430
2022-09-09,17.19920
2022-09-15,17.70640
2022-09-16,17.19150
2022-09-22,17.23900
2022-09-28,16.41100
2022-10-06,16.64670
2022-10-11,16.17820
2022-10-14,16.08970
2022-10-20,16.49930
2022-10-28,16.44190
2022-11-02,16.74940
2022-11-10,16.67680
2022-11-15,16.95490
2022-11-21,16.52100
2022-11-28,16.73790
2022-12-01,17.09900
2022-12-08,17.18000
2022-12-14,17.12830
2022-12-19,16.92380
2022-12-23,15.88660
2022-12-27,16.42640
2023-01-03,16.53980
2023-01-06,16.30850
2023-01-13,16.42930
2023-01-18,16.43380
2023-01-24,16.29920
2023-01-27,15.29860
2023-02-02,14.99950
2023-02-08,15.19150
2023-02-13,14.89080
2023-02-17,14.99410
2023-02-27,14.49840
2023-03-01,14.70580
2023-03-08,15.00690
2023-03-14,14.58690
2023-03-17,14.74740
2023-03-22,14.82170
2023-03-28,14.43910
2023-04-05,14.86930
2023-04-12,15.05100
2023-04-21,14.99820
2023-04-27,15.21990
2023-05-02,15.52560
2023-05-09,15.73910
2023-05-15,16.00080
2023-05-18,15.77480
2023-05-24,16.00080
2023-05-29,16.36790
2023-06-01,16.45830
2023-06-07,16.79330
2023-06-12,16.75050
2023-06-16,17.12990
2023-06-23,16.73940
2023-06-30,17.09960
2023-07-06,17.34180
2023-07-10,17.11110
2023-07-17,17.35220
2023-07-24,17.27820
2023-07-25,17.36870
2023-07-31,17.71880
2023-08-03,17.37880
2023-08-09,17.58820
2023-08-18,17.10190
2023-08-22,17.35340
2023-08-25,17.26320
2023-08-31,17.39140
2023-09-08,18.05430
2023-09-11,18.23980
2023-09-21,17.70810
2023-09-27,17.70390
2023-10-04,17.44150
2023-10-09,17.38110
2023-10-12,17.74640
2023-10-17,17.84190
2023-10-26,16.82890
2023-10-27,17.16060
2023-11-07,17.85970
2023-11-10,17.91520
2023-11-17,18.35410
2023-11-22,18.23780
2023-11-24,18.26380
2023-12-06,19.79240
2023-12-08,19.82750
2023-12-14,20.34210
2023-12-20,19.91810
2023-12-26,20.53970
2023-12-29,20.89350
2024-01-04,21.28980
2024-01-09,21.13280
2024-01-15,21.51370
2024-01-23,20.87100
2024-01-29,21.54100
2024-02-05,21.79960
2024-02-07,22.47570
2024-02-13,22.28970
2024-02-16,22.95120
2024-02-23,23.18130
2024-02-28,22.88050
2024-03-07,23.64300
2024-03-13,22.39930
2024-03-20,22.56750
2024-03-21,23.09080
2024-03-31,23.74600
2024-04-02,24.38280
2024-04-10,24.80060
2024-04-15,24.28490
2024-04-23,24.59330
2024-04-30,25.41520
2024-05-02,25.84810
2024-05-09,24.83230
2024-05-15,25.70910
2024-05-21,26.72220
2024-05-27,27.07540
2024-06-04,25.08670
2024-06-06,26.72430
2024-06-10,27.31890
2024-06-18,28.33710
2024-06-21,27.86120
2024-06-27,27.94920
2024-07-02,28.13950
2024-07-09,28.94360
2024-07-15,29.14120
2024-07-19,27.96860
2024-07-29,29.12660
2024-07-31,29.32650
2024-08-06,27.57560
2024-08-09,28.53190
2024-08-14,28.11820
2024-08-22,29.30570
2024-08-29,29.40040
2024-09-04,29.62320
2024-09-06,29.23540
2024-09-12,29.61840
2024-09-19,29.21550
2024-09-23,30.11060
2024-09-27,30.52900
2024-10-01,30.32130
2024-10-07,28.60090
2024-10-09,29.58450
2024-10-16,29.69630
2024-10-22,27.91730
2024-10-25,27.35370
2024-11-04,27.23890
2024-11-06,28.00840
2024-11-13,26.33680
2024-11-21,26.20210
2024-11-25,27.21920
2024-12-03,28.21310
2024-12-06,28.66260
2024-12-13,28.63190
2024-12-16,28.70570
2024-12-20,26.96200
2024-12-26,27.16370
2025-01-03,27.12600
2025-01-07,26.24380
2025-01-13,24.10770
2025-01-17,25.50450
2025-01-27,23.80890
2025-01-31,24.75130
2025-02-05,25.10040
2025-02-11,23.85590
2025-02-17,23.32640
2025-02-20,23.95710
2025-02-27,23.06810
2025-02-28,22.40610
2025-03-06,23.60170
2025-03-13,23.15490
2025-03-19,24.32730
2025-03-24,24.98970
2025-04-02,24.77220
2025-04-07,23.38570
2025-04-15,24.88270
2025-04-21,25.68020
2025-04-25,25.25210
2025-05-05,25.68290
2025-05-08,24.64600
2025-05-12,25.55600
2025-05-19,26.47170
2025-05-22,26.20130
2025-05-27,26.39390
2025-06-03,26.19020
2025-06-09,27.04430
2025-06-11,27.01580
2025-06-19,25.87150
2025-06-20,26.22360
2025-06-30,27.12570
2025-07-03,26.87330
2025-07-08,27.01490
2025-07-11,26.71870
2025-07-17,27.01050
2025-07-28,26.27080
2025-07-30,26.53700
2025-08-01,26.06970
2025-08-08,25.82000
2025-08-19,26.77530
2025-08-21,26.80410
2025-08-29,25.94230
2025-09-03,26.61710
2025-09-05,26.46990
2025-09-12,26.90240
2025-09-19,27.50930
2025-09-22,27.60100
2025-09-26,26.49110
2025-10-06,27.05530
2025-10-14,26.90400
2025-10-16,27.39450
2025-10-28,27.33130
2025-10-29,27.71790
2025-11-06,27.35020
2025-11-12,27.55210
2025-11-17,27.68810
2025-11-24,26.83860
2025-11-26,27.31470
2025-12-02,27.30060
2025-12-08,26.57060
2025-12-12,27.04540
2025-12-18,26.77660
2025-12-23,27.27480
2025-12-30,27.10470
2026-01-06,27.86520
2026-01-09,27.03290
2026-01-19,27.11040
2026-01-23,26.15230
2026-01-28,26.91970
2026-02-02,26.47620
2026-02-09,27.52700
2026-02-13,27.17170
2026-02-18,27.77590
2026-02-25,27.80840
2026-03-04,26.38910
2026-03-05,26.75220
2026-03-13,25.56610
2026-03-18,25.95180
2026-03-23,24.28390
2026-03-31,23.87310
2026-04-07,24.97500
2026-04-08,26.15650
2026-04-17,27.78760
2026-04-22,28.21040
2026-04-28,27.90240
2026-05-06,28.35230
2026-05-12,27.12840
