# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:12.884631+00:00
date,fund_below_high,benchmark_below_high
2023-12-11,0.000000,
2023-12-12,-0.001492,
2023-12-13,-0.001890,
2023-12-15,0.000000,
2023-12-18,-0.002169,
2023-12-19,-0.002367,
2023-12-20,-0.010058,
2023-12-22,-0.009171,
2023-12-26,-0.010946,
2023-12-28,-0.004339,
2023-12-29,-0.003057,
2024-01-02,-0.003649,
2024-01-03,-0.003451,
2024-01-04,0.000000,
2024-01-05,0.000000,
2024-01-09,-0.008878,
2024-01-10,-0.010439,
2024-01-12,-0.000098,
2024-01-15,0.000000,
2024-01-16,-0.001165,
2024-01-18,-0.031356,
2024-01-19,-0.023299,
2024-01-23,-0.034948,
2024-01-25,-0.028153,
2024-01-30,-0.023396,
2024-01-31,-0.013397,
2024-02-01,-0.015921,
2024-02-02,-0.013397,
2024-02-06,-0.022910,
2024-02-07,-0.020872,
2024-02-09,-0.036598,
2024-02-12,-0.052325,
2024-02-14,-0.035919,
2024-02-15,-0.030677,
2024-02-16,-0.026211,
2024-02-20,-0.016115,
2024-02-21,-0.023396,
2024-02-23,-0.017183,
2024-02-26,-0.017183,
2024-02-27,-0.022134,
2024-02-28,-0.038346,
2024-03-01,-0.013203,
2024-03-04,-0.011164,
2024-03-06,-0.032327,
2024-03-07,-0.026988,
2024-03-12,-0.032812,
2024-03-13,-0.052325,
2024-03-14,-0.046694,
2024-03-15,-0.048830,
2024-03-19,-0.056596,
2024-03-20,-0.059218,
2024-03-21,-0.047762,
2024-03-26,-0.044073,
2024-03-28,-0.031356,
2024-03-31,-0.031453,
2024-04-01,-0.015824,
2024-04-02,-0.015241,
2024-04-04,0.000000,
2024-04-08,-0.002882,
2024-04-09,0.000000,
2024-04-10,-0.000096,
2024-04-15,-0.028026,
2024-04-16,-0.031385,
2024-04-18,-0.038871,
2024-04-22,-0.020731,
2024-04-23,-0.020443,
2024-04-25,-0.005279,
2024-04-26,-0.010750,
2024-04-29,0.000000,
2024-04-30,0.000000,
2024-05-03,0.000000,
2024-05-06,-0.012131,
2024-05-08,-0.027622,
2024-05-09,-0.048526,
2024-05-10,-0.043393,
2024-05-14,-0.039567,
2024-05-15,-0.041807,
2024-05-16,-0.030888,
2024-05-21,-0.026129,
2024-05-22,-0.030795,
2024-05-23,-0.014091,
2024-05-27,-0.001027,
2024-05-28,-0.003080,
2024-05-30,-0.023610,
2024-05-31,-0.016051,
2024-06-04,-0.080569,
2024-06-05,-0.050219,
2024-06-07,-0.023606,
2024-06-10,-0.024244,
2024-06-11,-0.022147,
2024-06-12,-0.014400,
2024-06-14,-0.001276,
2024-06-18,0.000000,
2024-06-20,0.000000,
2024-06-21,-0.001437,
2024-06-24,0.000000,
2024-06-26,0.000000,
2024-06-27,-0.000793,
2024-06-28,-0.007050,
2024-07-02,-0.004825,
2024-07-03,0.000000,
2024-07-04,-0.002259,
2024-07-08,-0.012339,
2024-07-09,-0.008516,
2024-07-11,-0.010949,
2024-07-12,-0.010514,
2024-07-16,-0.005648,
2024-07-18,0.000000,
2024-07-19,-0.012498,
2024-07-22,-0.009460,
2024-07-24,-0.026905,
2024-07-25,-0.032894,
2024-07-29,-0.012411,
2024-07-30,-0.009894,
2024-08-01,-0.007464,
2024-08-02,-0.014320,
2024-08-05,-0.045999,
2024-08-07,-0.042788,
2024-08-08,-0.044957,
2024-08-09,-0.030724,
2024-08-13,-0.050078,
2024-08-14,-0.052335,
2024-08-16,-0.034803,
2024-08-20,-0.021871,
2024-08-21,-0.017445,
2024-08-23,-0.018226,
2024-08-26,-0.010762,
2024-08-27,0.000000,
2024-08-29,0.000000,
2024-08-30,0.000000,
2024-09-03,0.000000,
2024-09-04,-0.002971,
2024-09-06,-0.014343,
2024-09-09,-0.011033,
2024-09-10,-0.014258,
2024-09-11,-0.017228,
2024-09-13,0.000000,
2024-09-16,0.000000,
2024-09-18,0.000000,
2024-09-19,-0.010818,
2024-09-20,0.000000,
2024-09-24,-0.004383,
2024-09-25,-0.005713,
2024-09-26,-0.000235,
2024-09-30,-0.018001,
2024-10-01,-0.013070,
2024-10-04,-0.044142,
2024-10-07,-0.068482,
2024-10-08,-0.051029,
2024-10-10,-0.044298,
2024-10-11,-0.044768,
2024-10-14,-0.041011,
2024-10-16,-0.042263,
2024-10-17,-0.054082,
2024-10-21,-0.054160,
2024-10-22,-0.070283,
2024-10-24,-0.064413,
2024-10-25,-0.075526,
2024-10-28,-0.069265,
2024-10-29,-0.052125,
2024-10-31,-0.059638,
2024-11-04,-0.066917,
2024-11-06,-0.045081,
2024-11-07,-0.052751,
2024-11-11,-0.060265,
2024-11-12,-0.071222,
2024-11-13,-0.088518,
2024-11-18,-0.085388,
2024-11-19,-0.081475,
2024-11-21,-0.090710,
2024-11-25,-0.061282,
2024-11-26,-0.058464,
2024-11-27,-0.054473,
2024-11-29,-0.057290,
2024-12-02,-0.055099,
2024-12-04,-0.029663,
2024-12-05,-0.021132,
2024-12-09,-0.024419,
2024-12-10,-0.015497,
2024-12-11,-0.015418,
2024-12-12,-0.021758,
2024-12-16,-0.023401,
2024-12-17,-0.037411,
2024-12-19,-0.057682,
2024-12-20,-0.070361,
2024-12-23,-0.066213,
2024-12-26,-0.064021,
2024-12-27,-0.064256,
2024-12-31,-0.070909,
2025-01-01,-0.065352,
2025-01-02,-0.046412,
2025-01-06,-0.068482,
2025-01-07,-0.066448,
2025-01-08,-0.073100,
2025-01-10,-0.091414,
2025-01-13,-0.109415,
2025-01-15,-0.094232,
2025-01-16,-0.081866,
2025-01-20,-0.079674,
2025-01-21,-0.094310,
2025-01-22,-0.093762,
2025-01-23,-0.093997,
2025-01-27,-0.114190,
2025-01-29,-0.084918,
2025-01-30,-0.084527,
2025-01-31,-0.080927,
2025-02-03,-0.077796,
2025-02-05,-0.058777,
2025-02-06,-0.062299,
2025-02-10,-0.075213,
2025-02-11,-0.092745,
2025-02-13,-0.080692,
2025-02-14,-0.089614,
2025-02-17,-0.086797,
2025-02-18,-0.090319,
2025-02-20,-0.077326,
2025-02-21,-0.081161,
2025-02-24,-0.087344,
2025-02-27,-0.081709,
2025-02-28,-0.095014,
2025-03-04,-0.093136,
2025-03-05,-0.087188,
2025-03-06,-0.080379,
2025-03-10,-0.086953,
2025-03-11,-0.083196,
2025-03-13,-0.087344,
2025-03-17,-0.077874,
2025-03-19,-0.053064,
2025-03-20,-0.050403,
2025-03-21,-0.037176,
2025-03-24,-0.023401,
2025-03-26,-0.033889,
2025-03-27,-0.022619,
2025-03-31,-0.023480,
2025-04-01,-0.037646,
2025-04-03,-0.032245,
2025-04-04,-0.037254,
2025-04-07,-0.061908,
2025-04-08,-0.046177,
2025-04-11,-0.040542,
2025-04-15,-0.018079,
2025-04-17,0.000000,
2025-04-21,0.000000,
2025-04-22,-0.001912,
2025-04-24,-0.001299,
2025-04-25,-0.014437,
2025-04-28,-0.007715,
2025-04-30,-0.020472,
2025-05-05,-0.008097,
2025-05-06,-0.020854,
2025-05-07,-0.012375,
2025-05-09,-0.031319,
2025-05-12,0.000000,
2025-05-13,-0.002591,
2025-05-15,0.000000,
2025-05-16,0.000000,
2025-05-20,-0.009508,
2025-05-21,-0.002471,
2025-05-22,-0.008011,
2025-05-23,0.000000,
2025-05-27,-0.003124,
2025-05-28,0.000000,
2025-05-30,0.000000,
2025-06-02,0.000000,
2025-06-04,-0.011058,
2025-06-05,-0.007719,
2025-06-06,0.000000,
2025-06-09,0.000000,
2025-06-11,-0.007531,
2025-06-13,-0.021508,
2025-06-16,-0.014556,
2025-06-17,-0.017742,
2025-06-19,-0.028170,
2025-06-20,-0.017163,
2025-06-23,-0.014194,
2025-06-25,-0.004852,
2025-06-26,0.000000,
2025-06-27,0.000000,
2025-07-01,-0.003807,
2025-07-02,-0.012427,
2025-07-03,-0.016306,
2025-07-07,-0.015444,
2025-07-09,-0.011781,
2025-07-10,-0.012499,
2025-07-11,-0.017384,
2025-07-14,-0.016594,
2025-07-16,-0.007902,
2025-07-17,-0.012643,
2025-07-18,-0.017671,
2025-07-22,-0.008764,
2025-07-23,-0.005028,
2025-07-25,-0.025860,
2025-07-28,-0.034121,
2025-07-30,-0.031822,
2025-07-31,-0.036563,
2025-08-01,-0.049781,
2025-08-04,-0.041592,
2025-08-06,-0.046620,
2025-08-08,-0.050787,
2025-08-11,-0.043675,
2025-08-12,-0.049565,
2025-08-14,-0.046189,
2025-08-18,-0.028949,
2025-08-19,-0.026219,
2025-08-21,-0.028518,
2025-08-22,-0.032756,
2025-08-25,-0.035486,
2025-08-28,-0.060771,
2025-08-29,-0.065441,
2025-09-01,-0.052582,
2025-09-03,-0.050068,
2025-09-05,-0.043819,
2025-09-08,-0.042526,
2025-09-09,-0.040514,
2025-09-11,-0.035055,
2025-09-12,-0.026004,
2025-09-15,-0.023921,
2025-09-16,-0.019108,
2025-09-18,-0.012643,
2025-09-19,-0.014008,
2025-09-23,-0.008764,
2025-09-24,-0.012355,
2025-09-26,-0.029452,
2025-09-30,-0.025573,
2025-10-01,-0.016809,
2025-10-06,-0.006681,
2025-10-07,-0.007830,
2025-10-08,-0.013792,
2025-10-10,-0.006250,
2025-10-13,-0.001868,
2025-10-14,-0.002945,
2025-10-16,0.000000,
2025-10-17,0.000000,
2025-10-23,0.000000,
2025-10-24,-0.001750,
2025-10-27,0.000000,
2025-10-29,-0.005217,
2025-10-30,-0.007999,
2025-10-31,-0.013703,
2025-11-04,-0.007930,
2025-11-06,-0.015999,
2025-11-10,-0.003061,
2025-11-11,-0.009878,
2025-11-12,-0.008765,
2025-11-14,-0.005147,
2025-11-17,0.000000,
2025-11-18,-0.003886,
2025-11-20,0.000000,
2025-11-21,-0.011113,
2025-11-25,-0.010354,
2025-11-26,0.000000,
2025-11-28,-0.002333,
2025-12-01,-0.001853,
2025-12-02,-0.007548,
2025-12-04,-0.012969,
2025-12-05,-0.003843,
2025-12-08,-0.013655,
2025-12-10,-0.015920,
2025-12-11,-0.014410,
2025-12-12,-0.005695,
2025-12-16,-0.016126,
2025-12-17,-0.020037,
2025-12-19,-0.009332,
2025-12-22,-0.003088,
2025-12-23,-0.000343,
2025-12-26,-0.001510,
2025-12-29,-0.005695,
2025-12-31,0.000000,
2026-01-01,0.000000,
2026-01-02,0.000000,
2026-01-06,0.000000,
2026-01-07,-0.000200,
2026-01-09,-0.019507,
2026-01-12,-0.018639,
2026-01-13,-0.017236,
2026-01-16,-0.008885,
2026-01-19,-0.010088,
2026-01-21,-0.037811,
2026-01-22,-0.025987,
2026-01-23,-0.038880,
2026-01-28,-0.020843,
2026-01-29,-0.016167,
2026-01-30,-0.020108,
2026-02-02,-0.044492,
2026-02-04,-0.008484,
2026-02-06,-0.012893,
2026-02-09,0.000000,
2026-02-10,0.000000,
2026-02-12,0.000000,
2026-02-13,-0.009945,
2026-02-17,-0.001260,
2026-02-18,0.000000,
2026-02-19,-0.013842,
2026-02-23,-0.001055,
2026-02-24,-0.005339,
2026-02-25,0.000000,
2026-02-26,0.000000,
2026-03-02,-0.030941,
2026-03-04,-0.054707,
2026-03-06,-0.060961,
2026-03-09,-0.078802,
2026-03-10,-0.057077,
2026-03-12,-0.086109,
2026-03-13,-0.107834,
2026-03-17,-0.087887,
2026-03-18,-0.074062,
2026-03-19,-0.105530,
2026-03-23,-0.138446,
2026-03-24,-0.118697,
2026-03-25,-0.098157,
2026-03-30,-0.146807,
2026-03-31,-0.146873,
2026-04-02,-0.128703,
2026-04-06,-0.106452,
2026-04-08,-0.058986,
2026-04-09,-0.065240,
2026-04-10,-0.047729,
2026-04-13,-0.054905,
2026-04-16,-0.038183,
2026-04-20,-0.026596,
2026-04-21,-0.015997,
2026-04-22,-0.019026,
2026-04-24,-0.036932,
2026-04-27,-0.034891,
2026-04-28,-0.042923,
2026-04-30,-0.044898,
2026-05-04,-0.036669,
2026-05-05,-0.034101,
2026-05-07,-0.010928,
2026-05-08,-0.022581,
2026-05-12,-0.058328,
2026-05-13,-0.058130,
2026-05-14,-0.047663,
2026-05-18,-0.053061,
2026-05-19,-0.047860,
2026-05-21,-0.050691,
2026-05-22,-0.044108,
2026-05-25,-0.026465,
2026-05-27,-0.035879,
2026-05-29,-0.049770,
2026-06-01,-0.064253,
2026-06-03,-0.070244,
2026-06-04,-0.067874,
2026-06-08,-0.074786,
2026-06-09,-0.060105,
2026-06-10,-0.062146,
2026-06-11,-0.064121,
2026-06-15,-0.017248,
2026-06-17,-0.013496,
2026-06-18,-0.008097,
2026-06-19,-0.007373,
2026-06-23,-0.008953,
2026-06-24,0.000000,
2026-06-25,-0.002884,
2026-06-30,-0.000393,
2026-07-01,0.000000,
2026-07-03,-0.005355,
2026-07-06,-0.002194,
2026-07-07,-0.000194,
2026-07-08,-0.027873,
2026-07-10,-0.000065,
2026-07-13,0.000000,
2026-07-14,-0.013165,
2026-07-16,-0.011495,
2026-07-17,-0.004367,
2026-07-21,-0.004752,
2026-07-22,-0.017724,
2026-07-24,-0.024724,
2026-07-27,-0.016119,
2026-07-28,-0.018174,
2026-07-30,-0.017788,
2026-07-31,-0.007770,
2026-08-03,0.000000,
2026-08-05,-0.003749,
2026-08-06,0.000000,
2026-08-07,-0.011658,
2026-08-11,-0.005069,
2026-08-12,0.000000,
2026-08-14,-0.008109,
2026-08-17,-0.006145,
2026-08-19,-0.008680,
2026-08-20,-0.000380,
2026-08-21,0.000000,
2026-08-24,-0.005503,
2026-08-26,0.000000,
2026-08-28,-0.006646,
2026-08-31,0.000000,
2026-09-01,-0.015409,
2026-09-02,-0.021798,
2026-09-04,-0.010586,
2026-09-07,-0.015096,
2026-09-09,-0.031381,
2026-09-10,-0.027748,
2026-09-15,-0.054432,
2026-09-16,-0.043094,
2026-09-17,-0.039148,
2026-09-18,-0.031820,
2026-09-22,-0.038835,
2026-09-23,-0.030943,
2026-09-25,-0.067523,
