# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:34:13.232056+00:00
date,nav
2024-12-18,10.00000
2024-12-19,9.99200
2024-12-20,9.94700
2024-12-23,9.97100
2024-12-24,9.98700
2024-12-26,10.02600
2024-12-27,10.02000
2024-12-30,9.97200
2024-12-31,10.01100
2025-01-01,10.05700
2025-01-02,10.10200
2025-01-03,10.06600
2025-01-06,9.90900
2025-01-07,9.97500
2025-01-08,9.88300
2025-01-09,9.84400
2025-01-10,9.69800
2025-01-13,9.41500
2025-01-14,9.47600
2025-01-15,9.51800
2025-01-16,9.57800
2025-01-17,9.55700
2025-01-20,9.63300
2025-01-21,9.45800
2025-01-22,9.39600
2025-01-23,9.50500
2025-01-24,9.35000
2025-01-27,9.17600
2025-01-28,9.16300
2025-01-29,9.30700
2025-01-30,9.30000
2025-01-31,9.38100
2025-02-03,9.35300
2025-02-04,9.42200
2025-02-05,9.47900
2025-02-06,9.44300
2025-02-07,9.44200
2025-02-10,9.34400
2025-02-11,9.12700
2025-02-12,9.09000
2025-02-13,9.09300
2025-02-14,8.93500
2025-02-17,8.92200
2025-02-18,8.89900
2025-02-19,8.97400
2025-02-20,9.06700
2025-02-21,8.99300
2025-02-24,8.94700
2025-02-25,8.93500
2025-02-27,8.78400
2025-02-28,8.61000
2025-03-03,8.62800
2025-03-04,8.67500
2025-03-05,8.84100
2025-03-06,8.92800
2025-03-07,8.91300
2025-03-10,8.85100
2025-03-11,8.84900
2025-03-12,8.86000
2025-03-13,8.82300
2025-03-17,8.88800
2025-03-18,9.02000
2025-03-19,9.13900
2025-03-20,9.20900
2025-03-21,9.31900
2025-03-24,9.40500
2025-03-25,9.35000
2025-03-26,9.30100
2025-03-27,9.34400
2025-03-28,9.36700
2025-03-31,9.36700
2025-04-01,9.26200
2025-04-02,9.32100
2025-04-03,9.34400
2025-04-04,9.18200
2025-04-07,8.94200
2025-04-08,9.08100
2025-04-09,9.02200
2025-04-11,9.18100
2025-04-15,9.37000
2025-04-16,9.43000
2025-04-17,9.54800
2025-04-21,9.71100
2025-04-22,9.71600
2025-04-23,9.74200
2025-04-24,9.72200
2025-04-25,9.54800
2025-04-28,9.64200
2025-04-29,9.60800
2025-04-30,9.57200
2025-05-02,9.55000
2025-05-05,9.61100
2025-05-06,9.51500
2025-05-07,9.59600
2025-05-08,9.51400
2025-05-09,9.41200
2025-05-12,9.69800
2025-05-13,9.62200
2025-05-14,9.68200
2025-05-15,9.77400
2025-05-16,9.81900
2025-05-19,9.84300
2025-05-20,9.75700
2025-05-21,9.80800
2025-05-22,9.74400
2025-05-23,9.82400
2025-05-26,9.84600
2025-05-27,9.81800
2025-05-28,9.82100
2025-05-29,9.84300
2025-05-30,9.83900
2025-06-02,9.85300
2025-06-03,9.79800
2025-06-04,9.81600
2025-06-05,9.87900
2025-06-06,9.97700
2025-06-09,10.10100
2025-06-10,10.10000
2025-06-11,10.08200
2025-06-12,9.96100
2025-06-13,9.91600
2025-06-16,10.00300
2025-06-17,9.99200
2025-06-18,9.98200
2025-06-19,9.90900
2025-06-20,10.01500
2025-06-23,10.02100
2025-06-24,10.05300
2025-06-25,10.15300
2025-06-26,10.20400
2025-06-27,10.25100
2025-06-30,10.25200
2025-07-01,10.28100
2025-07-02,10.25300
2025-07-03,10.26500
2025-07-04,10.27200
2025-07-07,10.26100
2025-07-08,10.28400
2025-07-09,10.29300
2025-07-10,10.25900
2025-07-11,10.16200
2025-07-14,10.20200
2025-07-15,10.28500
2025-07-16,10.30200
2025-07-17,10.28400
2025-07-18,10.21900
2025-07-21,10.24700
2025-07-22,10.22000
2025-07-23,10.25300
2025-07-24,10.18800
2025-07-25,10.07500
2025-07-28,9.99800
2025-07-29,10.04800
2025-07-30,10.06400
2025-07-31,10.02900
2025-08-01,9.92100
2025-08-04,10.00000
2025-08-05,9.97000
2025-08-06,9.89700
2025-08-07,9.91300
2025-08-08,9.81600
2025-08-11,9.85400
2025-08-12,9.86300
2025-08-13,9.95900
2025-08-14,9.96100
2025-08-18,10.08200
2025-08-19,10.11100
2025-08-20,10.17300
2025-08-21,10.14300
2025-08-22,10.11700
2025-08-25,10.13800
2025-08-26,10.00000
2025-08-28,9.91500
2025-08-29,9.86600
2025-09-01,10.01600
2025-09-02,10.02900
2025-09-03,10.05900
2025-09-04,10.04700
2025-09-05,10.03400
2025-09-08,10.04600
2025-09-09,10.09700
2025-09-10,10.13300
2025-09-11,10.15200
2025-09-12,10.18500
2025-09-15,10.18700
2025-09-16,10.26300
2025-09-17,10.31800
2025-09-18,10.35500
2025-09-19,10.35100
2025-09-22,10.27800
2025-09-23,10.31600
2025-09-24,10.27000
2025-09-25,10.19800
2025-09-26,10.03300
2025-09-30,10.02700
2025-10-01,10.09200
2025-10-03,10.16000
2025-10-06,10.20800
2025-10-07,10.21900
2025-10-08,10.17100
2025-10-09,10.22500
2025-10-10,10.28100
2025-10-13,10.27700
2025-10-14,10.27000
2025-10-15,10.33000
2025-10-16,10.37100
2025-10-17,10.37900
2025-10-20,10.41500
2025-10-23,10.46300
2025-10-24,10.40800
2025-10-27,10.48800
2025-10-28,10.45100
2025-10-29,10.46100
2025-10-30,10.41600
2025-10-31,10.37700
2025-11-03,10.45500
2025-11-04,10.42500
2025-11-06,10.36600
2025-11-07,10.33500
2025-11-10,10.36300
2025-11-11,10.38200
2025-11-12,10.44600
2025-11-13,10.43500
2025-11-14,10.44300
2025-11-17,10.49700
