# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:23.550056+00:00
date,nav
2013-01-22,12.72000
2013-01-24,12.63000
2013-01-31,12.68000
2013-02-11,12.60000
2013-02-27,12.75000
2013-03-04,12.61000
2013-03-11,12.78000
2013-03-20,12.55000
2013-04-10,12.51000
2013-04-17,12.64000
2013-04-26,12.73000
2013-05-08,13.23000
2013-05-16,13.33000
2013-05-30,13.34000
2013-05-31,13.22000
2013-06-13,12.82000
2013-06-20,12.74000
2013-07-01,13.10000
2013-07-15,13.33000
2013-07-23,13.37000
2013-07-31,12.98000
2013-08-14,13.09000
2013-08-20,12.75000
2013-09-03,12.69000
2013-09-10,13.16000
2013-09-19,13.46000
2013-09-30,13.04000
2013-10-11,13.42000
2013-10-28,13.40000
2013-10-31,13.67000
2013-11-18,13.54000
2013-11-22,13.28000
2013-12-02,13.49000
2013-12-13,13.39000
2013-12-23,13.72000
2014-01-01,13.79000
2014-01-07,13.63000
2014-01-22,13.68000
2014-01-27,13.32000
2014-02-04,13.25000
2014-02-20,13.37000
2014-02-28,13.63000
2014-03-06,13.59000
2014-03-20,13.73000
2014-04-02,14.01000
2014-04-07,13.89000
2014-04-22,14.04000
2014-05-08,13.95000
2014-05-19,14.98000
2014-05-23,15.24000
2014-05-30,15.05000
2014-06-09,15.71000
2014-06-23,15.50000
2014-07-04,16.12000
2014-07-14,15.70000
2014-07-22,16.18000
2014-07-30,16.29000
2014-08-08,15.94000
2014-08-18,16.29000
2014-08-25,16.39000
2014-09-08,17.04000
2014-09-22,17.09000
2014-09-25,16.82000
2014-10-16,16.63000
2014-10-28,16.86000
2014-10-31,17.31000
2014-11-17,17.78000
2014-11-24,17.92000
2014-12-04,18.03000
2014-12-17,17.42000
2014-12-22,17.78000
2015-01-06,17.57000
2015-01-14,17.93000
2015-01-28,18.81000
2015-02-06,18.53000
2015-02-09,18.35000
2015-02-18,18.89000
2015-02-27,18.68000
2015-03-12,19.00000
2015-03-26,18.70000
2015-04-09,19.34000
2015-04-13,19.39000
2015-04-27,18.61000
2015-05-04,18.90000
2015-05-12,18.68000
2015-05-29,19.31000
2015-06-03,18.91000
2015-06-16,18.70000
2015-06-22,19.18000
2015-07-06,19.50000
2015-07-10,19.24000
2015-07-17,19.67000
2015-07-27,19.32000
2015-08-06,19.62000
2015-08-24,18.56000
2015-08-31,18.77000
2015-09-08,18.37000
2015-09-21,18.71000
2015-10-05,18.96000
2015-10-13,18.75000
2015-10-23,18.95000
2015-10-29,18.74000
2015-11-16,18.47000
2015-11-20,18.54000
2015-12-01,18.53000
2015-12-11,18.25000
2015-12-17,18.49000
2016-01-01,18.70000
2016-01-07,18.34000
2016-01-18,17.95000
2016-01-29,18.18000
2016-02-11,17.63000
2016-02-22,17.76000
2016-02-29,17.49000
2016-03-04,18.04000
2016-03-22,18.44000
2016-03-28,18.23000
2016-04-08,18.33000
2016-04-18,18.73000
2016-05-05,18.41000
2016-05-12,18.60000
2016-05-24,18.42000
2016-05-30,18.84000
2016-06-07,18.92000
2016-06-16,18.73000
2016-06-27,18.59000
2016-07-12,19.17000
2016-07-21,19.13000
2016-08-01,19.51000
2016-08-10,19.31000
2016-08-19,19.51000
2016-08-29,19.36000
2016-09-06,19.80000
2016-09-12,19.59000
2016-09-29,19.44000
2016-10-04,19.75000
2016-10-17,19.55000
2016-11-01,19.56000
2016-11-10,19.26000
2016-11-15,18.58000
2016-11-30,18.82000
2016-12-02,18.60000
2016-12-13,18.61000
2016-12-26,18.12000
2017-01-05,18.76000
2017-01-12,19.09000
2017-01-20,18.97000
2017-02-06,19.80000
2017-02-15,19.67000
2017-02-21,20.10000
2017-03-03,19.91000
2017-03-16,20.35000
2017-03-22,20.23000
2017-04-05,20.75000
2017-04-20,20.82000
2017-04-26,21.18000
2017-05-05,21.06000
2017-05-17,21.47000
2017-05-24,20.96000
2017-06-05,21.52000
2017-06-09,21.66000
2017-06-28,21.32000
2017-07-03,21.59000
2017-07-13,22.07000
2017-07-20,21.92000
2017-08-01,22.34000
2017-08-11,21.68000
2017-08-17,22.02000
2017-08-29,21.84000
2017-09-12,22.38000
2017-09-19,22.54000
2017-09-27,21.81000
2017-10-16,22.59000
2017-10-25,22.53000
2017-11-03,22.74000
2017-11-15,22.39000
2017-11-21,22.74000
2017-11-29,22.87000
2017-12-06,22.45000
2017-12-19,22.99000
2018-01-02,23.05000
2018-01-08,23.44000
2018-01-16,23.32000
2018-01-24,23.80000
2018-02-06,22.94000
2018-02-14,23.22000
2018-02-26,23.19000
2018-03-07,22.71000
2018-03-23,22.40000
2018-03-27,22.76000
2018-04-09,23.21000
2018-04-18,23.34000
2018-04-30,23.74000
2018-05-07,23.53000
2018-05-21,23.22000
2018-05-31,23.65000
2018-06-05,23.30000
2018-06-13,23.76000
2018-06-28,23.34000
2018-07-10,23.88000
2018-07-19,23.82000
2018-07-27,24.51000
2018-08-01,24.64000
2018-08-13,24.50000
2018-08-27,25.16000
2018-08-31,25.12000
2018-09-14,24.59000
2018-09-24,23.82000
2018-10-08,22.97000
2018-10-16,23.29000
2018-10-23,22.68000
2018-11-02,23.32000
2018-11-14,23.29000
2018-11-30,23.76000
2018-12-10,23.25000
2018-12-19,23.97000
2018-12-24,23.58000
2019-01-02,23.72000
2019-01-14,23.51000
2019-01-29,23.33000
2019-02-06,23.90000
2019-02-18,23.30000
2019-02-25,23.57000
2019-03-08,23.76000
2019-03-12,24.10000
2019-03-25,24.08000
2019-04-02,24.72000
2019-04-10,24.54000
2019-04-30,24.73000
2019-05-08,24.30000
2019-05-16,24.20000
2019-05-27,25.21000
2019-06-03,25.44000
2019-06-17,24.85000
2019-06-20,24.99000
2019-07-04,25.16000
2019-07-10,24.66000
2019-07-18,24.72000
2019-08-05,23.95000
2019-08-09,24.55000
2019-08-22,24.11000
2019-08-30,24.43000
2019-09-19,24.05000
2019-09-23,25.36000
2019-10-07,24.73000
2019-10-18,25.44000
2019-10-24,25.39000
2019-11-04,25.98000
2019-11-13,25.86000
2019-11-28,26.15000
2019-12-10,25.57000
2019-12-17,25.95000
2019-12-30,26.12000
2020-01-06,25.79000
2020-01-16,26.47000
2020-01-22,26.28000
2020-01-30,26.67000
2020-02-12,26.87000
2020-02-20,26.80000
2020-03-05,26.07000
2020-03-13,25.35000
2020-03-23,22.51000
2020-04-03,22.89000
2020-04-17,24.93000
2020-04-30,25.58000
2020-05-05,24.66000
2020-05-18,24.16000
2020-05-26,24.36000
2020-06-03,25.92000
2020-06-17,25.84000
2020-06-23,26.68000
2020-07-01,26.35000
2020-07-15,26.82000
2020-07-23,27.81000
2020-08-03,27.51000
2020-08-10,28.15000
2020-08-20,28.21000
2020-08-28,28.77000
2020-09-09,27.99000
2020-09-16,28.72000
2020-09-24,27.70000
2020-10-06,28.74000
2020-10-14,29.05000
2020-10-30,28.79000
2020-11-09,29.80000
2020-11-18,30.48000
2020-11-25,30.52000
2020-12-09,31.75000
2020-12-21,31.38000
2020-12-28,32.28000
2021-01-11,33.41000
2021-01-20,33.44000
2021-01-29,32.26000
2021-02-03,33.72000
2021-02-15,34.74000
2021-02-22,33.79000
2021-03-03,34.61000
2021-03-18,33.60000
2021-03-25,33.34000
2021-04-08,34.33000
2021-04-13,33.61000
2021-04-29,34.32000
2021-05-04,33.95000
2021-05-14,34.26000
2021-05-31,35.48000
2021-06-07,35.78000
2021-06-15,36.11000
2021-06-23,35.81000
2021-07-05,36.29000
2021-07-12,36.22000
2021-07-20,36.28000
2021-08-04,37.34000
2021-08-17,37.63000
2021-08-23,37.28000
2021-09-02,38.57000
2021-09-16,39.14000
2021-09-20,38.67000
2021-10-06,38.88000
2021-10-18,40.02000
2021-10-22,39.36000
2021-10-29,39.03000
2021-11-15,39.80000
2021-11-26,38.55000
2021-12-06,38.38000
2021-12-10,39.01000
2021-12-20,38.07000
2022-01-05,39.68000
2022-01-13,40.10000
2022-01-24,38.61000
2022-02-02,39.49000
2022-02-14,38.47000
2022-02-15,38.98000
2022-03-07,37.29000
2022-03-14,38.25000
2022-03-17,38.75000
2022-04-05,39.69000
2022-04-07,39.26000
2022-04-21,39.03000
2022-04-28,38.85000
2022-05-12,36.87000
2022-05-25,37.00000
2022-05-30,37.79000
2022-06-09,37.55000
2022-06-20,36.13000
2022-06-27,36.83000
2022-07-05,36.93000
2022-07-14,37.23000
2022-08-01,39.11000
2022-08-05,39.15000
2022-08-17,40.13000
2022-08-29,39.28000
2022-09-12,40.39000
2022-09-20,40.23000
2022-09-28,38.88000
2022-10-06,39.70000
2022-10-13,39.26000
2022-11-01,40.46000
2022-11-10,40.29000
2022-11-21,40.40000
2022-12-01,41.36000
2022-12-07,41.05000
2022-12-14,41.30000
2022-12-23,39.81000
2023-01-03,40.65000
2023-01-10,40.27000
2023-01-27,39.81000
2023-02-03,40.36000
2023-02-16,40.63000
2023-02-27,40.04000
2023-03-08,40.46000
2023-03-14,39.67000
2023-03-28,39.50000
2023-04-05,40.20000
2023-04-21,40.31000
2023-05-02,41.08000
2023-05-04,41.29000
2023-05-18,41.44000
2023-05-30,42.22000
2023-06-07,42.67000
2023-06-12,42.54000
2023-06-23,42.70000
2023-07-06,43.77000
2023-07-19,44.43000
2023-07-20,44.63000
2023-08-03,44.01000
2023-08-09,44.43000
2023-08-18,44.03000
2023-08-31,44.28000
2023-09-11,45.39000
2023-09-22,44.67000
2023-10-09,44.55000
2023-10-17,45.11000
2023-10-26,43.97000
2023-11-01,44.24000
2023-11-16,45.51000
2023-11-24,45.53000
2023-12-05,47.14000
2023-12-15,48.04000
2023-12-20,47.40000
2023-12-29,48.64000
2024-01-15,49.16000
2024-01-23,48.26000
2024-02-06,50.02000
2024-02-12,49.56000
2024-02-19,50.67000
2024-03-04,50.98000
2024-03-13,49.79000
2024-03-20,49.69000
2024-04-01,51.25000
2024-04-18,51.00000
2024-04-29,52.44000
2024-05-09,51.54000
2024-05-17,52.74000
2024-05-27,53.41000
2024-06-04,51.41000
2024-06-10,53.70000
2024-06-24,54.30000
2024-07-01,55.06000
2024-07-16,55.95000
2024-07-19,55.33000
2024-07-31,56.57000
2024-08-06,54.93000
2024-08-26,56.96000
2024-08-30,57.46000
2024-09-09,56.84000
2024-09-23,58.23000
2024-09-27,58.62000
2024-10-07,56.55000
2024-10-15,57.45000
2024-10-25,55.76000
2024-11-06,56.19000
2024-11-13,54.75000
2024-11-28,55.57000
2024-12-06,56.70000
2024-12-20,55.44000
2025-01-02,56.35000
2025-01-13,54.12000
2025-01-20,54.94000
2025-01-27,53.51000
2025-02-05,55.00000
2025-02-11,53.61000
2025-02-28,52.12000
2025-03-06,52.99000
2025-03-13,52.70000
2025-03-24,55.10000
2025-04-07,52.77000
2025-04-23,56.01000
2025-04-25,55.32000
2025-05-09,55.01000
2025-05-16,57.03000
2025-05-30,56.84000
2025-06-09,57.84000
2025-06-19,56.68000
2025-06-27,58.35000
2025-07-08,58.21000
2025-07-11,57.65000
2025-07-23,57.88000
2025-08-01,56.79000
2025-08-08,56.48000
2025-08-20,57.73000
2025-08-29,56.86000
2025-09-16,58.31000
2025-09-18,58.56000
2025-09-26,57.64000
2025-10-14,58.54000
2025-10-29,59.86000
2025-11-06,58.94000
2025-11-17,59.90000
2025-11-26,60.18000
2025-12-08,59.35000
2025-12-10,59.16000
2025-12-22,60.19000
2026-01-07,60.68000
2026-01-09,59.57000
2026-01-23,58.56000
2026-02-04,59.90000
2026-02-11,60.42000
2026-02-26,60.05000
2026-03-04,58.46000
2026-03-13,56.66000
2026-03-30,55.89000
2026-04-08,58.52000
2026-04-17,59.56000
2026-04-24,58.78000
2026-05-07,60.01000
2026-05-12,58.48000
2026-05-27,59.65000
2026-06-08,58.32000
2026-06-17,60.01000
2026-06-23,59.74000
2026-07-06,60.53000
2026-07-09,60.04000
2026-07-24,59.99000
2026-08-03,61.93000
2026-08-12,62.07000
2026-08-19,61.57000
2026-08-31,62.14000
2026-09-15,60.27000
2026-09-23,61.00000
2026-09-25,60.49
