# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:22.844950+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-08,10000.00,
2013-01-11,9891.81,
2013-01-25,10015.46,
2013-02-04,9752.70,
2013-02-08,9644.51,
2013-02-20,9683.15,
2013-02-28,9296.75,
2013-03-08,9698.61,
2013-03-21,9273.57,
2013-04-02,9412.67,
2013-04-09,9010.82,
2013-04-25,9667.70,
2013-04-29,9652.24,
2013-05-17,10146.83,
2013-05-23,9814.53,
2013-05-30,10069.55,
2013-06-13,9381.76,
2013-06-25,9219.47,
2013-07-01,9613.60,
2013-07-08,9590.42,
2013-07-23,9984.54,
2013-07-31,9350.85,
2013-08-13,9412.67,
2013-08-21,8763.52,
2013-08-28,8701.70,
2013-09-10,9513.14,
2013-09-19,9791.34,
2013-09-30,9489.95,
2013-10-11,10007.73,
2013-10-17,9837.71,
2013-10-31,10270.48,
2013-11-13,9984.54,
2013-11-18,10208.66,
2013-11-27,9976.82,
2013-12-09,10409.58,
2013-12-13,10177.74,
2013-12-27,10587.33,
2014-01-10,10394.13,
2014-01-21,10486.86,
2014-01-27,10115.92,
2014-02-03,10007.73,
2014-02-13,10092.74,
2014-02-20,10216.38,
2014-03-06,10618.24,
2014-03-14,10618.24,
2014-03-26,10741.89,
2014-04-02,11012.36,
2014-04-16,10950.54,
2014-05-06,11066.46,
2014-05-08,10981.45,
2014-05-23,12233.38,
2014-05-30,11931.99,
2014-06-09,12635.24,
2014-06-13,12380.22,
2014-07-02,13006.18,
2014-07-09,12681.61,
2014-07-14,12496.14,
2014-07-22,13037.09,
2014-08-08,12689.34,
2014-08-19,13176.20,
2014-08-26,13207.11,
2014-09-08,13879.44,
2014-09-16,13570.32,
2014-09-22,13817.62,
2014-10-08,13446.68,
2014-10-16,13323.03,
2014-10-31,14304.48,
2014-11-18,14737.25,
2014-11-26,14605.87,
2014-12-04,14891.81,
2014-12-16,14057.19,
2014-12-22,14574.96,
2015-01-06,14520.87,
2015-01-09,14791.34,
2015-01-23,15316.85,
2015-01-28,15471.41,
2015-02-09,14961.36,
2015-02-16,15432.77,
2015-03-03,15664.61,
2015-03-09,15332.30,
2015-03-26,14884.08,
2015-04-08,15564.14,
2015-04-13,15703.25,
2015-04-27,14559.51,
2015-05-07,14389.49,
2015-05-11,14845.44,
2015-05-22,15231.84,
2015-06-01,15386.40,
2015-06-11,14381.76,
2015-06-22,15023.18,
2015-06-29,14884.08,
2015-07-07,15370.94,
2015-07-17,15741.89,
2015-07-28,15355.49,
2015-08-05,16097.37,
2015-08-19,15950.54,
2015-08-24,14559.51,
2015-09-07,14412.67,
2015-09-14,14969.09,
2015-09-29,15069.55,
2015-10-05,15432.77,
2015-10-13,15231.84,
2015-10-23,15494.59,
2015-11-10,14930.45,
2015-11-18,14806.80,
2015-11-27,15000.00,
2015-12-11,14613.60,
2015-12-17,14938.18,
2016-01-01,15177.74,
2016-01-07,14760.43,
2016-01-18,14196.29,
2016-02-01,14505.41,
2016-02-11,13871.72,
2016-02-22,14034.00,
2016-02-29,13717.16,
2016-03-03,14289.03,
2016-03-21,14744.98,
2016-03-28,14590.42,
2016-04-08,14683.15,
2016-04-18,15139.10,
2016-05-05,14853.17,
2016-05-12,15061.82,
2016-05-24,14822.26,
2016-05-30,15301.39,
2016-06-08,15471.41,
2016-06-14,15285.94,
2016-06-27,15170.02,
2016-07-04,15595.05,
2016-07-21,15795.98,
2016-08-01,16259.66,
2016-08-03,16043.28,
2016-08-18,16352.40,
2016-08-29,16251.93,
2016-09-06,16723.34,
2016-09-12,16398.76,
2016-09-29,16275.12,
2016-10-04,16707.88,
2016-10-13,16483.77,
2016-10-25,16646.06,
2016-11-10,16244.20,
2016-11-15,15394.13,
2016-11-30,15672.33,
2016-12-02,15425.04,
2016-12-13,15425.04,
2016-12-26,14783.62,
2017-01-03,15316.85,
2017-01-12,15664.61,
2017-01-20,15579.60,
2017-02-06,16352.40,
2017-02-15,16213.29,
2017-02-21,16599.69,
2017-03-02,16391.04,
2017-03-16,16823.80,
2017-03-22,16723.34,
2017-04-05,17156.11,
2017-04-18,17148.38,
2017-04-26,17550.23,
2017-05-05,17395.67,
2017-05-16,17681.61,
2017-05-24,17109.74,
2017-06-05,17751.16,
2017-06-19,17712.52,
2017-06-28,17403.40,
2017-07-03,17627.51,
2017-07-13,18091.19,
2017-07-20,18037.09,
2017-08-01,18554.87,
2017-08-11,17805.26,
2017-08-18,18060.28,
2017-08-29,17998.45,
2017-09-12,18670.79,
2017-09-20,18717.16,
2017-09-27,17952.09,
2017-10-16,18748.07,
