# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:24.383488+00:00
date,fund_below_high,benchmark_below_high
2022-11-14,0.000000,
2022-11-15,0.000000,
2022-11-17,0.000000,
2022-11-21,-0.002478,
2022-11-22,-0.001021,
2022-11-24,0.000000,
2022-11-29,-0.000059,
2022-11-30,0.000000,
2022-12-05,-0.000079,
2022-12-06,-0.000887,
2022-12-08,0.000000,
2022-12-09,-0.002178,
2022-12-14,0.000000,
2022-12-16,-0.001664,
2022-12-19,-0.000620,
2022-12-21,-0.000039,
2022-12-23,-0.001526,
2022-12-27,-0.000236,
2022-12-28,-0.001034,
2022-12-30,-0.000728,
2023-01-04,0.000000,
2023-01-06,-0.001494,
2023-01-09,0.000000,
2023-01-11,-0.000373,
2023-01-13,0.000000,
2023-01-17,-0.000274,
2023-01-19,0.000000,
2023-01-20,-0.002082,
2023-01-25,-0.001017,
2023-01-30,-0.002981,
2023-02-01,0.000000,
2023-02-02,0.000000,
2023-02-06,-0.001667,
2023-02-08,-0.002106,
2023-02-10,-0.003520,
2023-02-14,-0.004291,
2023-02-15,-0.003052,
2023-02-20,-0.002106,
2023-02-22,-0.003764,
2023-02-24,-0.002760,
2023-02-27,-0.003569,
2023-03-02,-0.003042,
2023-03-06,-0.001414,
2023-03-08,-0.002613,
2023-03-09,-0.002340,
2023-03-13,0.000000,
2023-03-16,0.000000,
2023-03-20,0.000000,
2023-03-21,-0.000592,
2023-03-24,0.000000,
2023-03-28,-0.000465,
2023-03-31,0.000000,
2023-04-03,0.000000,
2023-04-06,0.000000,
2023-04-12,0.000000,
2023-04-17,-0.000910,
2023-04-19,0.000000,
2023-04-20,0.000000,
2023-04-25,0.000000,
2023-04-26,-0.000735,
2023-04-28,-0.000258,
2023-05-03,0.000000,
2023-05-04,-0.001218,
2023-05-09,-0.000152,
2023-05-11,0.000000,
2023-05-15,0.000000,
2023-05-17,0.000000,
2023-05-22,0.000000,
2023-05-23,-0.000747,
2023-05-24,-0.000293,
2023-05-29,0.000000,
2023-05-30,-0.000709,
2023-06-01,0.000000,
2023-06-06,0.000000,
2023-06-08,-0.001755,
2023-06-09,-0.001651,
2023-06-13,0.000000,
2023-06-14,-0.000689,
2023-06-16,-0.000840,
2023-06-20,-0.000594,
2023-06-22,-0.001490,
2023-06-27,-0.000830,
2023-06-28,-0.000632,
2023-07-03,-0.001226,
2023-07-05,-0.000283,
2023-07-07,-0.001811,
2023-07-11,0.000000,
2023-07-12,-0.000820,
2023-07-14,0.000000,
2023-07-19,0.000000,
2023-07-21,-0.000517,
2023-07-24,0.000000,
2023-07-27,-0.001624,
2023-07-28,-0.002825,
2023-08-01,-0.002046,
2023-08-03,-0.003717,
2023-08-04,-0.003417,
2023-08-08,-0.001906,
2023-08-10,-0.001399,
2023-08-17,-0.002779,
2023-08-18,-0.002403,
2023-08-23,0.000000,
2023-08-24,0.000000,
2023-08-25,0.000000,
2023-08-29,0.000000,
2023-09-01,0.000000,
2023-09-04,-0.000094,
2023-09-07,0.000000,
2023-09-08,-0.000786,
2023-09-13,0.000000,
2023-09-14,0.000000,
2023-09-15,-0.000466,
2023-09-21,0.000000,
2023-09-22,-0.001239,
2023-09-26,0.000000,
2023-09-29,-0.001947,
2023-10-05,-0.002347,
2023-10-09,-0.005915,
2023-10-10,-0.005161,
2023-10-12,-0.002562,
2023-10-16,-0.002990,
2023-10-17,-0.002720,
2023-10-19,-0.003316,
2023-10-25,-0.002021,
2023-10-26,-0.002441,
2023-10-30,-0.001816,
2023-11-01,-0.002152,
2023-11-03,0.000000,
2023-11-06,0.000000,
2023-11-09,0.000000,
2023-11-13,-0.000455,
2023-11-15,0.000000,
2023-11-17,0.000000,
2023-11-21,-0.000509,
2023-11-24,-0.000759,
2023-11-29,0.000000,
2023-11-30,-0.000509,
2023-12-01,-0.000203,
2023-12-05,0.000000,
2023-12-08,-0.000277,
2023-12-11,0.000000,
2023-12-13,0.000000,
2023-12-18,0.000000,
2023-12-19,-0.000339,
2023-12-21,0.000000,
2023-12-22,0.000000,
2023-12-27,-0.000741,
2023-12-29,0.000000,
2024-01-03,-0.000805,
2024-01-05,-0.000549,
2024-01-08,0.000000,
2024-01-11,-0.000365,
2024-01-12,-0.000173,
2024-01-15,0.000000,
2024-01-18,-0.000064,
2024-01-19,0.000000,
2024-01-24,0.000000,
2024-01-29,0.000000,
2024-01-31,0.000000,
2024-02-05,0.000000,
2024-02-06,0.000000,
2024-02-08,-0.000751,
2024-02-12,-0.000416,
2024-02-14,-0.001050,
2024-02-15,0.000000,
2024-02-21,0.000000,
2024-02-23,-0.000370,
2024-02-26,0.000000,
2024-02-28,0.000000,
2024-03-01,0.000000,
2024-03-04,0.000000,
2024-03-07,0.000000,
2024-03-12,-0.000036,
2024-03-13,0.000000,
2024-03-18,0.000000,
2024-03-20,-0.000656,
2024-03-21,0.000000,
2024-03-26,0.000000,
2024-03-28,0.000000,
2024-03-31,0.000000,
2024-04-04,0.000000,
2024-04-08,-0.000735,
2024-04-10,0.000000,
2024-04-16,-0.001396,
2024-04-19,-0.002793,
2024-04-22,-0.001128,
2024-04-24,-0.000833,
2024-04-26,-0.001137,
2024-04-29,-0.000260,
2024-05-02,0.000000,
2024-05-07,-0.000312,
2024-05-08,-0.000455,
2024-05-10,0.000000,
2024-05-14,-0.000481,
2024-05-16,0.000000,
2024-05-21,0.000000,
2024-05-24,-0.000168,
2024-05-27,0.000000,
2024-05-29,-0.000213,
2024-06-03,0.000000,
2024-06-04,-0.002151,
2024-06-06,-0.000221,
2024-06-10,0.000000,
2024-06-12,0.000000,
2024-06-13,0.000000,
2024-06-18,0.000000,
2024-06-21,0.000000,
2024-06-24,0.000000,
2024-06-27,-0.000449,
2024-06-28,-0.000106,
2024-07-01,0.000000,
2024-07-03,0.000000,
2024-07-05,0.000000,
2024-07-09,-0.000105,
2024-07-10,0.000000,
2024-07-12,-0.000088,
2024-07-16,0.000000,
2024-07-19,-0.000114,
2024-07-23,0.000000,
2024-07-25,0.000000,
2024-07-29,0.000000,
2024-07-31,-0.000331,
2024-08-02,0.000000,
2024-08-06,-0.000746,
2024-08-07,-0.000234,
2024-08-09,0.000000,
2024-08-13,0.000000,
2024-08-16,0.000000,
2024-08-20,0.000000,
2024-08-22,-0.000164,
2024-08-23,0.000000,
2024-08-28,0.000000,
2024-08-30,-0.000104,
2024-09-02,0.000000,
2024-09-04,-0.000078,
2024-09-06,0.000000,
2024-09-10,0.000000,
2024-09-12,0.000000,
2024-09-13,0.000000,
2024-09-19,0.000000,
2024-09-20,-0.000154,
2024-09-24,0.000000,
2024-09-26,0.000000,
2024-10-01,0.000000,
2024-10-03,-0.000051,
2024-10-07,-0.001318,
2024-10-09,0.000000,
2024-10-11,0.000000,
2024-10-15,-0.000231,
2024-10-17,0.000000,
2024-10-21,-0.000529,
2024-10-23,0.000000,
2024-10-24,-0.000051,
2024-10-28,-0.000009,
2024-10-30,0.000000,
2024-11-04,0.000000,
2024-11-05,-0.000111,
2024-11-08,0.000000,
2024-11-12,-0.000502,
2024-11-14,-0.000255,
2024-11-18,0.000000,
2024-11-21,-0.000688,
2024-11-25,0.000000,
2024-11-27,-0.000424,
2024-11-28,0.000000,
2024-12-03,-0.000194,
2024-12-05,0.000000,
2024-12-06,-0.000633,
2024-12-10,0.000000,
2024-12-12,-0.000261,
2024-12-16,0.000000,
2024-12-18,-0.000152,
2024-12-19,-0.001071,
2024-12-23,-0.000270,
2024-12-26,-0.001206,
2024-12-31,-0.000514,
2025-01-01,-0.000548,
2025-01-06,0.000000,
2025-01-07,0.000000,
2025-01-09,-0.000295,
2025-01-13,-0.001574,
2025-01-14,-0.001330,
2025-01-16,0.000000,
2025-01-20,0.000000,
2025-01-22,0.000000,
2025-01-27,0.000000,
2025-01-28,0.000000,
2025-01-30,-0.000527,
2025-02-03,0.000000,
2025-02-05,0.000000,
2025-02-07,-0.000843,
2025-02-11,0.000000,
2025-02-12,-0.000142,
2025-02-14,0.000000,
2025-02-20,0.000000,
2025-02-21,-0.000442,
2025-02-25,0.000000,
2025-02-28,0.000000,
2025-03-04,-0.000390,
2025-03-05,0.000000,
2025-03-10,-0.000631,
2025-03-12,0.000000,
2025-03-13,-0.000041,
2025-03-18,0.000000,
2025-03-20,0.000000,
2025-03-21,0.000000,
2025-03-25,0.000000,
2025-03-27,0.000000,
2025-03-31,0.000000,
2025-04-04,0.000000,
2025-04-08,-0.000098,
2025-04-09,0.000000,
2025-04-15,0.000000,
2025-04-17,0.000000,
2025-04-22,0.000000,
2025-04-24,-0.000828,
2025-04-25,-0.000235,
2025-04-29,0.000000,
2025-05-05,0.000000,
2025-05-07,0.000000,
2025-05-09,-0.001852,
2025-05-13,0.000000,
2025-05-14,0.000000,
2025-05-16,0.000000,
2025-05-20,0.000000,
2025-05-22,0.000000,
2025-05-26,0.000000,
2025-05-29,0.000000,
2025-05-30,-0.000280,
2025-06-04,-0.000320,
2025-06-05,0.000000,
2025-06-06,0.000000,
2025-06-11,-0.002282,
2025-06-12,-0.002849,
2025-06-17,-0.002099,
2025-06-19,-0.002274,
2025-06-23,-0.001325,
2025-06-24,-0.001429,
2025-06-26,-0.001421,
2025-06-30,-0.000231,
2025-07-01,-0.000774,
2025-07-03,0.000000,
2025-07-08,-0.000303,
2025-07-09,-0.000526,
2025-07-11,0.000000,
2025-07-15,0.000000,
2025-07-18,0.000000,
2025-07-21,-0.000016,
2025-07-23,0.000000,
2025-07-25,0.000000,
2025-07-29,-0.000628,
2025-07-31,0.000000,
2025-08-04,0.000000,
2025-08-05,0.000000,
2025-08-08,-0.002420,
2025-08-11,-0.002602,
2025-08-13,-0.003292,
2025-08-14,-0.002610,
2025-08-19,-0.004363,
2025-08-22,-0.004220,
2025-08-26,-0.005315,
2025-08-29,-0.005672,
2025-09-02,-0.005061,
2025-09-03,-0.004387,
2025-09-05,-0.002570,
2025-09-09,-0.002420,
2025-09-12,-0.001896,
2025-09-15,-0.000476,
2025-09-17,0.000000,
2025-09-22,0.000000,
2025-09-24,0.000000,
2025-09-25,-0.000324,
2025-09-30,-0.000332,
2025-10-01,0.000000,
2025-10-07,0.000000,
2025-10-09,-0.000386,
2025-10-10,0.000000,
2025-10-15,0.000000,
2025-10-16,-0.000425,
2025-10-20,0.000000,
2025-10-24,0.000000,
2025-10-28,-0.000526,
2025-10-29,-0.000581,
2025-10-31,0.000000,
2025-11-04,-0.000071,
2025-11-07,0.000000,
2025-11-12,0.000000,
2025-11-14,-0.000219,
2025-11-17,0.000000,
2025-11-19,0.000000,
2025-11-21,-0.000603,
2025-11-24,-0.000008,
2025-11-27,0.000000,
2025-11-28,-0.000461,
2025-12-02,-0.000578,
2025-12-04,-0.000062,
2025-12-09,-0.000452,
2025-12-10,0.000000,
2025-12-11,-0.000320,
2025-12-15,0.000000,
2025-12-18,0.000000,
2025-12-19,-0.000265,
2025-12-24,0.000000,
2025-12-26,-0.000319,
2025-12-31,0.000000,
2026-01-01,0.000000,
2026-01-05,0.000000,
2026-01-06,-0.000093,
2026-01-08,-0.000474,
2026-01-13,-0.000124,
2026-01-14,-0.000862,
2026-01-20,-0.001483,
2026-01-22,-0.001063,
2026-01-27,-0.000186,
2026-01-28,-0.000054,
2026-01-29,0.000000,
2026-02-02,0.000000,
2026-02-05,0.000000,
2026-02-06,-0.000464,
2026-02-10,0.000000,
2026-02-12,0.000000,
2026-02-17,0.000000,
2026-02-20,-0.000239,
2026-02-23,0.000000,
2026-02-24,0.000000,
2026-02-27,0.000000,
2026-03-04,-0.000377,
2026-03-06,0.000000,
2026-03-10,0.000000,
2026-03-11,-0.000638,
2026-03-16,-0.002045,
2026-03-17,-0.001415,
2026-03-20,-0.001576,
2026-03-23,-0.003706,
2026-03-27,-0.006320,
2026-03-31,-0.005251,
2026-04-02,-0.008188,
2026-04-08,-0.004113,
2026-04-09,-0.003798,
2026-04-13,-0.002345,
2026-04-15,-0.000861,
2026-04-17,-0.000092,
2026-04-21,0.000000,
2026-04-23,-0.000938,
2026-04-27,-0.000015,
2026-04-30,-0.001621,
2026-05-04,-0.000315,
2026-05-06,0.000000,
2026-05-08,-0.000238,
2026-05-11,-0.000952,
2026-05-13,-0.000630,
2026-05-18,-0.001766,
2026-05-20,-0.001858,
2026-05-21,-0.003647,
2026-05-26,-0.001943,
2026-05-27,-0.001067,
2026-06-01,0.000000,
2026-06-03,-0.000453,
2026-06-05,0.000000,
2026-06-08,0.000000,
2026-06-10,0.000000,
2026-06-12,0.000000,
2026-06-16,0.000000,
2026-06-18,0.000000,
2026-06-22,0.000000,
2026-06-24,0.000000,
2026-06-29,0.000000,
2026-07-01,-0.000091,
2026-07-02,0.000000,
2026-07-07,0.000000,
2026-07-09,-0.000697,
2026-07-10,0.000000,
2026-07-14,-0.000999,
2026-07-16,0.000000,
2026-07-17,0.000000,
2026-07-22,-0.000355,
2026-07-24,-0.000295,
2026-07-27,0.000000,
2026-07-29,-0.000204,
2026-07-31,0.000000,
2026-08-04,-0.000030,
2026-08-06,0.000000,
2026-08-10,0.000000,
2026-08-11,-0.000136,
2026-08-14,0.000000,
2026-08-18,-0.000474,
2026-08-20,-0.000850,
2026-08-21,-0.000820,
2026-08-27,-0.000060,
2026-08-31,-0.000346,
2026-09-01,-0.000068,
2026-09-02,-0.000226,
2026-09-04,0.000000,
2026-09-09,0.000000,
2026-09-11,-0.000285,
2026-09-16,-0.001495,
2026-09-18,-0.000669,
2026-09-21,-0.000391,
2026-09-23,-0.000278,
2026-09-25,-0.000669,
