# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:28.171916+00:00
stretch_ending,fund_return,benchmark_return
2025-05-21,-0.010387,
2025-05-28,-0.023584,
2025-06-04,0.022531,
2025-06-11,-0.023891,
2025-06-18,-0.048047,
2025-06-25,-0.022127,
2025-07-02,-0.030448,
2025-07-09,-0.057684,
2025-07-16,-0.076378,
2025-07-23,-0.073892,
2025-07-30,-0.102669,
2025-08-06,-0.096727,
2025-08-13,-0.101337,
2025-08-20,-0.098123,
2025-08-26,-0.118586,
2025-09-03,-0.126149,
2025-09-10,-0.108721,
2025-09-17,-0.115452,
2025-09-24,-0.141697,
2025-10-01,-0.155694,
2025-10-08,-0.124703,
2025-10-15,-0.108508,
2025-10-20,-0.059986,
2025-10-29,-0.043980,
2025-11-04,-0.048178,
2025-11-12,-0.019509,
2025-11-19,-0.001970,
2025-11-26,-0.017755,
2025-12-03,-0.040305,
2025-12-10,-0.045070,
2025-12-17,-0.030783,
2025-12-24,-0.003562,
2025-12-31,-0.003624,
2026-01-07,0.016498,
2026-01-14,0.037195,
2026-01-21,0.022528,
2026-01-28,0.039621,
2026-02-04,0.022928,
2026-02-11,0.070507,
2026-02-18,0.103942,
2026-02-25,0.130669,
2026-03-04,0.115500,
2026-03-11,0.066055,
2026-03-18,0.041339,
2026-03-25,-0.001272,
2026-04-01,-0.024854,
2026-04-08,0.036330,
2026-04-15,0.020914,
2026-04-22,0.004776,
2026-04-29,-0.011755,
2026-05-06,0.004869,
2026-05-13,-0.026097,
2026-05-20,-0.024569,
2026-05-27,-0.016977,
2026-06-03,-0.035128,
2026-06-10,-0.054059,
2026-06-17,-0.013622,
2026-06-24,-0.013241,
2026-07-01,-0.023652,
2026-07-08,-0.020372,
2026-07-15,-0.002537,
2026-07-22,0.020341,
2026-07-29,0.033592,
2026-08-05,0.059080,
2026-08-12,0.065301,
2026-08-19,0.026134,
2026-08-26,0.032227,
2026-09-02,0.022277,
2026-09-09,0.000781,
2026-09-16,-0.033120,
2026-09-23,-0.010666,
