# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:34:26.385835+00:00
date,nav
2025-07-21,10.00740
2025-07-22,10.00950
2025-07-23,10.01050
2025-07-24,10.01090
2025-07-25,10.01190
2025-07-28,10.01190
2025-07-29,10.01100
2025-07-30,10.01370
2025-07-31,10.01680
2025-08-01,10.02280
2025-08-04,10.02870
2025-08-05,10.03160
2025-08-06,10.01940
2025-08-07,10.01850
2025-08-08,10.02220
2025-08-11,10.01930
2025-08-12,10.01810
2025-08-13,10.01420
2025-08-14,10.02350
2025-08-18,10.02240
2025-08-19,10.02290
2025-08-20,10.02780
2025-08-21,10.03000
2025-08-22,10.03000
2025-08-25,10.03030
2025-08-26,10.02790
2025-08-28,10.03700
2025-08-29,10.03320
2025-09-01,10.03540
2025-09-02,10.03920
2025-09-03,10.04180
2025-09-04,10.05080
2025-09-05,10.05340
2025-09-09,10.05750
2025-09-10,10.05620
2025-09-11,10.05930
2025-09-12,10.06170
2025-09-15,10.06310
2025-09-16,10.06420
2025-09-17,10.06910
2025-09-18,10.06830
2025-09-19,10.07120
2025-09-22,10.07600
2025-09-23,10.07760
2025-09-24,10.08080
2025-09-25,10.08190
2025-09-26,10.08710
2025-09-30,10.08780
2025-10-01,10.09720
2025-10-03,10.10460
2025-10-06,10.11120
2025-10-07,10.11520
2025-10-08,10.12190
2025-10-09,10.11860
2025-10-10,10.11990
2025-10-13,10.12800
2025-10-14,10.13270
2025-10-15,10.13410
2025-10-16,10.13720
2025-10-17,10.14160
2025-10-20,10.14550
2025-10-23,10.14340
2025-10-24,10.14750
2025-10-27,10.14800
2025-10-28,10.15040
2025-10-29,10.15050
2025-10-30,10.15120
2025-10-31,10.15310
2025-11-03,10.16020
2025-11-04,10.16800
2025-11-06,10.17140
2025-11-07,10.17310
2025-11-10,10.17720
2025-11-11,10.18140
2025-11-12,10.18250
2025-11-13,10.18590
2025-11-14,10.18480
2025-11-17,10.18640
2025-11-18,10.19220
2025-11-19,10.19610
2025-11-20,10.19660
2025-11-21,10.19720
2025-11-24,10.20170
2025-11-25,10.20940
2025-11-26,10.21190
2025-11-27,10.21120
2025-11-28,10.21200
2025-12-01,10.21160
2025-12-02,10.21490
2025-12-03,10.21580
2025-12-04,10.21620
2025-12-05,10.22470
2025-12-08,10.22660
2025-12-09,10.21630
2025-12-10,10.21290
2025-12-11,10.21200
2025-12-12,10.21320
2025-12-15,10.21350
2025-12-16,10.21750
2025-12-17,10.21720
2025-12-18,10.21960
2025-12-19,10.21960
2025-12-22,10.22000
2025-12-23,10.22100
2025-12-24,10.23340
2025-12-26,10.23640
2025-12-29,10.24020
2025-12-30,10.23930
2025-12-31,10.24490
2026-01-01,10.24640
2026-01-02,10.24690
2026-01-05,10.25010
2026-01-06,10.25030
2026-01-07,10.25050
2026-01-08,10.25310
2026-01-09,10.25360
2026-01-12,10.25540
2026-01-13,10.25680
2026-01-14,10.25170
2026-01-16,10.24900
2026-01-19,10.24970
2026-01-20,10.24920
2026-01-21,10.24840
2026-01-22,10.25010
2026-01-23,10.25510
2026-01-27,10.25540
2026-01-28,10.25730
2026-01-29,10.25870
2026-01-30,10.26740
2026-02-02,10.26790
2026-02-03,10.27520
2026-02-04,10.28110
2026-02-05,10.28730
2026-02-06,10.28520
2026-02-09,10.28670
2026-02-10,10.28870
2026-02-11,10.29220
2026-02-12,10.29860
2026-02-13,10.30620
2026-02-16,10.30920
2026-02-17,10.31380
2026-02-18,10.31330
2026-02-20,10.31510
2026-02-23,10.32040
2026-02-24,10.31970
2026-02-25,10.32430
2026-02-26,10.32710
2026-02-27,10.32990
2026-03-02,10.33420
2026-03-04,10.32970
2026-03-05,10.33430
2026-03-06,10.33430
2026-03-09,10.32700
2026-03-10,10.33010
2026-03-11,10.34140
2026-03-12,10.33330
2026-03-13,10.33330
2026-03-16,10.33370
2026-03-17,10.33520
2026-03-18,10.34170
2026-03-20,10.34050
2026-03-23,10.33450
2026-03-24,10.33150
2026-03-25,10.33400
2026-03-27,10.33510
2026-03-30,10.34330
2026-03-31,10.34470
2026-04-02,10.34260
2026-04-06,10.34510
2026-04-07,10.35070
2026-04-08,10.36690
2026-04-09,10.37390
2026-04-10,10.38110
2026-04-13,10.38630
2026-04-15,10.39720
2026-04-16,10.39960
2026-04-17,10.39990
2026-04-20,10.40720
2026-04-21,10.40520
2026-04-22,10.40680
2026-04-23,10.40210
2026-04-24,10.39860
2026-04-27,10.40370
2026-04-28,10.40200
2026-04-29,10.40090
2026-04-30,10.39380
2026-05-04,10.40060
2026-05-05,10.40160
2026-05-06,10.40120
2026-05-07,10.40870
2026-05-08,10.41190
2026-05-11,10.41340
2026-05-12,10.41300
2026-05-13,10.41180
2026-05-14,10.41260
2026-05-15,10.41560
2026-05-18,10.41290
2026-05-19,10.41590
2026-05-20,10.40960
2026-05-21,10.40580
2026-05-22,10.40460
2026-05-25,10.41210
2026-05-26,10.41300
2026-05-27,10.41330
2026-05-29,10.41110
2026-06-01,10.42780
2026-06-02,10.42470
2026-06-03,10.42800
2026-06-04,10.43260
2026-06-05,10.44390
2026-06-08,10.46170
2026-06-09,10.46240
2026-06-10,10.47170
2026-06-11,10.46670
2026-06-12,10.46630
2026-06-15,10.47820
2026-06-16,10.48300
2026-06-17,10.48390
2026-06-18,10.48390
2026-06-19,10.48930
2026-06-22,10.49590
2026-06-23,10.50090
2026-06-24,10.50460
2026-06-25,10.51420
2026-06-29,10.52660
2026-06-30,10.52780
2026-07-01,10.54290
2026-07-02,10.54830
2026-07-03,10.55300
2026-07-06,10.55290
2026-07-07,10.55520
2026-07-08,10.54530
2026-07-09,10.54350
2026-07-10,10.54580
2026-07-13,10.54780
2026-07-14,10.55280
2026-07-15,10.54940
2026-07-16,10.54790
2026-07-17,10.55210
2026-07-20,10.54950
2026-07-21,10.55940
2026-07-22,10.55750
2026-07-23,10.55660
2026-07-24,10.56050
2026-07-27,10.57160
2026-07-28,10.57630
2026-07-29,10.57840
2026-07-30,10.57840
2026-07-31,10.57740
2026-08-03,10.60300
2026-08-04,10.60010
2026-08-05,10.60270
2026-08-06,10.59240
2026-08-07,10.59930
2026-08-10,10.60000
2026-08-11,10.60700
2026-08-12,10.60940
2026-08-13,10.60890
2026-08-14,10.60720
2026-08-17,10.60240
2026-08-18,10.60710
2026-08-19,10.61510
2026-08-20,10.60550
2026-08-21,10.61010
2026-08-24,10.61010
2026-08-25,10.61160
2026-08-27,10.61050
2026-08-28,10.61270
2026-08-31,10.61390
2026-09-01,10.62770
2026-09-02,10.62730
2026-09-03,10.63280
2026-09-04,10.63110
2026-09-07,10.64320
2026-09-08,10.64520
2026-09-09,10.64740
2026-09-10,10.65510
2026-09-11,10.64400
2026-09-15,10.64620
2026-09-16,10.64610
2026-09-17,10.64660
2026-09-18,10.65670
2026-09-21,10.65660
2026-09-22,10.65770
2026-09-23,10.66390
2026-09-24,10.65770
2026-09-25,10.6581
