# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:07.832536+00:00
date,fund_value_inr,benchmark_value_inr
2014-02-10,10000.00,
2014-02-14,9969.81,
2014-02-21,9994.82,
2014-03-04,10000.60,
2014-03-19,10075.23,
2014-03-25,10130.33,
2014-04-09,10120.97,
2014-04-17,10163.82,
2014-04-22,10198.19,
2014-05-05,10264.16,
2014-05-13,10287.27,
2014-05-23,10352.24,
2014-06-02,10379.05,
2014-06-09,10437.94,
2014-06-23,10430.56,
2014-07-02,10465.04,
2014-07-10,10475.30,
2014-07-14,10427.77,
2014-07-24,10499.32,
2014-08-08,10496.13,
2014-08-20,10550.53,
2014-08-26,10557.61,
2014-09-08,10601.95,
2014-09-12,10612.02,
2014-09-22,10654.06,
2014-10-01,10678.18,
2014-10-08,10709.57,
2014-10-22,10790.18,
2014-11-10,10907.36,
2014-11-14,10908.56,
2014-11-26,10946.52,
2014-12-02,10998.73,
2014-12-12,11023.65,
2014-12-17,10982.59,
2014-12-31,11037.20,
2015-01-06,11038.29,
2015-01-16,11161.15,
2015-01-28,11191.75,
2015-02-02,11200.41,
2015-02-12,11176.60,
2015-02-25,11233.20,
2015-03-04,11272.46,
2015-03-13,11256.61,
2015-03-18,11260.10,
2015-04-06,11337.72,
2015-04-08,11332.54,
2015-04-22,11368.32,
2015-04-29,11372.30,
2015-05-08,11330.65,
2015-05-15,11350.68,
2015-06-01,11435.97,
2015-06-04,11394.72,
2015-06-16,11402.59,
2015-06-19,11463.08,
2015-06-29,11441.75,
2015-07-07,11498.15,
2015-07-17,11517.68,
2015-07-29,11570.89,
2015-08-07,11586.93,
2015-08-17,11630.98,
2015-08-24,11614.93,
2015-09-01,11653.60,
2015-09-10,11646.42,
2015-09-23,11677.51,
2015-09-30,11767.39,
2015-10-06,11789.81,
2015-10-20,11831.36,
2015-10-28,11849.00,
2015-11-09,11845.71,
2015-11-16,11866.34,
2015-11-27,11875.11,
2015-12-03,11897.43,
2015-12-15,11881.48,
2015-12-23,11903.50,
2016-01-04,11946.45,
2016-01-11,11973.45,
2016-01-15,11964.19,
2016-01-27,11996.97,
2016-02-10,12001.95,
2016-02-18,11988.80,
2016-02-25,11952.23,
2016-03-01,12016.60,
2016-03-11,12059.95,
2016-03-30,12170.05,
2016-04-05,12243.09,
2016-04-18,12297.70,
2016-04-28,12298.99,
2016-05-06,12309.75,
2016-05-12,12329.28,
2016-05-19,12334.76,
2016-06-03,12366.25,
2016-06-13,12399.43,
2016-06-15,12397.74,
2016-06-24,12423.75,
2016-07-01,12462.01,
2016-07-13,12545.41,
2016-07-27,12617.65,
2016-08-01,12669.67,
2016-08-11,12737.43,
2016-08-23,12736.73,
2016-09-02,12795.72,
2016-09-08,12834.18,
2016-09-21,12848.93,
2016-09-29,12891.58,
2016-10-06,12977.27,
2016-10-13,12993.31,
2016-10-28,12991.22,
2016-11-08,13007.96,
2016-11-16,13164.10,
2016-11-24,13245.31,
2016-12-06,13247.01,
2016-12-08,13146.17,
2016-12-16,13139.29,
2016-12-28,13126.44,
2017-01-03,13217.71,
2017-01-12,13267.73,
2017-01-25,13284.57,
2017-02-07,13330.31,
2017-02-09,13219.21,
2017-02-16,13260.06,
2017-02-28,13271.62,
2017-03-10,13235.15,
2017-03-21,13283.78,
2017-04-03,13368.28,
2017-04-07,13341.57,
2017-04-19,13402.75,
2017-04-28,13403.05,
2017-05-15,13469.71,
2017-05-19,13470.71,
2017-05-31,13521.83,
2017-06-08,13607.12,
2017-06-13,13634.13,
2017-06-27,13659.44,
2017-07-03,13640.80,
2017-07-10,13691.42,
2017-07-24,13760.57,
2017-07-31,13769.54,
2017-08-03,13801.23,
2017-08-11,13812.39,
2017-08-24,13838.99,
2017-09-04,13879.85,
2017-09-11,13889.22,
2017-09-22,13872.08,
2017-10-03,13913.03,
2017-10-10,13909.74,
2017-10-16,13941.93,
2017-10-30,13954.08,
2017-11-06,13973.51,
2017-11-16,13952.59,
2017-11-21,13993.94,
2017-12-07,13995.44,
2017-12-13,13975.71,
2017-12-19,13984.48,
2017-12-28,13934.06,
2018-01-08,13994.04,
2018-01-16,13957.77,
2018-01-23,14005.80,
2018-02-01,13964.35,
2018-02-14,14027.22,
2018-02-22,13989.16,
2018-03-06,14010.18,
2018-03-16,14104.85,
2018-03-26,14116.40,
2018-04-05,14250.43,
2018-04-17,14209.37,
2018-04-26,14113.61,
2018-05-08,14167.62,
2018-05-16,14092.09,
2018-05-17,14083.72,
2018-05-30,14151.48,
2018-06-07,14115.21,
2018-06-18,14172.40,
2018-06-28,14197.51,
2018-07-04,14233.39,
2018-07-11,14252.52,
2018-07-17,14295.07,
2018-07-27,14314.50,
2018-08-02,14349.47,
2018-08-16,14373.79,
2018-08-29,14407.96,
2018-09-10,14356.85,
2018-09-19,14365.42,
2018-09-25,14317.49,
2018-10-01,14392.62,
2018-10-10,14407.96,
2018-10-22,14468.95,
2018-10-31,14484.39,
2018-11-15,14572.48,
2018-11-20,14589.62,
2018-12-06,14702.01,
2018-12-11,14673.12,
2018-12-18,14707.00,
2018-12-27,14796.38,
2019-01-03,14799.96,
2019-01-14,14878.58,
2019-01-28,14903.30,
2019-02-05,14881.07,
2019-02-13,14988.89,
2019-02-18,14969.56,
2019-02-28,14981.91,
2019-03-14,15127.99,
2019-03-20,15152.70,
2019-04-02,15279.25,
2019-04-08,15231.42,
2019-04-18,15245.97,
2019-04-25,15232.32,
2019-05-10,15278.66,
2019-05-22,15370.03,
2019-05-27,15456.02,
2019-06-06,15546.30,
2019-06-11,15513.12,
2019-06-20,15614.06,
2019-07-01,15595.42,
2019-07-08,15691.78,
2019-07-16,15772.59,
2019-07-26,15754.26,
2019-08-02,15848.82,
2019-08-14,15849.22,
2019-08-26,15951.45,
2019-09-04,15982.74,
2019-09-09,15995.00,
2019-09-20,15938.60,
2019-09-27,15960.12,
2019-10-07,16022.70,
2019-10-18,16074.91,
2019-11-01,16164.89,
2019-11-08,16165.09,
2019-11-20,16241.92,
2019-12-02,16288.45,
2019-12-04,16302.00,
2019-12-13,16226.17,
2019-12-23,16297.22,
2019-12-31,16311.37,
2020-01-09,16353.62,
2020-01-17,16363.68,
2020-01-31,16434.33,
2020-02-07,16549.82,
