# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:10.696257+00:00
date,nav
2023-08-02,10.00000
2023-08-03,10.00000
2023-08-07,10.02000
2023-08-08,10.02000
2023-08-09,10.04000
2023-08-11,10.00000
2023-08-14,10.00000
2023-08-17,10.03000
2023-08-18,10.01000
2023-08-22,10.10000
2023-08-23,10.13000
2023-08-25,10.09000
2023-08-29,10.15000
2023-08-31,10.19000
2023-09-01,10.25000
2023-09-05,10.31000
2023-09-06,10.31000
2023-09-07,10.34000
2023-09-11,10.47000
2023-09-12,10.29000
2023-09-15,10.39000
2023-09-18,10.35000
2023-09-20,10.28000
2023-09-22,10.17000
2023-09-26,10.24000
2023-09-27,10.30000
2023-10-03,10.34000
2023-10-04,10.22000
2023-10-06,10.30000
2023-10-09,10.23000
2023-10-11,10.40000
2023-10-13,10.44000
2023-10-16,10.44000
2023-10-17,10.47000
2023-10-19,10.41000
2023-10-20,10.36000
2023-10-25,10.08000
2023-10-26,9.99000
2023-10-30,10.16000
2023-11-01,10.13000
2023-11-02,10.24000
2023-11-06,10.42000
2023-11-08,10.52000
2023-11-09,10.50000
2023-11-10,10.54000
2023-11-15,10.71000
2023-11-16,10.78000
2023-11-20,10.81000
2023-11-22,10.81000
2023-11-23,10.87000
2023-11-28,10.92000
2023-11-29,10.98000
2023-12-01,11.14000
2023-12-04,11.24000
2023-12-06,11.32000
2023-12-08,11.29000
2023-12-11,11.35000
2023-12-12,11.32000
2023-12-15,11.55000
2023-12-18,11.57000
2023-12-20,11.38000
2023-12-21,11.48000
2023-12-22,11.58000
2023-12-27,11.69000
2023-12-28,11.70000
2024-01-01,11.76000
2024-01-03,11.70000
2024-01-04,11.83000
2024-01-05,11.88000
2024-01-09,11.82000
2024-01-11,11.87000
2024-01-15,11.96000
2024-01-16,11.96000
2024-01-18,11.74000
2024-01-19,11.85000
2024-01-23,11.66000
2024-01-25,11.73000
2024-01-30,11.71000
2024-01-31,11.85000
2024-02-02,11.84000
2024-02-05,11.84000
2024-02-07,11.93000
2024-02-09,11.80000
2024-02-12,11.63000
2024-02-13,11.68000
2024-02-15,11.80000
2024-02-19,11.92000
2024-02-21,11.80000
2024-02-22,11.85000
2024-02-23,11.91000
2024-02-27,11.94000
2024-02-28,11.80000
2024-03-01,11.94000
2024-03-04,11.96000
2024-03-06,11.91000
2024-03-07,11.94000
2024-03-13,11.42000
2024-03-14,11.55000
2024-03-18,11.54000
2024-03-19,11.45000
2024-03-20,11.47000
2024-03-22,11.72000
2024-03-26,11.77000
2024-03-28,11.95000
2024-03-31,11.95000
2024-04-02,12.15000
2024-04-04,12.27000
2024-04-05,12.27000
2024-04-09,12.31000
2024-04-10,12.37000
2024-04-15,12.17000
2024-04-18,12.09000
2024-04-19,12.11000
2024-04-23,12.34000
2024-04-24,12.41000
2024-04-25,12.51000
2024-04-30,12.59000
2024-05-02,12.63000
2024-05-06,12.52000
2024-05-07,12.40000
2024-05-09,12.24000
2024-05-10,12.34000
2024-05-13,12.31000
2024-05-15,12.54000
2024-05-17,12.87000
2024-05-22,12.94000
2024-05-23,13.06000
2024-05-27,13.15000
2024-05-28,13.02000
2024-05-30,12.91000
2024-05-31,12.96000
2024-06-04,12.47000
2024-06-05,12.84000
2024-06-07,13.35000
2024-06-10,13.41000
2024-06-12,13.54000
2024-06-14,13.76000
2024-06-18,13.83000
2024-06-19,13.75000
2024-06-21,13.80000
2024-06-24,13.81000
2024-06-26,13.86000
2024-06-28,13.90000
2024-07-01,14.05000
2024-07-02,14.02000
2024-07-05,14.17000
2024-07-08,14.12000
2024-07-09,14.14000
2024-07-11,14.11000
2024-07-15,14.21000
2024-07-16,14.23000
2024-07-19,13.96000
2024-07-22,14.05000
2024-07-23,14.05000
2024-07-25,14.16000
2024-07-29,14.41000
2024-07-31,14.52000
2024-08-01,14.48000
2024-08-05,13.96000
2024-08-06,13.91000
2024-08-07,14.17000
2024-08-09,14.23000
2024-08-13,14.16000
2024-08-14,14.14000
2024-08-19,14.44000
2024-08-20,14.52000
2024-08-22,14.60000
2024-08-23,14.60000
2024-08-27,14.69000
2024-08-29,14.67000
2024-08-30,14.76000
2024-09-02,14.71000
2024-09-04,14.80000
2024-09-05,14.84000
2024-09-09,14.65000
2024-09-11,14.72000
2024-09-12,14.93000
2024-09-16,15.00000
2024-09-17,15.02000
2024-09-19,14.98000
2024-09-23,15.27000
2024-09-24,15.27000
2024-09-26,15.26000
2024-09-27,15.28000
2024-10-01,15.17000
2024-10-03,14.86000
2024-10-07,14.52000
2024-10-08,14.76000
2024-10-10,14.86000
2024-10-11,14.86000
2024-10-15,15.02000
2024-10-17,14.80000
2024-10-21,14.67000
2024-10-22,14.36000
2024-10-24,14.36000
2024-10-25,14.18000
2024-10-29,14.40000
2024-10-30,14.39000
2024-10-31,14.46000
2024-11-05,14.47000
2024-11-06,14.74000
2024-11-08,14.46000
2024-11-11,14.41000
2024-11-13,13.96000
2024-11-18,13.97000
2024-11-21,14.00000
2024-11-22,14.21000
2024-11-25,14.42000
2024-11-27,14.53000
2024-11-28,14.44000
2024-12-02,14.64000
2024-12-04,14.85000
2024-12-05,14.94000
2024-12-09,14.96000
2024-12-11,15.02000
2024-12-12,14.94000
2024-12-16,15.02000
2024-12-17,14.90000
2024-12-19,14.75000
2024-12-20,14.47000
2024-12-23,14.47000
2024-12-27,14.50000
2024-12-30,14.47000
2025-01-01,14.57000
2025-01-02,14.72000
2025-01-06,14.34000
2025-01-07,14.42000
2025-01-09,14.17000
2025-01-10,13.96000
2025-01-13,13.56000
2025-01-16,13.92000
2025-01-17,13.86000
2025-01-20,13.91000
2025-01-22,13.56000
2025-01-23,13.67000
2025-01-27,13.20000
2025-01-28,13.17000
2025-01-30,13.50000
2025-01-31,13.69000
2025-02-04,13.84000
2025-02-05,13.92000
2025-02-07,13.82000
2025-02-11,13.27000
2025-02-13,13.20000
2025-02-14,12.98000
2025-02-18,12.91000
2025-02-19,13.05000
2025-02-20,13.13000
2025-02-24,12.91000
2025-02-27,12.76000
2025-02-28,12.48000
2025-03-04,12.62000
2025-03-06,12.95000
2025-03-07,12.92000
2025-03-10,12.77000
2025-03-12,12.75000
2025-03-17,12.80000
2025-03-18,13.07000
2025-03-19,13.24000
2025-03-24,13.59000
2025-03-25,13.49000
2025-03-26,13.37000
2025-03-28,13.37000
2025-04-01,13.21000
2025-04-02,13.35000
2025-04-03,13.34000
2025-04-07,12.64000
2025-04-09,12.79000
2025-04-11,13.05000
2025-04-15,13.37000
2025-04-21,13.85000
2025-04-22,13.91000
2025-04-24,13.95000
2025-04-25,13.73000
2025-04-29,13.89000
2025-04-30,13.79000
2025-05-05,13.90000
2025-05-06,13.68000
2025-05-07,13.84000
2025-05-09,13.62000
2025-05-13,14.05000
2025-05-15,14.33000
2025-05-16,14.43000
2025-05-20,14.27000
2025-05-21,14.36000
2025-05-22,14.29000
2025-05-26,14.46000
2025-05-28,14.44000
2025-05-29,14.52000
2025-06-02,14.58000
2025-06-03,14.54000
2025-06-05,14.70000
2025-06-09,14.97000
2025-06-10,14.96000
2025-06-11,14.97000
2025-06-13,14.71000
2025-06-16,14.81000
2025-06-19,14.59000
2025-06-20,14.78000
2025-06-23,14.80000
2025-06-25,15.01000
2025-06-27,15.18000
2025-06-30,15.19000
2025-07-02,15.12000
2025-07-03,15.13000
2025-07-07,15.11000
2025-07-08,15.14000
2025-07-09,15.15000
2025-07-11,14.98000
2025-07-15,15.17000
2025-07-17,15.21000
2025-07-18,15.09000
2025-07-21,15.16000
2025-07-23,15.19000
2025-07-24,15.15000
2025-07-28,14.84000
2025-07-30,14.95000
2025-08-01,14.77000
2025-08-04,14.84000
2025-08-06,14.74000
2025-08-07,14.76000
2025-08-08,14.65000
2025-08-12,14.73000
2025-08-14,14.80000
2025-08-18,14.96000
2025-08-20,15.11000
2025-08-22,15.03000
2025-08-25,15.06000
2025-08-26,14.85000
2025-08-29,14.67000
2025-09-01,14.84000
2025-09-03,14.96000
2025-09-05,14.95000
2025-09-08,14.98000
2025-09-10,15.08000
2025-09-11,15.08000
2025-09-15,15.14000
2025-09-16,15.23000
2025-09-18,15.33000
2025-09-19,15.33000
2025-09-23,15.18000
2025-09-25,14.99000
2025-09-26,14.77000
2025-09-30,14.78000
2025-10-03,14.95000
2025-10-07,15.06000
2025-10-08,15.01000
2025-10-10,15.08000
2025-10-14,15.02000
2025-10-15,15.14000
2025-10-16,15.22000
2025-10-20,15.29000
2025-10-24,15.30000
2025-10-27,15.41000
2025-10-29,15.48000
2025-10-31,15.32000
2025-11-03,15.44000
2025-11-06,15.25000
2025-11-07,15.24000
2025-11-10,15.32000
2025-11-12,15.40000
2025-11-14,15.37000
2025-11-17,15.47000
2025-11-18,15.40000
2025-11-20,15.49000
2025-11-24,15.34000
2025-11-26,15.51000
2025-11-27,15.48000
2025-12-01,15.46000
2025-12-02,15.39000
2025-12-03,15.34000
2025-12-05,15.38000
2025-12-08,15.20000
2025-12-10,15.16000
2025-12-12,15.35000
2025-12-15,15.35000
2025-12-17,15.22000
2025-12-18,15.22000
2025-12-22,15.48000
2025-12-24,15.45000
2025-12-26,15.39000
2025-12-30,15.30000
2025-12-31,15.43000
2026-01-02,15.56000
2026-01-06,15.51000
2026-01-07,15.52000
2026-01-09,15.14000
2026-01-12,15.07000
2026-01-13,15.09000
2026-01-16,15.12000
2026-01-19,15.05000
2026-01-21,14.71000
2026-01-23,14.62000
2026-01-28,14.83000
2026-01-29,14.82000
2026-02-02,14.75000
2026-02-03,15.13000
2026-02-04,15.16000
2026-02-06,15.14000
2026-02-09,15.35000
2026-02-11,15.39000
2026-02-13,15.10000
