# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:59.713760+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-04,0.000000,
2013-01-11,-0.034884,
2013-01-23,-0.025581,
2013-02-06,-0.050000,
2013-02-14,-0.075581,
2013-02-20,-0.068605,
2013-03-04,-0.119767,
2013-03-11,-0.084884,
2013-03-21,-0.151163,
2013-04-02,-0.132558,
2013-04-12,-0.161628,
2013-04-22,-0.117442,
2013-05-07,-0.083721,
2013-05-17,-0.072093,
2013-05-23,-0.112791,
2013-05-31,-0.113953,
2013-06-19,-0.137209,
2013-06-26,-0.183721,
2013-07-01,-0.136047,
2013-07-15,-0.127907,
2013-07-23,-0.144186,
2013-08-06,-0.240698,
2013-08-14,-0.201163,
2013-08-21,-0.261628,
2013-09-03,-0.268605,
2013-09-10,-0.191860,
2013-09-19,-0.152326,
2013-09-30,-0.191860,
2013-10-09,-0.155814,
2013-10-28,-0.156977,
2013-11-01,-0.112791,
2013-11-13,-0.158140,
2013-11-27,-0.143023,
2013-12-06,-0.095349,
2013-12-16,-0.119767,
2013-12-23,-0.095349,
2014-01-01,-0.083721,
2014-01-10,-0.129070,
2014-01-23,-0.122093,
2014-01-27,-0.158140,
2014-02-07,-0.141860,
2014-02-14,-0.152326,
2014-03-03,-0.134884,
2014-03-10,-0.065116,
2014-03-21,-0.066279,
2014-03-28,-0.004651,
2014-04-16,-0.018244,
2014-04-23,0.000000,
2014-05-05,-0.034871,
2014-05-12,0.000000,
2014-05-27,-0.024551,
2014-06-06,0.000000,
2014-06-13,-0.045815,
2014-06-20,-0.049339,
2014-07-07,0.000000,
2014-07-11,-0.079242,
2014-07-17,-0.031869,
2014-08-01,-0.067183,
2014-08-08,-0.073213,
2014-08-19,-0.025840,
2014-08-27,-0.042205,
2014-09-08,0.000000,
2014-09-22,-0.011874,
2014-09-25,-0.062765,
2014-10-16,-0.085666,
2014-10-22,-0.038168,
2014-10-31,0.000000,
2014-11-18,0.000000,
2014-12-01,-0.025765,
2014-12-04,-0.001610,
2014-12-17,-0.076490,
2014-12-22,-0.033816,
2015-01-02,-0.000805,
2015-01-14,-0.023331,
2015-01-27,0.000000,
2015-02-09,-0.060062,
2015-02-12,-0.026521,
2015-03-02,0.000000,
2015-03-11,-0.035008,
2015-03-17,-0.030441,
2015-03-26,-0.080670,
2015-04-08,-0.009132,
2015-04-15,-0.006849,
2015-04-27,-0.082953,
