# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:00.750617+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.094713,
2016-01-08,0.094773,
2016-01-15,0.094102,
2016-01-22,0.094392,
2016-01-29,0.094554,
2016-02-05,0.094174,
2016-02-12,0.094356,
2016-02-18,0.093819,
2016-02-26,0.093565,
2016-03-04,0.094685,
2016-03-18,0.094467,
2016-03-23,0.094591,
2016-03-31,0.094641,
2016-04-07,0.095063,
2016-04-13,0.094826,
2016-04-22,0.094991,
2016-04-29,0.094728,
2016-05-13,0.094923,
2016-05-20,0.095313,
2016-05-27,0.095658,
2016-06-03,0.095437,
2016-06-10,0.096141,
2016-06-17,0.096036,
2016-06-24,0.096555,
2016-07-01,0.096823,
2016-07-08,0.097507,
2016-07-22,0.103770,
2016-07-29,0.104088,
2016-08-05,0.103742,
2016-08-12,0.106171,
2016-08-19,0.106659,
2016-08-26,0.107268,
2016-09-02,0.104111,
2016-09-09,0.104550,
2016-09-16,0.103012,
2016-09-30,0.103600,
2016-10-07,0.102658,
2016-10-14,0.103020,
2016-10-21,0.102978,
2016-10-28,0.102099,
2016-11-04,0.102239,
2016-11-11,0.104053,
2016-11-25,0.107065,
2016-12-02,0.105985,
2016-12-09,0.104690,
2016-12-16,0.104287,
2016-12-23,0.104127,
2016-12-30,0.104132,
2017-01-06,0.105424,
2017-01-13,0.105128,
2017-01-20,0.104890,
2017-02-03,0.105728,
2017-02-10,0.104521,
2017-02-17,0.104815,
2017-02-23,0.104399,
2017-03-03,0.104727,
2017-03-10,0.103342,
2017-03-17,0.103446,
2017-03-24,0.103383,
2017-03-31,0.103673,
2017-04-13,0.103588,
2017-04-21,0.103365,
2017-04-28,0.103073,
2017-05-05,0.102856,
2017-05-12,0.102527,
2017-05-19,0.102280,
2017-05-26,0.102353,
2017-06-02,0.102457,
2017-06-16,0.103225,
2017-06-23,0.103262,
2017-06-30,0.102516,
2017-07-07,0.102576,
2017-07-14,0.103189,
2017-07-21,0.103394,
2017-07-28,0.103245,
2017-08-04,0.103615,
2017-08-18,0.103007,
2017-08-24,0.102716,
2017-09-01,0.102967,
2017-09-08,0.102633,
2017-09-15,0.102256,
2017-09-22,0.101512,
2017-09-29,0.101010,
2017-10-13,0.100583,
2017-10-18,0.099378,
2017-10-27,0.099186,
2017-11-03,0.097756,
2017-11-10,0.097239,
2017-11-17,0.095981,
2017-11-24,0.096197,
2017-11-30,0.094983,
2017-12-08,0.094769,
2017-12-22,0.094450,
2017-12-29,0.093358,
2018-01-05,0.093399,
2018-01-12,0.091923,
2018-01-19,0.091641,
2018-01-25,0.091336,
2018-02-02,0.090357,
2018-02-09,0.091034,
2018-02-23,0.090103,
2018-03-01,0.089370,
2018-03-09,0.090108,
2018-03-16,0.090923,
2018-03-23,0.090736,
2018-03-28,0.090192,
2018-04-06,0.091604,
2018-04-13,0.090778,
2018-04-20,0.089099,
