# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 24 Sep 2026 (2 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:33:59.376586+00:00
date,nav
2013-01-01,1322.40000
2013-01-06,1324.01060
2013-01-18,1327.78080
2013-01-27,1330.57030
2013-02-01,1332.13070
2013-02-17,1337.01610
2013-02-22,1338.54510
2013-03-03,1341.31410
2013-03-15,1345.05680
2013-03-28,1349.02930
2013-04-03,1351.15630
2013-04-21,1356.74750
2013-04-26,1358.25470
2013-05-12,1363.26460
2013-05-17,1364.81670
2013-05-26,1367.56480
2013-06-07,1371.25480
2013-06-21,1375.50640
2013-07-01,1378.74280
2013-07-11,1381.86670
2013-07-16,1380.90500
2013-07-24,1382.89540
2013-08-08,1389.27930
2013-08-13,1391.34340
2013-08-30,1398.57380
2013-09-09,1402.74310
2013-09-13,1404.30310
2013-09-22,1408.34430
2013-10-04,1413.18310
2013-10-13,1416.93930
2013-10-25,1421.48990
2013-11-04,1425.25150
2013-11-17,1430.04100
2013-11-22,1431.85620
2013-12-08,1437.57540
2013-12-13,1439.34540
2013-12-22,1442.52600
2014-01-03,1446.84410
2014-01-12,1449.98190
2014-01-24,1454.12030
2014-02-02,1457.19010
2014-02-14,1461.40900
2014-02-23,1464.57960
2014-03-07,1468.84680
2014-03-14,1471.42030
2014-03-28,1476.82310
2014-04-02,1479.03100
2014-04-20,1485.79560
2014-04-25,1487.64000
2014-05-11,1493.43970
2014-05-16,1495.28680
2014-05-25,1498.53810
2014-06-06,1502.87630
2014-06-15,1506.09600
2014-06-27,1510.37900
2014-07-06,1513.62100
2014-07-14,1516.48560
2014-07-24,1520.02660
2014-07-29,1521.77680
2014-08-08,1525.30760
2014-08-22,1530.32970
2014-08-24,1531.02070
2014-09-02,1534.25620
2014-09-14,1538.58870
2014-09-22,1541.48340
2014-09-28,1543.64560
2014-10-10,1548.12730
2014-10-19,1551.38460
2014-10-26,1553.93660
2014-11-02,1556.52570
2014-11-07,1558.45640
2014-11-21,1563.56280
2014-11-23,1564.28040
2014-12-04,1568.28140
2014-12-15,1572.25330
2014-12-26,1576.18680
2015-01-01,1578.39140
2015-01-05,1579.82360
2015-01-15,1583.49580
2015-01-23,1586.42660
2015-02-01,1589.68740
2015-02-14,1594.41940
2015-02-23,1597.70050
2015-02-26,1598.81430
2015-03-04,1601.09440
2015-03-15,1605.14900
2015-03-29,1610.49620
2015-03-31,1611.97320
2015-04-08,1615.11190
2015-04-19,1619.13800
2015-04-29,1622.86910
2015-05-08,1626.15090
2015-05-15,1628.71400
2015-05-27,1633.22690
2015-06-03,1635.84640
2015-06-09,1638.06560
2015-06-21,1642.46200
2015-06-29,1645.32140
2015-07-06,1647.97630
2015-07-09,1649.05150
2015-07-24,1654.48460
2015-08-02,1657.70590
2015-08-07,1659.52660
2015-08-13,1661.64630
2015-08-20,1664.09830
2015-08-31,1667.93770
2015-09-07,1670.36860
2015-09-20,1674.92440
2015-09-28,1677.73800
2015-10-07,1681.26150
2015-10-12,1682.94470
2015-10-25,1687.41810
2015-10-26,1687.77940
2015-11-11,1693.29370
2015-11-17,1695.39430
2015-11-24,1697.79140
2015-12-04,1701.13950
2015-12-14,1704.56890
2015-12-23,1707.79530
2015-12-27,1709.12220
2016-01-01,1710.96200
2016-01-12,1714.84250
2016-01-21,1717.93360
2016-02-03,1722.52940
2016-02-07,1723.96930
2016-02-17,1727.65010
2016-02-28,1731.60850
2016-03-06,1734.34160
2016-03-15,1737.75600
2016-03-25,1741.82960
2016-03-31,1745.04800
2016-04-07,1748.17970
2016-04-18,1752.42210
2016-04-20,1753.18770
2016-04-28,1756.18720
2016-05-14,1762.28360
2016-05-20,1764.64980
2016-05-30,1768.36250
2016-06-08,1771.79120
2016-06-10,1772.53370
2016-06-23,1777.21410
2016-07-01,1780.33020
2016-07-08,1782.94540
2016-07-21,1787.75650
2016-07-26,1789.50060
2016-08-02,1791.98430
2016-08-11,1795.16240
2016-08-23,1799.31340
2016-08-29,1801.42360
2016-09-06,1804.14700
2016-09-16,1807.58390
2016-09-25,1810.63900
2016-10-03,1813.49070
2016-10-06,1814.55220
2016-10-16,1817.91060
2016-10-26,1821.26590
2016-11-03,1824.02510
2016-11-14,1827.72860
2016-11-24,1831.28320
2016-12-01,1833.51370
2016-12-07,1835.17080
2016-12-15,1837.91850
2016-12-26,1841.45640
2016-12-30,1842.87860
2017-01-06,1845.20930
2017-01-16,1848.44560
2017-01-29,1852.77430
2017-02-05,1855.11300
2017-02-10,1856.89390
2017-02-21,1860.57440
2017-03-02,1863.66830
2017-03-13,1867.34600
2017-03-22,1870.57880
2017-03-29,1872.95040
2017-03-31,1873.74830
2017-04-12,1877.83150
2017-04-24,1881.76250
2017-04-27,1882.75610
2017-05-10,1887.15460
2017-05-18,1889.91500
2017-05-28,1893.27810
2017-06-02,1895.01670
2017-06-11,1898.02510
2017-06-21,1901.42640
2017-06-29,1904.28350
2017-07-05,1906.31250
2017-07-11,1908.48000
2017-07-25,1913.24330
2017-08-02,1916.02440
2017-08-11,1919.23040
2017-08-13,1919.88130
2017-08-22,1922.94890
2017-09-06,1927.96110
2017-09-11,1929.65380
2017-09-17,1931.77540
2017-09-28,1935.63540
2017-10-08,1939.01750
2017-10-15,1941.44380
2017-10-26,1945.14450
2017-10-29,1946.16690
2017-11-07,1949.33270
2017-11-16,1952.37400
2017-11-27,1956.13150
2017-12-03,1958.20540
2017-12-12,1961.25660
2017-12-21,1964.39280
2017-12-29,1967.35830
2018-01-04,1969.41610
2018-01-17,1973.96240
2018-01-23,1976.15800
2018-01-29,1978.25870
2018-02-11,1982.92240
2018-02-19,1985.82090
2018-02-27,1988.73400
2018-03-08,1992.17930
2018-03-16,1995.82140
2018-03-26,1999.50100
2018-03-28,2002.09350
2018-04-09,2006.81250
2018-04-18,2010.25210
2018-04-24,2012.47060
2018-05-04,2016.31640
2018-05-13,2019.64680
2018-05-23,2023.47350
2018-05-27,2025.04690
2018-06-11,2031.13860
2018-06-19,2034.72520
2018-06-27,2037.87800
2018-07-04,2041.16190
2018-07-15,2045.56790
2018-07-18,2046.82300
2018-07-29,2051.25430
2018-08-05,2054.29900
2018-08-15,2058.32770
2018-08-26,2062.71330
2018-09-03,2065.95700
2018-09-12,2069.47360
2018-09-23,2073.97290
2018-09-28,2075.83610
2018-10-21,2085.71290
2018-10-31,2089.93960
2018-11-11,2094.73220
2018-11-21,2099.15850
2018-12-02,2103.83380
2018-12-16,2109.90550
2018-12-21,2111.88830
2019-01-06,2118.82700
2019-01-11,2120.92440
2019-01-20,2124.64480
2019-02-01,2129.52720
2019-02-10,2133.23570
2019-02-22,2137.93960
2019-03-04,2141.93920
2019-03-15,2146.47520
2019-03-28,2151.84270
2019-03-31,2154.34450
2019-04-12,2159.39840
2019-04-29,2166.43060
2019-05-03,2168.04190
2019-05-17,2173.99630
2019-05-26,2177.97000
2019-06-09,2183.91640
2019-06-14,2185.82870
2019-06-27,2190.66800
2019-07-07,2194.75530
2019-07-12,2196.57780
2019-07-21,2199.99620
2019-08-02,2204.58180
2019-08-12,2208.27900
2019-08-25,2212.71510
2019-08-31,2214.73830
2019-09-15,2219.84860
2019-09-20,2221.25200
2019-09-27,2223.45960
2019-10-07,2227.35630
2019-10-18,2231.16640
2019-11-03,2236.21850
2019-11-08,2237.57900
2019-11-24,2242.64990
2019-12-01,2244.98440
2019-12-13,2248.47240
2019-12-17,2249.88650
2020-01-05,2255.89790
2020-01-10,2257.21420
2020-01-17,2259.16210
2020-01-26,2261.90900
2020-02-07,2265.60090
2020-02-19,2269.35030
2020-03-08,2275.15250
2020-03-17,2277.49520
2020-03-25,2274.27770
2020-03-31,2284.49580
2020-04-12,2287.96580
2020-04-26,2294.29980
2020-05-04,2295.65370
2020-05-21,2302.28770
2020-05-25,2303.59420
2020-06-05,2305.41910
2020-06-14,2307.74560
2020-07-01,2312.11630
2020-07-03,2312.38190
2020-07-17,2315.07440
2020-07-26,2316.82000
2020-08-07,2319.14110
2020-08-16,2321.05860
2020-08-23,2322.57640
2020-09-10,2326.00500
2020-09-13,2326.49350
2020-09-24,2328.67080
2020-10-06,2331.37310
2020-10-25,2335.52540
2020-11-05,2337.70530
2020-11-16,2339.98870
2020-11-30,2342.82820
2020-12-03,2343.15130
2020-12-17,2345.67810
2021-01-03,2349.27850
2021-01-11,2350.25410
2021-01-22,2352.40520
2021-02-04,2355.17510
2021-02-21,2358.99940
2021-03-02,2360.70560
2021-03-04,2361.04060
2021-03-21,2364.64440
2021-04-03,2367.80950
2021-04-15,2370.31030
2021-04-25,2372.40970
2021-05-06,2374.58910
2021-05-16,2376.60960
2021-05-27,2378.86990
2021-06-06,2380.99560
2021-06-17,2383.21850
2021-06-27,2385.49130
2021-07-08,2387.78080
2021-07-25,2391.45010
2021-07-30,2392.55300
2021-08-12,2395.39100
2021-08-22,2397.56500
2021-09-02,2399.92520
2021-09-12,2401.90820
2021-09-29,2405.17880
2021-10-11,2408.22070
2021-10-17,2409.53050
2021-10-28,2411.41660
2021-11-14,2415.85710
2021-11-18,2416.79680
2021-11-28,2419.17370
2021-12-15,2423.17710
2021-12-26,2425.75990
2022-01-06,2428.69680
2022-01-16,2431.03470
2022-01-20,2431.61110
2022-02-06,2435.77050
2022-02-20,2439.31200
2022-03-03,2441.77770
2022-03-20,2446.10030
2022-03-30,2448.46820
2022-04-04,2450.60410
2022-04-24,2455.38870
2022-05-05,2456.77440
2022-05-10,2458.18710
2022-05-27,2463.31190
2022-06-07,2466.47030
2022-06-12,2468.48160
2022-06-23,2471.95890
2022-07-10,2478.17910
2022-07-24,2482.30450
2022-07-31,2484.22360
2022-08-04,2486.02240
2022-08-21,2492.38170
2022-09-11,2500.35370
2022-09-15,2501.45100
2022-09-28,2505.19300
2022-10-09,2511.05980
2022-10-20,2515.00250
2022-11-08,2523.46460
2022-11-24,2530.67020
2022-11-27,2532.08710
2022-12-15,2540.27610
2023-01-01,2548.84700
2023-01-08,2552.24900
2023-01-19,2556.71680
2023-01-29,2561.12980
2023-02-09,2566.03340
2023-02-19,2570.62580
2023-03-02,2575.26780
2023-03-16,2582.28750
2023-03-28,2587.24210
2023-04-16,2599.51600
2023-04-28,2604.71160
2023-05-07,2609.10190
2023-05-22,2617.45870
2023-06-01,2622.02660
2023-06-11,2626.84460
2023-06-22,2632.31340
2023-07-09,2640.74470
2023-07-20,2646.14770
2023-08-06,2654.48330
2023-08-10,2656.13920
2023-08-27,2664.40540
2023-09-07,2669.95060
2023-09-24,2678.37500
2023-09-28,2680.32590
2023-10-19,2690.95480
2023-10-29,2695.98410
2023-11-09,2701.69180
2023-11-19,2706.89530
2023-12-10,2717.88210
2023-12-15,2720.19530
2023-12-22,2724.01300
2024-01-07,2733.61780
2024-01-19,2740.00530
2024-01-24,2742.56460
2024-02-04,2748.55430
2024-02-15,2754.66430
2024-03-10,2768.40080
2024-03-20,2773.89700
2024-03-30,2779.94740
2024-04-09,2787.07280
2024-04-21,2793.68780
2024-05-09,2802.46140
2024-05-20,2808.54690
2024-05-26,2812.16870
2024-06-13,2821.95130
2024-06-23,2827.41760
2024-06-28,2829.91780
2024-07-12,2838.14800
2024-07-21,2843.05270
2024-08-08,2852.73520
2024-08-18,2858.14840
2024-08-29,2864.07530
2024-09-08,2869.42690
2024-09-20,2876.13520
2024-10-05,2885.29100
2024-10-20,2893.40950
2024-10-25,2896.01830
2024-11-07,2903.34980
2024-11-23,2912.10890
2024-12-01,2916.49590
2024-12-08,2920.51930
2024-12-19,2926.15450
2024-12-27,2930.06980
2025-01-05,2936.35180
2025-01-19,2943.96320
2025-01-24,2946.58650
2025-02-04,2953.15150
2025-02-16,2960.35420
2025-03-02,2968.06340
2025-03-12,2973.06670
2025-03-27,2982.11800
2025-04-03,2990.45200
2025-04-20,2999.67950
2025-04-27,3003.27880
2025-05-08,3008.46540
2025-05-25,3018.26350
2025-06-02,3022.53130
2025-06-08,3026.81550
2025-06-22,3033.07770
2025-06-29,3036.08540
2025-07-06,3040.70350
2025-07-27,3050.29570
2025-08-01,3052.47230
2025-08-10,3056.63520
2025-08-22,3062.42810
2025-09-04,3068.37770
2025-09-08,3070.29700
2025-09-25,3078.03730
2025-10-01,3081.74660
2025-10-16,3088.91630
2025-10-26,3093.74610
2025-11-09,3100.61040
2025-11-20,3106.12740
2025-12-06,3114.14980
2025-12-12,3116.67080
2025-12-19,3120.05790
2025-12-30,3125.31650
2026-01-11,3131.88300
2026-01-21,3136.00880
2026-01-30,3140.72660
2026-02-15,3150.96610
2026-02-27,3156.75310
2026-03-08,3161.11640
2026-03-26,3169.27780
2026-04-02,3178.06460
2026-04-19,3189.74780
2026-04-23,3191.26180
2026-05-07,3197.40230
2026-05-17,3202.26590
2026-05-26,3206.59100
2026-06-04,3211.90500
2026-06-16,3221.62910
2026-07-05,3234.46550
2026-07-08,3234.39770
2026-07-16,3238.72930
2026-08-09,3252.88960
2026-08-13,3255.22080
2026-08-27,3262.65840
2026-09-05,3269.71940
2026-09-17,3274.94660
2026-09-24,3278.62480
