# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:57.803158+00:00
stretch_ending,fund_return,benchmark_return
2017-03-23,0.118375,
2017-03-30,0.114448,
2017-04-06,0.117788,
2017-04-13,0.117389,
2017-04-20,0.113997,
2017-04-27,0.117860,
2017-05-04,0.118686,
2017-05-11,0.113283,
2017-05-18,0.103846,
2017-05-25,0.099948,
2017-06-01,0.102121,
2017-06-08,0.096380,
2017-06-15,0.100816,
2017-06-22,0.101243,
2017-06-29,0.097182,
2017-07-06,0.095828,
2017-07-13,0.106716,
2017-07-20,0.101902,
2017-07-27,0.104414,
2017-08-03,0.106126,
2017-08-10,0.105574,
2017-08-17,0.099958,
2017-08-24,0.100185,
2017-08-31,0.098785,
2017-09-07,0.098416,
2017-09-14,0.099333,
2017-09-21,0.097875,
2017-09-28,0.096922,
2017-10-05,0.100570,
2017-10-12,0.101602,
2017-10-18,0.100116,
2017-10-26,0.095415,
2017-11-02,0.090647,
2017-11-09,0.088816,
2017-11-16,0.084512,
2017-11-23,0.083858,
2017-11-30,0.082850,
2017-12-07,0.082603,
2017-12-14,0.084472,
2017-12-21,0.086402,
2017-12-28,0.085738,
2018-01-04,0.083120,
2018-01-11,0.084710,
2018-01-18,0.078481,
2018-01-25,0.074227,
2018-02-01,0.074080,
2018-02-08,0.076552,
2018-02-15,0.071780,
2018-02-22,0.068796,
2018-03-01,0.067827,
2018-03-08,0.066288,
2018-03-15,0.068889,
2018-03-22,0.067673,
2018-03-28,0.069436,
2018-04-05,0.070320,
2018-04-12,0.070972,
2018-04-19,0.075282,
2018-04-26,0.077347,
2018-05-03,0.074012,
2018-05-10,0.074376,
2018-05-17,0.071916,
2018-05-24,0.068171,
2018-05-31,0.071020,
2018-06-07,0.075594,
2018-06-14,0.076362,
2018-06-21,0.070112,
2018-06-28,0.069338,
2018-07-05,0.068404,
2018-07-12,0.069861,
