# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:46.716212+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.117841,
2016-01-08,0.099443,
2016-01-15,0.080165,
2016-01-22,0.078501,
2016-01-29,0.083412,
2016-02-05,0.080427,
2016-02-12,0.055433,
2016-02-19,0.070434,
2016-02-26,0.066622,
2016-03-04,0.094240,
2016-03-18,0.112542,
2016-03-23,0.121556,
2016-04-01,0.122382,
2016-04-08,0.117004,
2016-04-13,0.125660,
2016-04-22,0.119837,
2016-04-29,0.110928,
2016-05-06,0.099748,
2016-05-20,0.094330,
2016-05-27,0.116279,
2016-06-03,0.128925,
2016-06-10,0.142741,
2016-06-17,0.141394,
2016-06-24,0.157582,
2016-07-01,0.158235,
2016-07-08,0.153252,
2016-07-22,0.155345,
2016-07-29,0.171353,
2016-08-05,0.187964,
2016-08-12,0.169810,
2016-08-19,0.207292,
2016-08-26,0.199238,
2016-09-02,0.198600,
2016-09-09,0.172935,
2016-09-23,0.172539,
2016-09-30,0.158902,
2016-10-07,0.157775,
2016-10-14,0.149521,
2016-10-21,0.148721,
2016-10-28,0.141697,
2016-11-04,0.124687,
2016-11-11,0.146531,
2016-11-18,0.133447,
2016-12-02,0.126192,
2016-12-09,0.125314,
2016-12-16,0.121591,
2016-12-23,0.104620,
2016-12-30,0.109555,
2017-01-06,0.121621,
2017-01-13,0.127744,
2017-01-20,0.123939,
2017-02-03,0.163240,
2017-02-10,0.158153,
2017-02-17,0.153224,
2017-02-23,0.144889,
2017-03-03,0.135405,
2017-03-10,0.122216,
2017-03-17,0.128361,
2017-03-24,0.122868,
2017-04-07,0.117368,
2017-04-13,0.125168,
2017-04-21,0.110163,
2017-04-28,0.130365,
2017-05-05,0.129689,
2017-05-12,0.110965,
2017-05-19,0.095278,
2017-05-26,0.083740,
2017-06-09,0.068066,
2017-06-16,0.069015,
2017-06-23,0.063453,
2017-06-30,0.054467,
2017-07-07,0.064856,
2017-07-14,0.069471,
2017-07-21,0.065169,
2017-07-28,0.069283,
2017-08-04,0.073816,
2017-08-18,0.053604,
2017-08-24,0.049252,
2017-09-01,0.042368,
2017-09-08,0.037755,
2017-09-15,0.050728,
2017-09-22,0.046531,
2017-09-29,0.040651,
2017-10-13,0.063895,
2017-10-18,0.051253,
2017-10-27,0.075241,
2017-11-03,0.077331,
2017-11-10,0.068185,
2017-11-17,0.063808,
2017-11-24,0.064871,
2017-12-01,0.045620,
2017-12-08,0.057522,
2017-12-15,0.069640,
2017-12-29,0.065642,
2018-01-05,0.077506,
2018-01-12,0.070678,
2018-01-19,0.057140,
2018-01-25,0.051607,
2018-02-02,0.045869,
2018-02-09,0.046405,
2018-02-16,0.027904,
2018-03-01,0.019279,
2018-03-09,0.014442,
2018-03-16,0.018442,
2018-03-23,0.019425,
2018-03-28,0.017116,
2018-04-06,0.023735,
2018-04-13,0.027500,
2018-04-27,0.050033,
2018-05-04,0.053982,
2018-05-11,0.049338,
2018-05-18,0.031735,
2018-05-25,0.037845,
2018-06-01,0.043209,
2018-06-08,0.046610,
2018-06-15,0.050810,
2018-06-22,0.041738,
2018-06-29,0.032441,
2018-07-13,0.036620,
2018-07-20,0.028387,
2018-07-27,0.049262,
2018-08-03,0.038210,
2018-08-10,0.047764,
2018-08-17,0.043580,
2018-08-24,0.079266,
2018-08-31,0.088502,
2018-09-14,0.079858,
2018-09-21,0.071867,
2018-09-28,0.061803,
2018-10-05,0.037024,
2018-10-12,0.038648,
2018-10-19,0.029618,
2018-10-26,0.025149,
2018-11-02,0.047043,
2018-11-16,0.061214,
2018-11-22,0.050836,
2018-11-30,0.060003,
2018-12-07,0.067261,
2018-12-14,0.072566,
2018-12-21,0.065849,
2018-12-28,0.067360,
2019-01-04,0.071934,
2019-01-18,0.109370,
2019-01-25,0.096075,
2019-02-01,0.114916,
2019-02-08,0.121382,
2019-02-15,0.115057,
2019-02-22,0.119062,
2019-03-01,0.102019,
2019-03-08,0.100450,
2019-03-15,0.108881,
2019-03-29,0.097858,
2019-04-05,0.107322,
2019-04-12,0.093448,
2019-04-18,0.091964,
2019-04-26,0.086431,
2019-05-03,0.098717,
2019-05-10,0.086018,
2019-05-24,0.100939,
2019-05-31,0.093132,
2019-06-07,0.084643,
2019-06-14,0.084441,
2019-06-21,0.080502,
2019-06-28,0.083755,
2019-07-05,0.076770,
2019-07-12,0.063096,
2019-07-26,0.053526,
2019-08-02,0.055901,
2019-08-09,0.060117,
2019-08-16,0.051730,
2019-08-23,0.047146,
2019-08-30,0.053186,
2019-09-06,0.045391,
2019-09-13,0.055000,
2019-09-20,0.064996,
2019-10-04,0.059423,
2019-10-11,0.071032,
2019-10-18,0.075194,
2019-10-25,0.075079,
2019-11-01,0.089502,
2019-11-08,0.088355,
2019-11-15,0.090632,
2019-11-22,0.091976,
2019-11-29,0.087622,
2019-12-13,0.094240,
2019-12-20,0.106557,
2019-12-27,0.113302,
2020-01-03,0.106418,
2020-01-10,0.098398,
2020-01-17,0.100908,
2020-01-24,0.101681,
2020-01-31,0.089301,
2020-02-14,0.093095,
2020-02-20,0.084481,
2020-02-28,0.065796,
2020-03-06,0.064883,
2020-03-13,0.029058,
2020-03-20,-0.006523,
2020-03-27,-0.018401,
2020-04-03,-0.043228,
2020-04-09,-0.008712,
2020-04-24,-0.011126,
2020-04-30,0.007463,
2020-05-08,-0.014539,
2020-05-15,-0.021916,
2020-05-22,-0.009112,
2020-05-29,0.000372,
2020-06-05,0.013383,
2020-06-12,0.009584,
2020-06-26,0.031168,
2020-07-03,0.032711,
