# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:44.999770+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.079358,
2016-01-08,0.078755,
2016-01-15,0.078444,
2016-01-22,0.078352,
2016-01-29,0.078667,
2016-02-05,0.079093,
2016-02-12,0.078216,
2016-02-18,0.078455,
2016-02-26,0.078616,
2016-03-11,0.078747,
2016-03-18,0.078890,
2016-03-23,0.078707,
2016-03-31,0.079436,
2016-04-07,0.079839,
2016-04-13,0.079971,
2016-04-22,0.080146,
2016-04-29,0.080172,
2016-05-13,0.080454,
2016-05-20,0.080522,
2016-05-27,0.080538,
2016-06-03,0.080585,
2016-06-10,0.080640,
2016-06-17,0.080591,
2016-06-24,0.080580,
2016-07-01,0.080652,
2016-07-08,0.080899,
2016-07-22,0.083463,
2016-07-29,0.083522,
2016-08-05,0.083337,
2016-08-12,0.084047,
2016-08-19,0.083884,
2016-08-26,0.084221,
2016-09-02,0.082971,
2016-09-09,0.083210,
2016-09-16,0.082107,
2016-09-30,0.081915,
2016-10-07,0.082073,
2016-10-14,0.081874,
2016-10-21,0.081559,
2016-10-28,0.081168,
2016-11-04,0.081113,
2016-11-11,0.081578,
2016-11-25,0.082536,
2016-12-02,0.082092,
2016-12-09,0.081108,
2016-12-16,0.080859,
2016-12-23,0.080671,
2016-12-30,0.080479,
2017-01-06,0.080930,
2017-01-13,0.080777,
2017-01-20,0.080608,
2017-02-03,0.080837,
2017-02-10,0.080196,
2017-02-17,0.080297,
2017-02-23,0.079971,
2017-03-03,0.079906,
2017-03-10,0.079314,
2017-03-17,0.079250,
2017-03-24,0.079074,
2017-04-07,0.078930,
2017-04-13,0.078986,
2017-04-21,0.078761,
2017-04-28,0.078463,
2017-05-05,0.078307,
2017-05-12,0.078001,
2017-05-19,0.077785,
2017-05-26,0.077662,
2017-06-02,0.077512,
2017-06-16,0.078235,
2017-06-23,0.078128,
2017-06-30,0.077826,
2017-07-07,0.077762,
2017-07-14,0.078031,
2017-07-21,0.078077,
2017-07-28,0.078026,
2017-08-04,0.078122,
2017-08-18,0.077973,
2017-08-24,0.077781,
2017-09-01,0.077972,
2017-09-08,0.077872,
2017-09-15,0.077760,
2017-09-22,0.077374,
2017-09-29,0.076852,
2017-10-06,0.077075,
2017-10-18,0.075799,
2017-10-27,0.075947,
2017-11-03,0.075238,
2017-11-10,0.075063,
2017-11-17,0.074683,
2017-11-24,0.074696,
2017-11-30,0.074346,
2017-12-08,0.074471,
2017-12-22,0.074331,
2017-12-29,0.074014,
2018-01-05,0.074025,
2018-01-12,0.073316,
2018-01-19,0.073097,
2018-01-25,0.072845,
2018-02-02,0.073020,
2018-02-09,0.073591,
2018-02-23,0.072988,
2018-03-01,0.072307,
2018-03-09,0.072770,
2018-03-16,0.073205,
2018-03-23,0.073495,
2018-03-28,0.072312,
2018-04-06,0.073409,
2018-04-13,0.073351,
2018-04-20,0.072910,
2018-05-04,0.074469,
2018-05-11,0.074016,
2018-05-18,0.073226,
2018-05-25,0.072956,
2018-06-01,0.073307,
2018-06-08,0.073436,
2018-06-15,0.073329,
2018-06-22,0.073904,
2018-06-29,0.073551,
2018-07-13,0.074743,
2018-07-20,0.074717,
2018-07-27,0.074555,
2018-08-03,0.074974,
2018-08-10,0.074839,
2018-08-16,0.074407,
2018-08-24,0.074655,
2018-09-07,0.074009,
2018-09-14,0.072933,
2018-09-21,0.073165,
2018-09-28,0.072145,
2018-10-05,0.072190,
2018-10-12,0.072475,
2018-10-19,0.073001,
2018-10-26,0.073153,
2018-11-02,0.073814,
2018-11-16,0.074504,
2018-11-22,0.075114,
2018-11-30,0.075958,
2018-12-07,0.077338,
2018-12-14,0.077019,
2018-12-21,0.078254,
2018-12-28,0.078435,
2019-01-04,0.078370,
2019-01-11,0.079159,
2019-01-25,0.079344,
2019-02-01,0.078778,
2019-02-08,0.079883,
2019-02-15,0.080267,
2019-02-22,0.080244,
2019-03-01,0.079914,
2019-03-08,0.080408,
2019-03-15,0.081055,
2019-03-29,0.081136,
2019-04-05,0.080484,
2019-04-12,0.079431,
2019-04-18,0.079433,
2019-04-26,0.079152,
2019-05-03,0.078895,
2019-05-10,0.078923,
2019-05-24,0.080642,
2019-05-31,0.082247,
2019-06-07,0.082338,
2019-06-14,0.082434,
2019-06-21,0.082896,
2019-06-28,0.082225,
2019-07-05,0.083550,
2019-07-12,0.084783,
2019-07-26,0.083900,
2019-08-02,0.085532,
2019-08-09,0.084666,
2019-08-16,0.084216,
2019-08-23,0.084991,
2019-08-30,0.084911,
2019-09-06,0.084794,
2019-09-13,0.084721,
2019-09-20,0.083077,
2019-10-04,0.082416,
2019-10-11,0.082854,
2019-10-18,0.083465,
2019-10-25,0.084213,
2019-11-01,0.085240,
2019-11-08,0.084027,
2019-11-15,0.083606,
2019-11-22,0.083372,
2019-11-29,0.083861,
2019-12-13,0.082914,
2019-12-20,0.083531,
2019-12-27,0.083571,
2020-01-03,0.083451,
2020-01-10,0.083275,
2020-01-17,0.083246,
2020-01-24,0.083771,
2020-01-31,0.083611,
2020-02-14,0.086587,
2020-02-20,0.086241,
2020-02-28,0.085830,
2020-03-06,0.087084,
2020-03-13,0.082378,
2020-03-20,0.077775,
2020-03-27,0.083805,
2020-04-03,0.083343,
2020-04-09,0.079753,
2020-04-24,0.084485,
2020-04-30,0.084222,
2020-05-08,0.086749,
2020-05-15,0.086925,
2020-05-22,0.089523,
2020-05-29,0.089014,
2020-06-05,0.087769,
2020-06-12,0.088240,
2020-06-26,0.090801,
2020-07-03,0.091613,
2020-07-10,0.092935,
2020-07-17,0.092794,
2020-07-24,0.092139,
2020-07-31,0.091907,
2020-08-07,0.091237,
2020-08-14,0.090502,
2020-08-28,0.088395,
2020-09-04,0.090236,
2020-09-11,0.088484,
2020-09-18,0.088768,
2020-09-25,0.088598,
2020-10-01,0.088940,
2020-10-09,0.090439,
2020-10-16,0.090540,
2020-10-29,0.090617,
2020-11-06,0.091270,
2020-11-13,0.091482,
2020-11-20,0.091647,
2020-11-27,0.091817,
2020-12-04,0.091465,
2020-12-11,0.091074,
2020-12-18,0.091026,
2021-01-01,0.091198,
2021-01-08,0.091580,
2021-01-15,0.089536,
2021-01-22,0.089038,
2021-01-29,0.089086,
2021-02-05,0.086952,
2021-02-12,0.087228,
2021-02-18,0.087424,
2021-02-26,0.086752,
2021-03-12,0.086029,
2021-03-19,0.086124,
2021-03-26,0.086239,
2021-03-31,0.086130,
2021-04-09,0.086443,
2021-04-16,0.086161,
2021-04-23,0.086814,
2021-05-07,0.087152,
2021-05-14,0.087146,
2021-05-21,0.087362,
2021-05-28,0.087182,
2021-06-04,0.087039,
2021-06-11,0.087341,
2021-06-18,0.085875,
2021-06-25,0.085698,
