# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:44.887333+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-03,10000.00,
2013-01-10,10036.32,
2013-01-14,10045.68,
2013-02-11,10069.21,
2013-02-18,10106.25,
2013-03-01,10119.96,
2013-03-15,10152.32,
2013-04-01,10191.27,
2013-04-05,10199.25,
2013-04-18,10224.56,
2013-04-29,10246.70,
2013-05-06,10260.81,
2013-05-17,10283.22,
2013-05-27,10303.32,
2013-06-06,10323.22,
2013-06-11,10334.83,
2013-06-21,10356.77,
2013-07-08,10392.96,
2013-07-16,10364.48,
2013-07-22,10392.36,
2013-07-29,10387.16,
2013-08-12,10428.09,
2013-08-20,10431.52,
2013-08-30,10458.93,
2013-09-10,10517.73,
2013-09-18,10544.75,
2013-09-26,10590.43,
2013-10-08,10641.11,
2013-10-18,10663.85,
2013-11-05,10713.15,
2013-11-14,10728.84,
2013-11-18,10738.46,
2013-12-02,10778.20,
2013-12-13,10807.27,
2013-12-16,10814.72,
2013-12-30,10849.39,
2014-01-10,10876.28,
2014-01-21,10905.61,
2014-01-31,10921.30,
2014-02-10,10949.51,
2014-02-14,10956.76,
2014-02-24,10983.25,
2014-03-07,11014.36,
2014-03-24,11068.21,
2014-03-27,11075.13,
2014-04-07,11105.19,
2014-04-21,11142.29,
2014-05-09,11190.54,
2014-05-19,11219.67,
2014-05-29,11249.53,
2014-06-09,11281.04,
2014-06-13,11290.46,
2014-06-26,11320.45,
2014-07-07,11350.83,
2014-07-11,11356.50,
2014-07-21,11381.09,
2014-08-04,11414.64,
2014-08-08,11421.69,
2014-08-19,11449.04,
2014-09-01,11482.19,
2014-09-12,11505.07,
2014-09-25,11536.37,
2014-10-01,11553.58,
2014-10-20,11618.43,
2014-10-31,11658.37,
2014-11-10,11693.17,
2014-11-14,11701.41,
2014-11-27,11733.05,
2014-12-08,11765.74,
2014-12-15,11781.43,
2014-12-24,11786.44,
2015-01-08,11825.32,
2015-01-19,11871.86,
2015-01-28,11891.30,
2015-02-02,11900.73,
2015-02-12,11895.52,
2015-02-23,11927.09,
2015-03-04,11960.70,
2015-03-13,11960.51,
2015-03-26,11978.04,
2015-04-06,12031.49,
2015-04-22,12057.53,
2015-04-28,12063.59,
2015-05-08,12032.22,
2015-05-19,12084.29,
2015-06-01,12121.59,
2015-06-04,12107.62,
2015-06-12,12113.22,
2015-06-22,12151.51,
2015-07-06,12179.86,
2015-07-13,12180.71,
2015-07-28,12226.46,
2015-08-05,12239.64,
2015-08-14,12277.87,
2015-08-24,12276.35,
2015-09-01,12310.75,
2015-09-10,12318.73,
2015-09-23,12349.31,
2015-09-30,12410.35,
2015-10-08,12431.11,
2015-10-19,12449.96,
2015-11-02,12469.93,
2015-11-09,12466.50,
2015-11-19,12496.49,
2015-11-27,12495.90,
2015-12-11,12518.90,
2015-12-22,12543.02,
2016-01-04,12580.99,
2016-01-11,12604.58,
2016-01-15,12608.80,
2016-02-01,12644.66,
2016-02-05,12652.37,
2016-02-22,12690.99,
2016-02-26,12696.40,
2016-03-08,12733.31,
2016-03-23,12780.70,
2016-04-05,12850.63,
2016-04-18,12893.01,
2016-04-29,12921.94,
2016-05-10,12958.72,
2016-05-16,12976.85,
2016-05-20,12987.72,
2016-06-06,13034.65,
2016-06-10,13046.97,
2016-06-24,13084.15,
2016-07-01,13106.03,
2016-07-11,13143.60,
2016-07-22,13192.57,
2016-08-01,13237.46,
2016-08-05,13247.54,
2016-08-16,13297.83,
2016-09-02,13347.13,
2016-09-08,13373.17,
2016-09-21,13395.44,
2016-09-29,13428.79,
2016-10-05,13487.26,
2016-10-18,13509.01,
2016-10-27,13519.82,
2016-11-08,13549.87,
2016-11-16,13620.33,
2016-11-25,13661.00,
2016-12-08,13650.98,
2016-12-19,13673.32,
2016-12-28,13685.19,
2017-01-04,13726.25,
2017-01-20,13766.39,
2017-01-30,13797.56,
2017-02-09,13800.33,
2017-02-14,13826.50,
2017-02-28,13861.10,
2017-03-10,13871.05,
2017-03-16,13892.87,
2017-04-03,13958.19,
2017-04-07,13956.41,
2017-04-17,13993.25,
2017-04-28,14012.30,
2017-05-15,14050.13,
2017-05-19,14060.48,
2017-06-02,14100.68,
2017-06-08,14146.69,
2017-06-13,14161.78,
2017-06-30,14199.81,
2017-07-07,14218.33,
2017-07-18,14259.66,
2017-07-28,14288.79,
2017-08-03,14309.42,
2017-08-11,14325.57,
2017-08-22,14360.64,
2017-09-04,14398.20,
2017-09-19,14428.59,
2017-09-22,14426.74,
2017-10-03,14459.50,
2017-10-12,14476.57,
2017-10-23,14503.86,
2017-11-06,14529.30,
2017-11-16,14540.83,
2017-11-20,14558.43,
2017-11-28,14571.42,
2017-12-11,14605.36,
2017-12-22,14619.99,
2017-12-28,14622.23,
2018-01-08,14658.68,
2018-01-16,14666.13,
2018-02-01,14693.15,
2018-02-14,14732.17,
2018-02-22,14735.47,
2018-03-01,14748.32,
2018-03-13,14791.95,
2018-03-23,14817.86,
2018-04-05,14871.38,
2018-04-17,14895.43,
2018-04-27,14899.85,
2018-05-07,14932.34,
2018-05-17,14938.87,
2018-05-24,14950.67,
2018-05-30,14970.70,
2018-06-08,14982.30,
2018-06-21,15041.82,
2018-06-28,15048.15,
2018-07-11,15108.06,
2018-07-18,15160.20,
2018-07-27,15174.76,
2018-08-02,15215.43,
2018-08-21,15262.22,
2018-09-03,15276.92,
2018-09-10,15246.08,
2018-09-24,15246.47,
2018-10-01,15310.41,
2018-10-10,15333.47,
2018-10-16,15379.81,
2018-10-31,15414.87,
2018-11-14,15492.71,
2018-11-27,15551.84,
2018-12-05,15649.19,
2018-12-11,15632.38,
2018-12-19,15726.37,
2019-01-03,15781.99,
2019-01-14,15865.24,
2019-01-21,15865.63,
2019-01-28,15897.27,
2019-02-05,15880.86,
2019-02-13,16001.41,
2019-02-27,15999.83,
2019-03-12,16101.53,
2019-03-20,16140.42,
2019-04-02,16259.12,
2019-04-08,16214.24,
2019-04-23,16225.37,
2019-05-03,16251.28,
2019-05-10,16283.57,
2019-05-22,16370.05,
2019-06-03,16530.41,
2019-06-10,16507.80,
2019-06-20,16636.13,
2019-07-02,16614.58,
2019-07-08,16754.90,
2019-07-16,16864.24,
2019-07-26,16832.28,
2019-08-02,16939.58,
2019-08-14,16932.73,
2019-08-26,17041.48,
2019-09-09,17090.51,
2019-09-19,17098.49,
2019-09-24,17033.44,
2019-10-03,17116.94,
2019-10-17,17170.99,
2019-11-01,17305.38,
2019-11-08,17289.96,
2019-11-18,17351.85,
2019-12-02,17415.12,
2019-12-09,17362.13,
2019-12-13,17355.21,
2019-12-23,17412.36,
2020-01-09,17481.03,
2020-01-14,17477.61,
2020-01-27,17561.38,
2020-01-31,17571.13,
2020-02-10,17724.57,
2020-02-27,17761.55,
2020-03-06,17821.59,
2020-03-18,17478.00,
2020-03-24,17332.41,
2020-03-31,17780.66,
2020-04-15,17664.00,
2020-04-24,17871.62,
2020-05-11,17972.79,
2020-05-22,18204.01,
2020-06-02,18191.29,
2020-06-08,18210.40,
2020-06-19,18366.67,
2020-06-24,18391.13,
2020-07-10,18594.66,
2020-07-20,18626.89,
2020-07-28,18592.68,
2020-08-05,18644.68,
2020-08-10,18602.90,
2020-08-24,18555.24,
2020-09-03,18665.12,
2020-09-08,18602.43,
2020-09-15,18594.20,
2020-09-29,18637.63,
2020-10-13,18800.43,
2020-10-15,18818.36,
2020-10-29,18837.93,
2020-11-11,18879.65,
2020-11-19,18938.97,
2020-11-26,18979.18,
2020-12-03,18958.55,
2020-12-16,18976.74,
2020-12-24,18994.21,
2021-01-08,19063.28,
2021-01-18,18957.23,
2021-01-29,18980.23,
2021-02-02,18906.22,
2021-02-16,18943.92,
2021-02-26,18929.28,
2021-03-03,18950.38,
2021-03-18,18964.35,
2021-03-23,19030.39,
2021-04-06,19096.43,
2021-04-16,19086.35,
2021-04-28,19158.32,
2021-05-14,19194.71,
2021-05-25,19238.08,
2021-06-02,19231.75,
2021-06-14,19294.30,
2021-06-17,19253.70,
2021-06-30,19256.13,
2021-07-06,19262.73,
2021-07-16,19329.43,
2021-07-27,19355.40,
2021-08-06,19368.45,
2021-08-18,19424.60,
2021-08-27,19436.07,
2021-09-01,19467.58,
2021-09-20,19501.39,
2021-09-24,19490.38,
2021-10-06,19482.21,
2021-10-13,19507.25,
2021-10-29,19506.86,
2021-11-09,19546.34,
2021-11-12,19543.77,
2021-11-30,19581.34,
2021-12-08,19598.61,
2021-12-15,19606.51,
2021-12-22,19594.19,
2022-01-03,19626.55,
2022-01-07,19625.50,
2022-01-25,19659.44,
2022-02-04,19655.16,
2022-02-14,19710.59,
2022-02-21,19726.08,
2022-03-03,19718.89,
2022-03-10,19722.25,
2022-03-21,19766.87,
2022-04-05,19807.94,
2022-04-13,19771.75,
2022-04-28,19811.10,
2022-05-06,19709.80,
2022-05-13,19715.33,
2022-05-25,19748.35,
2022-06-07,19749.28,
2022-06-16,19765.95,
2022-06-20,19788.30,
2022-06-30,19821.98,
2022-07-07,19867.92,
2022-07-22,19902.12,
2022-08-02,19959.99,
2022-08-05,19945.76,
2022-08-17,20017.86,
2022-08-29,20026.30,
2022-09-13,20073.89,
2022-09-23,19978.45,
2022-09-30,20013.25,
2022-10-12,20001.71,
2022-10-21,20038.03,
2022-10-27,20085.16,
2022-11-04,20110.80,
2022-11-16,20187.05,
2022-12-01,20268.65,
2022-12-09,20269.64,
2022-12-14,20313.01,
2022-12-28,20313.27,
2023-01-06,20342.54,
2023-01-13,20389.40,
2023-01-30,20412.67,
2023-02-06,20471.39,
2023-02-09,20457.29,
2023-02-27,20462.10,
2023-03-08,20481.74,
2023-03-14,20564.06,
2023-03-28,20629.05,
2023-04-10,20774.25,
2023-04-19,20806.41,
2023-05-03,20926.37,
2023-05-11,20947.73,
2023-05-22,21029.78,
2023-05-25,21026.56,
2023-06-06,21082.97,
2023-06-19,21098.99,
2023-06-22,21083.50,
2023-07-07,21123.05,
2023-07-18,21203.66,
2023-07-24,21218.82,
2023-07-28,21210.71,
2023-08-17,21245.64,
2023-08-28,21312.41,
2023-09-04,21339.50,
2023-09-12,21348.99,
2023-09-25,21412.92,
2023-10-09,21376.94,
2023-10-16,21427.16,
2023-10-20,21428.94,
2023-11-01,21476.86,
2023-11-15,21575.52,
2023-11-24,21579.15,
2023-11-29,21614.54,
2023-12-12,21653.10,
2023-12-18,21722.37,
2024-01-04,21772.40,
2024-01-15,21845.56,
2024-01-19,21845.29,
2024-02-02,21969.34,
2024-02-14,21996.36,
2024-02-21,22054.82,
2024-03-01,22095.69,
2024-03-11,22171.82,
2024-03-22,22183.48,
2024-03-31,22252.03,
2024-04-19,22260.60,
2024-04-23,22292.17,
2024-04-30,22315.04,
2024-05-10,22382.47,
2024-05-27,22505.78,
2024-06-04,22473.55,
2024-06-18,22580.79,
2024-06-27,22619.81,
2024-07-08,22690.66,
2024-07-12,22712.61,
2024-07-29,22830.79,
2024-07-31,22830.33,
2024-08-07,22885.10,
2024-08-26,22980.40,
2024-08-30,22996.88,
2024-09-12,23068.26,
2024-09-23,23181.76,
2024-10-04,23219.92,
2024-10-14,23311.80,
2024-10-22,23299.48,
2024-10-28,23320.77,
2024-11-11,23399.66,
2024-11-22,23410.54,
2024-12-04,23520.41,
2024-12-10,23545.19,
2024-12-20,23528.58,
2024-12-31,23581.51,
2025-01-13,23596.40,
2025-01-21,23687.95,
2025-01-24,23692.90,
2025-02-06,23824.92,
2025-02-12,23796.57,
2025-02-24,23836.38,
2025-03-04,23813.58,
2025-03-18,23902.56,
2025-04-02,24277.00,
2025-04-08,24298.22,
2025-04-22,24522.58,
2025-04-25,24514.60,
2025-05-09,24516.25,
2025-05-21,24808.04,
2025-06-03,24871.90,
2025-06-06,24946.98,
2025-06-13,24799.53,
2025-06-27,24826.10,
2025-07-07,24934.32,
2025-07-11,24926.48,
2025-07-23,24998.39,
2025-08-05,25032.66,
2025-08-13,24955.02,
2025-08-26,24936.50,
2025-09-02,24951.79,
2025-09-10,25025.28,
2025-09-26,25109.84,
2025-10-06,25206.79,
2025-10-17,25291.16,
2025-10-30,25300.91,
2025-11-10,25380.07,
2025-11-18,25386.99,
2025-11-26,25458.04,
2025-12-05,25480.26,
2025-12-11,25405.78,
2025-12-23,25389.89,
2026-01-01,25482.89,
2026-01-12,25485.27,
2026-01-20,25398.46,
2026-02-05,25557.37,
2026-02-09,25515.72,
2026-02-17,25615.97,
2026-03-02,25661.97,
2026-03-18,25634.16,
2026-03-27,25547.49,
2026-04-06,25549.26,
2026-04-15,25763.94,
2026-04-30,25714.83,
2026-05-07,25806.65,
2026-05-18,25689.72,
2026-05-21,25665.86,
2026-06-04,25804.60,
2026-06-15,26051.77,
2026-06-23,26108.45,
2026-07-02,26271.91,
2026-07-14,26204.81,
2026-07-23,26231.24,
2026-07-30,26275.73,
2026-08-10,26387.71,
2026-08-21,26335.44,
2026-09-01,26356.93,
2026-09-07,26436.22,
2026-09-09,26446.31,
2026-09-23,26443.14,
2026-09-25,26407.48,
