# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 26 Sep 2026 (0 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:35:49.501808+00:00
date,nav
2019-07-19,1000.70540
2019-07-21,1001.01300
2019-07-26,1001.76430
2019-08-04,1003.11970
2019-08-09,1003.85810
2019-08-12,1004.29540
2019-08-20,1005.43770
2019-08-23,1005.86040
2019-08-26,1006.28690
2019-08-31,1007.02530
2019-09-08,1008.16980
2019-09-13,1008.88080
2019-09-16,1009.31080
2019-09-22,1010.18590
2019-09-27,1010.90920
2019-10-06,1012.16190
2019-10-10,1012.68370
2019-10-14,1013.18080
2019-10-18,1013.70170
2019-10-27,1014.92940
2019-10-31,1015.45760
2019-11-06,1016.29460
2019-11-10,1016.84770
2019-11-17,1017.79980
2019-11-22,1018.48900
2019-12-01,1019.71010
2019-12-06,1020.36420
2019-12-12,1021.15800
2019-12-16,1021.69770
2019-12-23,1022.63450
2019-12-29,1023.41700
2020-01-05,1024.38230
2020-01-10,1025.02990
2020-01-19,1026.26560
2020-01-23,1026.81500
2020-01-26,1027.22880
2020-02-03,1028.32510
2020-02-08,1029.00670
2020-02-12,1029.57140
2020-02-14,1029.84140
2020-02-23,1031.09390
2020-02-28,1031.77530
2020-03-02,1032.17510
2020-03-06,1032.71110
2020-03-14,1033.83270
2020-03-21,1034.75320
2020-03-25,1035.18890
2020-04-01,1035.45510
2020-04-03,1035.54650
2020-04-12,1036.22290
2020-04-17,1036.65190
2020-04-21,1036.96240
2020-04-30,1037.66290
2020-05-03,1037.96230
2020-05-10,1038.61270
2020-05-15,1038.96940
2020-05-22,1039.54530
2020-05-25,1039.79200
2020-05-29,1040.12400
2020-06-07,1040.92180
2020-06-12,1041.34650
2020-06-15,1041.60370
2020-06-21,1042.09710
2020-06-26,1042.45210
2020-07-05,1043.19360
2020-07-09,1043.54090
2020-07-12,1043.80080
2020-07-17,1044.23490
2020-07-26,1045.03170
2020-07-30,1045.37910
2020-08-02,1045.64410
2020-08-07,1046.07220
2020-08-16,1046.87030
2020-08-20,1047.21720
2020-08-23,1047.47080
2020-08-28,1047.89040
2020-09-06,1048.64920
2020-09-11,1049.09280
2020-09-13,1049.27250
2020-09-18,1049.72290
2020-09-25,1050.35250
2020-10-04,1051.17330
2020-10-08,1051.53950
2020-10-11,1051.80860
2020-10-16,1052.24680
2020-10-25,1053.01810
2020-10-29,1053.35520
2020-11-01,1053.61230
2020-11-06,1054.03530
2020-11-16,1054.81930
2020-11-20,1055.11710
2020-11-22,1055.26150
2020-11-28,1055.72490
2020-12-06,1056.38340
2020-12-11,1056.82310
2020-12-13,1057.00040
2020-12-18,1057.44310
2020-12-27,1058.25500
2021-01-01,1058.66530
2021-01-08,1059.24240
2021-01-10,1059.42410
2021-01-15,1059.86180
2021-01-24,1060.67680
2021-01-29,1061.13550
2021-01-31,1061.31790
2021-02-05,1061.76850
2021-02-14,1062.57930
2021-02-19,1062.95510
2021-02-21,1063.10710
2021-02-26,1063.52710
2021-03-05,1064.16180
2021-03-14,1064.98730
2021-03-19,1065.44640
2021-03-21,1065.62970
2021-03-26,1066.09180
2021-04-04,1066.93570
2021-04-09,1067.38510
2021-04-16,1068.00580
2021-04-21,1068.46100
2021-04-25,1068.82140
2021-04-30,1069.28730
2021-05-07,1069.94490
2021-05-16,1070.80460
2021-05-20,1071.18590
2021-05-23,1071.47660
2021-05-28,1071.95670
2021-06-06,1072.80630
2021-06-11,1073.27520
2021-06-13,1073.46710
2021-06-18,1073.94210
2021-06-27,1074.80030
2021-07-02,1075.26790
2021-07-04,1075.45340
2021-07-09,1075.92200
2021-07-18,1076.76130
2021-07-23,1077.22770
2021-07-25,1077.41460
2021-07-30,1077.87830
2021-08-08,1078.71740
2021-08-13,1079.15840
2021-08-15,1079.33840
2021-08-21,1079.87540
2021-08-27,1080.41710
2021-09-04,1081.13560
2021-09-09,1081.57840
2021-09-12,1081.84820
2021-09-18,1082.41600
2021-09-23,1082.89520
2021-10-01,1083.66450
2021-10-03,1083.85750
2021-10-13,1084.77790
2021-10-17,1085.14680
2021-10-21,1085.52840
2021-10-28,1086.21220
2021-11-03,1086.79480
2021-11-07,1087.19890
2021-11-12,1087.67370
2021-11-21,1088.59100
2021-11-26,1089.09480
2021-12-02,1089.67750
2021-12-05,1089.97770
2021-12-10,1090.45840
2021-12-18,1091.28900
2021-12-23,1091.81450
2021-12-26,1092.12490
2021-12-31,1092.63730
2022-01-09,1093.54190
2022-01-14,1094.03370
2022-01-20,1094.69040
2022-01-26,1095.40550
2022-01-30,1095.84430
2022-02-04,1096.33940
2022-02-07,1096.63350
2022-02-13,1097.23890
2022-02-18,1097.72680
2022-02-25,1098.43230
2022-03-02,1098.91510
2022-03-11,1099.82440
2022-03-16,1100.30950
2022-03-20,1100.73550
2022-03-25,1101.24610
2022-04-03,1102.17930
2022-04-07,1102.57030
2022-04-13,1103.21630
2022-04-17,1103.65350
2022-04-22,1104.18350
2022-05-01,1105.20110
2022-05-06,1105.79230
2022-05-08,1106.06480
2022-05-13,1106.67330
2022-05-22,1107.76840
2022-05-27,1108.38400
2022-05-29,1108.63400
2022-06-03,1109.24590
2022-06-12,1110.40340
2022-06-17,1111.08070
2022-06-19,1111.36010
2022-06-24,1112.06430
2022-07-03,1113.34970
2022-07-08,1114.08780
2022-07-10,1114.39280
2022-07-15,1115.14900
2022-07-24,1116.54390
2022-07-29,1117.31260
