# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:48.957227+00:00
date,fund_value_inr,benchmark_value_inr
2022-11-02,10000.00,
2022-11-03,10000.50,
2022-11-07,10004.19,
2022-11-10,9994.31,
2022-11-11,10014.57,
2022-11-16,10029.43,
2022-11-18,10001.70,
2022-11-21,9991.02,
2022-11-23,10008.18,
2022-11-28,10096.98,
2022-11-29,10103.67,
2022-12-01,10147.87,
2022-12-05,10162.24,
2022-12-07,10083.51,
2022-12-09,10086.91,
2022-12-12,10090.30,
2022-12-14,10175.11,
2022-12-16,9997.11,
2022-12-20,10037.72,
2022-12-23,9649.78,
2022-12-26,9807.43,
2022-12-28,9888.85,
2023-01-02,9947.42,
2023-01-03,9963.28,
2023-01-06,9834.37,
2023-01-09,9901.52,
2023-01-11,9831.87,
2023-01-13,9834.97,
2023-01-17,9827.98,
2023-01-19,9859.21,
2023-01-20,9796.65,
2023-01-24,9801.44,
2023-01-27,9594.40,
2023-01-31,9694.78,
2023-02-02,9707.15,
2023-02-07,9778.49,
2023-02-09,9860.91,
2023-02-10,9899.03,
2023-02-14,9778.69,
2023-02-16,9891.54,
2023-02-21,9836.07,
2023-02-22,9751.45,
2023-02-24,9741.88,
2023-02-28,9702.76,
2023-03-01,9783.48,
2023-03-06,9869.19,
2023-03-08,9876.58,
2023-03-10,9754.65,
2023-03-14,9515.38,
2023-03-17,9527.95,
2023-03-20,9466.99,
2023-03-22,9558.29,
2023-03-27,9424.08,
2023-03-28,9422.89,
2023-03-31,9631.42,
2023-04-03,9648.98,
2023-04-10,9728.41,
2023-04-11,9796.15,
2023-04-13,9871.99,
2023-04-19,9837.26,
2023-04-21,9846.84,
2023-04-25,9849.04,
2023-04-26,9865.70,
2023-05-02,10068.15,
2023-05-04,10144.08,
2023-05-05,10090.00,
2023-05-09,10212.03,
2023-05-11,10282.87,
2023-05-15,10334.06,
2023-05-17,10306.62,
2023-05-19,10294.44,
2023-05-22,10333.86,
2023-05-24,10331.66,
2023-05-29,10447.20,
2023-05-30,10463.27,
2023-06-01,10504.28,
2023-06-06,10628.30,
2023-06-07,10687.17,
2023-06-09,10583.00,
2023-06-14,10757.61,
2023-06-15,10745.84,
2023-06-19,10820.47,
2023-06-21,10905.88,
2023-06-23,10816.68,
2023-06-27,10927.03,
2023-06-28,10945.19,
2023-07-03,11091.47,
2023-07-06,11160.11,
2023-07-10,11084.08,
2023-07-12,11158.62,
2023-07-13,11101.34,
2023-07-17,11238.84,
2023-07-20,11334.82,
2023-07-21,11269.17,
2023-07-25,11322.55,
2023-07-27,11325.54,
2023-07-31,11452.46,
2023-08-01,11505.54,
2023-08-03,11375.13,
2023-08-08,11461.34,
2023-08-09,11486.19,
2023-08-14,11364.36,
2023-08-16,11372.84,
2023-08-18,11395.99,
2023-08-23,11600.23,
2023-08-25,11549.94,
2023-08-29,11678.66,
2023-08-31,11716.47,
2023-09-01,11787.61,
2023-09-05,11912.73,
2023-09-06,11925.61,
2023-09-11,12116.68,
2023-09-12,11845.88,
2023-09-15,11985.97,
2023-09-18,11936.08,
2023-09-21,11741.82,
2023-09-25,11729.64,
2023-09-27,11809.86,
