# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:53.765434+00:00
date,fund_value_inr,benchmark_value_inr
2015-07-30,10000.00,
2015-08-06,10121.88,
2015-08-12,9957.04,
2015-08-19,10176.82,
2015-08-24,9560.44,
2015-09-07,9367.63,
2015-09-09,9586.41,
2015-09-22,9602.40,
2015-09-28,9602.40,
2015-10-06,9940.06,
2015-10-14,9874.13,
2015-10-23,10090.91,
2015-10-29,9934.07,
2015-11-10,9725.27,
2015-11-18,9699.30,
2015-11-27,9908.09,
2015-12-09,9654.35,
2015-12-17,9926.07,
2015-12-18,9864.14,
2016-01-01,10052.95,
2016-01-07,9745.25,
2016-01-18,9479.52,
2016-01-21,9397.60,
2016-01-29,9694.31,
2016-02-11,9055.94,
2016-02-15,9213.79,
2016-02-25,8989.01,
2016-03-03,9519.48,
2016-03-16,9545.45,
2016-03-21,9790.21,
2016-04-04,9900.10,
2016-04-08,9730.27,
2016-04-18,10092.91,
2016-04-27,10165.83,
2016-05-04,9957.04,
2016-05-12,10149.85,
2016-05-24,9975.02,
2016-05-27,10388.61,
2016-06-08,10518.48,
2016-06-13,10385.61,
2016-06-23,10545.45,
2016-06-24,10393.61,
2016-07-04,10677.32,
2016-07-14,10879.12,
2016-07-21,10904.10,
2016-07-28,11127.87,
2016-08-04,11045.95,
2016-08-19,11252.75,
2016-08-26,11135.86,
2016-09-06,11498.50,
2016-09-12,11303.70,
2016-09-22,11467.53,
2016-09-29,11231.77,
2016-10-04,11519.48,
2016-10-17,11374.63,
2016-10-24,11627.37,
2016-11-03,11361.64,
2016-11-10,11474.53,
2016-11-15,10995.00,
2016-11-24,10914.09,
2016-11-30,11177.82,
2016-12-07,11014.99,
2016-12-15,11033.97,
2016-12-26,10815.18,
2016-12-30,11100.90,
2017-01-12,11431.57,
2017-01-20,11390.61,
2017-01-25,11685.31,
2017-02-06,11906.09,
2017-02-15,11768.23,
2017-02-21,12030.97,
2017-02-27,11955.04,
2017-03-10,11984.02,
2017-03-16,12252.75,
2017-03-27,12207.79,
2017-04-05,12496.50,
2017-04-13,12400.60,
2017-04-21,12420.58,
2017-04-25,12588.41,
2017-05-05,12561.44,
2017-05-17,12853.15,
2017-05-24,12581.42,
2017-05-26,12879.12,
2017-06-09,13005.00,
2017-06-15,12899.10,
2017-06-20,13005.99,
2017-06-28,12867.13,
2017-07-07,13063.94,
2017-07-13,13317.68,
2017-07-21,13381.62,
2017-08-01,13599.40,
2017-08-11,13242.76,
2017-08-16,13485.51,
2017-08-29,13409.59,
2017-09-01,13656.34,
2017-09-12,13866.13,
2017-09-20,13903.10,
2017-09-27,13387.61,
