# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:35:55.186989+00:00
date,nav
2015-12-29,10.03000
2016-01-01,10.07700
2016-01-07,9.79000
2016-01-18,9.36900
2016-01-21,9.28700
2016-01-29,9.65100
2016-02-11,8.84800
2016-02-15,9.04600
2016-02-25,8.77200
2016-03-03,9.40300
2016-03-15,9.44000
2016-03-21,9.71100
2016-03-28,9.55800
2016-04-08,9.61900
2016-04-18,10.06300
2016-04-27,10.21000
2016-05-04,9.93700
2016-05-12,10.20400
2016-05-13,10.13300
2016-05-24,10.00800
2016-05-27,10.47600
2016-06-07,10.72800
2016-06-13,10.59500
2016-06-24,10.59600
2016-06-30,10.88200
2016-07-08,10.95300
2016-07-14,11.23600
2016-07-21,11.25300
2016-08-01,11.62700
2016-08-04,11.47100
2016-08-19,11.85300
2016-08-26,11.77600
2016-09-06,12.23600
2016-09-12,11.98100
2016-09-19,12.19900
2016-09-27,12.19900
2016-09-29,12.01600
2016-10-07,12.49800
2016-10-24,12.71500
2016-11-01,12.65200
2016-11-04,12.18900
2016-11-10,12.48100
2016-11-21,11.42000
2016-11-30,11.93500
2016-12-09,11.93400
2016-12-12,11.77400
2016-12-26,11.34200
2016-12-30,11.72600
2017-01-09,11.92700
2017-01-11,12.21900
2017-01-20,12.19100
2017-01-25,12.56000
2017-02-06,12.95700
2017-02-15,12.78300
2017-02-21,13.18500
2017-03-03,13.11200
2017-03-10,13.13000
2017-03-16,13.52800
2017-03-22,13.39500
2017-04-05,13.89100
2017-04-13,13.80800
2017-04-18,13.82100
2017-04-25,14.22100
2017-05-03,14.29900
2017-05-17,14.81800
2017-05-24,14.13000
2017-05-26,14.65300
2017-06-07,14.98600
2017-06-09,15.06600
2017-06-20,15.06000
2017-06-27,14.74000
2017-07-03,15.07400
2017-07-13,15.46400
2017-07-18,15.40300
2017-08-01,15.79100
2017-08-07,15.91400
2017-08-11,15.07900
2017-08-17,15.53700
2017-08-29,15.38700
2017-09-08,15.84700
2017-09-12,16.18900
2017-09-21,16.22900
2017-09-27,15.42000
2017-10-06,15.99800
2017-10-17,16.34700
2017-10-24,16.28000
2017-11-01,16.80700
2017-11-08,16.56200
2017-11-15,16.42700
2017-11-24,17.06200
2017-12-01,16.71100
2017-12-06,16.54000
2017-12-19,17.32900
2017-12-26,17.50100
2018-01-02,17.38200
2018-01-09,17.85500
2018-01-18,17.80000
2018-01-23,18.17500
2018-02-05,17.02300
2018-02-06,16.69100
2018-02-15,17.01200
2018-02-26,17.04900
2018-03-07,16.24400
2018-03-14,16.66100
2018-03-23,15.89500
2018-03-27,16.23400
2018-04-04,16.26700
2018-04-12,16.76600
2018-04-25,16.87300
2018-04-30,17.21100
2018-05-11,17.22400
2018-05-18,16.66100
2018-05-23,16.45200
2018-05-31,16.90400
2018-06-05,16.55900
2018-06-12,17.01400
2018-06-22,16.86900
2018-06-28,16.39500
2018-07-10,16.97200
2018-07-16,16.59700
2018-07-19,16.63100
2018-07-27,17.30600
2018-08-09,17.82800
2018-08-13,17.69800
2018-08-27,18.29400
2018-08-31,18.26900
2018-09-11,17.56500
2018-09-14,17.96000
2018-09-24,17.12900
2018-10-05,16.02100
2018-10-15,16.52800
2018-10-23,15.98100
2018-10-26,15.95200
2018-11-02,16.78800
2018-11-12,16.69800
2018-11-19,17.13800
2018-12-03,17.27800
2018-12-10,16.62600
2018-12-19,17.55300
2018-12-24,17.10600
2018-12-31,17.36400
2019-01-04,17.14300
2019-01-16,17.34500
2019-01-25,16.99800
2019-01-29,16.84400
2019-02-07,17.46300
2019-02-18,16.73000
2019-02-19,16.69100
2019-02-28,17.11900
2019-03-12,18.03800
2019-03-19,18.29800
2019-03-25,17.98000
2019-04-01,18.47800
2019-04-08,18.31400
2019-04-16,18.68700
2019-05-03,18.44500
2019-05-08,17.88100
2019-05-15,17.47500
2019-05-27,18.92200
2019-06-03,19.18300
2019-06-06,18.83900
2019-06-19,18.54400
2019-06-20,18.83900
2019-07-04,19.14000
2019-07-08,18.51400
2019-07-17,18.86000
2019-07-19,18.41500
2019-07-30,17.92400
2019-08-05,17.62800
2019-08-19,17.97400
2019-08-22,17.49600
2019-08-30,18.02300
2019-09-06,17.88500
2019-09-19,17.57500
2019-09-24,19.01200
2019-10-07,18.01200
2019-10-16,18.46500
2019-10-25,18.93600
2019-10-31,19.57600
2019-11-07,19.78400
2019-11-14,19.59500
2019-11-25,19.96900
2019-11-28,20.16600
2019-12-10,19.57700
2019-12-13,19.99000
2019-12-26,19.95200
2020-01-02,20.41000
2020-01-08,20.02200
2020-01-16,20.76700
2020-01-24,20.71600
2020-02-03,19.69900
2020-02-05,20.28400
2020-02-19,20.39500
2020-02-20,20.46000
2020-03-05,19.21800
2020-03-12,16.24300
2020-03-23,12.91500
2020-03-26,14.49800
2020-04-03,13.78700
2020-04-17,16.09600
2020-04-21,15.59300
2020-04-30,16.82300
2020-05-06,15.83000
2020-05-18,15.04900
2020-05-26,15.33900
2020-06-02,16.86800
2020-06-08,17.33800
2020-06-15,16.80600
2020-06-23,18.06300
2020-06-30,17.82800
2020-07-07,18.73100
2020-07-15,18.32400
2020-07-23,19.29800
2020-08-03,18.80900
2020-08-11,19.77800
2020-08-14,19.63900
2020-08-26,20.54600
2020-08-28,20.72500
2020-09-09,19.91200
2020-09-16,20.75600
2020-09-24,19.41000
2020-09-28,20.29600
2020-10-09,21.10800
2020-10-15,20.60500
2020-10-23,21.38800
2020-10-30,20.89600
2020-11-10,22.52800
2020-11-17,23.08800
2020-11-25,23.03600
2020-12-01,23.57800
2020-12-09,24.24900
2020-12-21,23.61000
2020-12-28,24.64600
2020-12-31,24.86300
2021-01-12,26.11200
2021-01-20,26.33500
2021-01-28,25.07300
2021-01-29,24.76300
2021-02-08,27.39700
2021-02-15,28.13200
2021-02-22,27.03500
2021-03-03,28.29200
2021-03-10,28.20600
2021-03-18,27.04000
2021-03-25,26.70800
2021-04-08,27.82300
2021-04-12,26.70500
2021-04-28,27.87000
2021-05-04,27.54500
2021-05-14,27.87200
2021-05-18,28.69900
2021-05-28,29.34800
2021-06-03,29.92000
2021-06-09,29.87100
2021-06-15,30.44100
2021-06-23,30.10500
2021-07-05,30.74800
2021-07-09,30.59900
2021-07-16,31.16400
2021-07-28,30.93000
2021-08-04,31.95700
2021-08-11,31.63300
2021-08-17,32.17900
2021-08-26,31.85800
2021-09-02,33.36900
2021-09-15,34.05800
2021-09-20,33.47700
2021-09-23,34.15400
2021-10-01,33.70300
2021-10-14,35.55100
2021-10-18,35.88200
2021-10-29,34.18900
2021-11-08,35.44700
2021-11-15,35.40900
2021-11-22,33.92900
2021-11-29,33.14200
2021-12-08,34.27600
2021-12-14,34.21600
2021-12-20,32.57100
2021-12-30,33.80300
2022-01-04,34.89300
2022-01-17,35.76800
2022-01-24,33.51100
2022-02-02,34.70400
2022-02-07,33.77000
2022-02-10,34.33800
2022-02-24,31.20400
2022-02-28,32.29000
2022-03-07,30.50500
2022-03-17,33.06900
2022-03-28,32.77500
2022-04-04,34.47600
2022-04-08,34.43700
2022-04-19,33.15800
2022-04-28,33.46800
2022-05-04,32.29300
2022-05-12,30.57500
2022-05-25,30.82900
2022-05-30,32.09200
2022-06-02,32.06100
2022-06-09,31.62600
2022-06-17,29.52000
2022-06-27,30.62800
2022-07-07,31.64300
2022-07-14,31.22000
2022-07-21,32.39200
2022-07-26,32.05700
2022-08-01,33.50100
2022-08-17,34.61500
2022-08-22,33.66800
2022-08-29,33.40800
2022-09-08,34.43000
2022-09-13,34.90400
2022-09-26,32.75600
2022-09-29,32.56300
2022-10-06,33.57900
2022-10-13,32.91400
2022-10-19,33.67800
2022-11-01,34.48400
2022-11-10,34.30800
2022-11-15,34.99700
2022-11-23,34.67500
2022-12-01,35.85200
2022-12-14,35.72900
2022-12-16,35.06800
2022-12-23,33.75100
2023-01-03,34.85100
2023-01-06,34.35600
2023-01-18,34.69700
2023-01-27,33.61900
2023-01-31,33.89200
2023-02-08,34.28700
2023-02-16,34.33700
2023-02-28,33.39100
2023-03-08,34.15000
2023-03-13,33.03500
2023-03-20,32.72600
2023-03-28,32.61900
2023-04-05,33.73600
2023-04-12,34.16500
2023-04-21,33.96800
2023-05-04,35.13100
2023-05-15,35.50300
2023-05-18,35.22000
2023-05-29,35.92800
2023-06-01,35.87900
2023-06-07,36.50300
2023-06-15,36.51800
2023-06-23,36.67200
2023-07-03,37.70900
2023-07-13,37.97300
2023-07-20,38.92900
2023-07-24,38.61800
2023-08-03,38.64000
2023-08-09,39.50000
2023-08-18,38.74500
2023-08-25,38.97400
2023-08-31,39.38200
2023-09-11,40.86900
2023-09-15,40.97500
2023-09-25,39.73600
2023-10-09,39.48600
2023-10-17,40.17500
2023-10-25,38.52500
2023-11-01,38.29500
2023-11-06,39.32300
2023-11-16,40.27700
2023-11-24,40.38100
2023-12-04,42.20400
2023-12-12,42.57300
2023-12-18,43.69200
2023-12-20,42.83900
2024-01-01,44.51300
2024-01-05,44.85400
2024-01-15,45.39500
2024-01-23,43.73300
2024-01-31,45.10100
2024-02-12,44.26300
2024-02-20,45.74200
2024-02-28,45.51700
2024-03-04,46.37700
2024-03-13,44.48200
2024-03-20,44.48500
2024-03-31,45.60600
2024-04-08,47.27700
2024-04-18,46.49400
2024-04-25,47.46900
2024-05-02,47.82100
2024-05-09,46.59500
2024-05-17,48.06700
2024-05-23,48.81200
2024-06-04,46.22600
2024-06-07,49.46500
2024-06-18,50.71200
2024-06-24,50.87600
2024-07-05,52.50900
2024-07-15,53.09100
2024-07-23,52.51700
2024-07-30,54.01200
2024-08-06,51.86000
2024-08-14,52.34300
2024-08-20,53.84800
2024-08-27,54.69300
2024-09-06,54.42700
2024-09-12,55.32100
2024-09-19,55.12800
2024-09-27,56.41900
2024-10-07,53.52700
2024-10-14,54.69000
2024-10-22,52.76700
2024-10-25,52.18900
2024-11-06,53.49000
2024-11-13,51.01600
2024-11-21,50.97800
2024-11-27,53.15900
2024-12-06,54.86300
2024-12-16,54.92300
2024-12-20,52.65400
2025-01-02,53.30800
2025-01-06,51.96600
2025-01-13,49.71300
2025-01-20,51.18400
2025-01-27,48.91600
2025-02-05,51.02000
2025-02-14,48.25200
2025-02-20,48.75300
2025-02-28,46.79200
2025-03-06,48.19500
2025-03-13,47.42400
2025-03-24,50.59200
2025-04-03,49.81200
2025-04-07,47.25200
2025-04-21,51.65400
2025-04-25,51.32500
2025-05-09,51.12800
2025-05-12,52.99800
2025-05-26,53.87100
2025-05-28,53.51200
2025-06-09,55.10700
2025-06-13,54.26300
2025-06-19,54.03000
2025-06-27,55.96200
2025-07-03,55.81400
2025-07-11,55.57300
2025-07-23,56.22600
2025-07-28,55.03800
2025-08-01,54.38400
2025-08-08,53.82900
2025-08-20,55.45000
2025-08-29,54.04600
2025-09-03,54.99300
2025-09-17,56.49200
2025-09-19,56.65400
2025-09-26,54.81700
