# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:35:55.378817+00:00
date,nav
2018-12-18,10.03300
2018-12-20,10.04700
2018-12-24,9.97600
2019-01-01,10.04500
2019-01-04,10.00300
2019-01-10,10.04700
2019-01-17,10.06700
2019-01-24,10.04000
2019-01-29,9.98900
2019-01-31,10.06800
2019-02-07,10.11400
2019-02-14,10.01500
2019-02-19,9.98100
2019-02-25,10.07100
2019-02-28,10.06400
2019-03-06,10.17200
2019-03-12,10.25400
2019-03-19,10.32200
2019-03-25,10.27700
2019-04-01,10.38300
2019-04-04,10.35300
2019-04-11,10.36400
2019-04-16,10.44500
2019-04-23,10.37400
2019-04-30,10.42900
2019-05-08,10.32100
2019-05-15,10.26400
2019-05-20,10.46300
2019-05-23,10.44100
2019-05-28,10.57200
2019-06-03,10.62700
2019-06-13,10.61600
2019-06-17,10.52800
2019-06-20,10.59200
2019-06-28,10.62400
2019-07-04,10.67400
2019-07-08,10.55400
2019-07-16,10.63600
2019-07-19,10.54100
2019-07-24,10.51300
2019-07-26,10.54400
2019-08-05,10.40700
2019-08-09,10.50500
2019-08-19,10.49700
2019-08-22,10.40600
2019-08-27,10.54300
2019-09-03,10.44100
2019-09-11,10.53900
2019-09-18,10.49700
2019-09-23,10.83000
2019-09-27,10.79700
2019-10-04,10.63000
2019-10-10,10.65500
2019-10-17,10.80600
2019-10-24,10.82800
2019-10-29,10.93800
2019-11-04,11.04100
2019-11-07,11.08200
2019-11-14,11.04300
2019-11-22,11.09800
2019-11-28,11.19900
2019-11-29,11.16700
2019-12-10,11.09800
2019-12-13,11.19700
2019-12-19,11.26000
2019-12-26,11.22800
2019-12-30,11.29200
2020-01-06,11.23300
2020-01-08,11.25000
2020-01-16,11.39600
2020-01-22,11.32700
2020-01-24,11.38900
2020-02-03,11.18200
2020-02-05,11.32000
2020-02-12,11.37900
2020-02-18,11.31900
2020-02-20,11.41100
2020-03-02,11.04000
2020-03-05,11.09600
2020-03-13,10.61000
2020-03-18,9.88500
2020-03-23,9.33400
2020-03-26,9.83600
2020-04-03,9.61800
2020-04-09,10.15700
2020-04-20,10.31300
2020-04-24,10.21400
2020-04-30,10.53500
2020-05-05,10.22400
2020-05-13,10.31900
2020-05-18,10.04100
2020-05-26,10.15100
2020-06-01,10.55900
2020-06-05,10.72300
2020-06-08,10.75500
2020-06-15,10.59900
2020-06-22,10.89400
2020-06-23,10.96600
2020-06-30,10.89900
2020-07-07,11.14700
2020-07-14,11.05300
2020-07-15,11.03100
2020-07-23,11.44300
2020-07-27,11.38500
2020-08-03,11.32000
2020-08-06,11.45900
2020-08-11,11.55700
2020-08-17,11.54000
2020-08-26,11.76000
2020-08-28,11.81300
2020-09-01,11.70100
2020-09-09,11.61900
2020-09-16,11.82100
2020-09-22,11.64400
2020-09-24,11.51800
2020-10-01,11.85700
2020-10-08,11.98700
2020-10-14,12.01700
2020-10-15,11.89400
2020-10-23,12.07100
2020-10-30,11.93200
2020-11-04,12.05700
2020-11-09,12.29300
2020-11-17,12.46300
2020-11-19,12.41300
2020-11-25,12.44500
2020-12-01,12.56500
2020-12-09,12.73700
2020-12-14,12.77100
2020-12-21,12.63500
2020-12-28,12.88500
2021-01-01,12.95700
2021-01-07,13.03900
2021-01-12,13.18100
2021-01-18,13.09300
2021-01-21,13.21500
2021-01-29,12.89200
2021-02-02,13.25500
2021-02-08,13.47500
2021-02-15,13.59200
2021-02-22,13.37600
2021-02-25,13.58900
2021-02-26,13.41400
2021-03-04,13.61100
2021-03-10,13.63200
2021-03-18,13.39400
2021-03-25,13.30100
2021-03-30,13.51700
2021-04-08,13.58200
2021-04-12,13.35600
2021-04-20,13.37100
2021-04-28,13.62600
2021-05-04,13.54200
2021-05-10,13.71200
2021-05-14,13.63000
2021-05-18,13.79000
2021-05-25,13.88100
2021-05-31,14.01400
2021-06-03,14.08400
2021-06-09,14.09500
2021-06-15,14.19200
2021-06-17,14.12800
2021-06-23,14.12800
2021-06-29,14.20400
2021-07-05,14.28200
2021-07-09,14.25400
2021-07-20,14.30600
2021-07-23,14.40200
2021-07-28,14.37400
2021-08-03,14.58000
2021-08-10,14.50900
2021-08-17,14.65400
2021-08-23,14.55900
2021-08-26,14.60500
2021-08-31,14.80300
2021-09-03,14.89300
2021-09-15,14.98700
2021-09-20,14.89500
2021-09-23,15.01900
2021-09-30,14.95500
2021-10-01,14.93100
2021-10-12,15.11200
2021-10-18,15.27300
2021-10-22,15.12500
2021-10-29,15.05800
2021-11-08,15.25800
2021-11-11,15.21800
2021-11-15,15.27200
2021-11-22,15.03600
2021-11-29,14.91500
2021-12-02,15.10600
2021-12-07,15.05200
2021-12-14,15.12700
2021-12-20,14.83100
2021-12-23,15.01700
2021-12-30,15.07600
2022-01-04,15.26800
2022-01-07,15.26400
2022-01-17,15.43200
2022-01-20,15.28200
2022-01-24,15.05400
2022-02-02,15.27300
2022-02-07,15.12200
2022-02-14,14.95900
2022-02-16,15.08900
2022-02-24,14.67700
2022-02-28,14.88900
2022-03-07,14.54400
2022-03-10,14.80200
2022-03-17,15.02300
2022-03-28,14.98200
2022-03-30,15.12500
2022-04-04,15.29300
2022-04-11,15.24900
2022-04-19,15.06800
2022-04-21,15.17600
2022-05-02,15.04300
2022-05-04,14.86200
2022-05-12,14.54300
2022-05-17,14.71500
2022-05-19,14.56600
2022-05-30,14.84900
2022-06-02,14.85400
2022-06-09,14.76700
2022-06-13,14.53500
2022-06-17,14.36200
2022-06-21,14.48000
2022-06-27,14.60400
2022-07-01,14.61800
2022-07-08,14.84300
2022-07-14,14.77900
2022-07-21,15.04300
2022-07-26,14.99400
2022-08-01,15.33400
2022-08-05,15.33900
2022-08-16,15.51100
2022-08-18,15.55600
2022-08-23,15.42200
2022-08-29,15.38300
2022-09-07,15.53900
2022-09-13,15.69800
2022-09-16,15.53800
2022-09-21,15.58700
2022-09-26,15.30100
2022-10-03,15.31400
2022-10-06,15.48400
2022-10-13,15.36000
2022-10-18,15.52600
2022-10-28,15.59300
2022-11-01,15.70300
2022-11-10,15.66300
2022-11-15,15.80200
2022-11-21,15.71400
2022-11-23,15.74000
2022-12-01,15.98500
2022-12-07,15.92800
2022-12-13,15.95100
2022-12-14,15.97700
2022-12-23,15.63900
2022-12-27,15.81500
2023-01-03,15.89700
2023-01-06,15.79700
2023-01-11,15.83700
2023-01-18,15.89400
2023-01-24,15.88000
2023-01-27,15.67700
2023-02-03,15.78000
2023-02-13,15.74400
2023-02-16,15.82400
2023-02-22,15.66900
2023-02-28,15.59400
2023-03-06,15.75200
2023-03-08,15.76500
2023-03-14,15.52700
2023-03-22,15.58100
2023-03-28,15.47800
2023-03-31,15.66400
2023-04-12,15.87900
2023-04-19,15.85600
2023-04-21,15.85800
2023-05-02,16.10000
2023-05-04,16.15900
2023-05-09,16.17400
2023-05-15,16.24700
2023-05-18,16.20000
2023-05-29,16.38000
2023-06-01,16.37900
2023-06-07,16.51000
2023-06-09,16.45200
2023-06-16,16.54300
2023-06-23,16.52400
2023-06-30,16.72000
2023-07-06,16.78800
2023-07-07,16.75200
2023-07-13,16.85000
2023-07-20,17.07200
2023-07-24,17.04200
2023-08-01,17.12400
2023-08-03,17.01100
2023-08-09,17.11800
2023-08-18,17.04700
2023-08-23,17.13400
2023-08-29,17.13600
2023-08-31,17.15500
2023-09-11,17.42700
2023-09-15,17.43100
2023-09-21,17.29000
2023-09-25,17.26100
2023-10-04,17.22500
2023-10-09,17.22200
2023-10-17,17.36500
2023-10-23,17.15100
2023-10-26,17.03900
2023-11-01,17.10800
2023-11-06,17.27900
2023-11-15,17.42300
2023-11-16,17.44400
2023-11-24,17.44800
2023-12-04,17.89400
2023-12-05,17.92700
2023-12-12,17.93000
2023-12-15,18.12400
2023-12-20,18.00600
2023-12-28,18.22100
2024-01-05,18.31800
2024-01-09,18.28000
2024-01-15,18.45800
2024-01-23,18.22000
2024-01-29,18.40400
2024-01-31,18.46000
2024-02-07,18.53300
2024-02-12,18.39400
2024-02-16,18.59000
2024-02-23,18.66300
2024-02-28,18.61100
2024-03-04,18.79400
2024-03-13,18.45800
2024-03-20,18.44400
2024-03-21,18.53200
2024-04-01,18.78100
2024-04-05,18.87700
2024-04-10,18.94800
2024-04-18,18.78300
2024-04-25,18.97500
2024-05-02,19.04900
2024-05-07,18.93700
2024-05-09,18.85000
2024-05-14,18.93400
2024-05-23,19.25700
2024-05-30,19.13600
2024-06-04,18.90900
2024-06-07,19.40400
2024-06-14,19.58000
2024-06-21,19.64900
2024-06-26,19.76300
2024-06-28,19.77600
2024-07-05,19.97100
2024-07-10,19.97000
2024-07-18,20.12200
2024-07-25,20.05800
2024-07-31,20.27300
2024-08-05,19.97300
2024-08-07,20.06800
2024-08-14,20.06400
2024-08-20,20.30500
2024-08-27,20.46100
2024-09-03,20.53500
2024-09-09,20.44600
2024-09-12,20.59500
2024-09-19,20.60100
2024-09-23,20.76400
2024-09-27,20.80500
2024-10-07,20.44900
2024-10-09,20.58500
2024-10-15,20.66200
2024-10-22,20.39400
2024-10-25,20.28800
2024-11-04,20.34600
2024-11-06,20.51100
2024-11-13,20.15000
2024-11-21,20.17300
2024-11-25,20.42300
2024-11-29,20.49900
2024-12-05,20.71700
2024-12-11,20.78100
2024-12-16,20.77000
2024-12-20,20.45600
2024-12-31,20.51000
2025-01-02,20.69400
2025-01-13,20.17600
2025-01-16,20.37900
2025-01-20,20.38300
2025-01-27,20.12100
2025-02-03,20.31900
2025-02-05,20.52700
2025-02-11,20.18500
2025-02-14,20.03500
2025-02-20,20.11300
2025-02-28,19.74900
2025-03-06,20.06600
2025-03-13,19.94600
2025-03-20,20.38600
2025-03-24,20.63000
2025-03-31,20.58400
2025-04-03,20.54200
2025-04-07,20.07500
2025-04-21,20.95400
2025-04-23,21.04200
2025-04-28,20.96400
2025-05-05,21.03900
2025-05-09,20.83100
2025-05-15,21.32100
2025-05-20,21.25500
2025-05-26,21.38200
2025-06-03,21.34300
2025-06-09,21.60900
2025-06-13,21.43500
2025-06-19,21.40300
2025-06-20,21.51900
2025-06-27,21.79200
2025-07-03,21.76600
2025-07-11,21.75600
2025-07-16,21.83800
2025-07-18,21.77100
2025-07-23,21.85200
2025-08-01,21.60600
2025-08-04,21.67000
2025-08-08,21.50900
2025-08-19,21.72900
2025-08-25,21.75000
2025-08-29,21.53200
2025-09-03,21.68000
2025-09-09,21.74100
2025-09-17,21.96000
2025-09-19,21.98800
2025-09-26,21.75000
2025-10-06,21.93500
2025-10-08,21.92500
2025-10-14,21.95700
2025-10-17,22.12200
2025-10-29,22.28800
2025-11-03,22.30400
2025-11-06,22.21200
2025-11-17,22.35500
2025-11-21,22.29700
2025-11-26,22.40800
2025-12-03,22.33500
2025-12-05,22.38900
2025-12-10,22.24900
2025-12-18,22.31400
2025-12-22,22.44900
2025-12-30,22.43100
2026-01-02,22.60100
2026-01-09,22.39000
2026-01-16,22.45500
2026-01-21,22.21800
2026-01-23,22.17600
2026-02-02,22.27200
2026-02-09,22.63900
2026-02-13,22.56500
2026-02-18,22.72000
2026-02-25,22.65200
2026-03-04,22.29300
2026-03-05,22.41800
2026-03-13,21.86700
2026-03-18,22.10400
2026-03-23,21.58800
2026-03-31,21.55600
2026-04-08,22.23200
2026-04-09,22.16100
2026-04-21,22.62900
2026-04-24,22.42700
2026-04-30,22.44100
2026-05-07,22.64000
2026-05-12,22.28800
2026-05-14,22.40800
2026-05-25,22.52100
2026-06-01,22.33900
2026-06-05,22.39500
2026-06-10,22.34900
2026-06-11,22.30700
2026-06-17,22.70200
2026-06-29,22.73900
2026-07-03,22.90400
2026-07-08,22.75800
2026-07-10,22.92900
2026-07-17,22.95700
2026-07-24,22.76300
2026-07-27,22.88400
2026-08-03,23.20500
2026-08-06,23.16200
2026-08-12,23.18400
2026-08-19,23.11300
2026-08-25,23.19500
2026-08-31,23.17300
2026-09-02,23.09700
