# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:58.066465+00:00
stretch_ending,fund_return,benchmark_return
2023-11-17,0.133986,
2023-11-24,0.129262,
2023-12-01,0.137905,
2023-12-08,0.139883,
2023-12-15,0.141829,
2023-12-22,0.137426,
2023-12-29,0.137865,
2024-01-05,0.132559,
2024-01-12,0.125290,
2024-01-19,0.121599,
2024-01-25,0.135920,
2024-02-02,0.125925,
2024-02-09,0.117511,
2024-02-16,0.125714,
2024-02-23,0.130886,
2024-03-01,0.131655,
2024-03-07,0.134434,
2024-03-15,0.139230,
2024-03-22,0.144376,
2024-03-31,0.136235,
2024-04-05,0.136266,
2024-04-12,0.142953,
2024-04-19,0.140758,
2024-04-26,0.136585,
2024-05-03,0.138780,
2024-05-10,0.134886,
2024-05-17,0.137882,
2024-05-24,0.136899,
2024-05-31,0.118444,
2024-06-07,0.131115,
2024-06-14,0.135093,
2024-06-21,0.132878,
2024-06-28,0.144523,
2024-07-05,0.147062,
2024-07-12,0.148268,
2024-07-19,0.147557,
2024-07-26,0.155040,
2024-08-02,0.141749,
2024-08-09,0.135328,
2024-08-16,0.134063,
2024-08-23,0.136383,
2024-08-30,0.128341,
2024-09-06,0.119516,
2024-09-13,0.122389,
2024-09-20,0.126743,
2024-09-27,0.137181,
2024-10-04,0.117230,
2024-10-11,0.108477,
2024-10-18,0.112178,
2024-10-25,0.106130,
2024-10-31,0.097817,
2024-11-08,0.100426,
2024-11-14,0.094215,
2024-11-22,0.101282,
2024-11-29,0.109249,
2024-12-06,0.119841,
2024-12-13,0.126591,
2024-12-20,0.107803,
2024-12-27,0.108083,
2025-01-03,0.102724,
2025-01-10,0.080831,
2025-01-17,0.089399,
2025-01-24,0.101967,
2025-01-31,0.099537,
2025-02-07,0.100133,
2025-02-14,0.092911,
2025-02-21,0.114874,
2025-02-28,0.097510,
2025-03-07,0.102656,
2025-03-13,0.086291,
2025-03-21,0.105643,
2025-03-28,0.101332,
2025-04-04,0.088300,
2025-04-11,0.097511,
2025-04-17,0.110140,
2025-04-25,0.114208,
2025-05-02,0.132159,
2025-05-09,0.147343,
2025-05-16,0.164412,
2025-05-23,0.157466,
2025-05-30,0.146491,
2025-06-06,0.153647,
2025-06-13,0.173872,
2025-06-20,0.174110,
2025-06-27,0.176862,
2025-07-04,0.167277,
2025-07-11,0.164386,
2025-07-18,0.149486,
2025-07-25,0.140861,
2025-08-01,0.127106,
2025-08-08,0.116977,
2025-08-14,0.116715,
2025-08-22,0.130736,
2025-08-29,0.124221,
2025-09-05,0.124321,
2025-09-12,0.129370,
2025-09-19,0.138877,
2025-09-26,0.142012,
2025-10-03,0.133702,
2025-10-10,0.147280,
2025-10-17,0.142083,
2025-10-24,0.139052,
2025-10-31,0.133045,
2025-11-07,0.130480,
2025-11-14,0.127856,
2025-11-21,0.128831,
2025-11-28,0.123282,
2025-12-05,0.125734,
2025-12-12,0.128003,
2025-12-19,0.132274,
2025-12-26,0.134378,
2026-01-02,0.142452,
2026-01-09,0.134514,
2026-01-16,0.130513,
2026-01-23,0.133598,
2026-01-30,0.138457,
2026-02-06,0.141097,
2026-02-13,0.135169,
2026-02-20,0.144814,
2026-02-27,0.144400,
2026-03-06,0.129377,
2026-03-13,0.122505,
2026-03-20,0.118916,
2026-03-27,0.107978,
2026-04-02,0.103593,
2026-04-10,0.122779,
2026-04-17,0.134636,
2026-04-24,0.120949,
2026-04-30,0.115229,
2026-05-08,0.117804,
2026-05-15,0.111107,
2026-05-22,0.109263,
2026-05-29,0.103138,
2026-06-05,0.095993,
2026-06-12,0.097385,
2026-06-19,0.103565,
2026-06-25,0.096682,
2026-07-03,0.097990,
2026-07-10,0.102396,
2026-07-17,0.095090,
2026-07-24,0.089278,
2026-07-31,0.103933,
2026-08-07,0.103198,
2026-08-14,0.102701,
2026-08-21,0.096036,
2026-08-28,0.094999,
2026-09-04,0.083755,
2026-09-11,0.068791,
2026-09-18,0.071722,
