# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:35:54.561629+00:00
date,nav
2021-03-18,10.00720
2021-03-22,10.01790
2021-03-23,10.02950
2021-03-31,10.04150
2021-04-06,10.06740
2021-04-07,10.06060
2021-04-16,10.06060
2021-04-19,10.06890
2021-04-22,10.07720
2021-04-28,10.10960
2021-04-30,10.11990
2021-05-05,10.12320
2021-05-07,10.13330
2021-05-14,10.13760
2021-05-17,10.13980
2021-05-24,10.16350
2021-05-27,10.16680
2021-05-31,10.16150
2021-06-02,10.16180
2021-06-08,10.17910
2021-06-11,10.19980
2021-06-14,10.20350
2021-06-17,10.17140
2021-06-21,10.17840
2021-06-28,10.16390
2021-06-30,10.16490
2021-07-05,10.17720
2021-07-06,10.16350
2021-07-09,10.18860
2021-07-14,10.20320
2021-07-16,10.22280
2021-07-23,10.22790
2021-07-27,10.23550
2021-07-29,10.23670
2021-08-05,10.25770
2021-08-06,10.24660
2021-08-11,10.25680
2021-08-17,10.28550
2021-08-20,10.29190
2021-08-25,10.29290
2021-08-27,10.29720
2021-09-01,10.32070
2021-09-06,10.32970
2021-09-08,10.32600
2021-09-15,10.33370
2021-09-17,10.33330
2021-09-23,10.33840
2021-09-24,10.32730
2021-09-29,10.32290
2021-10-04,10.32670
2021-10-07,10.32390
2021-10-08,10.32900
2021-10-14,10.33660
2021-10-20,10.33230
2021-10-26,10.33580
2021-10-29,10.33060
2021-11-03,10.33320
2021-11-08,10.34820
2021-11-10,10.35200
2021-11-17,10.35260
2021-11-22,10.36160
2021-11-24,10.35840
2021-11-29,10.36700
2021-12-02,10.37380
2021-12-07,10.37750
2021-12-08,10.38390
2021-12-14,10.39190
2021-12-17,10.38830
2021-12-21,10.37760
2021-12-24,10.37840
2021-12-27,10.38200
2022-01-03,10.39130
2022-01-04,10.38530
2022-01-06,10.38410
2022-01-13,10.39670
2022-01-17,10.39820
2022-01-19,10.39570
2022-01-25,10.40770
2022-01-28,10.40470
2022-02-02,10.39240
2022-02-04,10.39700
2022-02-10,10.42750
2022-02-14,10.43560
2022-02-18,10.44820
2022-02-23,10.45020
2022-02-24,10.44300
2022-02-28,10.44780
2022-03-07,10.43340
2022-03-09,10.43420
2022-03-14,10.44530
2022-03-21,10.47090
2022-03-23,10.47170
2022-03-25,10.47660
2022-03-29,10.47880
2022-04-05,10.49150
2022-04-07,10.49170
2022-04-11,10.44790
2022-04-18,10.44190
2022-04-22,10.45250
2022-04-26,10.46870
2022-04-29,10.46810
2022-05-02,10.47320
2022-05-06,10.36540
2022-05-11,10.38290
2022-05-13,10.37630
2022-05-23,10.39800
2022-05-25,10.40390
2022-05-30,10.40630
2022-06-01,10.40530
2022-06-03,10.38970
2022-06-07,10.38120
2022-06-10,10.39720
2022-06-16,10.38370
2022-06-20,10.39910
2022-06-24,10.40940
2022-06-27,10.41610
2022-06-30,10.41920
2022-07-06,10.46150
2022-07-11,10.46150
2022-07-13,10.47180
2022-07-15,10.46810
2022-07-21,10.47360
2022-07-25,10.48550
2022-07-28,10.48720
2022-08-02,10.51640
2022-08-03,10.51100
2022-08-05,10.50750
2022-08-17,10.54810
2022-08-19,10.54290
2022-08-22,10.54690
2022-08-25,10.54770
2022-08-30,10.55710
2022-09-06,10.57430
2022-09-09,10.57750
2022-09-13,10.58490
2022-09-16,10.56130
2022-09-21,10.55400
2022-09-23,10.52710
2022-09-28,10.52740
2022-09-30,10.54270
2022-10-06,10.55370
2022-10-11,10.53460
2022-10-14,10.53860
2022-10-18,10.55900
2022-10-21,10.55850
2022-10-27,10.58630
2022-11-01,10.59920
2022-11-04,10.60250
2022-11-09,10.61490
2022-11-11,10.63330
2022-11-17,10.65660
2022-11-21,10.65500
2022-11-24,10.67130
2022-11-29,10.67790
2022-12-02,10.69240
2022-12-05,10.69720
2022-12-08,10.69320
2022-12-14,10.71520
2022-12-16,10.71240
2022-12-21,10.72110
2022-12-26,10.71950
2022-12-29,10.72280
2022-12-30,10.72960
2023-01-05,10.73690
2023-01-06,10.73370
2023-01-12,10.75530
2023-01-16,10.76170
2023-01-20,10.76120
2023-01-25,10.76850
2023-01-30,10.76350
2023-02-02,10.78680
2023-02-07,10.79520
2023-02-08,10.78780
2023-02-13,10.79310
2023-02-17,10.79170
2023-02-21,10.80070
2023-02-24,10.79960
2023-03-01,10.80690
2023-03-02,10.80660
2023-03-09,10.81330
2023-03-14,10.84700
2023-03-16,10.84730
2023-03-17,10.84700
2023-03-27,10.88280
2023-03-28,10.87670
2023-04-05,10.91440
2023-04-06,10.94470
2023-04-13,10.95010
2023-04-17,10.95270
2023-04-21,10.97540
2023-04-26,11.00980
2023-05-02,11.01480
2023-05-03,11.02930
2023-05-10,11.04200
2023-05-12,11.04860
2023-05-16,11.07010
2023-05-22,11.10010
2023-05-24,11.10100
2023-05-30,11.09870
2023-06-01,11.11460
2023-06-06,11.12480
2023-06-09,11.11640
2023-06-13,11.12380
2023-06-16,11.12340
2023-06-20,11.13140
2023-06-22,11.12520
2023-06-28,11.13400
2023-07-04,11.13910
2023-07-07,11.13350
2023-07-11,11.14630
2023-07-12,11.14680
2023-07-17,11.16900
2023-07-20,11.17940
2023-07-26,11.18620
2023-07-28,11.17650
2023-08-02,11.19350
2023-08-04,11.18660
2023-08-08,11.19480
2023-08-14,11.20110
2023-08-17,11.19240
2023-08-24,11.21990
2023-08-28,11.23720
2023-08-30,11.23750
2023-09-04,11.24830
2023-09-07,11.25740
2023-09-12,11.25490
2023-09-14,11.27430
2023-09-20,11.28590
2023-09-22,11.28330
2023-09-29,11.28260
2023-10-05,11.30120
2023-10-06,11.26080
2023-10-10,11.26260
2023-10-16,11.28190
2023-10-19,11.28070
2023-10-25,11.29200
2023-10-26,11.28820
2023-11-01,11.30180
2023-11-06,11.31920
2023-11-09,11.33280
2023-11-10,11.32970
2023-11-15,11.35120
2023-11-20,11.35950
2023-11-24,11.35180
2023-11-29,11.36910
2023-12-01,11.36530
2023-12-07,11.38750
2023-12-12,11.38750
2023-12-15,11.42250
2023-12-18,11.43150
2023-12-21,11.43260
2023-12-28,11.43970
2023-12-29,11.45330
2024-01-04,11.45330
2024-01-05,11.45150
2024-01-12,11.47590
2024-01-15,11.48900
2024-01-19,11.48820
2024-01-25,11.50120
2024-01-29,11.51460
2024-02-02,11.55390
2024-02-07,11.56160
2024-02-09,11.56030
2024-02-14,11.55990
2024-02-16,11.56790
2024-02-21,11.59220
2024-02-26,11.60590
2024-03-01,11.61300
2024-03-04,11.63650
2024-03-11,11.67170
2024-03-14,11.66820
2024-03-15,11.67150
2024-03-19,11.66960
2024-03-26,11.68060
2024-03-31,11.70450
2024-04-04,11.71550
2024-04-08,11.70910
2024-04-15,11.71880
2024-04-19,11.70810
2024-04-23,11.72610
2024-04-26,11.72970
2024-04-30,11.74120
2024-05-06,11.77180
2024-05-10,11.77540
2024-05-13,11.78410
2024-05-17,11.80380
2024-05-21,11.81940
2024-05-27,11.84200
2024-05-31,11.84770
2024-06-04,11.83210
2024-06-06,11.84950
2024-06-11,11.86520
2024-06-18,11.88560
2024-06-19,11.89160
2024-06-24,11.90420
2024-06-27,11.90350
2024-07-02,11.92080
2024-07-03,11.92240
2024-07-09,11.94440
2024-07-12,11.95470
2024-07-18,11.97670
2024-07-23,11.98550
2024-07-24,11.98940
2024-07-29,12.02270
2024-07-31,12.01840
2024-08-05,12.04660
2024-08-09,12.05240
2024-08-13,12.05930
2024-08-20,12.08330
2024-08-22,12.09020
2024-08-26,12.10040
2024-08-28,12.10780
2024-09-03,12.11760
2024-09-06,12.11800
2024-09-10,12.12150
2024-09-12,12.13680
2024-09-16,12.15910
2024-09-20,12.18100
2024-09-26,12.20170
2024-10-01,12.21570
2024-10-07,12.19730
2024-10-09,12.22790
2024-10-14,12.25460
2024-10-15,12.25860
2024-10-21,12.23420
2024-10-24,12.25370
2024-10-28,12.25260
2024-10-30,12.26400
2024-11-06,12.27510
2024-11-11,12.29240
2024-11-13,12.29080
2024-11-14,12.28500
2024-11-21,12.30300
2024-11-28,12.31910
2024-12-02,12.36470
2024-12-05,12.38870
2024-12-06,12.37530
2024-12-11,12.38930
2024-12-13,12.38580
2024-12-18,12.40350
2024-12-24,12.40190
2024-12-30,12.41980
2025-01-02,12.42460
2025-01-06,12.43780
2025-01-09,12.44190
2025-01-13,12.42200
2025-01-16,12.44880
2025-01-17,12.44700
2025-01-24,12.47930
2025-01-27,12.49570
2025-01-31,12.50290
2025-02-03,12.51820
2025-02-06,12.53620
2025-02-10,12.52420
2025-02-14,12.52660
2025-02-18,12.53970
2025-02-25,12.55170
2025-02-28,12.54920
2025-03-04,12.55110
2025-03-06,12.56810
2025-03-13,12.58340
2025-03-19,12.61140
2025-03-20,12.62750
2025-03-25,12.65280
2025-03-31,12.71370
2025-04-02,12.77150
2025-04-08,12.79050
2025-04-09,12.81910
2025-04-17,12.87270
2025-04-22,12.91520
2025-04-25,12.90880
2025-04-29,12.92870
2025-05-05,12.94480
2025-05-09,12.90880
2025-05-13,12.95470
2025-05-16,13.00700
2025-05-21,13.04750
2025-05-23,13.04780
2025-05-28,13.06600
2025-05-30,13.05730
2025-06-05,13.07420
