# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:58.237864+00:00
stretch_ending,fund_return,benchmark_return
2025-01-31,0.187465,
2025-02-07,0.196062,
2025-02-14,0.172910,
2025-02-21,0.184835,
2025-02-28,0.167306,
2025-03-07,0.200061,
2025-03-13,0.182149,
2025-03-21,0.188462,
2025-03-28,0.179747,
2025-04-04,0.153760,
2025-04-11,0.156500,
2025-04-17,0.175039,
2025-04-25,0.178790,
2025-05-02,0.197904,
2025-05-09,0.214479,
2025-05-16,0.232924,
2025-05-23,0.238015,
2025-05-30,0.226423,
2025-06-06,0.237265,
2025-06-13,0.248569,
2025-06-20,0.256075,
2025-06-27,0.255406,
2025-07-04,0.259334,
2025-07-11,0.240743,
2025-07-18,0.231399,
2025-07-25,0.226258,
2025-08-01,0.198942,
2025-08-08,0.193443,
2025-08-14,0.189192,
2025-08-22,0.205931,
2025-08-29,0.193632,
2025-09-05,0.202997,
2025-09-12,0.204514,
2025-09-19,0.217038,
2025-09-26,0.222912,
2025-10-03,0.219755,
2025-10-10,0.228727,
2025-10-17,0.223808,
2025-10-24,0.225561,
2025-10-31,0.216871,
2025-11-07,0.213448,
2025-11-14,0.220773,
2025-11-21,0.223318,
2025-11-28,0.218871,
2025-12-05,0.212546,
2025-12-12,0.215180,
2025-12-19,0.218503,
2025-12-26,0.228983,
2026-01-02,0.233474,
2026-01-09,0.221401,
2026-01-16,0.223181,
2026-01-23,0.211741,
2026-01-30,0.220385,
2026-02-06,0.234888,
2026-02-13,0.238048,
2026-02-20,0.237863,
2026-02-27,0.256322,
2026-03-06,0.240793,
2026-03-13,0.228462,
2026-03-20,0.226639,
2026-03-27,0.224105,
2026-04-02,0.212936,
2026-04-10,0.232544,
2026-04-17,0.236548,
2026-04-24,0.232248,
2026-04-30,0.228497,
2026-05-08,0.236587,
2026-05-15,0.226237,
2026-05-22,0.228684,
2026-05-29,0.223265,
2026-06-05,0.210852,
2026-06-12,0.205212,
2026-06-19,0.206649,
2026-06-25,0.209932,
2026-07-03,0.203806,
2026-07-10,0.196022,
2026-07-17,0.191516,
2026-07-24,0.187190,
2026-07-31,0.190789,
2026-08-07,0.201839,
2026-08-14,0.200527,
2026-08-21,0.195406,
2026-08-28,0.196110,
2026-09-04,0.179407,
2026-09-11,0.174551,
2026-09-18,0.172734,
2026-09-25,0.176081,
