# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:25.217970+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-10,0.000000,
2013-01-11,-0.011326,
2013-01-24,-0.051639,
2013-01-31,-0.032608,
2013-02-15,-0.076659,
2013-02-20,-0.062814,
2013-02-28,-0.106808,
2013-03-11,-0.084066,
2013-03-22,-0.142611,
2013-04-02,-0.121896,
2013-04-15,-0.142593,
2013-04-25,-0.079252,
2013-05-08,-0.037639,
2013-05-14,-0.048492,
2013-05-30,-0.019979,
2013-06-03,-0.041055,
2013-06-13,-0.089809,
2013-06-26,-0.112912,
2013-07-01,-0.085773,
2013-07-17,-0.097556,
2013-07-23,-0.075252,
2013-08-06,-0.141773,
2013-08-14,-0.087013,
2013-08-21,-0.144939,
2013-09-03,-0.144268,
2013-09-11,-0.092539,
2013-09-23,-0.081294,
2013-09-30,-0.070578,
2013-10-11,0.000000,
2013-10-28,-0.009241,
2013-10-29,0.000000,
2013-11-13,-0.018755,
2013-11-20,0.000000,
2013-12-06,0.000000,
2013-12-17,-0.010646,
2013-12-18,0.000000,
2014-01-06,0.000000,
2014-01-10,-0.016230,
2014-01-23,-0.016493,
2014-01-30,-0.067028,
2014-02-05,-0.041274,
2014-02-14,-0.042393,
2014-02-26,-0.003390,
2014-03-06,0.000000,
2014-03-25,0.000000,
2014-04-04,-0.016563,
2014-04-09,0.000000,
2014-04-22,-0.011143,
2014-04-30,-0.015992,
2014-05-12,0.000000,
2014-05-28,-0.019123,
2014-06-03,0.000000,
2014-06-13,-0.013857,
2014-06-18,0.000000,
2014-07-07,0.000000,
2014-07-11,-0.064984,
2014-07-17,-0.008873,
2014-08-01,-0.043786,
2014-08-12,-0.009079,
2014-08-18,0.000000,
2014-08-26,-0.003775,
2014-09-15,0.000000,
2014-09-16,-0.028772,
2014-09-30,-0.018665,
2014-10-16,-0.053060,
2014-10-22,-0.007236,
2014-10-31,0.000000,
2014-11-21,-0.006706,
2014-11-28,0.000000,
2014-12-05,-0.002205,
2014-12-17,-0.065078,
2014-12-22,-0.024426,
2015-01-06,-0.025053,
2015-01-12,-0.002424,
2015-01-28,-0.001141,
2015-02-09,-0.067508,
2015-02-18,-0.007430,
2015-02-26,-0.037211,
2015-03-03,-0.008617,
2015-03-12,-0.004405,
2015-03-26,-0.052954,
2015-04-06,0.000000,
2015-04-15,-0.008363,
2015-04-27,-0.092785,
2015-05-05,-0.046840,
2015-05-18,-0.026795,
2015-06-01,-0.028428,
2015-06-09,-0.087991,
2015-06-12,-0.092420,
2015-06-22,-0.056134,
2015-07-09,-0.050807,
2015-07-16,-0.019685,
2015-07-27,-0.027872,
2015-07-30,0.000000,
2015-08-12,-0.044897,
2015-08-19,-0.002551,
2015-09-01,-0.087290,
2015-09-07,-0.118224,
2015-09-21,-0.077569,
2015-09-29,-0.103393,
2015-10-08,-0.069791,
2015-10-20,-0.049782,
2015-11-02,-0.080592,
2015-11-18,-0.087636,
2015-11-30,-0.061474,
2015-12-09,-0.103972,
2015-12-11,-0.109446,
2015-12-28,-0.076438,
2016-01-01,-0.065758,
2016-01-18,-0.166660,
2016-01-21,-0.178604,
2016-01-29,-0.147400,
2016-02-11,-0.213677,
2016-02-22,-0.176541,
2016-02-29,-0.210529,
2016-03-09,-0.150125,
2016-03-17,-0.151864,
2016-03-30,-0.105510,
2016-04-08,-0.120333,
2016-04-27,-0.067866,
2016-05-04,-0.102182,
2016-05-12,-0.091334,
2016-05-24,-0.115477,
2016-05-31,-0.068852,
2016-06-09,-0.059623,
2016-06-24,-0.071909,
2016-07-04,-0.034495,
2016-07-08,-0.036958,
2016-07-25,0.000000,
2016-08-03,-0.016887,
2016-08-05,0.000000,
2016-08-25,-0.013905,
2016-08-30,0.000000,
2016-09-12,-0.029465,
2016-09-22,-0.011389,
2016-09-29,-0.041769,
2016-10-07,-0.004972,
2016-10-25,-0.009291,
2016-11-07,-0.034056,
2016-11-15,-0.117843,
2016-11-21,-0.136984,
2016-11-30,-0.094838,
2016-12-08,-0.083419,
2016-12-26,-0.133722,
2017-01-02,-0.092149,
2017-01-11,-0.057761,
2017-01-20,-0.067866,
2017-02-01,-0.022104,
2017-02-10,-0.020982,
2017-02-15,-0.047810,
2017-03-03,-0.033261,
2017-03-16,0.000000,
2017-03-22,-0.014874,
2017-03-30,0.000000,
2017-04-13,-0.009570,
2017-04-24,0.000000,
2017-05-05,-0.006412,
2017-05-16,0.000000,
2017-05-24,-0.031983,
2017-05-26,-0.005993,
2017-06-09,0.000000,
2017-06-20,-0.001519,
2017-06-27,-0.033622,
2017-07-10,-0.004456,
2017-07-19,0.000000,
2017-08-01,0.000000,
2017-08-10,-0.046695,
2017-08-16,-0.026063,
2017-08-29,-0.042805,
2017-09-05,-0.011211,
2017-09-19,0.000000,
2017-09-27,-0.055552,
2017-10-06,-0.020183,
2017-10-16,-0.005711,
2017-11-01,0.000000,
2017-11-08,-0.017578,
2017-11-15,-0.026590,
2017-11-22,-0.001563,
2017-12-06,-0.026219,
2017-12-15,0.000000,
2017-12-28,-0.006537,
2018-01-08,0.000000,
2018-01-18,-0.027750,
2018-01-23,-0.015197,
2018-02-06,-0.068132,
2018-02-12,-0.043153,
2018-02-20,-0.070121,
2018-03-01,-0.054286,
2018-03-19,-0.086332,
2018-03-23,-0.098987,
2018-04-05,-0.038506,
2018-04-16,-0.023792,
2018-04-30,-0.014788,
2018-05-04,-0.031530,
2018-05-21,-0.075740,
2018-05-28,-0.057106,
2018-06-05,-0.077231,
2018-06-12,-0.051471,
2018-06-27,-0.099154,
2018-06-28,-0.106187,
2018-07-10,-0.055429,
2018-07-20,-0.090635,
2018-07-31,-0.064740,
2018-08-13,-0.086704,
2018-08-20,-0.068741,
2018-08-29,-0.064130,
2018-09-14,-0.090755,
2018-09-24,-0.151668,
2018-10-05,-0.233537,
2018-10-16,-0.212910,
2018-10-25,-0.258238,
2018-11-02,-0.206223,
2018-11-12,-0.216809,
2018-11-29,-0.199075,
2018-12-10,-0.234521,
2018-12-19,-0.182936,
2018-12-24,-0.204233,
2018-12-31,-0.194519,
2019-01-17,-0.219611,
2019-01-28,-0.280729,
2019-02-01,-0.257874,
2019-02-07,-0.244419,
2019-02-18,-0.289819,
2019-03-05,-0.242940,
2019-03-13,-0.227952,
