# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:23.761190+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-07,0.000000,
2013-01-15,-0.009264,
2013-01-24,-0.056264,
2013-02-01,-0.047807,
2013-02-14,-0.093351,
2013-02-20,-0.079542,
2013-03-04,-0.127221,
2013-03-11,-0.097362,
2013-03-25,-0.158578,
2013-04-02,-0.120564,
2013-04-10,-0.148471,
2013-04-22,-0.112354,
2013-05-13,-0.093223,
2013-05-17,-0.054316,
2013-05-23,-0.085828,
2013-06-07,-0.066360,
2013-06-13,-0.110935,
2013-06-26,-0.144360,
2013-07-01,-0.112635,
2013-07-15,-0.095213,
2013-07-23,-0.105681,
2013-08-06,-0.197313,
2013-08-14,-0.154657,
2013-08-20,-0.198869,
2013-09-03,-0.196322,
2013-09-11,-0.140289,
2013-09-23,-0.141725,
2013-09-30,-0.134496,
2013-10-11,-0.082071,
2013-10-28,-0.078572,
2013-11-05,-0.028174,
2013-11-12,-0.039798,
2013-11-20,-0.018807,
2013-11-29,0.000000,
2013-12-13,-0.012743,
2013-12-18,0.000000,
2014-01-02,-0.014138,
2014-01-08,0.000000,
2014-01-22,-0.012450,
2014-01-30,-0.063055,
2014-02-05,-0.036370,
2014-02-17,-0.038679,
2014-02-25,-0.000007,
2014-03-14,-0.013154,
2014-03-18,-0.000331,
2014-04-03,-0.007763,
2014-04-09,0.000000,
2014-04-23,0.000000,
2014-04-30,-0.024577,
2014-05-12,0.000000,
2014-05-27,-0.017361,
2014-06-03,0.000000,
2014-06-13,-0.020342,
2014-06-18,-0.003478,
2014-07-07,-0.001816,
2014-07-11,-0.060697,
2014-07-17,-0.016276,
2014-07-28,-0.026360,
2014-08-06,-0.002860,
2014-08-25,-0.003158,
2014-08-26,0.000000,
2014-09-15,0.000000,
