# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:24.074478+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.277599,
2016-01-08,0.260254,
2016-01-15,0.257073,
2016-01-22,0.255189,
2016-01-29,0.260881,
2016-02-05,0.259444,
2016-02-12,0.248835,
2016-02-19,0.251551,
2016-02-26,0.256804,
2016-03-04,0.271844,
2016-03-18,0.280893,
2016-03-23,0.294329,
2016-04-01,0.290206,
2016-04-08,0.286573,
2016-04-13,0.292911,
2016-04-22,0.285820,
2016-04-29,0.268022,
2016-05-13,0.260877,
2016-05-20,0.251953,
2016-05-27,0.256537,
2016-06-03,0.257253,
2016-06-10,0.264046,
2016-06-17,0.263275,
2016-06-24,0.279141,
2016-07-01,0.282578,
2016-07-15,0.276742,
2016-07-22,0.286708,
2016-07-29,0.311358,
2016-08-05,0.323170,
2016-08-12,0.315061,
2016-08-19,0.336773,
2016-08-26,0.337293,
2016-09-02,0.332640,
2016-09-09,0.315782,
2016-09-23,0.314549,
2016-09-30,0.300340,
2016-10-07,0.305448,
2016-10-14,0.298096,
2016-10-21,0.288952,
2016-10-28,0.285721,
2016-11-04,0.276605,
2016-11-11,0.264040,
2016-11-18,0.246044,
2016-12-02,0.240529,
2016-12-09,0.248123,
2016-12-16,0.235081,
2016-12-23,0.214708,
2016-12-30,0.222413,
2017-01-06,0.230678,
2017-01-13,0.238138,
2017-01-20,0.243140,
2017-02-03,0.274898,
2017-02-10,0.279452,
2017-02-17,0.274175,
2017-02-23,0.270276,
2017-03-03,0.259319,
2017-03-10,0.257729,
2017-03-17,0.261189,
2017-03-24,0.252214,
2017-04-07,0.247860,
2017-04-13,0.250414,
2017-04-21,0.240883,
2017-04-28,0.258616,
2017-05-05,0.262322,
2017-05-12,0.257035,
2017-05-19,0.234022,
2017-05-26,0.220479,
2017-06-09,0.215890,
2017-06-16,0.209974,
2017-06-23,0.202803,
2017-06-30,0.182647,
2017-07-07,0.201571,
2017-07-14,0.199825,
2017-07-21,0.198186,
2017-07-28,0.201848,
2017-08-11,0.181206,
