# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:27.422756+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-10,0.000000,
2013-01-16,-0.003193,
2013-01-30,-0.002236,
2013-02-06,-0.005360,
2013-02-20,-0.004987,
2013-02-28,-0.013235,
2013-03-08,-0.003485,
2013-03-15,-0.002558,
2013-03-22,-0.010622,
2013-04-09,-0.009840,
2013-04-17,0.000000,
2013-05-03,-0.002066,
2013-05-15,0.000000,
2013-05-23,-0.008528,
2013-05-28,-0.002932,
2013-06-12,-0.018362,
2013-06-19,-0.011898,
2013-06-26,-0.028305,
2013-07-11,-0.015095,
2013-07-16,-0.031857,
2013-07-23,-0.031348,
2013-08-08,-0.042531,
2013-08-19,-0.067457,
2013-08-28,-0.067238,
2013-09-10,-0.035360,
2013-09-17,-0.034649,
2013-09-19,-0.021080,
2013-09-30,-0.030625,
2013-10-11,-0.008594,
2013-10-22,-0.000827,
2013-11-05,0.000000,
2013-11-12,-0.011850,
2013-11-21,-0.010224,
2013-11-29,0.000000,
2013-12-13,-0.006276,
2013-12-18,0.000000,
2014-01-02,-0.003092,
2014-01-15,0.000000,
2014-01-21,0.000000,
2014-01-30,-0.014905,
2014-02-07,-0.007147,
2014-02-14,-0.008782,
2014-02-26,0.000000,
2014-03-14,-0.001388,
2014-03-27,0.000000,
2014-04-07,-0.004901,
2014-04-11,-0.000540,
2014-04-30,-0.001504,
2014-05-06,0.000000,
2014-05-23,0.000000,
2014-05-29,-0.003034,
2014-06-04,0.000000,
2014-06-16,-0.004409,
2014-06-24,0.000000,
2014-07-07,0.000000,
2014-07-14,-0.014677,
2014-07-24,0.000000,
2014-08-08,-0.006816,
2014-08-14,-0.000211,
2014-08-25,-0.000691,
2014-09-09,0.000000,
2014-09-19,0.000000,
2014-09-25,-0.009225,
2014-09-30,-0.004027,
2014-10-16,-0.004997,
2014-10-28,0.000000,
2014-11-17,0.000000,
2014-11-26,-0.002433,
2014-12-04,0.000000,
2014-12-09,-0.004652,
2014-12-17,-0.015326,
2015-01-02,0.000000,
2015-01-06,-0.007875,
2015-01-14,-0.000347,
2015-01-29,0.000000,
2015-02-09,-0.009140,
2015-02-13,0.000000,
2015-03-04,0.000000,
2015-03-11,-0.006293,
2015-03-17,-0.002921,
2015-03-26,-0.009297,
2015-04-13,0.000000,
2015-04-21,-0.013967,
2015-05-07,-0.024862,
2015-05-11,-0.016878,
2015-05-22,-0.007651,
2015-06-01,-0.004522,
2015-06-11,-0.019982,
2015-06-22,-0.005316,
2015-06-29,-0.008588,
2015-07-06,-0.000326,
2015-07-20,0.000000,
2015-07-27,-0.005675,
2015-08-03,0.000000,
2015-08-19,0.000000,
2015-08-24,-0.022120,
2015-09-07,-0.024611,
2015-09-18,-0.008766,
2015-09-28,-0.011561,
2015-10-05,0.000000,
2015-10-13,-0.003179,
2015-10-23,0.000000,
2015-11-10,-0.013442,
2015-11-19,-0.010073,
2015-12-01,-0.007343,
2015-12-09,-0.014652,
2015-12-17,-0.005448,
2016-01-01,-0.001434,
2016-01-07,-0.010233,
2016-01-18,-0.020140,
2016-01-29,-0.007017,
2016-02-05,-0.008405,
2016-02-11,-0.022400,
2016-02-25,-0.032716,
2016-03-03,-0.010134,
2016-03-18,0.000000,
2016-03-29,-0.003019,
2016-04-11,0.000000,
2016-04-27,0.000000,
2016-05-04,-0.004099,
2016-05-09,0.000000,
2016-05-24,-0.003643,
2016-05-26,0.000000,
2016-06-13,-0.003160,
2016-06-15,-0.000286,
2016-06-24,-0.003653,
2016-07-01,0.000000,
2016-07-18,-0.000557,
2016-07-29,0.000000,
2016-08-03,-0.003051,
2016-08-12,0.000000,
2016-08-23,-0.001203,
2016-09-08,-0.000126,
2016-09-12,-0.007258,
2016-09-22,-0.001033,
2016-10-05,0.000000,
2016-10-17,-0.006128,
2016-10-25,-0.000751,
2016-11-04,-0.010968,
2016-11-15,-0.015935,
2016-11-25,0.000000,
2016-12-06,-0.002055,
2016-12-15,-0.015736,
2016-12-26,-0.027869,
2017-01-02,-0.013250,
2017-01-11,-0.003928,
2017-01-24,0.000000,
2017-02-07,0.000000,
2017-02-09,-0.010124,
2017-02-20,-0.002722,
2017-03-02,-0.004277,
2017-03-14,0.000000,
2017-03-30,0.000000,
2017-04-07,-0.003767,
2017-04-12,0.000000,
2017-04-21,-0.001765,
2017-05-11,0.000000,
2017-05-22,-0.005257,
2017-05-24,-0.007983,
2017-06-01,0.000000,
2017-06-19,-0.000143,
2017-06-29,-0.003289,
2017-07-03,0.000000,
2017-07-18,-0.001362,
2017-07-19,0.000000,
2017-08-07,0.000000,
2017-08-10,-0.009812,
2017-08-22,-0.008360,
2017-08-31,-0.000371,
2017-09-15,0.000000,
2017-09-25,-0.008012,
2017-09-27,-0.010966,
2017-10-10,-0.000620,
2017-10-25,-0.006210,
2017-11-02,0.000000,
2017-11-15,-0.005867,
2017-11-20,0.000000,
2017-12-04,-0.003994,
2017-12-08,-0.000588,
2017-12-26,0.000000,
2017-12-28,-0.003063,
2018-01-05,0.000000,
2018-01-23,0.000000,
2018-01-29,-0.003217,
2018-02-06,-0.021088,
2018-02-14,-0.014072,
2018-03-06,-0.021031,
2018-03-15,-0.013304,
2018-03-23,-0.017652,
2018-04-03,0.000000,
2018-04-11,-0.004045,
2018-04-20,-0.004527,
2018-05-08,-0.000122,
2018-05-15,-0.006456,
2018-05-23,-0.010136,
2018-05-31,-0.001075,
2018-06-07,-0.006118,
2018-06-18,-0.000644,
2018-06-28,-0.005359,
2018-07-05,-0.000339,
2018-07-16,-0.002331,
2018-07-24,0.000000,
2018-08-02,-0.000992,
2018-08-23,0.000000,
2018-08-31,-0.001609,
2018-09-11,-0.015030,
2018-09-14,-0.009953,
2018-10-04,-0.039430,
2018-10-12,-0.035524,
2018-10-23,-0.043654,
2018-10-26,-0.044885,
2018-11-09,-0.031434,
2018-11-22,-0.031241,
2018-12-04,-0.021410,
2018-12-10,-0.030250,
2018-12-19,-0.012307,
2018-12-27,-0.015464,
2019-01-11,-0.013470,
2019-01-15,-0.009737,
2019-01-28,-0.015948,
2019-02-07,-0.008652,
2019-02-18,-0.016564,
2019-02-28,-0.010834,
2019-03-11,0.000000,
2019-03-22,0.000000,
2019-04-02,0.000000,
2019-04-08,-0.005512,
