# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:25.752718+00:00
date,fund_value_inr,benchmark_value_inr
2013-08-13,10000.00,
2013-08-21,10049.10,
2013-08-30,10030.70,
2013-09-05,10118.54,
2013-09-17,10126.52,
2013-09-20,10193.95,
2013-10-08,10285.44,
2013-10-15,10284.04,
2013-10-21,10299.21,
2013-11-05,10337.83,
2013-11-14,10333.99,
2013-11-26,10369.81,
2013-11-29,10348.18,
2013-12-12,10389.12,
2013-12-18,10393.75,
2014-01-01,10435.71,
2014-01-09,10447.53,
2014-01-21,10480.67,
2014-01-30,10483.29,
2014-02-06,10505.95,
2014-02-14,10514.60,
2014-02-24,10538.66,
2014-03-04,10551.69,
2014-03-11,10587.15,
2014-03-24,10639.04,
2014-04-04,10669.93,
2014-04-21,10712.20,
2014-04-30,10733.16,
2014-05-09,10759.41,
2014-05-19,10789.01,
2014-05-26,10810.39,
2014-06-09,10847.00,
2014-06-13,10856.99,
2014-06-27,10891.96,
2014-07-07,10916.51,
2014-07-11,10926.31,
2014-07-25,10960.67,
2014-08-04,10985.16,
2014-08-14,11009.52,
2014-08-19,11021.58,
2014-08-28,11040.46,
2014-09-08,11070.86,
2014-09-18,11096.08,
2014-09-26,11118.74,
2014-10-08,11152.79,
2014-10-22,11200.00,
2014-11-10,11267.25,
2014-11-14,11279.55,
2014-11-24,11308.00,
2014-11-28,11319.08,
2014-12-15,11366.41,
2014-12-24,11381.89,
2014-12-29,11394.43,
2015-01-09,11426.47,
2015-01-19,11456.02,
2015-01-23,11464.36,
2015-02-02,11489.70,
2015-02-13,11501.52,
2015-02-23,11533.01,
2015-03-09,11584.12,
2015-03-13,11594.35,
2015-03-27,11630.29,
2015-04-06,11676.40,
2015-04-20,11711.37,
2015-04-30,11736.04,
2015-05-05,11748.04,
2015-05-14,11774.72,
2015-05-25,11811.14,
2015-06-01,11833.56,
2015-06-12,11862.62,
2015-06-22,11888.99,
2015-06-26,11899.35,
2015-07-13,11942.17,
2015-07-17,11952.28,
2015-07-27,11977.44,
2015-08-07,12005.15,
2015-08-19,12035.18,
2015-08-21,12040.18,
2015-08-31,12065.58,
2015-09-11,12084.10,
2015-09-24,12114.98,
2015-09-30,12174.25,
2015-10-12,12200.81,
2015-10-21,12217.62,
2015-10-30,12235.77,
2015-11-16,12275.98,
2015-11-20,12285.84,
2015-11-30,12309.78,
2015-12-11,12329.21,
2015-12-23,12354.68,
2015-12-28,12367.83,
2016-01-11,12406.15,
2016-01-20,12408.40,
2016-01-28,12416.62,
2016-02-05,12432.64,
2016-02-15,12460.12,
2016-02-26,12476.87,
2016-03-02,12507.20,
2016-03-11,12529.31,
2016-03-30,12593.82,
2016-04-04,12638.53,
2016-04-20,12683.37,
2016-04-29,12701.09,
2016-05-09,12729.23,
2016-05-13,12742.63,
2016-05-23,12773.88,
2016-06-03,12804.16,
2016-06-13,12833.58,
