# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:28.676670+00:00
date,fund_below_high,benchmark_below_high
2025-04-08,0.000000,
2025-04-09,0.000000,
2025-04-11,0.000000,
2025-04-15,0.000000,
2025-04-16,0.000000,
2025-04-17,0.000000,
2025-04-21,0.000000,
2025-04-22,0.000000,
2025-04-23,0.000000,
2025-04-24,0.000000,
2025-04-25,0.000000,
2025-04-28,-0.000347,
2025-04-29,0.000000,
2025-04-30,0.000000,
2025-05-02,0.000000,
2025-05-05,0.000000,
2025-05-06,0.000000,
2025-05-07,0.000000,
2025-05-08,-0.000792,
2025-05-09,-0.001228,
2025-05-12,-0.001327,
2025-05-13,0.000000,
2025-05-14,0.000000,
2025-05-15,0.000000,
2025-05-16,0.000000,
2025-05-19,0.000000,
2025-05-20,0.000000,
2025-05-21,0.000000,
2025-05-22,-0.000138,
2025-05-23,0.000000,
2025-05-26,0.000000,
2025-05-27,0.000000,
2025-05-28,0.000000,
2025-05-29,-0.000088,
2025-05-30,-0.000059,
2025-06-02,0.000000,
2025-06-03,0.000000,
2025-06-04,0.000000,
2025-06-05,0.000000,
2025-06-06,0.000000,
2025-06-09,-0.000412,
2025-06-10,-0.001284,
2025-06-11,-0.001814,
2025-06-12,-0.001824,
2025-06-13,-0.001931,
2025-06-16,-0.001608,
2025-06-17,-0.000480,
2025-06-18,-0.000441,
2025-06-19,-0.000912,
2025-06-20,-0.000951,
2025-06-23,-0.000961,
2025-06-24,-0.000382,
2025-06-25,-0.000578,
2025-06-26,-0.000304,
2025-06-27,-0.000363,
2025-06-30,0.000000,
2025-07-01,0.000000,
2025-07-02,0.000000,
2025-07-03,0.000000,
2025-07-04,0.000000,
2025-07-07,0.000000,
2025-07-08,-0.000225,
2025-07-09,-0.000235,
2025-07-10,-0.000020,
2025-07-11,0.000000,
2025-07-14,0.000000,
2025-07-15,0.000000,
2025-07-16,0.000000,
2025-07-17,0.000000,
2025-07-18,0.000000,
2025-07-21,0.000000,
2025-07-22,0.000000,
2025-07-23,0.000000,
2025-07-24,0.000000,
2025-07-25,-0.000049,
2025-07-28,0.000000,
2025-07-29,-0.000059,
2025-07-30,0.000000,
2025-07-31,0.000000,
2025-08-01,0.000000,
2025-08-04,0.000000,
2025-08-05,0.000000,
2025-08-06,-0.001100,
2025-08-07,-0.001041,
2025-08-08,-0.000603,
2025-08-11,-0.000740,
2025-08-12,-0.001294,
2025-08-13,-0.001761,
2025-08-14,-0.000720,
2025-08-18,-0.000876,
2025-08-19,-0.000954,
2025-08-20,-0.000341,
2025-08-21,-0.000204,
2025-08-22,-0.000224,
2025-08-25,-0.000214,
2025-08-26,-0.000574,
2025-08-28,0.000000,
2025-08-29,-0.000535,
2025-09-01,-0.000438,
2025-09-02,-0.000175,
2025-09-03,0.000000,
2025-09-04,0.000000,
2025-09-05,0.000000,
2025-09-08,0.000000,
2025-09-09,0.000000,
2025-09-10,-0.000087,
2025-09-11,0.000000,
2025-09-12,0.000000,
2025-09-15,0.000000,
2025-09-16,0.000000,
2025-09-17,0.000000,
2025-09-18,-0.000019,
2025-09-19,0.000000,
2025-09-22,0.000000,
2025-09-23,0.000000,
2025-09-24,0.000000,
2025-09-25,0.000000,
2025-09-26,0.000000,
2025-09-30,0.000000,
2025-10-01,0.000000,
2025-10-03,0.000000,
2025-10-06,0.000000,
2025-10-07,0.000000,
2025-10-08,0.000000,
2025-10-09,-0.000347,
2025-10-10,-0.000260,
2025-10-13,0.000000,
2025-10-14,0.000000,
