# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:29.862949+00:00
date,fund_value_inr,benchmark_value_inr
2025-05-20,10000.00,
2025-05-21,10017.36,
2025-05-22,9995.79,
2025-05-23,10052.07,
2025-05-26,10082.87,
2025-05-27,10058.49,
2025-05-28,10060.90,
2025-05-29,10076.45,
2025-05-30,10057.69,
2025-06-02,10068.22,
2025-06-03,10036.12,
2025-06-04,10084.27,
2025-06-05,10119.99,
2025-06-06,10223.12,
2025-06-09,10293.05,
2025-06-10,10303.58,
2025-06-11,10293.85,
2025-06-12,10209.98,
2025-06-13,10170.95,
2025-06-16,10233.86,
2025-06-17,10177.68,
2025-06-18,10173.56,
2025-06-19,10095.81,
2025-06-20,10179.18,
2025-06-23,10161.52,
2025-06-24,10192.22,
2025-06-25,10278.70,
2025-06-26,10369.70,
2025-06-27,10387.76,
2025-06-30,10436.21,
2025-07-01,10414.14,
2025-07-02,10394.18,
2025-07-03,10412.34,
2025-07-04,10453.07,
2025-07-07,10435.11,
2025-07-08,10439.12,
2025-07-09,10462.90,
2025-07-10,10427.89,
2025-07-11,10364.48,
2025-07-14,10373.51,
2025-07-15,10450.96,
2025-07-16,10467.51,
2025-07-17,10473.33,
2025-07-18,10419.76,
2025-07-21,10435.61,
2025-07-22,10410.03,
2025-07-23,10442.33,
2025-07-24,10389.96,
2025-07-25,10265.06,
2025-07-28,10172.56,
2025-07-29,10237.97,
2025-07-30,10297.97,
2025-07-31,10257.03,
2025-08-01,10141.16,
2025-08-04,10212.99,
2025-08-05,10191.12,
2025-08-06,10141.66,
2025-08-07,10179.08,
2025-08-08,10093.50,
2025-08-11,10157.61,
2025-08-12,10129.12,
2025-08-13,10153.30,
2025-08-14,10147.08,
2025-08-18,10289.04,
2025-08-19,10357.06,
2025-08-20,10387.66,
2025-08-21,10399.90,
2025-08-22,10351.24,
2025-08-25,10370.00,
2025-08-26,10243.69,
2025-08-28,10172.86,
2025-08-29,10146.17,
2025-09-01,10249.51,
2025-09-02,10257.33,
2025-09-03,10300.87,
2025-09-04,10295.96,
2025-09-05,10304.49,
2025-09-08,10320.74,
2025-09-09,10370.60,
2025-09-10,10439.22,
2025-09-11,10447.85,
2025-09-12,10465.01,
2025-09-15,10480.76,
2025-09-16,10557.51,
2025-09-17,10626.73,
2025-09-18,10639.97,
2025-09-19,10642.48,
2025-09-22,10570.05,
2025-09-23,10545.57,
2025-09-24,10507.44,
2025-09-25,10433.00,
2025-09-26,10271.08,
2025-09-30,10267.97,
2025-10-01,10334.48,
2025-10-03,10412.64,
2025-10-06,10461.09,
2025-10-07,10461.90,
2025-10-08,10454.57,
2025-10-09,10494.60,
2025-10-10,10548.38,
2025-10-13,10528.21,
2025-10-14,10488.88,
2025-10-15,10593.52,
2025-10-16,10669.17,
2025-10-17,10655.42,
2025-10-20,10706.89,
2025-10-23,10746.42,
2025-10-24,10686.83,
2025-10-27,10756.35,
2025-10-28,10747.12,
2025-10-29,10781.53,
2025-10-30,10742.00,
2025-10-31,10693.25,
2025-11-03,10746.32,
2025-11-04,10706.39,
2025-11-06,10614.39,
2025-11-07,10594.63,
2025-11-10,10623.02,
2025-11-11,10638.57,
2025-11-12,10700.57,
2025-11-13,10680.81,
2025-11-14,10678.50,
2025-11-17,10723.04,
2025-11-18,10674.59,
2025-11-19,10719.33,
2025-11-20,10737.49,
2025-11-21,10650.41,
2025-11-24,10655.62,
2025-11-25,10631.85,
2025-11-26,10738.29,
2025-11-27,10751.23,
2025-11-28,10724.55,
2025-12-01,10733.48,
2025-12-02,10687.83,
2025-12-03,10660.74,
2025-12-04,10696.06,
2025-12-05,10704.88,
2025-12-08,10588.01,
2025-12-09,10618.50,
2025-12-10,10603.66,
2025-12-11,10644.69,
2025-12-12,10707.29,
2025-12-15,10726.65,
2025-12-16,10666.96,
2025-12-17,10630.34,
2025-12-18,10635.16,
2025-12-19,10703.88,
2025-12-22,10764.98,
2025-12-23,10766.48,
2025-12-24,10744.51,
2025-12-26,10684.22,
2025-12-29,10671.27,
2025-12-30,10697.06,
2025-12-31,10794.37,
2026-01-01,10810.83,
2026-01-02,10842.63,
2026-01-05,10844.44,
2026-01-06,10815.24,
2026-01-07,10813.74,
2026-01-08,10670.37,
2026-01-09,10569.14,
2026-01-12,10568.14,
2026-01-13,10594.33,
2026-01-14,10579.98,
2026-01-16,10610.68,
2026-01-19,10551.29,
2026-01-20,10367.39,
2026-01-21,10321.64,
2026-01-22,10366.89,
2026-01-23,10256.53,
2026-01-27,10287.23,
2026-01-28,10390.06,
2026-01-29,10404.41,
2026-01-30,10435.91,
2026-02-02,10368.79,
2026-02-03,10622.52,
2026-02-04,10619.51,
2026-02-05,10573.96,
2026-02-06,10582.19,
2026-02-09,10672.48,
2026-02-10,10716.22,
2026-02-11,10700.37,
2026-02-12,10620.61,
2026-02-13,10486.38,
2026-02-16,10538.95,
2026-02-17,10569.85,
2026-02-18,10580.38,
2026-02-19,10469.02,
2026-02-20,10499.22,
2026-02-23,10563.73,
2026-02-24,10471.53,
2026-02-25,10500.62,
2026-02-26,10499.82,
2026-02-27,10418.26,
2026-03-02,10274.39,
2026-03-04,10090.29,
2026-03-05,10179.78,
2026-03-06,10102.03,
2026-03-09,9922.95,
2026-03-10,10075.14,
2026-03-11,9981.34,
2026-03-12,9903.49,
2026-03-13,9680.26,
2026-03-16,9683.07,
2026-03-17,9735.04,
2026-03-18,9855.13,
2026-03-19,9576.23,
2026-03-20,9619.27,
2026-03-23,9347.79,
2026-03-24,9524.56,
2026-03-25,9682.87,
2026-03-27,9511.62,
2026-03-30,9319.90,
2026-03-31,9319.90,
2026-04-01,9513.02,
2026-04-02,9528.07,
2026-04-06,9617.16,
2026-04-07,9645.25,
2026-04-08,9959.57,
2026-04-09,9910.31,
2026-04-10,10029.70,
2026-04-13,9982.94,
2026-04-15,10179.98,
2026-04-16,10217.50,
2026-04-17,10283.42,
2026-04-20,10275.69,
2026-04-21,10373.51,
2026-04-22,10391.17,
2026-04-23,10328.56,
2026-04-24,10196.84,
2026-04-27,10296.66,
2026-04-28,10259.84,
2026-04-29,10308.80,
2026-04-30,10231.55,
2026-05-04,10292.05,
2026-05-05,10237.57,
2026-05-06,10393.37,
2026-05-07,10446.95,
2026-05-08,10428.59,
2026-05-11,10317.53,
2026-05-12,10105.64,
2026-05-13,10122.30,
2026-05-14,10187.81,
2026-05-15,10187.91,
2026-05-18,10169.65,
2026-05-19,10226.23,
2026-05-20,10214.80,
2026-05-21,10217.20,
2026-05-22,10197.64,
2026-05-25,10302.68,
2026-05-26,10339.60,
2026-05-27,10351.34,
2026-05-29,10205.16,
2026-06-01,10137.85,
2026-06-02,10179.58,
2026-06-03,10140.96,
2026-06-04,10165.03,
2026-06-05,10167.54,
2026-06-08,10074.14,
2026-06-09,10174.97,
2026-06-10,10125.61,
2026-06-11,10067.92,
2026-06-12,10247.50,
2026-06-15,10376.62,
2026-06-16,10427.79,
2026-06-17,10477.65,
2026-06-18,10503.63,
2026-06-19,10529.21,
2026-06-22,10624.32,
2026-06-23,10544.66,
2026-06-24,10584.19,
2026-06-25,10558.31,
2026-06-29,10510.75,
2026-06-30,10536.04,
2026-07-01,10526.71,
2026-07-02,10580.18,
2026-07-03,10592.82,
2026-07-06,10640.78,
2026-07-07,10665.86,
2026-07-08,10496.51,
2026-07-09,10602.05,
2026-07-10,10675.59,
2026-07-13,10715.82,
2026-07-14,10657.83,
2026-07-15,10702.68,
2026-07-16,10704.18,
2026-07-17,10713.61,
2026-07-20,10692.64,
2026-07-21,10693.25,
2026-07-22,10587.20,
2026-07-23,10531.62,
2026-07-24,10517.48,
2026-07-27,10637.77,
2026-07-28,10649.50,
2026-07-29,10779.73,
2026-07-30,10807.82,
2026-07-31,10828.89,
2026-08-03,10986.90,
2026-08-04,10979.17,
2026-08-05,11002.35,
2026-08-06,10985.09,
2026-08-07,10946.97,
2026-08-10,10977.07,
2026-08-11,10967.13,
2026-08-12,10967.13,
2026-08-13,10947.97,
2026-08-14,10957.80,
2026-08-17,10992.82,
2026-08-18,10983.99,
2026-08-19,10943.46,
2026-08-20,11018.10,
2026-08-21,11021.21,
2026-08-24,11017.20,
2026-08-25,11021.61,
2026-08-26,11044.28,
2026-08-27,11048.60,
2026-08-28,11045.29,
2026-08-31,11014.39,
2026-09-01,10979.47,
2026-09-02,10920.48,
2026-09-03,10973.96,
2026-09-04,11020.71,
2026-09-07,10974.86,
2026-09-08,10956.20,
2026-09-09,10901.92,
2026-09-10,10901.62,
2026-09-11,10892.39,
2026-09-15,10676.49,
2026-09-16,10692.24,
2026-09-17,10764.88,
2026-09-18,10850.36,
2026-09-21,10861.39,
2026-09-22,10835.01,
2026-09-23,10878.25,
2026-09-24,10744.31,
2026-09-25,10757.25,
