# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:37:30.015864+00:00
date,nav
2021-03-12,9.94540
2021-03-16,9.96200
2021-03-18,9.62230
2021-03-23,10.01680
2021-03-25,9.70560
2021-03-30,10.06810
2021-04-07,10.60570
2021-04-09,10.81520
2021-04-13,10.49850
2021-04-16,10.70720
2021-04-23,10.73320
2021-04-29,11.11030
2021-04-30,11.03310
2021-05-04,11.02650
2021-05-10,11.42760
2021-05-14,11.07280
2021-05-18,11.40540
2021-05-24,11.32830
2021-05-26,11.42710
2021-06-01,11.58000
2021-06-03,11.87190
2021-06-04,11.95180
2021-06-09,11.85530
2021-06-15,12.13530
2021-06-17,11.89760
2021-06-23,11.83230
2021-06-28,12.10340
2021-06-30,12.02920
2021-07-05,12.09760
2021-07-08,11.96950
2021-07-09,12.07850
2021-07-15,12.26440
2021-07-20,12.06930
2021-07-22,12.32040
2021-07-28,12.32880
2021-08-02,12.77690
2021-08-05,12.83650
2021-08-10,12.54100
2021-08-12,12.79250
2021-08-16,12.90080
2021-08-23,12.38910
2021-08-24,12.62500
2021-08-27,12.70820
2021-08-31,13.07610
2021-09-06,13.36700
2021-09-08,13.30610
2021-09-15,13.57750
2021-09-20,12.95320
2021-09-23,13.53080
2021-09-28,13.21390
2021-09-29,13.37030
2021-10-01,13.29950
2021-10-06,13.40600
2021-10-12,13.96240
2021-10-18,14.99850
2021-10-20,14.47060
2021-10-25,13.85820
2021-10-27,14.12260
2021-11-02,13.95950
2021-11-09,14.39020
2021-11-11,14.23540
2021-11-15,14.41530
2021-11-22,13.90640
2021-11-25,14.19640
2021-11-26,13.57900
2021-12-02,13.85650
2021-12-06,13.54810
2021-12-08,14.10600
2021-12-14,14.16400
2021-12-16,14.04590
2021-12-20,13.32040
2021-12-23,13.91990
2021-12-30,13.85910
2022-01-03,14.17620
2022-01-06,14.11910
2022-01-07,14.15930
2022-01-13,14.49110
2022-01-17,14.51330
2022-01-20,14.05310
2022-01-24,13.08840
2022-01-28,13.11080
2022-02-02,13.69510
2022-02-08,13.27890
2022-02-10,13.63350
2022-02-14,12.83210
2022-02-16,13.28960
2022-02-23,13.06520
2022-02-24,12.31300
2022-03-02,12.99680
2022-03-07,12.48690
2022-03-10,13.09420
2022-03-15,13.06110
2022-03-17,13.48040
2022-03-24,13.60310
2022-03-28,13.55540
2022-03-31,13.70980
2022-04-05,14.14000
2022-04-08,14.09580
2022-04-13,13.81830
2022-04-19,13.30980
2022-04-21,13.57760
2022-04-25,13.16590
2022-04-28,13.29270
2022-05-05,12.73230
2022-05-10,12.01900
2022-05-12,11.66170
2022-05-17,12.15570
2022-05-19,11.62160
2022-05-25,11.43480
2022-05-30,12.13920
2022-06-02,12.12550
2022-06-03,11.95910
2022-06-09,11.83790
2022-06-13,11.30790
2022-06-15,11.44240
2022-06-20,10.81310
2022-06-22,10.93450
2022-06-28,11.33950
2022-07-01,10.97050
2022-07-05,11.03450
2022-07-11,11.44750
2022-07-14,11.36860
2022-07-18,11.65600
2022-07-21,11.89630
2022-07-26,11.83490
2022-07-28,11.97540
2022-08-01,12.42350
2022-08-05,12.43700
2022-08-08,12.58320
2022-08-16,12.94520
2022-08-18,13.03720
2022-08-22,12.66880
2022-08-29,12.96610
2022-08-30,13.20900
2022-09-06,13.40520
2022-09-09,13.40240
2022-09-13,13.65230
2022-09-15,13.73820
2022-09-20,13.61780
2022-09-26,12.84000
2022-09-28,12.77110
2022-10-03,12.82070
2022-10-07,13.25770
2022-10-11,12.95230
2022-10-14,12.94710
2022-10-18,13.26130
2022-10-21,13.21740
2022-10-28,13.45170
2022-11-01,13.84060
2022-11-07,13.92290
2022-11-10,13.68790
2022-11-15,13.69240
2022-11-21,13.46000
2022-11-22,13.55250
2022-11-25,13.66170
2022-11-30,13.78560
2022-12-05,13.80280
2022-12-07,13.74090
2022-12-13,13.78400
2022-12-16,13.47460
2022-12-20,13.61640
2022-12-23,12.87140
2022-12-27,13.19050
2023-01-02,13.28590
2023-01-04,13.13700
2023-01-09,13.26730
2023-01-10,13.07110
2023-01-13,13.12600
2023-01-18,13.09610
2023-01-24,13.00170
2023-01-27,12.36510
2023-01-31,12.66690
2023-02-03,12.45300
2023-02-08,12.58730
2023-02-13,12.42340
2023-02-16,12.66950
2023-02-17,12.54930
2023-02-22,12.24480
2023-02-28,12.19770
2023-03-03,12.65950
2023-03-08,12.88590
2023-03-13,12.41550
2023-03-15,12.31390
2023-03-21,12.36010
2023-03-24,12.17910
2023-03-28,12.09510
2023-03-31,12.44930
2023-04-06,12.52600
2023-04-11,12.66100
2023-04-17,12.79480
2023-04-21,12.75660
2023-04-26,12.97710
2023-05-02,13.26670
2023-05-05,13.29390
2023-05-08,13.39170
2023-05-10,13.37440
2023-05-15,13.52080
2023-05-18,13.41770
2023-05-24,13.58340
2023-05-29,13.90010
2023-06-01,13.91490
2023-06-06,14.20020
2023-06-07,14.29500
2023-06-09,14.20490
2023-06-16,14.51240
2023-06-21,14.46630
2023-06-23,14.20790
2023-06-28,14.47690
2023-07-04,14.48760
2023-07-06,14.70190
2023-07-10,14.53870
2023-07-12,14.76440
2023-07-18,14.66960
2023-07-20,14.83150
2023-07-25,14.79510
2023-07-31,15.21940
2023-08-02,14.90360
2023-08-04,14.88930
2023-08-09,15.01280
2023-08-14,14.87560
2023-08-18,14.83870
2023-08-23,15.22270
2023-08-25,15.05440
2023-08-30,15.29000
2023-09-01,15.26190
2023-09-06,15.46320
2023-09-11,15.91350
2023-09-13,15.56030
2023-09-18,15.75740
2023-09-22,15.58610
2023-09-27,15.88120
2023-10-04,15.58860
2023-10-09,15.60040
2023-10-10,15.81040
2023-10-17,15.98970
2023-10-19,15.78400
2023-10-23,15.30920
2023-10-26,15.02710
2023-11-01,15.22290
2023-11-03,15.60190
2023-11-08,16.00470
2023-11-15,16.46820
2023-11-20,16.66140
2023-11-22,16.61540
2023-11-28,16.81990
2023-11-30,17.14740
2023-12-04,17.85810
2023-12-08,18.03640
2023-12-13,18.56180
2023-12-18,18.73800
2023-12-20,18.13230
2023-12-26,18.59330
2023-12-27,18.66200
2024-01-02,18.74860
2024-01-04,19.04140
2024-01-10,19.03310
2024-01-15,19.24680
2024-01-17,18.95950
2024-01-23,18.80610
2024-01-29,19.79580
2024-02-01,19.72690
2024-02-02,19.95180
2024-02-08,20.59320
2024-02-12,19.92320
2024-02-16,20.87840
2024-02-21,20.43790
2024-02-23,20.77860
2024-02-28,20.45560
2024-03-04,21.32920
2024-03-07,21.56980
2024-03-11,21.53000
2024-03-13,20.30870
2024-03-20,20.02210
2024-03-21,20.56260
2024-03-27,20.83920
2024-04-02,21.55510
2024-04-03,21.61510
2024-04-10,21.69020
2024-04-15,21.35540
2024-04-19,21.07960
2024-04-24,21.58650
2024-04-25,21.95580
2024-05-02,22.74640
2024-05-07,21.92460
2024-05-08,22.33140
2024-05-13,22.20630
2024-05-17,23.08430
2024-05-21,23.51790
2024-05-24,23.93380
2024-05-29,23.79330
2024-06-04,22.09710
2024-06-06,23.47530
2024-06-10,23.99490
2024-06-14,24.85910
2024-06-18,24.93640
2024-06-21,24.32730
2024-06-27,24.20730
2024-07-02,24.37410
2024-07-04,24.94390
2024-07-09,25.15480
2024-07-15,25.14510
2024-07-16,25.04230
2024-07-19,23.88900
2024-07-25,24.25150
2024-07-29,25.20700
2024-08-01,25.31850
2024-08-06,23.60770
2024-08-09,24.68750
2024-08-14,24.24130
2024-08-16,24.73420
2024-08-21,25.06800
2024-08-26,25.31250
2024-08-30,25.58210
2024-09-04,25.34840
2024-09-09,24.65340
2024-09-11,24.61250
2024-09-13,25.12640
2024-09-19,24.84570
2024-09-23,25.71020
2024-09-27,26.27390
2024-10-01,26.01160
2024-10-07,24.61220
2024-10-09,25.64390
2024-10-15,25.86460
2024-10-17,25.06660
2024-10-18,25.25310
2024-10-25,23.62120
2024-10-29,24.02860
2024-11-04,23.65910
2024-11-06,24.27150
2024-11-11,23.74720
2024-11-13,22.74100
2024-11-21,22.47770
2024-11-25,23.44430
2024-11-28,23.40290
2024-12-03,24.07160
2024-12-06,24.34000
2024-12-11,24.38570
2024-12-16,24.39890
2024-12-17,24.03130
2024-12-20,22.83520
2024-12-26,23.09780
2024-12-31,22.70080
2025-01-02,23.17150
2025-01-07,22.42770
2025-01-13,20.83060
2025-01-15,21.19180
2025-01-20,21.23220
2025-01-21,20.48260
2025-01-28,19.83120
2025-01-29,20.33840
