# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:26.332259+00:00
date,fund_value_inr,benchmark_value_inr
2022-03-07,10000.00,
2022-03-08,10128.85,
2022-03-10,10396.11,
2022-03-15,10447.05,
2022-03-17,10693.24,
2022-03-22,10519.77,
2022-03-25,10417.89,
2022-03-28,10350.15,
2022-03-31,10542.18,
2022-04-05,10811.41,
2022-04-07,10742.73,
2022-04-08,10828.84,
2022-04-18,10674.77,
2022-04-19,10477.34,
2022-04-21,10694.59,
2022-04-25,10495.70,
2022-04-28,10738.37,
2022-05-02,10626.12,
2022-05-06,10285.62,
2022-05-09,10216.83,
2022-05-12,10012.24,
2022-05-17,10215.17,
2022-05-19,10123.56,
2022-05-20,10350.77,
2022-05-25,10275.66,
2022-05-30,10601.32,
2022-05-31,10688.36,
2022-06-02,10608.37,
2022-06-08,10353.67,
2022-06-10,10354.82,
2022-06-13,10212.47,
2022-06-15,10182.49,
2022-06-17,9891.17,
2022-06-22,9996.99,
2022-06-27,10242.04,
2022-06-29,10180.62,
2022-06-30,10154.89,
2022-07-06,10592.71,
2022-07-08,10670.42,
2022-07-12,10613.15,
2022-07-15,10754.87,
2022-07-19,10763.79,
2022-07-21,10912.87,
2022-07-22,10924.70,
2022-07-26,10728.51,
2022-08-01,11136.86,
2022-08-02,11192.78,
2022-08-05,11222.25,
2022-08-11,11181.16,
2022-08-12,11181.16,
2022-08-17,11375.38,
2022-08-22,11184.69,
2022-08-23,11210.11,
2022-08-29,11166.43,
2022-08-30,11340.83,
2022-09-02,11266.86,
2022-09-06,11283.04,
2022-09-12,11403.18,
2022-09-13,11445.51,
2022-09-16,11016.83,
2022-09-20,11164.77,
2022-09-22,11127.63,
2022-09-26,10860.38,
2022-09-29,10946.80,
2022-10-03,10884.65,
2022-10-06,11016.93,
2022-10-11,10806.53,
2022-10-12,10891.29,
2022-10-14,10889.53,
2022-10-20,11075.76,
2022-10-21,11050.13,
2022-10-28,11211.67,
2022-11-01,11402.15,
2022-11-03,11409.30,
2022-11-07,11486.80,
2022-11-10,11366.04,
2022-11-16,11527.78,
2022-11-17,11564.41,
2022-11-21,11485.04,
2022-11-23,11554.34,
2022-11-29,11918.29,
2022-12-01,11997.55,
2022-12-02,11984.89,
2022-12-06,11930.12,
2022-12-09,11921.92,
2022-12-13,12015.91,
2022-12-16,11765.16,
2022-12-20,11844.01,
2022-12-23,11424.55,
2022-12-27,11618.67,
2022-12-29,11641.28,
2022-12-30,11597.19,
2023-01-03,11685.79,
2023-01-09,11721.58,
2023-01-11,11583.08,
2023-01-13,11658.40,
2023-01-18,11747.21,
2023-01-20,11637.24,
2023-01-24,11654.15,
2023-01-27,11430.99,
2023-02-01,11396.54,
2023-02-03,11485.97,
2023-02-07,11473.52,
2023-02-08,11557.04,
2023-02-13,11494.17,
2023-02-15,11556.00,
2023-02-17,11491.16,
2023-02-21,11434.62,
2023-02-27,11199.22,
2023-02-28,11177.84,
2023-03-02,11238.74,
2023-03-08,11402.46,
2023-03-10,11312.40,
2023-03-14,11111.86,
2023-03-16,11155.75,
2023-03-20,11126.49,
2023-03-22,11197.04,
2023-03-28,11135.31,
2023-03-31,11352.04,
2023-04-05,11467.30,
2023-04-06,11451.32,
2023-04-12,11512.12,
2023-04-18,11532.04,
2023-04-20,11494.69,
2023-04-24,11578.10,
2023-04-26,11584.01,
2023-04-28,11770.14,
2023-05-04,11846.29,
2023-05-05,11780.62,
2023-05-10,11886.02,
2023-05-15,11891.94,
2023-05-17,11832.39,
2023-05-18,11765.57,
2023-05-24,11848.57,
2023-05-26,12004.50,
2023-05-30,12048.18,
2023-05-31,12118.31,
2023-06-05,12214.07,
2023-06-07,12287.84,
2023-06-09,12152.03,
2023-06-13,12317.20,
2023-06-16,12445.64,
2023-06-21,12464.83,
2023-06-23,12354.23,
2023-06-27,12436.20,
2023-06-30,12626.05,
2023-07-05,12784.99,
2023-07-06,12845.17,
2023-07-10,12687.78,
2023-07-13,12773.37,
2023-07-17,12914.06,
2023-07-20,13021.95,
2023-07-25,12984.92,
2023-07-27,13163.26,
2023-07-28,13238.58,
2023-08-02,13167.20,
2023-08-03,13142.51,
2023-08-09,13385.48,
2023-08-11,13224.47,
2023-08-14,13166.68,
2023-08-18,13118.65,
2023-08-22,13158.90,
2023-08-25,13090.74,
2023-08-29,13113.04,
2023-09-01,13024.03,
2023-09-04,13074.14,
2023-09-06,13309.33,
2023-09-11,13430.51,
2023-09-12,13385.59,
2023-09-15,13494.11,
2023-09-21,13322.41,
2023-09-22,13268.35,
2023-09-27,13298.34,
2023-10-04,13128.50,
2023-10-06,13232.04,
2023-10-09,13188.67,
2023-10-11,13363.70,
2023-10-17,13392.75,
2023-10-19,13361.52,
2023-10-20,13309.13,
2023-10-26,12904.30,
2023-10-31,13064.59,
2023-11-01,13011.37,
2023-11-06,13289.21,
2023-11-08,13474.91,
