# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:31.503020+00:00
stretch_ending,fund_return,benchmark_return
2026-03-06,0.080845,
2026-03-13,0.079991,
2026-03-20,0.079103,
2026-03-27,0.077302,
2026-04-02,0.074598,
2026-04-10,0.074550,
2026-04-17,0.075581,
2026-04-24,0.074462,
2026-04-30,0.072524,
2026-05-08,0.073116,
2026-05-15,0.071724,
2026-05-22,0.069503,
2026-05-29,0.070976,
2026-06-05,0.071009,
2026-06-12,0.073105,
2026-06-19,0.074124,
2026-06-25,0.074853,
2026-07-03,0.075346,
2026-07-10,0.075410,
2026-07-17,0.074559,
2026-07-24,0.074243,
2026-07-31,0.075169,
2026-08-07,0.076224,
2026-08-14,0.076982,
2026-08-21,0.075803,
2026-08-28,0.075371,
2026-09-04,0.075680,
2026-09-11,0.075479,
2026-09-18,0.074737,
