# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:32.292593+00:00
date,fund_value_inr,benchmark_value_inr
2023-04-19,10000.00,
2023-04-20,10194.62,
2023-04-21,10099.97,
2023-04-25,10049.31,
2023-04-27,10044.33,
2023-05-02,9988.16,
2023-05-03,10177.27,
2023-05-05,10380.96,
2023-05-08,10289.38,
2023-05-10,10303.45,
2023-05-12,9749.80,
2023-05-16,9742.27,
2023-05-18,9682.46,
2023-05-22,9816.96,
2023-05-23,9574.00,
2023-05-24,9631.74,
2023-05-26,9528.59,
2023-05-30,9591.03,
2023-05-31,9607.06,
2023-06-02,9784.09,
2023-06-06,9710.73,
2023-06-08,9731.16,
2023-06-09,9944.52,
2023-06-13,9884.48,
2023-06-15,9609.39,
2023-06-16,9780.48,
2023-06-20,9786.09,
2023-06-23,9237.66,
2023-06-26,9389.58,
2023-06-27,9415.00,
2023-06-30,9258.52,
2023-07-04,9455.51,
2023-07-06,9560.03,
2023-07-07,9427.19,
2023-07-11,9539.81,
2023-07-12,9541.27,
2023-07-14,10072.55,
2023-07-18,10149.55,
2023-07-20,10231.41,
2023-07-21,10059.88,
2023-07-25,9985.86,
2023-07-27,10161.97,
2023-07-28,9911.00,
2023-08-02,10002.56,
2023-08-03,9740.55,
2023-08-07,9698.67,
2023-08-09,9479.00,
2023-08-11,9475.46,
2023-08-14,9496.85,
2023-08-16,9451.08,
2023-08-21,9534.24,
2023-08-22,9705.95,
2023-08-24,9928.24,
2023-08-28,9928.68,
2023-08-30,9950.02,
2023-08-31,10058.81,
2023-09-01,10085.35,
2023-09-05,9770.18,
2023-09-07,9684.94,
2023-09-08,9602.62,
2023-09-12,9603.88,
2023-09-14,9497.40,
2023-09-15,9677.57,
2023-09-21,9654.52,
2023-09-25,9760.80,
2023-09-26,9585.57,
2023-09-28,9417.33,
2023-09-29,9589.02,
2023-10-03,8920.85,
2023-10-04,8927.36,
2023-10-06,8922.88,
2023-10-09,9109.48,
2023-10-11,9253.46,
2023-10-13,9258.60,
2023-10-16,9403.31,
2023-10-18,9616.13,
2023-10-20,9612.37,
2023-10-25,9467.34,
2023-10-27,9457.73,
2023-10-30,9595.34,
2023-11-01,9484.70,
2023-11-02,9608.61,
2023-11-06,9663.73,
2023-11-08,9402.18,
2023-11-09,9441.17,
2023-11-13,9337.59,
2023-11-16,9521.09,
2023-11-17,9522.10,
2023-11-22,9846.46,
2023-11-24,9804.17,
2023-11-28,10079.90,
2023-11-30,10240.42,
2023-12-04,10277.79,
2023-12-05,10046.79,
2023-12-07,9956.19,
2023-12-11,9633.49,
2023-12-12,9630.85,
2023-12-13,9550.49,
2023-12-15,10012.47,
2023-12-19,9929.09,
2023-12-21,10021.58,
2023-12-22,10089.15,
2023-12-28,10046.62,
2023-12-29,9858.83,
2024-01-02,9977.09,
2024-01-04,9632.11,
2024-01-08,9576.32,
2024-01-09,9675.60,
2024-01-10,9622.56,
2024-01-15,9619.67,
2024-01-16,9573.46,
2024-01-18,9433.63,
2024-01-20,9499.50,
2024-01-23,9309.46,
2024-01-24,9489.82,
2024-01-30,9591.98,
2024-02-01,9437.96,
2024-02-02,9617.35,
2024-02-05,9385.27,
2024-02-07,9306.09,
2024-02-09,9433.78,
2024-02-13,9509.23,
2024-02-14,9244.62,
2024-02-16,9506.29,
2024-02-19,9531.79,
2024-02-22,9497.42,
2024-02-26,9318.12,
2024-02-27,9373.69,
2024-02-29,9262.91,
2024-03-04,9531.73,
2024-03-05,9719.33,
2024-03-06,9658.20,
2024-03-11,9773.14,
2024-03-13,9731.56,
2024-03-15,9953.07,
2024-03-19,9928.45,
2024-03-21,10098.45,
2024-03-22,9960.85,
2024-03-26,9987.30,
2024-03-31,9977.12,
2024-04-01,10093.35,
2024-04-03,10428.13,
2024-04-05,10624.63,
2024-04-08,10937.82,
2024-04-10,11052.35,
2024-04-12,11274.79,
2024-04-18,11176.42,
2024-04-19,11122.12,
2024-04-23,10711.46,
2024-04-24,10826.57,
2024-04-26,10912.48,
2024-04-30,10747.26,
2024-05-02,10686.64,
2024-05-06,10896.16,
2024-05-08,10925.00,
2024-05-10,11307.69,
2024-05-13,11190.24,
2024-05-15,11323.45,
2024-05-17,11566.94,
2024-05-21,12409.26,
2024-05-23,12030.50,
2024-05-27,12136.23,
2024-05-29,12595.88,
2024-05-31,12353.42,
2024-06-03,12061.33,
2024-06-05,11826.05,
2024-06-07,12100.19,
2024-06-10,11891.75,
2024-06-11,11747.92,
2024-06-13,11785.06,
2024-06-18,11706.77,
2024-06-20,12032.41,
2024-06-21,12075.13,
2024-06-26,11606.13,
2024-06-27,11647.13,
2024-06-28,11761.39,
2024-07-02,11758.77,
2024-07-04,12031.68,
2024-07-08,12258.07,
2024-07-10,12270.08,
2024-07-11,12293.95,
2024-07-15,12249.62,
2024-07-18,12212.19,
2024-07-22,11809.38,
2024-07-23,11349.20,
2024-07-25,10764.15,
2024-07-26,10684.77,
2024-07-30,10728.51,
2024-08-01,11013.93,
2024-08-02,11039.93,
2024-08-06,10404.51,
2024-08-08,10363.02,
2024-08-12,10724.31,
2024-08-13,10630.23,
2024-08-19,10916.08,
2024-08-20,11319.73,
2024-08-21,11263.93,
2024-08-26,11211.65,
2024-08-27,11383.80,
2024-08-28,11225.30,
2024-08-30,11225.32,
2024-09-03,10870.91,
2024-09-05,11014.51,
2024-09-09,10804.86,
2024-09-11,11044.92,
2024-09-12,11029.71,
2024-09-16,11746.73,
2024-09-18,11627.41,
2024-09-19,11796.95,
2024-09-23,11598.25,
2024-09-25,12021.71,
2024-09-26,12261.53,
2024-09-30,11851.03,
2024-10-03,12020.06,
2024-10-04,12218.67,
2024-10-08,11943.60,
2024-10-10,11735.33,
