# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:31.076157+00:00
stretch_ending,fund_return,benchmark_return
2025-01-30,0.180670,
2025-02-06,0.161498,
2025-02-13,0.115276,
2025-02-20,0.114032,
2025-02-27,0.052292,
2025-03-06,0.051307,
2025-03-13,-0.002919,
2025-03-20,0.046259,
2025-03-27,0.102029,
2025-04-03,0.011371,
2025-04-09,-0.060323,
2025-04-17,0.016102,
2025-04-24,0.076784,
2025-04-30,0.100902,
2025-05-08,0.101492,
2025-05-15,0.179190,
2025-05-22,0.122004,
2025-05-29,0.146199,
2025-06-05,0.142591,
2025-06-12,0.134213,
2025-06-19,0.127170,
2025-06-26,0.121488,
2025-07-03,0.060485,
2025-07-10,0.048289,
2025-07-17,-0.053751,
2025-07-24,-0.082022,
2025-07-31,-0.117851,
2025-08-07,-0.095758,
2025-08-14,-0.105228,
2025-08-21,-0.122954,
2025-08-28,-0.145651,
2025-09-04,-0.155086,
2025-09-11,-0.134849,
2025-09-18,-0.108828,
2025-09-25,-0.159629,
2025-10-01,-0.171299,
2025-10-09,-0.146774,
2025-10-16,-0.140645,
2025-10-23,-0.126755,
2025-10-30,-0.118278,
2025-11-06,-0.140217,
2025-11-13,-0.114494,
2025-11-20,-0.096711,
2025-11-27,-0.129267,
2025-12-04,-0.106403,
2025-12-11,-0.139939,
2025-12-18,-0.131210,
2025-12-24,-0.086165,
2026-01-01,-0.098962,
2026-01-08,-0.110225,
2026-01-14,-0.107751,
2026-01-22,-0.079996,
2026-01-29,-0.083593,
2026-02-05,-0.137731,
2026-02-12,-0.186951,
2026-02-19,-0.191898,
2026-02-26,-0.197244,
2026-03-05,-0.190309,
2026-03-12,-0.166475,
2026-03-19,-0.192690,
2026-03-25,-0.186812,
2026-04-02,-0.141449,
2026-04-09,-0.004490,
2026-04-16,-0.022190,
2026-04-23,-0.129577,
2026-04-30,-0.160064,
2026-05-07,-0.171799,
2026-05-14,-0.259652,
2026-05-21,-0.208162,
2026-05-27,-0.207397,
2026-06-04,-0.189866,
2026-06-11,-0.266917,
2026-06-18,-0.254675,
2026-06-25,-0.284520,
2026-07-02,-0.291003,
2026-07-09,-0.273999,
2026-07-16,-0.220377,
2026-07-23,-0.210391,
2026-07-30,-0.102412,
2026-08-06,-0.077460,
2026-08-13,-0.074305,
2026-08-20,-0.122363,
2026-08-27,-0.130282,
2026-09-03,-0.112193,
2026-09-10,-0.184379,
2026-09-17,-0.182855,
2026-09-24,-0.176425,
