# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:30.158036+00:00
date,fund_value_inr,benchmark_value_inr
2024-02-01,10000.00,
2024-02-02,10010.70,
2024-02-05,9997.93,
2024-02-06,10000.44,
2024-02-08,10002.14,
2024-02-09,9982.89,
2024-02-12,9994.06,
2024-02-13,9990.96,
2024-02-14,9982.37,
2024-02-16,9996.53,
2024-02-20,10011.28,
2024-02-21,10019.40,
2024-02-23,10013.98,
2024-02-26,10024.59,
2024-02-27,10026.19,
2024-02-28,10029.91,
2024-03-01,10032.62,
2024-03-04,10034.98,
2024-03-06,10043.91,
2024-03-07,10052.98,
2024-03-11,10063.60,
2024-03-12,10063.33,
2024-03-14,10062.24,
2024-03-15,10058.50,
2024-03-18,10057.75,
2024-03-20,10052.78,
2024-03-21,10068.02,
2024-03-22,10055.87,
2024-03-26,10084.58,
2024-03-28,10108.93,
2024-03-31,10114.78,
2024-04-02,10104.96,
2024-04-04,10116.60,
2024-04-05,10112.89,
2024-04-08,10104.87,
2024-04-10,10118.52,
2024-04-12,10095.68,
2024-04-16,10093.97,
2024-04-18,10096.04,
2024-04-19,10084.76,
2024-04-23,10114.60,
2024-04-24,10107.46,
2024-04-25,10105.56,
2024-04-29,10116.02,
2024-04-30,10117.22,
2024-05-02,10133.38,
2024-05-06,10166.07,
2024-05-07,10161.22,
2024-05-08,10159.08,
2024-05-09,10164.38,
2024-05-13,10180.45,
2024-05-14,10184.10,
2024-05-15,10191.33,
2024-05-17,10194.86,
2024-05-21,10214.40,
2024-05-22,10227.11,
2024-05-24,10228.35,
2024-05-27,10235.16,
2024-05-29,10228.40,
2024-05-30,10227.76,
2024-05-31,10231.80,
2024-06-03,10246.34,
2024-06-05,10222.66,
2024-06-06,10237.23,
2024-06-10,10243.58,
2024-06-11,10251.72,
2024-06-12,10251.67,
2024-06-13,10265.00,
2024-06-14,10265.21,
2024-06-19,10278.09,
2024-06-20,10279.47,
2024-06-24,10291.11,
2024-06-25,10286.95,
2024-06-26,10282.87,
2024-06-27,10285.50,
2024-06-28,10286.50,
2024-07-02,10298.60,
2024-07-03,10305.02,
2024-07-05,10310.67,
2024-07-08,10319.24,
2024-07-09,10322.30,
2024-07-10,10328.87,
2024-07-12,10331.89,
2024-07-15,10345.20,
2024-07-16,10359.60,
2024-07-18,10367.46,
2024-07-22,10370.24,
2024-07-23,10374.87,
2024-07-24,10384.34,
2024-07-25,10395.49,
2024-07-29,10429.49,
2024-07-30,10418.57,
2024-07-31,10424.82,
2024-08-02,10442.24,
2024-08-05,10464.30,
2024-08-06,10461.96,
2024-08-07,10469.13,
2024-08-09,10467.81,
2024-08-12,10469.77,
2024-08-14,10481.88,
2024-08-16,10479.45,
2024-08-19,10485.97,
2024-08-20,10489.35,
