# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:31.201737+00:00
date,fund_value_inr,benchmark_value_inr
2024-12-03,10000.00,
2024-12-04,10090.25,
2024-12-05,10133.27,
2024-12-06,10174.23,
2024-12-09,10213.52,
2024-12-10,10241.45,
2024-12-11,10273.10,
2024-12-12,10221.66,
2024-12-13,10211.17,
2024-12-16,10281.34,
2024-12-17,10213.33,
2024-12-18,10151.69,
2024-12-19,10127.19,
2024-12-20,9883.49,
2024-12-23,9895.34,
2024-12-24,9897.21,
2024-12-26,9904.46,
2024-12-27,9892.70,
2024-12-30,9909.55,
2024-12-31,9924.35,
2025-01-01,9973.25,
2025-01-02,10079.47,
2025-01-03,10054.39,
2025-01-06,9801.37,
2025-01-07,9886.23,
2025-01-08,9782.26,
2025-01-09,9704.36,
2025-01-10,9506.71,
2025-01-13,9131.59,
2025-01-14,9330.52,
2025-01-15,9364.13,
2025-01-16,9465.16,
2025-01-17,9476.13,
2025-01-20,9548.35,
2025-01-21,9358.74,
2025-01-22,9241.93,
2025-01-23,9406.17,
2025-01-24,9247.32,
2025-01-27,8986.37,
2025-01-28,8924.24,
2025-01-29,9140.71,
2025-01-30,9156.68,
2025-01-31,9315.33,
2025-02-03,9187.55,
2025-02-04,9314.45,
2025-02-05,9383.34,
2025-02-06,9289.17,
2025-02-07,9302.39,
2025-02-10,9108.66,
2025-02-11,8841.34,
2025-02-12,8809.30,
2025-02-13,8823.51,
2025-02-14,8614.10,
2025-02-17,8643.89,
2025-02-18,8628.80,
2025-02-19,8754.91,
2025-02-20,8869.46,
2025-02-21,8772.45,
2025-02-24,8689.06,
2025-02-25,8644.57,
2025-02-27,8535.70,
2025-02-28,8335.70,
2025-03-03,8348.54,
2025-03-04,8361.96,
2025-03-05,8564.81,
2025-03-06,8612.04,
2025-03-07,8588.42,
2025-03-10,8466.72,
2025-03-11,8502.09,
2025-03-12,8458.58,
2025-03-13,8406.16,
2025-03-17,8469.07,
2025-03-18,8643.20,
2025-03-19,8847.51,
2025-03-20,8896.02,
2025-03-21,9015.18,
2025-03-24,9115.33,
2025-03-25,9026.25,
2025-03-26,8969.22,
2025-03-27,8998.62,
2025-03-28,8973.04,
2025-03-31,8972.65,
2025-04-01,8883.97,
2025-04-02,9009.99,
2025-04-03,9027.43,
2025-04-04,8763.34,
2025-04-07,8448.69,
2025-04-08,8627.62,
2025-04-09,8573.92,
2025-04-11,8734.63,
2025-04-15,8998.81,
2025-04-16,9065.15,
2025-04-17,9117.87,
2025-04-21,9319.05,
2025-04-22,9398.03,
2025-04-23,9490.54,
2025-04-24,9474.27,
2025-04-25,9239.87,
2025-04-28,9367.36,
2025-04-29,9387.35,
2025-04-30,9323.66,
2025-05-02,9260.16,
2025-05-05,9405.78,
2025-05-06,9216.75,
2025-05-07,9356.39,
2025-05-08,9191.47,
2025-05-09,9193.92,
2025-05-12,9537.77,
2025-05-13,9560.11,
