# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:40.728739+00:00
stretch_ending,fund_return,benchmark_return
2024-12-20,0.226528,
2024-12-27,0.227326,
2025-01-03,0.231885,
2025-01-10,0.210072,
2025-01-17,0.211162,
2025-01-24,0.212846,
2025-01-31,0.206350,
2025-02-07,0.211157,
2025-02-14,0.195199,
2025-02-21,0.210033,
2025-02-28,0.188964,
2025-03-07,0.198106,
2025-03-13,0.181898,
2025-03-21,0.201485,
2025-03-28,0.199105,
2025-04-04,0.184513,
2025-04-11,0.195329,
2025-04-17,0.212490,
2025-04-25,0.215921,
2025-05-02,0.229315,
2025-05-09,0.249235,
2025-05-16,0.273219,
2025-05-23,0.268434,
2025-05-31,0.256246,
2025-06-06,0.272383,
2025-06-13,0.289770,
2025-06-20,0.287132,
2025-06-27,0.293228,
2025-07-04,0.278050,
2025-07-11,0.274974,
2025-07-18,0.260370,
2025-07-25,0.250792,
2025-08-01,0.234532,
2025-08-08,0.224015,
2025-08-14,0.222577,
2025-08-22,0.236804,
2025-08-31,0.226099,
2025-09-05,0.225657,
2025-09-12,0.228531,
2025-09-19,0.240671,
2025-09-26,0.240009,
2025-10-03,0.233598,
2025-10-10,0.246726,
2025-10-17,0.242695,
2025-10-24,0.239596,
2025-10-31,0.236191,
2025-11-07,0.236167,
2025-11-14,0.237768,
2025-11-21,0.234021,
2025-11-30,0.227601,
2025-12-05,0.225299,
2025-12-12,0.227947,
2025-12-19,0.237498,
2025-12-26,0.237543,
2026-01-02,0.246698,
2026-01-09,0.237835,
2026-01-16,0.234483,
2026-01-23,0.230414,
2026-01-31,0.232551,
2026-02-06,0.230620,
2026-02-13,0.231961,
2026-02-20,0.242832,
2026-02-28,0.242964,
2026-03-06,0.229083,
2026-03-13,0.222534,
2026-03-20,0.221290,
2026-03-27,0.213633,
2026-04-02,0.204662,
2026-04-10,0.227422,
2026-04-17,0.236732,
2026-04-24,0.228297,
2026-04-30,0.224085,
2026-05-08,0.227686,
2026-05-15,0.213848,
2026-05-22,0.214560,
2026-05-31,0.211579,
2026-06-05,0.204119,
2026-06-12,0.200996,
2026-06-19,0.208051,
2026-06-25,0.203283,
2026-07-03,0.201937,
2026-07-10,0.206327,
2026-07-17,0.197074,
2026-07-24,0.194763,
2026-07-31,0.208918,
2026-08-07,0.216206,
2026-08-14,0.217335,
2026-08-21,0.214105,
2026-08-28,0.210231,
2026-09-04,0.199832,
2026-09-11,0.196655,
2026-09-18,0.200179,
