# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:33:43.891870+00:00
date,fund_value_inr,benchmark_value_inr
2023-12-27,10000.00,
2023-12-28,9999.00,
2023-12-29,9960.41,
2024-01-02,9955.13,
2024-01-04,9931.70,
2024-01-05,9924.92,
2024-01-09,9901.69,
2024-01-10,9908.96,
2024-01-11,9877.16,
2024-01-12,9949.65,
2024-01-16,9900.09,
2024-01-17,9871.87,
2024-01-19,9833.98,
2024-01-23,9843.75,
2024-01-24,9852.53,
2024-01-25,9858.01,
2024-01-30,9890.42,
2024-01-31,9971.38,
2024-02-01,10034.50,
2024-02-05,9828.10,
2024-02-06,9863.00,
2024-02-07,9862.80,
2024-02-09,9808.06,
2024-02-12,9804.77,
2024-02-13,9741.75,
2024-02-15,9771.36,
2024-02-16,9729.88,
2024-02-20,9756.81,
2024-02-21,9727.49,
2024-02-22,9710.84,
2024-02-23,9746.63,
2024-02-27,9726.99,
2024-02-28,9729.38,
2024-02-29,9778.94,
2024-03-04,9783.03,
2024-03-05,9839.66,
2024-03-06,9864.39,
2024-03-11,9861.80,
2024-03-12,9819.82,
2024-03-13,9822.51,
2024-03-15,9742.25,
2024-03-18,9714.23,
2024-03-20,9782.23,
2024-03-21,9797.59,
2024-03-22,9865.89,
2024-03-26,9839.47,
2024-03-28,9884.34,
2024-03-31,9884.53,
2024-04-02,9764.88,
2024-04-04,9798.19,
2024-04-05,9777.35,
2024-04-09,9768.57,
2024-04-10,9658.49,
2024-04-12,9681.52,
2024-04-15,9614.42,
2024-04-18,9620.50,
2024-04-19,9635.26,
2024-04-23,9637.85,
2024-04-24,9589.69,
2024-04-25,9565.66,
2024-04-29,9628.68,
2024-04-30,9618.61,
2024-05-02,9649.32,
2024-05-07,9785.92,
2024-05-08,9750.92,
2024-05-09,9748.63,
2024-05-10,9737.76,
2024-05-14,9766.38,
2024-05-15,9837.57,
2024-05-16,9842.16,
2024-05-21,9794.70,
2024-05-22,9768.67,
2024-05-23,9737.26,
2024-05-28,9712.73,
2024-05-29,9660.88,
2024-05-30,9721.21,
2024-06-03,9781.43,
2024-06-04,9876.46,
2024-06-06,9909.86,
2024-06-07,9825.11,
2024-06-10,9799.08,
2024-06-12,9955.33,
2024-06-13,9959.52,
2024-06-14,9982.75,
2024-06-19,9966.90,
2024-06-20,9959.22,
2024-06-21,9965.50,
2024-06-25,9954.43,
2024-06-26,9930.60,
2024-06-28,9922.33,
2024-07-01,9804.57,
2024-07-02,9850.63,
2024-07-04,9901.39,
2024-07-05,9974.27,
2024-07-08,9963.11,
2024-07-10,9962.31,
2024-07-11,10062.92,
2024-07-12,10046.07,
2024-07-15,10043.08,
2024-07-18,10095.92,
2024-07-19,10042.18,
2024-07-22,10028.12,
2024-07-24,10066.61,
2024-07-25,10068.50,
2024-07-29,10111.48,
2024-07-30,10115.17,
2024-07-31,10166.42,
2024-08-02,10382.69,
2024-08-05,10423.37,
2024-08-06,10383.69,
2024-08-07,10324.86,
2024-08-09,10340.31,
2024-08-12,10352.78,
2024-08-14,10430.75,
2024-08-16,10362.25,
2024-08-19,10393.66,
2024-08-21,10456.48,
2024-08-22,10410.91,
2024-08-23,10433.34,
2024-08-28,10460.27,
2024-08-29,10405.32,
2024-08-30,10404.83,
2024-09-02,10362.85,
2024-09-03,10444.91,
2024-09-04,10490.18,
2024-09-06,10585.40,
2024-09-09,10555.39,
2024-09-10,10595.77,
2024-09-11,10618.91,
2024-09-13,10606.04,
2024-09-16,10624.29,
2024-09-18,10576.13,
2024-09-19,10520.09,
2024-09-20,10487.09,
2024-09-24,10513.91,
2024-09-25,10477.52,
2024-09-26,10477.52,
2024-09-30,10505.14,
2024-10-01,10552.40,
2024-10-03,10498.55,
2024-10-04,10396.35,
2024-10-08,10339.91,
2024-10-09,10336.92,
2024-10-11,10342.41,
2024-10-14,10295.74,
2024-10-15,10365.94,
2024-10-17,10321.37,
2024-10-18,10355.07,
2024-10-21,10279.39,
2024-10-23,10235.22,
2024-10-24,10257.45,
2024-10-25,10259.55,
2024-10-29,10168.81,
2024-10-30,10227.04,
2024-10-31,10199.52,
2024-11-04,10191.64,
2024-11-06,10099.91,
2024-11-07,10185.16,
2024-11-08,10215.57,
2024-11-12,10160.93,
2024-11-13,10156.65,
2024-11-18,10131.02,
2024-11-19,10175.89,
2024-11-21,10171.00,
2024-11-25,10238.21,
2024-11-26,10212.58,
2024-11-27,10324.86,
2024-11-29,10328.05,
2024-11-30,10328.05,
2024-12-02,10370.92,
2024-12-04,10363.75,
2024-12-05,10374.41,
2024-12-09,10387.58,
2024-12-10,10369.93,
2024-12-11,10364.34,
2024-12-13,10270.12,
2024-12-16,10252.87,
2024-12-17,10275.70,
2024-12-19,10184.37,
2024-12-20,10214.88,
2024-12-23,10176.79,
2024-12-24,10159.24,
2024-12-30,10243.69,
2024-12-31,10277.89,
2025-01-03,10273.51,
2025-01-06,10251.07,
2025-01-07,10188.05,
2025-01-09,10212.68,
2025-01-10,10172.60,
2025-01-13,10193.94,
2025-01-14,10213.88,
2025-01-16,10345.30,
2025-01-17,10351.58,
2025-01-21,10378.30,
2025-01-22,10369.43,
2025-01-23,10336.03,
2025-01-24,10324.66,
2025-01-28,10398.05,
2025-01-29,10422.28,
2025-01-31,10452.99,
2025-02-03,10524.08,
2025-02-04,10502.64,
2025-02-06,10621.90,
2025-02-07,10584.31,
2025-02-10,10604.95,
2025-02-12,10401.93,
2025-02-13,10481.20,
2025-02-14,10551.70,
2025-02-17,10507.33,
2025-02-19,10479.91,
2025-02-20,10490.28,
2025-02-24,10564.96,
2025-02-25,10683.42,
2025-02-27,10732.18,
2025-02-28,10797.49,
2025-03-04,10863.79,
2025-03-05,10762.19,
2025-03-06,10691.49,
2025-03-10,10792.80,
2025-03-11,10779.64,
2025-03-12,10722.80,
2025-03-17,10711.84,
2025-03-18,10675.24,
2025-03-19,10644.53,
2025-03-21,10678.73,
2025-03-24,10570.74,
2025-03-25,10580.72,
2025-03-27,10528.07,
2025-03-28,10588.79,
2025-04-01,10679.93,
2025-04-02,10661.18,
2025-04-03,10788.61,
2025-04-04,10802.87,
2025-04-08,10721.11,
2025-04-09,10653.21,
2025-04-11,10479.91,
2025-04-16,10611.53,
2025-04-17,10604.95,
2025-04-22,10492.37,
2025-04-24,10584.70,
2025-04-25,10626.98,
2025-04-28,10611.73,
2025-04-30,10664.17,
2025-05-02,10410.71,
2025-05-07,10530.16,
2025-05-08,10537.44,
2025-05-09,10608.24,
2025-05-13,10423.27,
2025-05-14,10450.59,
2025-05-15,10532.36,
