# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:33:43.898583+00:00
date,nav
2023-12-27,10.02900
2023-12-28,10.02800
2023-12-29,9.98930
2024-01-02,9.98400
2024-01-04,9.96050
2024-01-05,9.95370
2024-01-09,9.93040
2024-01-10,9.93770
2024-01-11,9.90580
2024-01-12,9.97850
2024-01-16,9.92880
2024-01-17,9.90050
2024-01-19,9.86250
2024-01-23,9.87230
2024-01-24,9.88110
2024-01-25,9.88660
2024-01-30,9.91910
2024-01-31,10.00030
2024-02-01,10.06360
2024-02-05,9.85660
2024-02-06,9.89160
2024-02-07,9.89140
2024-02-09,9.83650
2024-02-12,9.83320
2024-02-13,9.77000
2024-02-15,9.79970
2024-02-16,9.75810
2024-02-20,9.78510
2024-02-21,9.75570
2024-02-22,9.73900
2024-02-23,9.77490
2024-02-27,9.75520
2024-02-28,9.75760
2024-02-29,9.80730
2024-03-04,9.81140
2024-03-05,9.86820
2024-03-06,9.89300
2024-03-11,9.89040
2024-03-12,9.84830
2024-03-13,9.85100
2024-03-15,9.77050
2024-03-18,9.74240
2024-03-20,9.81060
2024-03-21,9.82600
2024-03-22,9.89450
2024-03-26,9.86800
2024-03-28,9.91300
2024-03-31,9.91320
2024-04-02,9.79320
2024-04-04,9.82660
2024-04-05,9.80570
2024-04-09,9.79690
2024-04-10,9.68650
2024-04-12,9.70960
2024-04-15,9.64230
2024-04-18,9.64840
2024-04-19,9.66320
2024-04-23,9.66580
2024-04-24,9.61750
2024-04-25,9.59340
2024-04-29,9.65660
2024-04-30,9.64650
2024-05-02,9.67730
2024-05-07,9.81430
2024-05-08,9.77920
2024-05-09,9.77690
2024-05-10,9.76600
2024-05-14,9.79470
2024-05-15,9.86610
2024-05-16,9.87070
2024-05-21,9.82310
2024-05-22,9.79700
2024-05-23,9.76550
2024-05-28,9.74090
2024-05-29,9.68890
2024-05-30,9.74940
2024-06-03,9.80980
2024-06-04,9.90510
2024-06-06,9.93860
2024-06-07,9.85360
2024-06-10,9.82750
2024-06-12,9.98420
2024-06-13,9.98840
2024-06-14,10.01170
2024-06-19,9.99580
2024-06-20,9.98810
2024-06-21,9.99440
2024-06-25,9.98330
2024-06-26,9.95940
