# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:33:41.692153+00:00
date,fund_value_inr,benchmark_value_inr
2022-11-24,10000.00,
2022-11-25,9999.00,
2022-11-28,10011.99,
2022-11-30,10012.39,
2022-12-02,10039.27,
2022-12-07,10035.27,
2022-12-08,10046.06,
2022-12-13,10053.06,
2022-12-15,10049.46,
2022-12-16,10055.75,
2022-12-19,10051.76,
2022-12-22,10060.45,
2022-12-26,10061.05,
2022-12-28,10056.55,
2022-12-29,10066.75,
2023-01-03,10074.24,
2023-01-04,10081.33,
2023-01-06,10080.73,
2023-01-10,10096.52,
2023-01-11,10095.52,
2023-01-13,10101.52,
2023-01-18,10107.61,
2023-01-19,10125.80,
2023-01-24,10123.20,
2023-01-25,10132.19,
2023-01-30,10123.70,
2023-02-01,10145.08,
2023-02-03,10144.78,
2023-02-07,10147.78,
2023-02-09,10125.40,
2023-02-13,10133.59,
2023-02-15,10136.99,
2023-02-16,10144.88,
2023-02-21,10139.79,
2023-02-22,10124.10,
2023-02-23,10116.71,
2023-02-27,10114.21,
2023-03-01,10114.21,
2023-03-06,10137.59,
2023-03-09,10129.30,
2023-03-10,10139.99,
2023-03-14,10175.76,
2023-03-16,10179.05,
2023-03-20,10185.25,
2023-03-23,10214.13,
2023-03-24,10217.52,
2023-03-29,10238.11,
2023-03-31,10255.99,
2023-04-06,10312.65,
2023-04-10,10319.04,
2023-04-12,10323.14,
2023-04-13,10322.54,
2023-04-18,10312.35,
2023-04-21,10317.14,
2023-04-24,10331.13,
2023-04-26,10342.92,
2023-05-02,10334.13,
2023-05-03,10362.51,
2023-05-08,10364.30,
2023-05-10,10357.41,
2023-05-12,10363.61,
2023-05-15,10372.50,
2023-05-17,10382.29,
2023-05-22,10402.57,
2023-05-23,10417.56,
2023-05-25,10408.17,
2023-05-30,10412.07,
2023-05-31,10421.26,
2023-06-02,10429.95,
2023-06-06,10424.16,
2023-06-07,10436.15,
2023-06-09,10417.86,
2023-06-14,10428.15,
2023-06-16,10425.06,
2023-06-19,10440.14,
2023-06-21,10438.05,
2023-06-23,10437.65,
2023-06-26,10450.14,
2023-06-28,10444.54,
2023-07-03,10454.13,
2023-07-05,10462.53,
2023-07-10,10448.84,
2023-07-12,10458.43,
2023-07-13,10470.32,
2023-07-17,10484.01,
2023-07-18,10474.72,
2023-07-20,10478.21,
2023-07-24,10490.40,
2023-07-26,10484.71,
2023-07-31,10485.91,
2023-08-02,10483.61,
2023-08-03,10486.21,
2023-08-07,10500.09,
2023-08-08,10509.09,
2023-08-10,10504.29,
2023-08-17,10494.80,
2023-08-21,10516.38,
2023-08-22,10518.48,
2023-08-25,10533.17,
2023-08-29,10535.77,
2023-08-30,10532.77,
2023-08-31,10538.46,
2023-09-05,10543.36,
2023-09-07,10552.85,
2023-09-08,10545.56,
2023-09-13,10553.25,
2023-09-15,10573.44,
2023-09-18,10571.64,
2023-09-21,10584.53,
2023-09-22,10578.63,
2023-09-26,10588.22,
2023-10-03,10587.02,
2023-10-04,10579.43,
2023-10-06,10569.24,
2023-10-11,10582.43,
2023-10-12,10587.12,
2023-10-17,10587.42,
2023-10-18,10581.43,
2023-10-19,10589.32,
2023-10-25,10599.11,
2023-10-27,10592.62,
2023-10-31,10596.62,
2023-11-01,10600.11,
2023-11-06,10623.49,
2023-11-08,10630.39,
2023-11-09,10649.17,
2023-11-10,10645.48,
2023-11-15,10656.37,
2023-11-20,10667.06,
2023-11-21,10663.06,
2023-11-24,10673.55,
2023-11-29,10686.34,
2023-12-01,10686.44,
2023-12-04,10698.03,
2023-12-05,10701.63,
2023-12-08,10708.23,
2023-12-12,10709.83,
2023-12-13,10707.93,
2023-12-15,10746.30,
2023-12-19,10753.49,
2023-12-21,10754.99,
2023-12-26,10771.28,
2023-12-28,10767.08,
2024-01-01,10774.07,
2024-01-02,10785.46,
2024-01-05,10786.86,
2024-01-08,10795.66,
2024-01-11,10804.45,
2024-01-15,10806.25,
2024-01-16,10813.14,
2024-01-18,10813.64,
2024-01-19,10814.54,
2024-01-24,10817.74,
2024-01-29,10835.42,
2024-02-01,10863.10,
2024-02-02,10870.00,
2024-02-07,10869.30,
2024-02-08,10870.10,
2024-02-12,10874.79,
2024-02-13,10880.19,
2024-02-16,10883.28,
2024-02-21,10902.17,
2024-02-23,10902.07,
2024-02-26,10914.36,
2024-02-28,10921.95,
2024-03-01,10925.55,
2024-03-06,10937.54,
2024-03-07,10943.44,
2024-03-11,10953.53,
2024-03-13,10956.63,
2024-03-18,10970.11,
2024-03-20,10976.31,
2024-03-22,10971.31,
2024-03-27,10975.81,
2024-03-28,10985.20,
2024-04-02,10989.90,
2024-04-04,11001.79,
2024-04-08,11008.98,
2024-04-12,11006.58,
2024-04-16,11019.27,
2024-04-19,11013.08,
2024-04-23,11028.57,
2024-04-24,11026.27,
2024-04-26,11029.37,
2024-04-29,11037.96,
2024-05-03,11055.35,
2024-05-06,11071.43,
2024-05-08,11070.23,
2024-05-13,11086.62,
2024-05-14,11084.72,
2024-05-17,11096.71,
2024-05-21,11108.60,
2024-05-22,11117.29,
2024-05-27,11129.68,
2024-05-30,11132.88,
2024-06-03,11143.17,
2024-06-05,11133.08,
2024-06-07,11148.37,
2024-06-10,11157.16,
2024-06-12,11161.86,
2024-06-14,11170.05,
2024-06-18,11178.65,
2024-06-21,11194.83,
2024-06-25,11209.72,
2024-06-27,11207.52,
2024-06-28,11209.72,
2024-07-03,11222.81,
2024-07-04,11229.70,
2024-07-08,11237.70,
2024-07-10,11246.39,
2024-07-11,11247.59,
2024-07-16,11266.47,
2024-07-19,11262.28,
2024-07-22,11282.06,
2024-07-25,11282.16,
2024-07-29,11311.64,
2024-07-30,11307.44,
2024-07-31,11300.95,
2024-08-05,11325.33,
2024-08-07,11332.32,
2024-08-09,11334.72,
2024-08-13,11346.51,
2024-08-16,11346.71,
2024-08-20,11362.10,
