# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:33.789319+00:00
date,fund_below_high,benchmark_below_high
2017-08-07,0.000000,
2017-08-10,-0.017875,
2017-08-16,-0.005958,
2017-08-22,-0.011917,
2017-08-30,-0.001986,
2017-09-05,0.000000,
2017-09-15,-0.003914,
2017-09-21,-0.003914,
2017-09-27,-0.024462,
2017-10-03,-0.013699,
2017-10-11,-0.007828,
2017-10-13,0.000000,
2017-10-25,-0.005865,
2017-10-30,0.000000,
2017-11-06,0.000000,
2017-11-15,-0.009699,
2017-11-17,-0.000970,
2017-11-29,0.000000,
2017-12-04,-0.009653,
2017-12-08,0.000000,
2017-12-13,-0.003854,
2017-12-19,0.000000,
2018-01-01,-0.002860,
2018-01-05,0.000000,
2018-01-10,-0.002838,
2018-01-16,-0.004730,
2018-01-24,0.000000,
2018-02-01,-0.006567,
2018-02-06,-0.029081,
2018-02-15,-0.017824,
2018-02-22,-0.027205,
2018-02-26,-0.015009,
2018-03-07,-0.030957,
2018-03-14,-0.019700,
2018-03-19,-0.031895,
2018-03-23,-0.032833,
2018-04-02,-0.013133,
2018-04-09,-0.002814,
2018-04-13,0.000000,
2018-04-25,0.000000,
2018-04-30,0.000000,
2018-05-04,-0.007442,
2018-05-11,-0.003721,
2018-05-21,-0.010233,
2018-05-28,-0.001860,
2018-06-04,-0.006487,
2018-06-05,-0.009268,
2018-06-12,0.000000,
2018-06-19,-0.005530,
2018-06-28,-0.008295,
2018-07-03,0.000000,
2018-07-12,0.000000,
2018-07-16,-0.003617,
2018-07-20,0.000000,
2018-07-31,0.000000,
2018-08-02,-0.005343,
2018-08-08,0.000000,
2018-08-16,-0.002667,
2018-08-28,0.000000,
2018-08-31,-0.005240,
2018-09-05,-0.022707,
2018-09-14,-0.024454,
2018-09-24,-0.048908,
2018-10-01,-0.049782,
2018-10-05,-0.078603,
2018-10-16,-0.067249,
2018-10-23,-0.089956,
2018-10-26,-0.089083,
2018-11-02,-0.066376,
2018-11-14,-0.064629,
2018-11-19,-0.055895,
2018-11-22,-0.062009,
2018-11-30,-0.048035,
2018-12-10,-0.059389,
2018-12-13,-0.047162,
2018-12-19,-0.041048,
2018-12-26,-0.048908,
2019-01-02,-0.042795,
2019-01-14,-0.048035,
2019-01-21,-0.041048,
2019-01-25,-0.045415,
2019-01-29,-0.048908,
2019-02-07,-0.035808,
2019-02-12,-0.043668,
2019-02-19,-0.050655,
2019-02-25,-0.041048,
2019-03-01,-0.040175,
2019-03-12,-0.027948,
2019-03-18,-0.024454,
2019-03-25,-0.027948,
2019-04-01,-0.017467,
2019-04-04,-0.020087,
2019-04-10,-0.021834,
2019-04-16,-0.013974,
2019-04-30,-0.011354,
2019-05-08,-0.022707,
2019-05-15,-0.027074,
2019-05-20,0.000000,
2019-05-23,-0.005240,
2019-06-03,0.000000,
2019-06-06,-0.021478,
2019-06-17,-0.026632,
2019-06-20,-0.019759,
2019-06-28,-0.020619,
2019-07-04,-0.014605,
2019-07-10,-0.029210,
2019-07-17,-0.021478,
2019-07-22,-0.035223,
2019-08-01,-0.042096,
2019-08-05,-0.044674,
2019-08-09,-0.025773,
2019-08-22,-0.037801,
2019-08-27,-0.024055,
2019-09-05,-0.036082,
2019-09-11,-0.027491,
2019-09-19,-0.035223,
2019-09-23,-0.006014,
2019-10-04,-0.014605,
2019-10-09,-0.009450,
2019-10-18,0.000000,
2019-10-22,-0.002575,
2019-10-29,0.000000,
2019-11-05,-0.002558,
