# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:34.031452+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-03,0.000000,
2013-01-21,0.000000,
2013-01-29,0.000000,
2013-02-01,-0.002286,
2013-02-11,-0.000229,
2013-02-26,-0.000254,
2013-03-04,0.000000,
2013-03-20,0.000000,
2013-03-26,-0.000499,
2013-04-04,0.000000,
2013-04-17,-0.000165,
2013-05-03,-0.000464,
2013-05-08,0.000000,
2013-05-23,-0.000118,
2013-05-27,0.000000,
2013-06-12,-0.000216,
2013-06-20,-0.000466,
2013-06-24,0.000000,
2013-07-11,0.000000,
2013-07-16,-0.006873,
2013-07-24,-0.008558,
2013-08-05,-0.003135,
2013-08-20,-0.005958,
2013-08-26,-0.001897,
2013-09-04,0.000000,
2013-09-13,-0.000307,
2013-09-20,0.000000,
2013-10-01,0.000000,
2013-10-10,0.000000,
2013-10-30,0.000000,
2013-11-07,-0.000208,
2013-11-11,0.000000,
2013-11-21,0.000000,
2013-12-09,0.000000,
2013-12-13,-0.000024,
2013-12-19,0.000000,
2013-12-31,0.000000,
2014-01-08,0.000000,
2014-01-20,0.000000,
2014-02-05,0.000000,
2014-02-14,-0.000154,
2014-02-18,0.000000,
2014-03-04,-0.000172,
2014-03-10,0.000000,
2014-03-26,-0.000075,
2014-04-02,0.000000,
2014-04-11,0.000000,
2014-04-25,0.000000,
2014-05-07,0.000000,
2014-05-16,0.000000,
2014-05-27,0.000000,
2014-06-05,0.000000,
2014-06-13,0.000000,
2014-07-03,0.000000,
2014-07-11,-0.000758,
2014-07-14,-0.000037,
2014-07-23,0.000000,
2014-08-04,0.000000,
2014-08-12,0.000000,
2014-08-25,0.000000,
2014-09-04,0.000000,
2014-09-12,0.000000,
2014-09-23,0.000000,
2014-10-07,0.000000,
2014-10-16,0.000000,
2014-10-29,0.000000,
2014-11-11,0.000000,
2014-11-19,0.000000,
2014-11-28,0.000000,
2014-12-09,0.000000,
2014-12-17,0.000000,
2014-12-29,0.000000,
2015-01-07,0.000000,
2015-01-15,0.000000,
2015-01-27,0.000000,
2015-02-05,0.000000,
2015-02-13,0.000000,
2015-02-26,0.000000,
2015-03-17,0.000000,
2015-03-25,-0.000078,
2015-03-27,0.000000,
2015-04-10,0.000000,
2015-04-29,0.000000,
2015-05-07,-0.000152,
2015-05-13,0.000000,
2015-05-29,0.000000,
2015-06-02,-0.000066,
2015-06-10,0.000000,
2015-06-25,-0.000002,
2015-06-29,0.000000,
2015-07-08,0.000000,
2015-07-16,0.000000,
2015-07-27,0.000000,
2015-08-05,0.000000,
2015-08-13,0.000000,
2015-09-02,0.000000,
2015-09-10,-0.000076,
2015-09-11,0.000000,
2015-09-23,0.000000,
2015-10-06,0.000000,
2015-10-14,0.000000,
2015-10-26,0.000000,
2015-11-04,0.000000,
2015-11-16,0.000000,
2015-12-04,0.000000,
2015-12-11,-0.000084,
2015-12-15,0.000000,
2015-12-28,0.000000,
2016-01-06,0.000000,
2016-01-14,0.000000,
