# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:37.518856+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.071578,
2016-01-08,0.070046,
2016-01-15,0.067750,
2016-01-22,0.068927,
2016-01-29,0.069940,
2016-02-05,0.069510,
2016-02-12,0.067507,
2016-02-18,0.064383,
2016-02-26,0.061425,
2016-03-04,0.067116,
2016-03-18,0.071770,
2016-03-23,0.073154,
2016-03-31,0.074549,
2016-04-07,0.074035,
2016-04-13,0.071485,
2016-04-22,0.070466,
2016-04-29,0.069745,
2016-05-06,0.068750,
2016-05-20,0.060652,
2016-05-27,0.060681,
2016-06-03,0.060665,
2016-06-10,0.062740,
2016-06-17,0.062258,
2016-06-24,0.069960,
2016-07-01,0.070674,
2016-07-08,0.071225,
2016-07-22,0.094668,
2016-07-29,0.094937,
2016-08-05,0.095068,
2016-08-12,0.105195,
2016-08-19,0.102156,
2016-08-26,0.113481,
2016-09-02,0.102035,
2016-09-09,0.105545,
2016-09-23,0.114686,
2016-09-30,0.111149,
2016-10-07,0.108967,
2016-10-14,0.111428,
2016-10-21,0.111957,
2016-10-28,0.109490,
2016-11-04,0.112339,
2016-11-11,0.116819,
2016-11-25,0.130983,
2016-12-02,0.130959,
2016-12-09,0.126983,
2016-12-16,0.123463,
2016-12-23,0.122310,
2016-12-30,0.122193,
2017-01-06,0.124726,
2017-01-13,0.120399,
2017-01-20,0.117968,
2017-02-03,0.121973,
2017-02-10,0.112894,
2017-02-17,0.111741,
2017-02-23,0.112529,
2017-03-03,0.111820,
2017-03-10,0.105078,
2017-03-17,0.108627,
2017-03-24,0.110611,
2017-03-31,0.115614,
2017-04-13,0.114532,
2017-04-21,0.110593,
2017-04-28,0.108825,
2017-05-05,0.107781,
2017-05-12,0.108159,
2017-05-19,0.108490,
2017-05-26,0.108526,
2017-06-02,0.105870,
2017-06-16,0.110396,
2017-06-23,0.111739,
2017-06-30,0.109187,
2017-07-07,0.109353,
2017-07-14,0.109928,
2017-07-21,0.109743,
2017-07-28,0.109894,
2017-08-04,0.114799,
2017-08-18,0.108783,
2017-08-24,0.109584,
2017-09-01,0.109903,
2017-09-08,0.109441,
2017-09-15,0.106907,
2017-09-22,0.104732,
2017-09-29,0.104539,
2017-10-06,0.101062,
2017-10-18,0.099410,
2017-10-27,0.097389,
