# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:43.823104+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.092886,
2016-01-08,0.092934,
2016-01-15,0.092657,
2016-01-22,0.092559,
2016-01-29,0.092456,
2016-02-05,0.092377,
2016-02-12,0.092396,
2016-02-18,0.092297,
2016-02-26,0.092031,
2016-03-04,0.092359,
2016-03-18,0.092456,
2016-03-23,0.092188,
2016-03-31,0.092755,
2016-04-07,0.093070,
2016-04-13,0.092919,
2016-04-22,0.092843,
2016-04-29,0.092608,
2016-05-06,0.092607,
2016-05-20,0.092491,
2016-05-27,0.092516,
2016-06-03,0.092469,
2016-06-10,0.092668,
2016-06-17,0.092483,
2016-06-24,0.092555,
2016-07-01,0.092447,
2016-07-08,0.092667,
2016-07-22,0.094836,
2016-07-29,0.094596,
2016-08-05,0.094262,
2016-08-12,0.094433,
2016-08-19,0.094081,
2016-08-26,0.093822,
2016-09-02,0.093494,
2016-09-09,0.093263,
2016-09-16,0.092856,
2016-09-30,0.091615,
2016-10-07,0.091536,
2016-10-14,0.091263,
2016-10-21,0.091047,
2016-10-28,0.090558,
2016-11-04,0.090300,
2016-11-11,0.090527,
2016-11-25,0.091191,
2016-12-02,0.090619,
2016-12-09,0.089858,
2016-12-16,0.089521,
2016-12-23,0.089220,
2016-12-30,0.089059,
2017-01-06,0.089462,
2017-01-13,0.089421,
2017-01-27,0.089131,
2017-02-03,0.089202,
2017-02-10,0.088710,
2017-02-17,0.088789,
2017-02-23,0.088646,
2017-03-03,0.088713,
2017-03-10,0.088033,
2017-03-17,0.087858,
2017-03-24,0.087586,
2017-04-07,0.087073,
2017-04-13,0.087028,
2017-04-21,0.086918,
2017-04-28,0.086721,
2017-05-05,0.086540,
2017-05-12,0.086258,
2017-05-19,0.086264,
2017-05-26,0.086257,
2017-06-02,0.086180,
2017-06-16,0.086262,
2017-06-23,0.086195,
2017-06-30,0.085902,
2017-07-07,0.085865,
2017-07-14,0.086017,
2017-07-21,0.086060,
2017-07-28,0.085968,
2017-08-04,0.085964,
2017-08-18,0.085718,
2017-08-24,0.085513,
2017-09-01,0.085590,
2017-09-08,0.085453,
2017-09-15,0.085238,
2017-09-22,0.084885,
2017-09-29,0.084769,
2017-10-06,0.084651,
2017-10-18,0.084294,
2017-10-27,0.084231,
2017-11-03,0.084032,
2017-11-10,0.083792,
2017-11-17,0.083581,
2017-11-24,0.083373,
2017-11-30,0.083106,
2017-12-08,0.083094,
2017-12-22,0.082489,
2017-12-29,0.082369,
2018-01-05,0.082309,
2018-01-12,0.082071,
2018-01-19,0.081785,
2018-01-25,0.081547,
2018-02-02,0.081373,
2018-02-09,0.081579,
2018-02-16,0.081551,
2018-03-01,0.080782,
2018-03-09,0.081225,
2018-03-16,0.081688,
2018-03-23,0.081469,
2018-03-28,0.080950,
2018-04-06,0.081731,
2018-04-13,0.081308,
2018-04-27,0.080112,
2018-05-04,0.080036,
2018-05-11,0.079690,
2018-05-18,0.078925,
2018-05-25,0.078703,
2018-06-01,0.078742,
2018-06-08,0.078625,
2018-06-15,0.078816,
2018-06-22,0.079132,
2018-06-29,0.078901,
2018-07-13,0.079238,
2018-07-20,0.079126,
