# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:33:40.373005+00:00
date,nav
2013-01-02,12.72490
2013-01-03,12.78320
2013-01-11,12.64730
2013-01-24,12.53800
2013-01-31,12.56080
2013-02-13,12.55100
2013-02-26,12.29730
2013-03-08,12.45300
2013-03-18,12.42360
2013-03-25,12.22350
2013-04-02,12.35590
2013-04-15,11.90080
2013-04-22,12.14790
2013-05-10,12.47450
2013-05-15,12.52160
2013-05-23,12.36100
2013-06-07,12.43240
2013-06-19,12.39490
2013-06-26,11.90140
2013-07-01,12.13250
2013-07-15,12.34920
2013-07-18,12.18410
2013-08-06,11.97780
2013-08-13,12.18880
2013-08-28,11.99070
2013-09-02,12.21230
2013-09-10,12.50130
2013-09-18,12.29780
2013-10-01,12.35030
2013-10-15,12.58850
2013-10-24,12.87710
2013-10-31,12.92980
2013-11-13,12.67260
2013-11-22,12.68240
2013-12-02,12.88350
2013-12-17,12.68920
2013-12-20,12.80710
2014-01-02,12.71940
2014-01-15,12.89770
2014-01-23,12.86880
2014-01-30,12.65860
2014-02-13,12.69680
2014-02-18,12.87700
2014-03-05,13.11110
2014-03-10,13.18370
2014-03-20,13.05300
2014-04-04,13.10990
2014-04-10,13.27170
2014-04-23,13.39490
2014-05-08,13.31830
2014-05-13,13.53500
2014-05-29,13.49880
2014-06-06,13.84720
2014-06-16,14.03340
2014-06-19,13.92020
2014-07-04,14.30040
2014-07-14,13.98380
2014-07-21,14.21310
2014-08-01,14.05430
2014-08-13,14.16630
2014-08-19,14.28670
2014-09-02,14.46020
2014-09-11,14.53130
2014-09-17,14.38920
2014-09-26,14.46770
2014-10-17,14.38740
2014-10-21,14.66420
2014-11-13,14.73600
2014-11-18,14.94080
2014-11-27,14.94290
2014-12-05,15.14270
2014-12-17,14.88450
2014-12-31,15.13890
2015-01-09,15.17370
2015-01-20,15.69250
2015-01-28,15.89400
2015-02-09,15.58050
2015-02-16,15.74350
2015-02-26,15.57070
2015-03-05,15.88050
2015-03-16,15.57010
2015-03-31,15.53370
2015-04-13,15.82600
2015-04-20,15.54430
2015-04-27,15.34220
2015-05-07,15.28740
2015-05-19,15.65520
2015-06-01,15.68380
2015-06-11,15.28520
2015-06-22,15.61280
2015-06-29,15.52430
2015-07-07,15.71540
2015-07-17,15.78100
2015-07-27,15.54720
2015-07-31,15.57630
2015-08-18,15.95760
2015-08-26,15.37450
2015-08-31,15.57470
2015-09-08,15.30400
2015-09-18,15.50440
2015-09-29,15.39920
2015-10-16,15.70390
2015-10-21,15.71410
2015-10-30,15.56150
2015-11-10,15.18620
2015-12-01,15.28560
2015-12-10,15.05920
2015-12-11,14.99960
2015-12-28,15.23580
2016-01-08,15.18570
2016-01-18,14.83730
2016-01-21,14.78580
2016-02-02,15.39500
2016-02-18,15.15900
2016-02-19,15.36360
2016-03-08,15.66560
2016-03-15,15.45360
2016-03-22,15.70110
2016-04-08,15.72140
2016-04-18,16.13880
2016-04-28,15.97960
2016-05-12,16.26760
2016-05-23,16.02520
2016-05-31,16.07490
2016-06-08,16.36820
2016-06-14,16.28720
2016-06-21,16.53910
2016-07-08,16.78370
2016-07-14,16.98610
2016-07-28,17.23390
2016-08-04,17.18280
2016-08-16,17.26410
2016-08-25,17.17510
2016-09-08,17.53140
2016-09-14,17.35610
2016-09-23,17.50610
2016-10-04,17.54020
2016-10-17,17.21080
2016-10-28,17.55630
2016-11-09,17.42730
2016-11-15,16.84020
2016-11-30,16.89700
2016-12-02,16.68140
2016-12-12,16.54580
2016-12-26,16.19210
2017-01-05,16.61430
2017-01-12,16.78710
2017-01-23,16.78210
2017-02-02,17.14130
2017-02-15,17.02060
2017-02-27,17.19700
2017-03-08,17.02630
2017-03-10,16.99320
2017-03-21,17.26800
2017-04-05,17.57770
2017-04-10,17.51520
2017-04-28,17.88620
2017-05-09,17.77690
2017-05-15,17.87890
2017-05-24,17.69500
2017-06-07,18.19140
2017-06-09,18.25380
2017-06-28,18.02010
2017-07-05,18.06950
2017-07-14,18.32520
2017-07-20,18.28250
2017-08-01,18.55420
2017-08-11,18.33940
2017-08-17,18.55840
2017-08-29,18.61930
2017-09-12,19.00370
2017-09-25,18.68110
2017-10-05,18.75670
2017-10-13,19.03060
2017-10-26,18.85150
2017-11-01,19.05430
2017-11-14,18.82410
2017-11-20,19.01230
2017-11-29,19.10560
2017-12-06,18.86240
2017-12-14,18.89170
2017-12-26,19.21180
2018-01-10,19.45640
2018-01-15,19.74020
2018-01-25,19.79130
2018-02-06,19.26190
2018-02-14,19.50950
2018-02-27,19.54350
2018-03-07,19.23230
2018-03-23,19.18540
2018-04-03,19.68520
2018-04-16,19.95880
2018-04-18,20.00920
2018-05-04,19.79480
2018-05-14,19.89530
2018-05-21,19.52860
2018-05-31,19.92920
2018-06-05,19.51180
2018-06-15,19.96480
2018-06-28,19.46390
2018-07-10,20.24900
2018-07-19,20.02150
2018-07-24,20.47480
2018-08-02,20.36540
2018-08-16,20.34090
2018-08-28,20.81030
2018-08-31,20.83810
2018-09-14,20.33250
2018-09-24,19.47210
2018-10-08,18.50290
2018-10-16,18.93920
2018-10-26,18.23240
2018-11-02,19.11380
2018-11-22,19.13100
2018-12-03,19.65610
2018-12-10,19.22780
2018-12-18,19.88790
2019-01-01,19.89320
2019-01-08,19.60890
2019-01-17,19.62310
2019-01-30,19.21760
2019-02-07,19.81900
2019-02-18,19.32160
2019-02-25,19.64880
2019-03-01,19.62830
2019-03-15,20.22780
2019-03-25,20.02170
2019-04-03,20.41900
2019-04-23,20.29970
2019-04-30,20.63080
2019-05-13,19.98420
2019-05-20,20.87180
2019-06-03,21.42080
2019-06-06,21.22780
2019-06-17,21.06550
2019-07-03,21.61640
2019-07-10,21.01530
2019-07-17,21.30590
2019-07-24,20.71930
2019-08-09,21.20860
2019-08-22,20.63880
2019-08-26,21.20410
2019-09-05,20.96980
2019-09-19,20.75820
2019-09-24,22.20290
2019-10-07,21.75650
2019-10-18,22.48900
2019-10-31,22.89360
2019-11-07,22.92860
2019-11-22,22.59970
2019-11-28,22.88660
2019-12-10,22.57770
2019-12-19,23.11020
2019-12-26,23.05700
2020-01-06,23.05710
2020-01-17,23.53740
2020-02-03,23.20360
2020-02-06,23.73230
2020-02-20,24.00480
2020-03-03,22.99840
2020-03-06,22.84430
2020-03-23,17.47760
2020-03-26,18.95400
2020-04-03,18.35760
2020-04-17,20.36790
2020-04-30,21.04050
2020-05-08,20.10280
2020-05-26,19.78200
2020-06-02,21.13180
2020-06-15,20.90380
2020-06-23,21.92760
2020-06-30,21.70290
2020-07-07,22.47490
2020-07-15,22.14560
2020-07-24,23.22090
2020-08-04,23.08660
2020-08-14,23.24200
2020-08-28,23.97160
2020-09-09,23.38790
2020-09-16,23.91630
2020-09-24,22.57540
2020-10-06,23.91810
2020-10-15,23.71410
2020-10-20,24.15340
2020-10-30,24.04410
2020-11-11,25.54440
2020-11-23,26.28990
2020-11-27,26.28080
2020-12-17,27.40360
2020-12-22,26.98650
2021-01-04,28.04670
2021-01-12,28.22910
2021-01-18,27.58180
2021-01-29,26.90770
2021-02-08,28.46720
2021-02-17,28.81970
2021-02-26,27.92540
2021-03-10,28.69600
2021-03-25,27.64330
2021-04-08,28.66770
2021-04-12,27.87490
2021-04-29,28.95830
2021-05-04,28.48830
2021-05-14,28.63920
2021-05-21,29.50500
2021-06-03,30.27660
2021-06-15,30.63240
2021-06-18,30.31010
2021-07-07,31.12980
2021-07-12,30.94960
2021-07-28,31.23450
2021-08-03,32.07530
2021-08-11,31.86730
2021-08-23,32.09970
2021-08-31,33.31420
2021-09-16,34.11560
2021-09-20,33.77680
2021-10-01,33.76560
2021-10-14,35.29400
2021-10-20,34.68280
2021-10-29,34.30650
2021-11-12,35.51170
2021-11-22,34.40550
2021-12-06,33.94690
2021-12-10,34.74060
2021-12-20,33.31450
2022-01-03,35.00310
2022-01-13,35.49570
2022-01-24,33.69840
2022-02-02,34.51130
2022-02-14,32.93950
2022-02-17,33.52950
2022-02-24,32.06260
2022-03-07,31.71400
2022-03-17,33.52080
2022-04-04,34.37070
2022-04-13,33.73950
2022-04-19,32.89890
2022-05-02,32.71200
2022-05-12,30.31150
2022-05-25,30.57220
2022-05-30,31.57340
2022-06-09,31.25490
2022-06-17,29.61620
2022-06-27,30.39520
2022-07-05,30.51500
2022-07-14,30.81710
2022-07-26,31.60170
2022-08-02,32.96320
2022-08-17,33.86970
2022-08-29,33.00910
2022-09-12,33.75180
2022-09-20,33.42040
2022-09-28,32.19350
2022-10-06,33.01880
2022-10-13,32.41760
2022-11-01,33.42610
2022-11-10,33.09640
2022-11-15,33.57570
2022-12-01,34.00710
2022-12-09,33.57920
2022-12-14,33.96080
2022-12-23,32.66960
2023-01-03,33.34790
2023-01-11,32.71570
2023-01-27,32.08760
2023-02-03,32.59080
