# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:33:36.092956+00:00
date,nav
2013-01-02,15.02530
2013-01-08,15.11460
2013-01-11,14.88860
2013-01-24,14.61240
2013-01-31,14.73260
2013-02-15,14.46660
2013-02-26,14.20490
2013-03-08,14.69710
2013-03-15,14.65030
2013-03-25,14.02110
2013-04-02,14.37680
2013-04-15,13.98500
2013-04-22,14.62590
2013-05-08,15.35970
2013-05-17,15.68110
2013-05-23,15.21940
2013-05-31,15.43350
2013-06-13,14.69360
2013-06-26,14.46610
2013-07-01,15.06430
2013-07-15,15.66100
2013-07-23,15.35020
2013-08-06,14.36330
2013-08-14,14.80300
2013-08-21,13.82490
2013-08-28,13.63180
2013-09-03,13.90140
2013-09-10,14.86130
2013-09-19,15.39620
2013-09-30,14.83430
2013-10-09,15.60880
2013-10-28,15.81940
2013-10-31,16.27360
2013-11-13,16.17000
2013-11-21,16.19330
2013-12-02,17.01940
2013-12-17,16.95280
2013-12-20,17.34080
2014-01-02,17.24650
2014-01-15,17.61560
2014-01-23,17.45900
2014-01-30,16.83030
2014-02-13,16.96220
2014-02-19,17.45580
2014-03-03,17.92480
2014-03-07,18.49120
2014-03-21,18.82670
2014-03-31,19.41920
2014-04-16,19.22660
2014-04-23,19.85230
2014-05-07,19.63960
2014-05-13,20.55300
2014-05-29,21.44300
2014-06-09,22.74650
2014-06-10,22.93650
2014-06-26,22.85920
2014-07-04,24.29670
2014-07-14,23.20510
2014-07-17,24.22630
2014-08-01,23.93060
2014-08-08,23.88910
2014-08-19,25.03090
2014-09-03,26.29960
2014-09-12,27.02590
2014-09-17,26.30400
2014-09-30,26.50270
2014-10-17,25.54070
2014-10-31,27.70750
2014-11-10,28.00420
2014-11-21,28.98010
2014-11-27,28.70320
2014-12-04,29.39110
2014-12-17,27.99850
2014-12-23,28.92680
2015-01-07,29.27480
2015-01-16,30.81470
2015-01-27,31.70960
2015-02-09,30.23650
2015-02-18,31.89780
2015-02-26,31.14190
2015-03-05,33.09070
2015-03-16,32.20820
2015-03-27,31.41440
2015-04-13,33.28230
2015-04-24,30.86480
2015-04-27,30.38030
2015-05-07,30.17060
2015-05-22,32.09020
2015-05-29,31.84160
2015-06-12,30.09240
2015-06-22,31.54460
2015-06-29,31.42680
2015-07-09,31.66630
2015-07-16,32.75100
2015-07-28,31.92810
2015-08-06,33.37430
2015-08-18,33.64600
2015-08-24,31.22140
2015-08-28,31.88360
2015-09-08,30.68460
2015-09-21,31.85380
2015-10-01,31.67070
2015-10-09,32.06190
2015-10-20,32.39400
2015-11-03,31.87700
2015-11-10,30.58020
2015-12-01,31.27890
2015-12-09,30.37660
2015-12-17,31.26500
2015-12-31,31.74240
2016-01-01,31.91470
2016-01-18,29.35800
2016-01-29,30.62680
2016-02-05,30.51410
2016-02-11,28.67780
2016-02-26,28.07740
2016-03-03,29.56790
2016-03-16,29.37250
2016-03-22,30.25600
2016-04-07,29.87220
2016-04-18,31.11230
2016-05-03,30.79310
2016-05-12,31.39660
2016-05-23,30.93090
2016-05-30,32.35770
2016-06-08,32.50670
2016-06-13,32.05920
2016-06-24,31.85320
2016-06-30,32.83160
2016-07-19,33.48570
2016-07-28,34.74970
2016-08-03,34.26690
2016-08-09,34.73660
2016-08-29,34.30490
2016-09-08,35.38050
2016-09-14,34.52550
2016-09-22,35.02270
2016-09-29,34.32780
2016-10-10,35.19070
2016-11-01,35.36920
2016-11-10,33.91220
2016-11-15,31.92940
2016-11-30,32.79380
2016-12-02,32.17060
2016-12-13,32.36190
2016-12-26,30.82570
2016-12-30,31.87090
2017-01-09,31.99120
2017-01-23,32.50120
2017-02-01,33.98050
2017-02-15,33.95910
2017-02-20,34.70320
2017-03-07,34.33560
2017-03-16,35.75100
2017-03-22,35.72990
2017-04-05,36.79970
2017-04-18,36.44120
2017-04-25,37.38470
2017-05-10,38.13310
2017-05-16,38.40420
2017-05-24,36.84080
2017-06-02,38.43720
2017-06-09,39.08010
2017-06-28,38.42840
2017-06-29,38.40200
2017-07-10,39.31340
2017-07-20,39.77290
2017-08-01,40.83710
2017-08-11,39.32750
2017-08-17,40.04260
2017-08-29,39.97210
2017-09-12,42.00570
2017-09-21,42.14470
2017-09-27,40.46350
2017-10-13,42.19960
2017-10-26,41.62510
2017-11-01,42.43350
2017-11-15,41.46900
2017-11-20,42.38490
2017-11-28,42.89530
2017-12-06,41.98620
2017-12-19,43.90350
2018-01-02,43.85110
2018-01-08,44.81300
2018-01-19,45.90920
2018-02-01,44.89340
2018-02-06,42.36870
2018-02-22,42.51320
2018-02-27,43.73460
2018-03-07,42.48530
2018-03-23,41.88100
2018-04-02,43.72990
2018-04-16,45.57420
2018-04-18,45.37240
2018-05-02,46.42300
2018-05-16,45.83040
2018-05-23,44.58820
2018-05-31,46.74530
2018-06-05,45.43770
2018-06-14,46.62970
2018-06-28,45.47150
2018-07-10,47.28060
2018-07-19,46.95840
2018-07-24,48.13100
2018-08-02,47.67400
2018-08-16,47.88630
2018-08-29,49.63690
2018-09-07,48.73080
2018-09-11,47.25670
2018-09-25,45.69570
2018-10-05,42.10070
2018-10-16,43.43510
2018-10-26,41.56340
2018-11-02,43.85000
2018-11-22,43.92820
2018-11-30,45.54280
2018-12-10,44.05450
2018-12-19,46.56530
2018-12-26,45.34840
2019-01-14,44.19200
2019-01-23,44.27500
2019-01-30,43.20350
2019-02-07,45.18300
2019-02-19,43.19580
2019-02-26,44.57330
2019-03-13,46.51120
2019-03-22,46.08600
2019-04-02,47.31530
2019-04-11,47.17500
2019-04-16,47.94520
2019-05-02,47.76800
2019-05-14,45.58710
2019-05-20,48.48830
2019-06-03,50.21600
2019-06-06,49.48510
2019-06-19,48.40360
2019-07-02,50.15150
2019-07-10,48.12320
2019-07-17,48.98590
2019-07-24,46.98590
2019-08-09,48.28490
2019-08-22,46.55430
2019-08-27,47.72290
2019-09-05,46.97160
2019-09-19,46.57930
2019-09-26,50.96550
2019-10-07,49.65320
2019-10-18,51.79650
2019-10-31,53.19530
2019-11-15,52.85980
2019-11-22,51.80550
2019-11-28,52.65510
2019-12-10,51.38840
2019-12-19,53.44830
2020-01-06,52.32690
2020-01-14,54.11310
2020-01-22,53.39440
2020-02-03,53.99140
2020-02-12,56.61940
2020-02-20,56.08370
2020-02-28,52.89070
2020-03-06,53.09870
2020-03-23,37.64630
2020-03-26,42.25080
2020-04-07,41.83350
2020-04-20,44.05350
2020-04-30,46.24030
2020-05-18,41.88820
2020-05-26,42.61590
2020-06-03,46.59340
2020-06-15,45.42100
2020-06-23,47.71310
2020-06-29,46.97650
2020-07-07,49.00730
2020-07-16,47.57820
2020-08-03,48.07670
2020-08-10,50.33490
2020-08-14,49.64590
2020-08-28,52.15290
2020-09-09,50.32180
2020-09-16,51.52360
2020-09-24,48.05020
2020-10-06,51.84710
2020-10-15,51.03830
2020-10-27,53.33190
2020-11-02,52.89320
2020-11-11,56.94310
2020-11-24,60.10290
2020-12-02,60.35070
2020-12-18,63.65400
2020-12-21,61.97540
2021-01-05,66.38710
2021-01-11,67.18550
2021-01-28,62.26460
2021-01-29,61.01280
2021-02-15,69.39970
2021-02-22,66.78850
2021-03-03,69.12730
2021-03-18,66.27190
2021-03-25,64.86400
2021-04-08,67.89580
2021-04-12,65.22200
2021-04-28,67.93580
2021-05-04,66.65410
2021-05-14,66.53560
2021-05-26,69.89610
2021-06-03,71.49500
2021-06-15,72.85870
2021-06-23,72.13870
2021-07-05,74.02000
2021-07-16,74.36360
2021-07-28,74.12840
2021-08-03,75.93970
2021-08-11,75.30450
2021-08-23,76.71500
2021-08-31,81.28690
2021-09-07,81.79860
2021-09-23,85.18460
2021-10-01,82.35330
2021-10-14,87.46590
2021-10-25,82.46210
2021-10-27,84.00770
2021-11-16,85.72940
2021-11-22,81.86610
2021-12-06,80.14110
2021-12-10,82.44180
2021-12-20,77.59310
2022-01-05,83.84750
2022-01-14,83.73250
2022-01-24,76.68050
2022-02-02,79.10570
2022-02-14,74.13050
2022-02-17,75.85910
2022-03-07,69.73580
2022-03-10,73.00610
2022-03-17,75.71670
2022-03-28,74.16410
2022-04-08,77.50070
2022-04-19,74.11820
2022-05-02,74.10480
2022-05-12,65.40830
2022-05-25,65.45570
2022-05-31,69.13610
2022-06-13,64.43390
2022-06-17,62.98520
2022-06-30,64.36040
2022-07-07,67.53700
2022-07-14,67.00150
2022-07-26,69.13260
2022-08-03,73.88280
2022-08-18,76.67290
2022-08-29,74.33210
2022-09-13,77.34550
2022-09-16,74.95100
2022-09-29,72.14390
2022-10-04,74.19160
2022-10-13,72.26930
2022-11-01,74.82900
2022-11-10,73.28770
2022-11-21,72.52270
2022-12-01,74.71240
2022-12-09,73.72580
2022-12-14,74.79810
2022-12-23,70.96870
2023-01-03,72.43880
2023-01-12,70.10170
2023-01-27,68.05930
2023-02-09,69.81430
2023-02-16,70.58160
2023-02-23,68.70630
2023-03-08,69.03080
2023-03-14,66.48650
2023-03-28,65.99990
2023-04-05,68.80800
2023-04-25,70.26220
2023-04-28,71.97980
2023-05-11,74.26380
2023-05-18,73.05670
2023-05-29,75.57850
2023-06-09,76.92040
2023-06-16,79.38260
2023-06-23,77.64830
2023-07-06,80.37880
2023-07-13,79.50800
2023-08-01,79.80180
2023-08-03,78.64860
2023-08-18,76.68330
2023-08-22,77.61520
2023-08-31,78.33000
2023-09-11,81.25720
2023-09-22,80.13590
2023-10-11,81.93370
2023-10-17,81.62170
2023-10-26,77.82860
2023-11-06,80.25390
2023-11-16,82.52660
2023-11-24,82.12890
2023-12-07,86.38850
2023-12-20,85.86920
2023-12-29,88.62240
2024-01-05,89.39310
2024-01-15,89.44260
2024-01-23,86.17260
2024-02-07,89.12190
2024-02-14,88.60180
2024-02-23,91.02110
2024-03-12,91.18820
2024-03-20,90.13570
2024-03-28,94.73580
2024-04-09,97.58880
2024-04-18,94.77850
2024-05-02,96.68250
2024-05-09,94.16480
2024-05-23,97.62680
2024-06-04,93.85290
2024-06-07,99.51880
2024-06-18,102.24030
2024-06-25,102.25060
2024-07-05,103.81880
2024-07-24,103.52370
2024-07-31,107.25410
2024-08-06,102.75670
2024-08-14,103.56860
2024-08-30,108.81930
2024-09-06,108.12660
2024-09-12,110.51630
2024-09-26,113.68490
2024-10-07,107.85490
2024-10-14,110.68100
2024-10-22,106.42970
2024-11-06,106.72630
2024-11-13,102.25230
2024-11-25,105.60980
2024-11-30,105.22430
2024-12-13,108.83470
2024-12-20,104.37140
2025-01-02,107.11060
2025-01-13,99.35620
2025-01-27,98.26290
2025-02-04,103.08290
2025-02-11,99.50490
2025-02-20,98.92870
2025-02-28,94.95010
2025-03-13,96.15110
2025-03-24,102.51480
2025-04-04,99.33270
2025-04-07,96.42240
2025-04-23,105.87920
2025-05-09,102.63140
2025-05-12,106.18810
2025-05-26,107.48180
2025-06-03,106.52830
2025-06-09,108.96210
2025-06-19,106.64820
2025-06-27,110.74000
2025-07-11,108.67370
2025-07-23,110.26800
2025-07-28,107.87240
2025-08-08,106.52850
2025-08-20,110.01130
