# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:33:36.525930+00:00
date,nav
2020-02-18,10.10000
2020-02-20,10.13000
2020-02-25,10.08000
2020-03-02,9.99000
2020-03-05,10.11000
2020-03-13,9.52000
2020-03-18,8.67000
2020-03-23,8.15000
2020-03-26,9.10000
2020-04-01,8.78000
2020-04-03,8.63000
2020-04-09,9.48000
2020-04-20,9.50000
2020-04-24,9.27000
2020-04-29,9.67000
2020-04-30,9.87000
2020-05-07,9.31000
2020-05-13,9.43000
2020-05-18,9.06000
2020-05-26,9.17000
2020-05-28,9.46000
2020-06-02,9.84000
2020-06-08,10.07000
2020-06-12,9.83000
2020-06-15,9.75000
2020-06-23,10.26000
2020-06-24,10.16000
2020-06-29,10.11000
2020-07-06,10.46000
2020-07-07,10.62000
2020-07-14,10.40000
2020-07-20,10.67000
2020-07-21,10.73000
2020-07-27,10.56000
2020-08-03,10.48000
2020-08-04,10.64000
2020-08-10,10.81000
2020-08-14,10.68000
2020-08-18,10.86000
2020-08-21,10.83000
2020-08-26,11.06000
2020-09-03,11.06000
2020-09-04,10.90000
2020-09-09,10.74000
2020-09-16,10.99000
2020-09-21,10.66000
2020-09-24,10.37000
2020-09-28,10.69000
2020-10-06,11.05000
2020-10-09,11.16000
2020-10-15,11.02000
2020-10-19,11.17000
2020-10-22,11.17000
2020-10-27,11.40000
2020-11-02,11.27000
2020-11-06,11.91000
2020-11-10,12.20000
2020-11-17,12.57000
2020-11-24,12.70000
2020-11-25,12.59000
2020-12-03,12.71000
2020-12-09,12.99000
2020-12-11,13.06000
2020-12-17,13.28000
2020-12-22,13.17000
2020-12-28,13.47000
2021-01-01,13.63000
2021-01-05,13.92000
2021-01-11,14.16000
2021-01-15,13.80000
2021-01-18,13.63000
2021-01-22,13.93000
2021-01-29,13.21000
2021-02-02,13.81000
2021-02-08,14.18000
2021-02-15,14.51000
2021-02-16,14.51000
2021-02-22,14.04000
2021-02-26,13.80000
2021-03-03,14.33000
2021-03-08,14.08000
2021-03-10,14.26000
2021-03-18,13.88000
2021-03-23,13.92000
2021-03-25,13.52000
2021-04-01,13.93000
2021-04-09,14.22000
2021-04-12,13.90000
2021-04-16,14.12000
