# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:42.291837+00:00
stretch_ending,fund_return,benchmark_return
2024-07-05,0.202908,
2024-07-12,0.201385,
2024-07-19,0.193713,
2024-07-26,0.201865,
2024-08-02,0.191629,
2024-08-09,0.197750,
2024-08-16,0.190996,
2024-08-23,0.201997,
2024-08-31,0.194438,
2024-09-06,0.186501,
2024-09-13,0.185560,
2024-09-20,0.192456,
2024-09-27,0.196544,
2024-10-04,0.182241,
2024-10-11,0.171694,
2024-10-18,0.166948,
2024-10-25,0.151265,
2024-10-31,0.155659,
2024-11-08,0.142833,
2024-11-14,0.132168,
2024-11-22,0.146305,
2024-11-30,0.158525,
2024-12-06,0.158626,
2024-12-13,0.162540,
2024-12-20,0.156908,
2024-12-27,0.152081,
2025-01-03,0.142614,
2025-01-10,0.124316,
2025-01-17,0.125723,
2025-01-24,0.142579,
2025-01-31,0.122562,
2025-02-07,0.132712,
2025-02-14,0.120894,
2025-02-21,0.125259,
2025-02-28,0.112341,
2025-03-07,0.119645,
2025-03-13,0.105598,
2025-03-21,0.121927,
2025-03-28,0.122111,
2025-04-04,0.105670,
2025-04-11,0.109364,
2025-04-17,0.131851,
2025-04-25,0.142563,
2025-05-02,0.156075,
2025-05-09,0.168872,
2025-05-16,0.176351,
2025-05-23,0.184351,
2025-05-31,0.170651,
2025-06-06,0.181560,
2025-06-13,0.190281,
2025-06-20,0.208820,
2025-06-27,0.208768,
2025-07-04,0.203839,
2025-07-11,0.191644,
2025-07-18,0.176696,
2025-07-25,0.169841,
2025-08-01,0.153969,
2025-08-08,0.144364,
2025-08-14,0.138065,
2025-08-22,0.144944,
2025-08-29,0.133075,
2025-09-05,0.132382,
2025-09-12,0.130909,
2025-09-19,0.136081,
2025-09-26,0.142963,
2025-10-03,0.139950,
2025-10-10,0.145398,
2025-10-17,0.146282,
2025-10-24,0.139021,
2025-10-31,0.135724,
2025-11-07,0.136067,
2025-11-14,0.143273,
2025-11-21,0.146047,
2025-11-28,0.144164,
2025-12-05,0.148154,
2025-12-12,0.144604,
2025-12-19,0.155189,
2025-12-26,0.157362,
2026-01-02,0.170181,
2026-01-09,0.159275,
2026-01-16,0.156590,
2026-01-23,0.150924,
2026-01-31,0.158093,
2026-02-06,0.156285,
2026-02-13,0.153880,
2026-02-20,0.164596,
2026-02-28,0.165009,
2026-03-06,0.142094,
2026-03-13,0.134679,
2026-03-20,0.129707,
2026-03-27,0.125449,
2026-04-02,0.114763,
2026-04-10,0.137495,
2026-04-17,0.146190,
2026-04-24,0.139206,
2026-04-30,0.123982,
2026-05-08,0.126375,
2026-05-15,0.116662,
2026-05-22,0.120218,
2026-05-29,0.121516,
2026-06-05,0.110838,
2026-06-12,0.106231,
2026-06-19,0.111321,
2026-06-25,0.113114,
2026-07-03,0.109072,
2026-07-10,0.110811,
2026-07-17,0.105999,
2026-07-24,0.098733,
2026-07-31,0.112877,
2026-08-07,0.112849,
2026-08-14,0.114528,
2026-08-21,0.109872,
2026-08-28,0.110624,
2026-09-04,0.098668,
2026-09-11,0.088913,
2026-09-18,0.088237,
