# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:41.890219+00:00
stretch_ending,fund_return,benchmark_return
2026-02-18,0.127077,
2026-02-25,0.130783,
2026-03-04,0.113898,
2026-03-11,0.100135,
2026-03-18,0.067122,
2026-03-25,0.016228,
2026-04-01,0.004337,
2026-04-08,0.112713,
2026-04-15,0.089090,
2026-04-22,0.051527,
2026-04-29,0.036221,
2026-05-06,0.075393,
2026-05-13,0.012729,
2026-05-20,0.018959,
2026-05-27,0.032422,
2026-06-03,-0.007888,
2026-06-10,-0.061087,
2026-06-17,-0.000394,
2026-06-24,-0.008826,
2026-07-01,-0.025364,
2026-07-08,-0.031619,
2026-07-15,0.000793,
2026-07-22,-0.000959,
2026-07-29,0.011229,
2026-08-05,0.050302,
2026-08-12,0.091177,
2026-08-19,0.042322,
2026-08-26,0.084921,
2026-09-02,0.073324,
2026-09-09,0.084183,
2026-09-16,0.010610,
2026-09-23,0.048056,
