# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:33:42.792382+00:00
date,nav
2025-07-30,9.96000
2025-07-31,9.95000
2025-08-01,9.87000
2025-08-04,9.90000
2025-08-05,9.86000
2025-08-06,9.84000
2025-08-07,9.89000
2025-08-08,9.79000
2025-08-11,9.88000
2025-08-12,9.84000
2025-08-13,9.95000
2025-08-14,9.98000
2025-08-18,10.06000
2025-08-19,10.11000
2025-08-20,10.18000
2025-08-21,10.17000
2025-08-22,10.12000
2025-08-25,10.12000
2025-08-26,10.00000
2025-08-28,9.88000
2025-08-29,9.79000
2025-08-31,9.79000
2025-09-01,9.90000
2025-09-02,9.88000
2025-09-03,9.97000
2025-09-04,9.99000
2025-09-05,10.02000
2025-09-08,10.02000
2025-09-09,10.04000
2025-09-10,10.07000
2025-09-11,10.05000
2025-09-12,10.08000
2025-09-15,10.10000
2025-09-16,10.13000
2025-09-17,10.14000
2025-09-18,10.18000
2025-09-19,10.15000
2025-09-22,10.14000
2025-09-23,10.10000
2025-09-24,10.03000
2025-09-25,9.96000
2025-09-26,9.80000
2025-09-30,9.82000
2025-10-01,9.87000
2025-10-03,9.88000
2025-10-06,10.04000
2025-10-07,10.06000
2025-10-08,10.07000
2025-10-09,10.12000
2025-10-10,10.15000
2025-10-13,10.18000
2025-10-14,10.15000
2025-10-15,10.26000
2025-10-16,10.31000
2025-10-17,10.28000
2025-10-20,10.30000
2025-10-23,10.24000
2025-10-24,10.23000
2025-10-27,10.32000
2025-10-28,10.31000
2025-10-29,10.31000
2025-10-30,10.27000
2025-10-31,10.16000
2025-11-03,10.23000
2025-11-04,10.21000
2025-11-06,10.09000
2025-11-07,10.14000
2025-11-10,10.13000
2025-11-11,10.11000
2025-11-12,10.17000
2025-11-13,10.12000
2025-11-14,10.12000
2025-11-17,10.20000
2025-11-18,10.14000
2025-11-19,10.21000
2025-11-20,10.25000
2025-11-21,10.17000
2025-11-24,10.16000
2025-11-25,10.16000
2025-11-26,10.25000
2025-11-27,10.27000
2025-11-28,10.25000
2025-11-30,10.25000
2025-12-01,10.23000
2025-12-02,10.20000
2025-12-03,10.15000
2025-12-04,10.14000
2025-12-05,10.18000
2025-12-08,10.02000
2025-12-09,10.04000
2025-12-10,9.95000
2025-12-11,10.01000
2025-12-12,10.10000
2025-12-15,10.08000
2025-12-16,9.98000
2025-12-17,9.93000
2025-12-18,9.98000
2025-12-19,10.05000
