# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:26.597446+00:00
stretch_ending,fund_return,benchmark_return
2022-07-25,0.235477,
2022-08-01,0.249791,
2022-08-08,0.245730,
2022-08-12,0.254561,
2022-08-22,0.252703,
2022-08-29,0.246341,
2022-09-05,0.252704,
2022-09-12,0.255782,
2022-09-19,0.254346,
2022-09-26,0.238019,
2022-10-03,0.247529,
2022-10-10,0.258471,
2022-10-17,0.242773,
2022-10-21,0.247751,
2022-10-31,0.247869,
2022-11-07,0.253330,
2022-11-14,0.255638,
2022-11-21,0.253948,
2022-11-28,0.255726,
2022-12-05,0.260998,
2022-12-12,0.255130,
2022-12-19,0.248699,
2022-12-26,0.237206,
2023-01-02,0.239397,
2023-01-09,0.238172,
2023-01-16,0.232076,
2023-01-23,0.241482,
2023-01-30,0.239319,
2023-02-06,0.236819,
2023-02-13,0.236044,
2023-02-20,0.240433,
2023-02-27,0.252776,
2023-03-06,0.264167,
2023-03-13,0.289937,
2023-03-20,0.328633,
2023-03-27,0.341511,
2023-04-03,0.365278,
2023-04-10,0.322742,
2023-04-17,0.316481,
2023-04-24,0.339016,
2023-04-28,0.337181,
2023-05-08,0.341177,
2023-05-15,0.331284,
2023-05-22,0.330942,
2023-05-29,0.317389,
2023-06-05,0.297569,
2023-06-12,0.303660,
2023-06-19,0.297038,
2023-06-26,0.286703,
2023-07-03,0.288755,
2023-07-10,0.282703,
2023-07-17,0.281358,
2023-07-24,0.269560,
2023-07-31,0.265743,
2023-08-07,0.256517,
2023-08-14,0.254148,
2023-08-21,0.245780,
2023-08-28,0.242516,
2023-09-04,0.262075,
2023-09-11,0.270963,
2023-09-18,0.250307,
2023-09-25,0.258937,
2023-09-29,0.241231,
2023-10-09,0.233551,
2023-10-16,0.247160,
2023-10-23,0.240446,
2023-10-30,0.245177,
2023-11-06,0.243512,
2023-11-13,0.238091,
2023-11-20,0.240308,
