# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:01.774752+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.150864,
2016-01-08,0.135016,
2016-01-15,0.118716,
2016-01-22,0.116250,
2016-01-29,0.125802,
2016-02-05,0.122092,
2016-02-12,0.100844,
2016-02-19,0.108128,
2016-02-26,0.103256,
2016-03-04,0.128619,
2016-03-18,0.149871,
2016-03-23,0.159976,
2016-04-01,0.160198,
2016-04-08,0.163912,
2016-04-13,0.173395,
2016-04-22,0.166434,
2016-04-29,0.158789,
2016-05-06,0.150609,
2016-05-20,0.150985,
2016-05-27,0.166318,
2016-06-03,0.180783,
2016-06-10,0.193490,
2016-06-17,0.191325,
2016-06-24,0.205219,
2016-07-01,0.211189,
2016-07-08,0.206520,
2016-07-22,0.216706,
2016-07-29,0.242032,
2016-08-05,0.258666,
2016-08-12,0.239474,
2016-08-19,0.277623,
2016-08-26,0.275936,
2016-09-02,0.272588,
2016-09-09,0.250536,
2016-09-23,0.251320,
2016-09-30,0.241049,
2016-10-07,0.242961,
2016-10-14,0.238208,
2016-10-21,0.234439,
2016-10-28,0.227447,
2016-11-04,0.211378,
2016-11-11,0.214132,
2016-11-18,0.188796,
2016-12-02,0.189132,
2016-12-09,0.189673,
2016-12-16,0.183990,
2016-12-23,0.167262,
2016-12-30,0.174705,
2017-01-06,0.189591,
2017-01-13,0.191572,
2017-01-20,0.193454,
2017-02-03,0.238866,
2017-02-10,0.240800,
2017-02-17,0.235203,
2017-02-23,0.230984,
2017-03-03,0.222734,
2017-03-10,0.211235,
2017-03-17,0.220870,
2017-03-24,0.214617,
2017-03-31,0.207054,
2017-04-13,0.221382,
2017-04-21,0.214421,
2017-04-28,0.233133,
2017-05-05,0.234829,
2017-05-12,0.212534,
2017-05-19,0.193429,
2017-05-26,0.188360,
2017-06-09,0.178467,
2017-06-16,0.183134,
2017-06-23,0.176790,
2017-06-30,0.163388,
2017-07-07,0.178439,
2017-07-14,0.180385,
2017-07-21,0.176699,
2017-07-28,0.184417,
2017-08-04,0.186472,
2017-08-18,0.166053,
2017-08-24,0.158653,
2017-09-01,0.152509,
2017-09-08,0.148202,
2017-09-15,0.163427,
2017-09-22,0.157162,
2017-09-29,0.151743,
2017-10-13,0.175127,
2017-10-18,0.164065,
2017-10-27,0.161506,
2017-11-03,0.150649,
2017-11-10,0.145149,
2017-11-17,0.142745,
2017-11-24,0.147058,
2017-12-01,0.132842,
2017-12-08,0.145800,
2017-12-15,0.165226,
2017-12-29,0.155796,
2018-01-05,0.166518,
2018-01-12,0.156896,
2018-01-19,0.142282,
2018-01-25,0.134471,
2018-02-02,0.124697,
2018-02-09,0.122675,
2018-02-23,0.120875,
2018-03-01,0.110818,
2018-03-09,0.106010,
2018-03-16,0.106979,
2018-03-23,0.108609,
2018-03-28,0.105600,
2018-04-06,0.114157,
2018-04-13,0.115225,
2018-04-27,0.148169,
2018-05-04,0.149792,
2018-05-11,0.143374,
2018-05-18,0.129921,
2018-05-25,0.129576,
2018-06-01,0.137012,
2018-06-08,0.140246,
2018-06-15,0.139403,
2018-06-22,0.122191,
2018-06-29,0.109199,
2018-07-13,0.105254,
2018-07-20,0.096518,
2018-07-27,0.112106,
2018-08-03,0.103509,
2018-08-10,0.122107,
2018-08-17,0.114987,
2018-08-24,0.150036,
2018-08-31,0.156835,
2018-09-14,0.141425,
2018-09-21,0.123265,
2018-09-28,0.108473,
2018-10-05,0.080519,
2018-10-12,0.085834,
2018-10-19,0.076611,
2018-10-26,0.070232,
2018-11-02,0.092101,
2018-11-16,0.103023,
