# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:00.678635+00:00
date,fund_value_inr,benchmark_value_inr
2019-03-24,10000.00,
2019-03-28,10006.41,
2019-04-03,10017.65,
2019-04-07,10042.22,
2019-04-15,10054.90,
2019-04-21,10110.16,
2019-04-26,10118.53,
2019-04-28,10121.87,
2019-05-03,10130.20,
2019-05-12,10145.07,
2019-05-17,10153.15,
2019-05-23,10162.96,
2019-05-26,10167.88,
2019-05-31,10176.13,
2019-06-09,10190.71,
2019-06-14,10198.60,
2019-06-17,10203.33,
2019-06-21,10209.62,
2019-06-30,10223.56,
2019-07-05,10231.03,
2019-07-09,10238.04,
2019-07-18,10251.94,
2019-07-21,10256.63,
2019-07-26,10264.45,
2019-08-02,10275.39,
2019-08-12,10292.44,
2019-08-15,10296.96,
2019-08-21,10305.94,
2019-08-25,10312.13,
2019-08-30,10319.58,
2019-09-08,10333.04,
2019-09-13,10340.49,
2019-09-15,10343.51,
2019-09-20,10351.12,
2019-09-29,10364.41,
2019-10-06,10374.74,
2019-10-11,10381.76,
2019-10-13,10384.62,
2019-10-18,10391.55,
2019-10-28,10405.65,
2019-11-01,10411.14,
2019-11-10,10423.80,
2019-11-13,10428.06,
2019-11-20,10437.87,
2019-11-24,10443.61,
2019-11-29,10450.74,
2019-12-08,10463.35,
2019-12-12,10468.83,
2019-12-15,10472.87,
2019-12-20,10479.82,
2019-12-29,10492.21,
2020-01-03,10498.78,
2020-01-09,10506.54,
2020-01-12,10510.77,
2020-01-17,10517.83,
2020-01-26,10530.73,
2020-01-30,10536.38,
2020-02-05,10544.81,
2020-02-09,10550.50,
2020-02-14,10557.52,
2020-02-23,10570.38,
2020-02-28,10577.41,
2020-03-02,10581.66,
2020-03-06,10587.18,
2020-03-15,10599.70,
2020-03-23,10610.29,
2020-03-25,10612.59,
2020-04-01,10614.32,
2020-04-04,10616.58,
2020-04-12,10624.02,
2020-04-15,10626.70,
2020-04-24,10635.17,
2020-04-29,10639.52,
2020-05-03,10643.57,
2020-05-08,10648.33,
2020-05-17,10656.74,
2020-05-22,10661.20,
2020-05-26,10664.53,
2020-06-03,10671.60,
2020-06-07,10675.16,
2020-06-12,10679.46,
2020-06-21,10686.91,
2020-06-25,10689.73,
2020-06-29,10692.84,
2020-07-03,10696.09,
2020-07-08,10700.88,
2020-07-16,10707.84,
2020-07-19,10710.50,
2020-07-24,10714.91,
2020-08-02,10722.94,
2020-08-07,10727.35,
2020-08-09,10729.15,
2020-08-14,10733.62,
2020-08-23,10741.44,
2020-08-28,10745.75,
2020-08-31,10748.32,
2020-09-10,10756.95,
2020-09-13,10759.67,
2020-09-18,10764.20,
2020-09-22,10767.85,
2020-10-01,10776.07,
2020-10-03,10777.90,
2020-10-08,10782.80,
2020-10-16,10790.02,
2020-10-18,10791.77,
2020-10-23,10796.11,
2020-11-01,10803.97,
2020-11-06,10808.21,
2020-11-13,10813.93,
2020-11-16,10816.14,
2020-11-25,10823.07,
2020-11-28,10825.40,
2020-12-06,10832.05,
2020-12-11,10836.51,
2020-12-13,10838.31,
2020-12-18,10842.79,
2020-12-26,10850.13,
2020-12-30,10853.68,
2021-01-04,10857.70,
2021-01-11,10864.20,
2021-01-14,10866.84,
2021-01-22,10874.20,
2021-01-24,10876.05,
2021-02-02,10884.38,
2021-02-05,10887.11,
2021-02-08,10889.86,
2021-02-15,10896.22,
2021-02-19,10899.10,
2021-02-24,10902.88,
2021-03-01,10907.32,
2021-03-09,10914.64,
2021-03-12,10917.43,
2021-03-21,10925.85,
2021-03-26,10930.54,
2021-03-28,10932.40,
2021-04-04,10939.15,
2021-04-08,10942.68,
2021-04-14,10948.18,
2021-04-21,10954.69,
2021-04-26,10959.26,
2021-04-30,10962.98,
2021-05-03,10965.79,
2021-05-13,10975.45,
2021-05-16,10978.41,
2021-05-21,10983.14,
2021-05-28,10989.84,
2021-05-30,10991.75,
2021-06-08,11000.15,
2021-06-13,11004.86,
2021-06-17,11008.60,
2021-06-23,11014.30,
2021-06-27,11018.10,
2021-07-02,11022.74,
2021-07-11,11031.42,
2021-07-16,11036.05,
2021-07-18,11037.92,
2021-07-23,11042.58,
2021-08-01,11051.02,
2021-08-06,11055.61,
2021-08-09,11058.32,
2021-08-15,11063.66,
2021-08-20,11068.16,
2021-08-29,11076.33,
2021-09-03,11080.80,
2021-09-06,11083.45,
2021-09-14,11090.76,
2021-09-17,11093.60,
2021-09-26,11102.29,
2021-10-01,11107.12,
2021-10-03,11109.07,
2021-10-11,11116.43,
2021-10-14,11119.30,
2021-10-23,11127.98,
2021-10-29,11133.91,
2021-11-07,11142.93,
2021-11-11,11146.75,
2021-11-17,11152.54,
2021-11-21,11156.52,
2021-11-26,11161.70,
2021-12-05,11170.49,
2021-12-10,11175.36,
2021-12-12,11177.32,
2021-12-17,11182.49,
2021-12-26,11191.99,
2022-01-02,11199.16,
2022-01-06,11202.99,
2022-01-09,11205.75,
2022-01-17,11213.64,
2022-01-21,11218.37,
2022-01-24,11222.07,
2022-01-30,11228.79,
2022-02-04,11233.76,
2022-02-13,11242.89,
2022-02-18,11247.83,
2022-02-21,11250.86,
2022-03-02,11259.80,
2022-03-04,11261.77,
2022-03-13,11271.00,
2022-03-17,11275.00,
2022-03-21,11279.30,
2022-03-30,11288.41,
2022-04-03,11292.78,
2022-04-08,11297.77,
2022-04-17,11307.43,
2022-04-22,11312.81,
2022-04-25,11316.19,
2022-05-04,11326.54,
2022-05-08,11331.54,
2022-05-13,11337.67,
2022-05-22,11348.83,
2022-05-27,11355.09,
2022-05-29,11357.63,
2022-06-03,11363.84,
2022-06-10,11372.86,
2022-06-19,11385.52,
2022-06-24,11392.71,
2022-06-26,11395.62,
2022-07-01,11402.83,
2022-07-10,11415.99,
2022-07-15,11423.22,
2022-07-22,11433.68,
2022-07-24,11436.84,
2022-07-29,11444.71,
2022-08-05,11455.03,
2022-08-12,11466.12,
2022-08-16,11472.56,
2022-08-25,11486.94,
2022-08-28,11491.84,
2022-09-04,11503.31,
2022-09-08,11509.66,
2022-09-16,11522.70,
2022-09-18,11526.13,
2022-09-23,11534.76,
2022-10-02,11550.83,
2022-10-07,11559.69,
2022-10-10,11565.27,
2022-10-16,11576.81,
2022-10-24,11592.11,
2022-10-30,11603.66,
2022-11-04,11612.80,
2022-11-06,11616.42,
2022-11-11,11625.49,
2022-11-20,11641.70,
2022-11-25,11651.31,
2022-11-28,11657.06,
2022-12-08,11675.12,
2022-12-11,11680.80,
2022-12-16,11690.48,
2022-12-20,11698.61,
2022-12-29,11716.80,
2023-01-01,11722.94,
2023-01-06,11732.45,
2023-01-11,11741.94,
2023-01-19,11757.44,
2023-01-22,11763.37,
2023-01-27,11773.65,
2023-02-05,11791.49,
2023-02-10,11801.61,
2023-02-12,11805.81,
2023-02-17,11815.85,
2023-02-23,11828.26,
2023-03-03,11844.93,
2023-03-06,11850.94,
2023-03-14,11866.99,
2023-03-16,11871.12,
2023-03-24,11888.32,
2023-03-26,11892.53,
2023-03-31,11903.66,
2023-04-09,11922.50,
2023-04-14,11932.70,
2023-04-23,11951.80,
2023-04-28,11962.72,
2023-05-01,11969.33,
2023-05-07,11982.46,
2023-05-15,12000.08,
2023-05-17,12004.43,
2023-05-25,12020.95,
2023-05-28,12027.10,
2023-06-02,12037.29,
2023-06-11,12056.14,
2023-06-16,12066.64,
2023-06-18,12070.94,
2023-06-23,12081.54,
2023-07-02,12101.30,
2023-07-07,12111.71,
2023-07-10,12118.02,
2023-07-16,12130.46,
2023-07-25,12149.54,
2023-07-30,12160.12,
2023-08-04,12170.48,
2023-08-06,12174.59,
2023-08-11,12185.03,
2023-08-20,12204.74,
2023-08-25,12215.87,
2023-08-28,12222.59,
2023-09-07,12244.09,
2023-09-10,12250.77,
2023-09-15,12261.90,
2023-09-24,12282.12,
2023-09-29,12293.37,
2023-10-02,12300.14,
2023-10-12,12322.81,
2023-10-15,12329.55,
2023-10-20,12340.79,
2023-10-28,12358.85,
2023-10-30,12363.36,
2023-11-09,12385.90,
2023-11-12,12392.72,
2023-11-20,12410.93,
2023-11-24,12420.14,
2023-11-27,12427.01,
2023-12-07,12449.87,
2023-12-10,12456.70,
2023-12-17,12472.61,
2023-12-22,12484.05,
2023-12-25,12490.92,
2024-01-03,12511.65,
2024-01-07,12520.85,
2024-01-12,12532.47,
2024-01-16,12541.63,
2024-01-24,12560.01,
