# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:59.144007+00:00
date,nav
2022-11-28,18.71660
2022-11-29,18.81070
2022-11-30,19.04430
2022-12-02,19.14470
2022-12-06,19.09420
2022-12-08,19.20730
2022-12-12,19.09280
2022-12-14,19.14890
2022-12-16,18.73460
2022-12-20,18.88230
2022-12-22,18.44480
2022-12-23,17.76020
2022-12-27,18.36270
2022-12-30,18.38040
2023-01-03,18.48720
2023-01-04,18.23810
2023-01-09,18.37550
2023-01-11,18.24890
2023-01-13,18.36300
2023-01-16,18.35070
2023-01-18,18.36760
2023-01-20,18.23510
2023-01-24,18.21660
2023-01-27,17.09860
2023-01-31,17.08010
2023-02-01,16.80390
2023-02-03,16.76170
2023-02-08,16.97770
2023-02-09,16.89350
2023-02-13,16.64040
2023-02-14,16.62180
2023-02-16,16.85990
2023-02-21,16.67140
2023-02-22,16.43570
2023-02-27,16.19730
2023-03-01,16.42960
2023-03-02,16.42030
2023-03-06,16.70050
2023-03-08,16.76550
2023-03-13,16.39190
2023-03-15,16.28670
2023-03-17,16.47400
2023-03-20,16.35640
2023-03-22,16.55650
2023-03-27,16.28050
2023-03-28,16.12700
2023-03-31,16.48500
2023-04-05,16.61350
2023-04-06,16.65370
2023-04-12,16.81500
2023-04-13,16.78690
2023-04-18,16.92060
2023-04-21,16.75430
2023-04-25,16.89010
2023-04-27,17.00080
2023-04-28,17.22830
2023-05-03,17.37190
2023-05-04,17.48110
2023-05-09,17.57940
2023-05-11,17.81630
2023-05-15,17.87260
2023-05-16,17.89730
2023-05-18,17.62060
2023-05-22,17.84580
2023-05-24,17.87190
2023-05-26,18.17700
2023-05-29,18.28130
2023-05-31,18.33500
2023-06-05,18.49100
2023-06-07,18.75550
2023-06-09,18.61320
2023-06-13,18.87890
2023-06-15,18.92880
2023-06-16,19.12170
2023-06-20,19.15980
2023-06-21,19.15060
2023-06-23,18.68360
2023-06-27,18.83960
2023-07-03,19.15630
2023-07-04,19.08350
2023-07-06,19.35080
2023-07-10,19.09290
2023-07-13,19.15920
2023-07-17,19.35980
2023-07-18,19.27710
2023-07-19,19.37900
2023-07-24,19.27720
2023-07-26,19.44820
2023-07-28,19.71590
2023-08-01,19.75820
2023-08-03,19.38720
2023-08-04,19.54110
2023-08-09,19.61980
2023-08-10,19.50130
2023-08-14,19.21400
2023-08-16,19.21410
2023-08-18,19.07690
2023-08-22,19.35610
2023-08-25,19.25470
2023-08-29,19.47200
2023-08-31,19.39570
2023-09-04,19.73780
2023-09-05,19.77830
2023-09-07,19.97220
2023-09-11,20.34240
2023-09-12,19.87360
2023-09-15,20.10770
2023-09-18,20.09580
2023-09-21,19.74390
2023-09-25,19.67330
2023-09-29,19.65540
2023-10-03,19.72030
2023-10-04,19.44730
2023-10-09,19.37920
2023-10-10,19.64030
2023-10-12,19.78620
2023-10-17,19.89270
2023-10-19,19.62540
2023-10-23,19.06060
2023-10-26,18.75820
2023-10-27,19.12630
2023-10-31,19.20460
2023-11-01,19.10150
2023-11-03,19.58160
2023-11-08,20.03630
2023-11-10,19.96640
2023-11-15,20.27110
2023-11-17,20.45500
2023-11-20,20.40160
2023-11-22,20.32450
2023-11-24,20.35320
2023-11-28,20.59430
2023-12-01,21.17060
2023-12-04,21.58020
2023-12-07,22.23380
2023-12-08,22.09730
2023-12-12,22.18700
2023-12-14,22.67220
2023-12-19,22.87240
2023-12-20,22.19880
2023-12-21,22.49460
2023-12-26,22.89290
2023-12-29,23.28740
2024-01-02,23.25720
2024-01-04,23.72890
2024-01-08,23.45260
2024-01-10,23.60430
2024-01-11,23.82860
2024-01-15,23.97620
2024-01-17,23.65850
2024-01-19,23.87730
2024-01-23,23.25980
2024-01-29,24.00630
2024-01-30,23.92650
2024-02-02,24.41270
2024-02-05,24.29410
2024-02-07,25.04700
2024-02-09,25.07220
2024-02-12,24.59060
2024-02-15,25.40280
2024-02-16,25.57710
2024-02-21,25.49590
2024-02-22,25.76290
2024-02-27,25.83080
2024-02-28,25.49780
2024-03-04,26.17680
2024-03-06,26.12230
2024-03-07,26.34790
2024-03-11,26.34140
2024-03-13,24.95900
2024-03-18,25.51280
2024-03-20,25.14950
2024-03-21,25.73290
2024-03-27,26.15400
2024-03-31,26.47370
2024-04-02,27.18340
2024-04-03,27.25710
2024-04-04,27.14160
2024-04-08,27.50480
2024-04-10,27.64900
2024-04-15,27.07310
2024-04-19,27.01990
2024-04-22,27.36670
2024-04-24,27.62500
2024-04-26,27.99730
2024-04-30,28.32830
2024-05-02,28.80640
2024-05-07,27.90450
2024-05-08,28.27310
2024-05-10,27.90190
2024-05-14,28.50200
2024-05-16,28.94420
2024-05-21,29.77620
2024-05-23,30.03560
2024-05-27,30.17260
2024-05-28,29.91550
2024-05-30,29.39770
2024-06-04,27.94470
2024-06-05,29.16360
2024-06-07,30.19550
2024-06-11,30.39290
2024-06-14,31.35860
2024-06-18,31.55500
2024-06-20,31.24290
2024-06-21,31.02320
2024-06-25,31.13040
2024-06-27,31.11920
2024-07-02,31.33050
2024-07-03,31.66880
2024-07-05,32.03960
2024-07-09,32.22880
2024-07-12,32.17300
2024-07-15,32.44810
2024-07-18,31.90090
2024-07-19,31.13870
2024-07-24,31.35580
2024-07-25,31.51470
2024-07-29,32.42670
2024-07-31,32.64900
2024-08-05,30.98050
2024-08-06,30.69330
2024-08-09,31.75920
2024-08-12,31.63430
2024-08-14,31.29590
2024-08-16,31.86360
2024-08-20,32.31050
2024-08-22,32.61530
2024-08-26,32.66380
2024-08-29,32.71850
2024-08-30,32.89180
2024-09-03,32.94890
2024-09-05,32.97970
2024-09-06,32.53290
2024-09-11,32.48500
2024-09-12,32.96000
2024-09-16,32.96660
2024-09-19,32.50990
2024-09-23,33.50620
2024-09-25,33.42380
2024-09-27,33.96960
2024-09-30,33.65500
2024-10-01,33.73730
2024-10-07,31.81860
2024-10-09,32.91640
2024-10-10,32.85950
2024-10-15,33.11140
2024-10-17,32.30350
2024-10-18,32.42560
2024-10-22,31.05990
2024-10-25,30.43310
2024-10-28,30.57090
