# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:56.477401+00:00
stretch_ending,fund_return,benchmark_return
2025-11-27,0.147341,
2025-12-04,0.143187,
2025-12-11,0.142851,
2025-12-18,0.143372,
2025-12-24,0.148565,
2026-01-01,0.144720,
2026-01-08,0.144166,
2026-01-14,0.143914,
2026-01-22,0.139500,
2026-01-29,0.144453,
2026-02-05,0.145071,
2026-02-12,0.150127,
2026-02-19,0.147193,
2026-02-26,0.150719,
2026-03-05,0.144775,
2026-03-12,0.143197,
2026-03-19,0.141999,
2026-03-25,0.144007,
2026-04-02,0.137375,
2026-04-09,0.141601,
2026-04-16,0.146261,
2026-04-23,0.149365,
2026-04-30,0.145599,
2026-05-07,0.145593,
2026-05-14,0.143332,
2026-05-21,0.142128,
2026-05-27,0.143339,
2026-06-04,0.140361,
2026-06-11,0.137755,
2026-06-18,0.141946,
2026-06-25,0.143600,
2026-07-02,0.141494,
2026-07-09,0.140831,
2026-07-16,0.137911,
2026-07-23,0.137662,
2026-07-30,0.136450,
2026-08-06,0.140115,
2026-08-13,0.141076,
2026-08-20,0.139918,
2026-08-27,0.137943,
2026-09-03,0.133772,
2026-09-10,0.128101,
2026-09-17,0.127599,
2026-09-24,0.128286,
