# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:56.442459+00:00
date,fund_value_inr,benchmark_value_inr
2022-11-28,10000.00,
2022-11-29,10002.71,
2022-12-01,10034.23,
2022-12-05,10028.39,
2022-12-07,10004.31,
2022-12-08,10011.65,
2022-12-12,10004.98,
2022-12-14,10044.86,
2022-12-16,9971.93,
2022-12-20,9979.57,
2022-12-22,9928.25,
2022-12-23,9884.06,
2022-12-27,9949.81,
2022-12-29,9956.99,
2023-01-03,9982.55,
2023-01-05,9945.22,
2023-01-09,9949.14,
2023-01-11,9920.76,
2023-01-13,9941.58,
2023-01-16,9934.05,
2023-01-17,9946.13,
2023-01-20,9952.12,
2023-01-24,9965.57,
2023-01-27,9901.82,
2023-01-30,9903.39,
2023-02-01,9965.18,
2023-02-03,9991.45,
2023-02-07,9990.16,
2023-02-09,10021.49,
2023-02-10,10040.07,
2023-02-14,10011.37,
2023-02-16,10050.66,
2023-02-21,10034.62,
2023-02-22,10007.72,
2023-02-27,9994.35,
2023-02-28,9991.77,
2023-03-03,10029.96,
2023-03-06,10058.34,
2023-03-08,10071.21,
2023-03-13,9994.82,
2023-03-14,9978.04,
2023-03-17,10020.78,
2023-03-20,9997.61,
2023-03-23,10038.27,
2023-03-27,9974.40,
2023-03-28,9971.38,
2023-03-31,10090.07,
2023-04-05,10114.38,
2023-04-06,10150.29,
2023-04-12,10184.17,
2023-04-17,10167.82,
2023-04-18,10172.88,
2023-04-21,10178.52,
2023-04-24,10213.38,
2023-04-26,10239.73,
2023-05-02,10347.83,
2023-05-03,10345.36,
2023-05-04,10394.65,
2023-05-08,10413.47,
2023-05-10,10419.66,
2023-05-15,10459.07,
2023-05-17,10499.30,
2023-05-18,10470.56,
2023-05-22,10502.87,
2023-05-24,10492.40,
2023-05-26,10561.60,
2023-05-29,10561.80,
2023-06-01,10627.91,
2023-06-05,10650.73,
2023-06-07,10678.92,
2023-06-08,10651.39,
2023-06-13,10703.93,
2023-06-14,10696.92,
2023-06-16,10743.85,
2023-06-20,10738.24,
2023-06-21,10748.83,
2023-06-23,10700.17,
2023-06-28,10767.73,
2023-06-30,10821.64,
2023-07-04,10812.66,
2023-07-06,10842.11,
2023-07-10,10806.86,
2023-07-12,10871.13,
2023-07-17,10896.22,
2023-07-18,10897.94,
2023-07-19,10925.39,
2023-07-21,10898.22,
2023-07-26,10917.47,
2023-07-28,10897.59,
2023-07-31,10934.61,
2023-08-03,10870.03,
2023-08-04,10900.77,
2023-08-08,10897.87,
2023-08-10,10928.57,
2023-08-14,10897.28,
2023-08-16,10913.00,
2023-08-18,10912.37,
2023-08-23,11008.48,
2023-08-25,10983.66,
2023-08-29,11006.40,
2023-08-30,11038.08,
2023-09-04,11107.80,
2023-09-05,11139.32,
2023-09-06,11157.87,
2023-09-11,11254.48,
2023-09-12,11156.38,
2023-09-15,11197.23,
2023-09-18,11170.49,
2023-09-22,11139.71,
2023-09-25,11172.02,
2023-09-29,11229.03,
2023-10-03,11262.87,
2023-10-04,11211.78,
2023-10-09,11240.95,
2023-10-11,11322.82,
2023-10-13,11312.16,
2023-10-17,11329.61,
2023-10-19,11294.67,
2023-10-20,11279.26,
2023-10-25,11088.86,
2023-10-27,11137.52,
2023-10-31,11119.79,
2023-11-01,11127.56,
2023-11-03,11193.47,
2023-11-08,11286.12,
2023-11-10,11306.75,
2023-11-15,11407.20,
2023-11-16,11441.16,
2023-11-20,11485.43,
2023-11-23,11474.09,
2023-11-24,11465.39,
2023-11-29,11495.66,
2023-12-01,11555.10,
2023-12-04,11622.50,
2023-12-07,11599.84,
2023-12-08,11598.62,
2023-12-13,11662.34,
2023-12-14,11760.64,
2023-12-19,11776.48,
2023-12-20,11672.73,
2023-12-22,11761.19,
2023-12-26,11759.54,
2023-12-29,11770.60,
2024-01-02,11733.78,
2024-01-04,11795.22,
2024-01-05,11820.32,
2024-01-09,11807.30,
2024-01-11,11817.77,
2024-01-15,11899.72,
2024-01-17,11828.71,
2024-01-18,11812.44,
2024-01-23,11824.28,
2024-01-25,11938.14,
2024-01-30,11956.53,
2024-02-01,12034.60,
2024-02-06,12113.06,
2024-02-08,12137.17,
2024-02-09,12090.51,
2024-02-12,11999.70,
2024-02-14,12030.91,
2024-02-16,12106.55,
2024-02-20,12123.68,
2024-02-23,12231.86,
2024-02-27,12286.52,
2024-02-28,12211.79,
2024-03-04,12364.47,
2024-03-06,12250.25,
2024-03-07,12291.42,
2024-03-12,12130.90,
2024-03-13,11938.53,
2024-03-15,11999.35,
2024-03-20,11984.88,
2024-03-21,12126.15,
2024-03-27,12266.56,
2024-03-31,12298.68,
2024-04-01,12358.43,
2024-04-03,12436.15,
2024-04-05,12585.69,
2024-04-09,12584.01,
2024-04-10,12608.04,
2024-04-15,12562.56,
2024-04-19,12631.69,
2024-04-23,12768.02,
2024-04-25,12767.16,
2024-04-29,12845.58,
2024-04-30,12827.50,
2024-05-03,12849.89,
2024-05-06,12829.23,
2024-05-09,12607.57,
2024-05-13,12673.29,
2024-05-15,12848.60,
2024-05-17,12988.73,
2024-05-21,13020.80,
2024-05-23,13036.25,
2024-05-27,13032.69,
2024-05-28,12962.38,
2024-05-31,12990.18,
2024-06-04,12746.10,
2024-06-06,13038.37,
2024-06-07,13159.69,
2024-06-11,13277.16,
2024-06-14,13558.80,
2024-06-19,13510.42,
2024-06-20,13555.16,
2024-06-24,13591.97,
2024-06-25,13594.05,
2024-06-27,13518.53,
2024-07-01,13625.77,
2024-07-03,13705.64,
2024-07-05,13821.78,
2024-07-10,13782.22,
2024-07-12,13823.12,
2024-07-16,13799.63,
2024-07-18,13713.80,
2024-07-19,13580.56,
2024-07-23,13607.46,
2024-07-26,13828.21,
